id,relation_type,branch1,branch2,branch3,nature,strength,timing_effect,personality_effect,relationship_effect,career_effect,health_effect,advice,description
JR_자축합,육합,자,축,,합,강,합이이루어지면변화시작,온화하고신중한성격형성/내성적이나깊은사고,조용하지만깊은관계/신뢰구축,학문연구분야유리/느리지만확실한성과,신장방광계통관리필요,합의에너지를유지하되정체되지않게,"자(子)와 축(丑)의 육합. 수와 토가 합하여 토로 변화. 물이 흙에 스며드는 형상."
JR_인해합,육합,인,해,,합,강,합이이루어지면활동시작,적극적이고진취적/탐구심강함,동반성장하는관계/함께배움,교육연구탐험분야유리/성장지향,간담계통과하체관리필요,탐구정신을살리되안정도챙겨,"인(寅)과 해(亥)의 육합. 목과 수가 합하여 목으로 변화. 물이 나무를 기르는 형상."
JR_묘술합,육합,묘,술,,합,강,합이이루어지면결실시작,정의감강하고원칙주의/때로완고,충성스럽고의리있는관계,법률군경분야유리/원칙기반성과,간담계통과소화기관리필요,원칙을지키되융통성도발휘,"묘(卯)와 술(戌)의 육합. 목과 토가 합하여 화로 변화. 불을 피우는 형상."
JR_진유합,육합,진,유,,합,강,합이이루어지면변혁시작,예리하고분석적/완벽주의경향,날카롭지만신뢰할수있는관계,금융기술분야유리/정밀한성과,폐대장계통과피부관리필요,완벽주의를조절하여스트레스관리,"진(辰)과 유(酉)의 육합. 토와 금이 합하여 금으로 변화. 보석이 만들어지는 형상."
JR_사신합,육합,사,신,,합,강,합이이루어지면지혜발현,총명하고재빠름/임기응변능력,기민하고영리한관계/파트너십,사업외교분야유리/빠른성과,심장소장계통관리필요,민첩함을살리되깊이도추구,"사(巳)와 신(申)의 육합. 화와 금이 합하여 수로 변화. 물이 생성되는 형상."
JR_오미합,육합,오,미,,합,강,합이이루어지면빛발현,따뜻하고낙천적/예술적감각,포근하고안정적인관계,예술창작분야유리/감성적성과,심장혈액계통관리필요,따뜻함을나누되자기관리도,"오(午)와 미(未)의 육합. 화와 토가 합하여 화로 변화. 태양이 빛나는 형상."
JR_인오술삼합,삼합,인,오,술,대합,최강,삼합이형성되면강력한에너지,열정적이고추진력강함/리더십,강렬하고활동적인관계,군경사업분야유리/큰성과,심장혈압열관련주의,열정을불태우되번아웃주의,"인(寅)오(午)술(戌) 화국 삼합. 화의 에너지가 극대화. 강력한 추진력과 열정."
JR_해묘미삼합,삼합,해,묘,미,대합,최강,삼합이형성되면성장에너지,성장지향적이고창의적/학습능력,발전하는관계/함께성장,교육예술분야유리/창조적성과,간담계통관리필요,성장을추구하되뿌리도단단히,"해(亥)묘(卯)미(未) 목국 삼합. 목의 에너지가 극대화. 강력한 성장과 창조."
JR_신자진삼합,삼합,신,자,진,대합,최강,삼합이형성되면지혜발현,지혜롭고깊은사고/분석력,깊고지적인관계,학문연구분야유리/지적성과,신장방광계통관리필요,지혜를쌓되실천도병행,"신(申)자(子)진(辰) 수국 삼합. 수의 에너지가 극대화. 강력한 지혜와 유연성."
JR_사유축삼합,삼합,사,유,축,대합,최강,삼합이형성되면결실에너지,결단력있고정밀함/완성력,신뢰할수있는관계/의리,금융법률분야유리/완성도높은성과,폐대장계통관리필요,결단력을살리되유연성도유지,"사(巳)유(酉)축(丑) 금국 삼합. 금의 에너지가 극대화. 강력한 결단과 완성."
JR_자오충,충,자,오,,충,강,충이발생하면급격한변화,내면갈등심함/양극단오감,긴장과갈등많은관계,변동많은분야/변화속성과,심장신장계통주의,충의에너지를변화의동력으로,"자(子)와 오(午)의 충. 수와 화의 정면충돌. 감정과 이성의 갈등."
JR_축미충,충,축,미,,충,강,충이발생하면기반흔들림,가치관갈등/안정불안정사이,신뢰와의심이교차하는관계,부동산토지분야에서변동,소화기비장계통주의,안정을찾되변화도수용,"축(丑)과 미(未)의 충. 토와 토의 충돌. 기반과 안정의 갈등."
JR_인신충,충,인,신,,충,강,충이발생하면이동발생,활동성극대화/불안정,역동적이나불안정한관계,이동여행무역분야,간담폐계통주의,활동성을살리되안정점확보,"인(寅)과 신(申)의 충. 목과 금의 충돌. 성장과 결단의 갈등."
JR_묘유충,충,묘,유,,충,강,충이발생하면충격발생,예민하고날카로움/갈등잦음,예민한관계/작은일에충돌,예술기술분야에서변동,간담폐피부주의,날카로움을순화하고조화추구,"묘(卯)와 유(酉)의 충. 목과 금의 충돌. 성장과 수확의 갈등."
JR_진술충,충,진,술,,충,강,충이발생하면큰변혁,변혁욕구강함/큰변화추구,변화가많은관계/이합집산,변혁혁신분야에서성과,소화기피부계통주의,변화를두려워말고주도,"진(辰)과 술(戌)의 충. 토와 토의 충돌. 하늘문이 열리는 형상."
JR_사해충,충,사,해,,충,강,충이발생하면방향전환,지혜와본능의갈등/선택어려움,복잡미묘한관계,다양한분야에서변동,심장신장계통주의,갈등을통합하는지혜필요,"사(巳)와 해(亥)의 충. 화와 수의 충돌. 지혜와 열정의 갈등."
JR_자묘형,형,자,묘,,형,중,형이작동하면마찰발생,무례하거나예의없는면/충돌유발,예절과관련된갈등,대인관계주의필요분야,신장간담계통주의,예의를갖추고충돌피하라,"자(子)와 묘(卯)의 형. 무례지형(無禮之刑). 예의 없는 형벌."
JR_인사신삼형,삼형,인,사,신,형,최강,삼형이발동하면큰시련,시련과고난많음/인내필요,갈등이극심한관계/배신가능,험난한분야에서극복후성과,간담심장폐모두주의,시련을성장의기회로,"인(寅)사(巳)신(申)의 삼형. 무은지형(無恩之刑). 은혜 없는 형벌."
JR_축술미삼형,삼형,축,술,미,형,최강,삼형이발동하면막힘발생,고집세고융통성부족/정체,막막하고답답한관계,정체된분야에서돌파필요,소화기피부모두주의,고집을버리고유연해지라,"축(丑)술(戌)미(未)의 삼형. 지세지형(持勢之刑). 세력으로 버티는 형벌."
JR_진진자형,자형,진,진,,자형,중,자형이작동하면자해발생,자기파괴적경향/자학,자신을해치는관계/독립필요,혼자하는분야유리,소화기피부주의,자기학대를멈추고사랑하라,"진(辰)진(辰)의 자형. 스스로를 해치는 형벌. 자기 파괴 경향."
