id,label,desc,type,spread_name,card_count,korean_name,purpose,positions,best_for,difficulty,description
TS_one,원카드,"원카드 | purpose: 간단한질문/오늘의메시지/핵심통찰 | positions: 1-현재상황또는답 | best_for: 일상적질문/빠른통찰/명상 | difficulty: 초급 | description: 원카드스프레드는 타로 카드 리딩의 한 방법으로, 간단한 질문에 대한 답변이나 오늘의 메시지를 얻기 위해 사용됩니다. 이 스프레드는 현재 상황이나 문제에 대한 핵심 통찰을 제공하는 데 적합하며, 일상적인 질문이나 빠른 통찰을 원할 때 유용합니다. 초급자도 쉽게 접근할 수 있어 명상이나 자기 성찰의 도구로 활용하기 좋습니다. 단 한 장의 카드로도 깊은 의미를 발견할 수 있는 매력적인 방식입니다.",tarot_spread,One_Card,1,원카드스프레드,간단한질문/오늘의메시지/핵심통찰,1-현재상황또는답,일상적질문/빠른통찰/명상,초급,"원카드스프레드는 타로 카드 리딩의 한 방법으로, 간단한 질문에 대한 답변이나 오늘의 메시지를 얻기 위해 사용됩니다. 이 스프레드는 현재 상황이나 문제에 대한 핵심 통찰을 제공하는 데 적합하며, 일상적인 질문이나 빠른 통찰을 원할 때 유용합니다. 초급자도 쉽게 접근할 수 있어 명상이나 자기 성찰의 도구로 활용하기 좋습니다. 단 한 장의 카드로도 깊은 의미를 발견할 수 있는 매력적인 방식입니다."
TS_three,쓰리카드,"쓰리카드 | purpose: 과거현재미래/상황조언결과/마음몸영혼 | positions: 1-과거_2-현재_3-미래 | best_for: 흐름파악/기본상담/학습용 | difficulty: 초급 | description: 쓰리카드스프레드는 타로 카드 리딩의 기본적인 형태로, 과거, 현재, 미래를 각각 한 장씩의 카드로 해석하여 상황을 분석하는 방법입니다. 이 스프레드는 개인의 흐름을 파악하고, 현재의 상황에 대한 조언을 제공하며, 앞으로의 결과를 예측하는 데 유용합니다. 특히 초급자에게 적합하여 타로 학습용으로도 많이 활용됩니다. 이를 통해 마음, 몸, 영혼의 상태를 종합적으로 이해할 수 있습니다.",tarot_spread,Three_Card,3,쓰리카드스프레드,과거현재미래/상황조언결과/마음몸영혼,1-과거_2-현재_3-미래,흐름파악/기본상담/학습용,초급,"쓰리카드스프레드는 타로 카드 리딩의 기본적인 형태로, 과거, 현재, 미래를 각각 한 장씩의 카드로 해석하여 상황을 분석하는 방법입니다. 이 스프레드는 개인의 흐름을 파악하고, 현재의 상황에 대한 조언을 제공하며, 앞으로의 결과를 예측하는 데 유용합니다. 특히 초급자에게 적합하여 타로 학습용으로도 많이 활용됩니다. 이를 통해 마음, 몸, 영혼의 상태를 종합적으로 이해할 수 있습니다."
TS_celtic,켈틱크로스,"켈틱크로스 | purpose: 종합적상황분석/깊은통찰/복잡한질문 | positions: 1-현재_2-도전_3-의식_4-무의식_5-과거_6-미래_7-자신_8-환경_9-희망두려움_10-결과 | best_for: 복잡한상황/중요한결정/깊은분석 | difficulty: 고급 | description: 켈틱크로스스프레드는 복잡한 상황이나 중요한 결정을 내릴 때 유용한 타로 스프레드입니다. 이 스프레드는 현재의 상황을 분석하고, 도전 과제를 파악하며, 의식과 무의식의 상태를 탐구하는 데 도움을 줍니다. 또한, 과거의 경험과 미래의 가능성을 고려하여 자신과 환경, 희망과 두려움을 조명합니다. 이러한 깊은 통찰을 통해 복잡한 질문에 대한 명확한 답을 얻을 수 있는 고급 스프레드입니다.",tarot_spread,Celtic_Cross,10,켈틱크로스스프레드,종합적상황분석/깊은통찰/복잡한질문,1-현재_2-도전_3-의식_4-무의식_5-과거_6-미래_7-자신_8-환경_9-희망두려움_10-결과,복잡한상황/중요한결정/깊은분석,고급,"켈틱크로스스프레드는 복잡한 상황이나 중요한 결정을 내릴 때 유용한 타로 스프레드입니다. 이 스프레드는 현재의 상황을 분석하고, 도전 과제를 파악하며, 의식과 무의식의 상태를 탐구하는 데 도움을 줍니다. 또한, 과거의 경험과 미래의 가능성을 고려하여 자신과 환경, 희망과 두려움을 조명합니다. 이러한 깊은 통찰을 통해 복잡한 질문에 대한 명확한 답을 얻을 수 있는 고급 스프레드입니다."
TS_horseshoe,호스슈,"호스슈 | purpose: 상황분석과조언/중간수준분석 | positions: 1-과거_2-현재_3-숨겨진요소_4-조언_5-외부영향_6-희망/두려움_7-결과 | best_for: 중간수준분석/결정사항 | difficulty: 중급 | description: 말굽스프레드는 상황을 분석하고 조언을 제공하는 타로 스프레드입니다. 이 스프레드는 과거, 현재, 숨겨진 요소, 조언, 외부 영향, 희망과 두려움, 결과의 일곱 가지 위치로 구성되어 있습니다. 중간 수준의 분석을 통해 결정 사항을 명확히 하고, 상황에 대한 깊이 있는 이해를 돕습니다. 따라서 복잡한 상황에서의 통찰력을 얻고자 할 때 유용하게 활용할 수 있습니다.",tarot_spread,Horseshoe,7,말굽스프레드,상황분석과조언/중간수준분석,1-과거_2-현재_3-숨겨진요소_4-조언_5-외부영향_6-희망/두려움_7-결과,중간수준분석/결정사항,중급,"말굽스프레드는 상황을 분석하고 조언을 제공하는 타로 스프레드입니다. 이 스프레드는 과거, 현재, 숨겨진 요소, 조언, 외부 영향, 희망과 두려움, 결과의 일곱 가지 위치로 구성되어 있습니다. 중간 수준의 분석을 통해 결정 사항을 명확히 하고, 상황에 대한 깊이 있는 이해를 돕습니다. 따라서 복잡한 상황에서의 통찰력을 얻고자 할 때 유용하게 활용할 수 있습니다."
TS_relationship,관계스프레드,"관계스프레드 | purpose: 두사람의관계분석 | positions: 1-나_2-상대_3-관계의기반_4-도전_5-강점_6-미래방향 | best_for: 연애/파트너십/갈등분석 | difficulty: 중급 | description: 관계스프레드는 두 사람의 관계를 깊이 분석하는 타로 스프레드입니다. 이 스프레드는 나와 상대방, 관계의 기반, 도전, 강점, 미래 방향 등 여섯 가지 포지션으로 구성되어 있어, 연애, 파트너십, 갈등 분석에 효과적입니다. 중급 수준의 해석이 필요하며, 각 포지션에서 드러나는 카드의 의미를 통해 관계의 본질과 앞으로 나아갈 방향을 명확히 파악할 수 있습니다. 이 스프레드는 두 사람의 관계를 더욱 깊이 이해하고 발전시키는 데 도움을 줄 수 있습니다.",tarot_spread,Relationship,6,관계스프레드,두사람의관계분석,1-나_2-상대_3-관계의기반_4-도전_5-강점_6-미래방향,연애/파트너십/갈등분석,중급,"관계스프레드는 두 사람의 관계를 깊이 분석하는 타로 스프레드입니다. 이 스프레드는 나와 상대방, 관계의 기반, 도전, 강점, 미래 방향 등 여섯 가지 포지션으로 구성되어 있어, 연애, 파트너십, 갈등 분석에 효과적입니다. 중급 수준의 해석이 필요하며, 각 포지션에서 드러나는 카드의 의미를 통해 관계의 본질과 앞으로 나아갈 방향을 명확히 파악할 수 있습니다. 이 스프레드는 두 사람의 관계를 더욱 깊이 이해하고 발전시키는 데 도움을 줄 수 있습니다."
TS_year,연간스프레드,연간스프레드 | purpose: 한해의흐름/월별운세 | positions: 1월-12월각각의카드 | best_for: 새해운세/장기계획 | difficulty: 중급 | description: 연간스프레드는 한 해의 흐름을 파악하고 월별 운세를 분석하는 데 유용한 타로 스프레드입니다. 이 스프레드는 1월부터 12월까지 각 달을 대표하는 카드를 배치하여 그 해의 전반적인 운세와 중요한 사건들을 예측할 수 있도록 도와줍니다. 특히 새해에 자신의 운세를 미리 알고 싶거나 장기적인 계획을 세우고자 하는 사람들에게 적합합니다. 중급 난이도의 이 스프레드는 타로 카드에 대한 기본적인 이해가 있는 이들에게 더욱 효과적입니다.,tarot_spread,Year_Ahead,12,연간운세스프레드,한해의흐름/월별운세,1월-12월각각의카드,새해운세/장기계획,중급,연간스프레드는 한 해의 흐름을 파악하고 월별 운세를 분석하는 데 유용한 타로 스프레드입니다. 이 스프레드는 1월부터 12월까지 각 달을 대표하는 카드를 배치하여 그 해의 전반적인 운세와 중요한 사건들을 예측할 수 있도록 도와줍니다. 특히 새해에 자신의 운세를 미리 알고 싶거나 장기적인 계획을 세우고자 하는 사람들에게 적합합니다. 중급 난이도의 이 스프레드는 타로 카드에 대한 기본적인 이해가 있는 이들에게 더욱 효과적입니다.
TS_decision,결정스프레드,"결정스프레드 | purpose: 두가지선택지비교 | positions: 1-현재_2-선택A결과_3-선택B결과_4-숨겨진요소_5-조언 | best_for: 중요한결정/양자택일 | difficulty: 중급 | description: 결정스프레드는 두 가지 선택지를 비교하고 그 결과를 분석하기 위해 설계된 타로 스프레드입니다. 이 스프레드는 현재 상황을 파악하고, 선택 A와 선택 B의 결과를 각각 살펴보며, 숨겨진 요소와 조언을 통해 보다 명확한 결정을 내릴 수 있도록 돕습니다. 중요한 결정을 내려야 하거나 양자택일의 상황에 놓인 경우에 특히 유용하며, 중급 수준의 타로 독해 능력을 요구합니다. 이 스프레드를 사용하면 각 선택의 장단점을 명확히 이해하고, 보다 현명한 선택을 할 수 있는 기회를 제공합니다.",tarot_spread,Decision,5,선택스프레드,두가지선택지비교,1-현재_2-선택A결과_3-선택B결과_4-숨겨진요소_5-조언,중요한결정/양자택일,중급,"결정스프레드는 두 가지 선택지를 비교하고 그 결과를 분석하기 위해 설계된 타로 스프레드입니다. 이 스프레드는 현재 상황을 파악하고, 선택 A와 선택 B의 결과를 각각 살펴보며, 숨겨진 요소와 조언을 통해 보다 명확한 결정을 내릴 수 있도록 돕습니다. 중요한 결정을 내려야 하거나 양자택일의 상황에 놓인 경우에 특히 유용하며, 중급 수준의 타로 독해 능력을 요구합니다. 이 스프레드를 사용하면 각 선택의 장단점을 명확히 이해하고, 보다 현명한 선택을 할 수 있는 기회를 제공합니다."
TS_career,커리어스프레드,"커리어스프레드 | purpose: 직업관련질문/커리어방향 | positions: 1-현재직업상황_2-강점_3-약점_4-기회_5-도전_6-조언 | best_for: 직업상담/이직/사업 | difficulty: 중급 | description: 커리어스프레드는 직업과 관련된 질문이나 커리어 방향을 탐색하기 위해 설계된 타로 스프레드입니다. 이 스프레드는 현재 직업 상황, 개인의 강점과 약점, 직면할 수 있는 기회와 도전, 그리고 최종적으로 조언을 제공하는 여섯 가지 포지션으로 구성되어 있습니다. 중급 수준의 이해를 요구하며, 직업 상담, 이직, 또는 사업을 계획하는 데 유용한 도구가 될 수 있습니다. 이 스프레드를 통해 자신의 직업적 상황을 명확히 하고, 향후 방향성을 설정하는 데 도움을 받을 수 있습니다.",tarot_spread,Career,6,직업운스프레드,직업관련질문/커리어방향,1-현재직업상황_2-강점_3-약점_4-기회_5-도전_6-조언,직업상담/이직/사업,중급,"커리어스프레드는 직업과 관련된 질문이나 커리어 방향을 탐색하기 위해 설계된 타로 스프레드입니다. 이 스프레드는 현재 직업 상황, 개인의 강점과 약점, 직면할 수 있는 기회와 도전, 그리고 최종적으로 조언을 제공하는 여섯 가지 포지션으로 구성되어 있습니다. 중급 수준의 이해를 요구하며, 직업 상담, 이직, 또는 사업을 계획하는 데 유용한 도구가 될 수 있습니다. 이 스프레드를 통해 자신의 직업적 상황을 명확히 하고, 향후 방향성을 설정하는 데 도움을 받을 수 있습니다."
TS_chakra,차크라스프레드,"차크라스프레드 | purpose: 에너지센터점검/전인적분석 | positions: 1-루트_2-천골_3-태양신경총_4-하트_5-목_6-제3의눈_7-크라운 | best_for: 영적성장/에너지점검 | difficulty: 고급 | description: 차크라스프레드는 개인의 에너지 센터를 점검하고 전인적인 분석을 통해 영적 성장을 도모하는 타로 스프레드입니다. 이 스프레드는 루트, 천골, 태양신경총, 하트, 목, 제3의 눈, 크라운 등 일곱 가지 주요 차크라를 기반으로 하여 각 에너지 센터의 상태를 파악합니다. 고급 수준의 이 스프레드는 자신의 내면을 깊이 이해하고, 에너지 흐름을 조절하는 데 도움을 줄 수 있습니다. 이를 통해 개인의 영적 여정을 더욱 풍요롭게 할 수 있습니다.",tarot_spread,Chakra,7,차크라스프레드,에너지센터점검/전인적분석,1-루트_2-천골_3-태양신경총_4-하트_5-목_6-제3의눈_7-크라운,영적성장/에너지점검,고급,"차크라스프레드는 개인의 에너지 센터를 점검하고 전인적인 분석을 통해 영적 성장을 도모하는 타로 스프레드입니다. 이 스프레드는 루트, 천골, 태양신경총, 하트, 목, 제3의 눈, 크라운 등 일곱 가지 주요 차크라를 기반으로 하여 각 에너지 센터의 상태를 파악합니다. 고급 수준의 이 스프레드는 자신의 내면을 깊이 이해하고, 에너지 흐름을 조절하는 데 도움을 줄 수 있습니다. 이를 통해 개인의 영적 여정을 더욱 풍요롭게 할 수 있습니다."
TS_shadow,그림자스프레드,"그림자스프레드 | purpose: 무의식탐구/그림자통합 | positions: 1-의식적자아_2-숨겨진그림자_3-그림자의기원_4-통합의선물_5-치유방법 | best_for: 심리작업/자기성장 | difficulty: 고급 | description: 그림자작업스프레드는 무의식을 탐구하고 내면의 그림자를 통합하는 데 도움을 주는 타로 스프레드입니다. 이 스프레드는 다섯 가지 위치로 구성되어 있으며, 각 위치는 의식적 자아, 숨겨진 그림자, 그림자의 기원, 통합의 선물, 치유 방법을 탐구합니다. 이 스프레드는 심리 작업이나 자기 성장에 적합하며, 고급 수준의 이해와 해석이 요구됩니다. 그림자스프레드를 통해 자신을 깊이 이해하고, 내면의 갈등을 해결하는 데 필요한 통찰을 얻을 수 있습니다.",tarot_spread,Shadow_Work,5,그림자작업스프레드,무의식탐구/그림자통합,1-의식적자아_2-숨겨진그림자_3-그림자의기원_4-통합의선물_5-치유방법,심리작업/자기성장,고급,"그림자작업스프레드는 무의식을 탐구하고 내면의 그림자를 통합하는 데 도움을 주는 타로 스프레드입니다. 이 스프레드는 다섯 가지 위치로 구성되어 있으며, 각 위치는 의식적 자아, 숨겨진 그림자, 그림자의 기원, 통합의 선물, 치유 방법을 탐구합니다. 이 스프레드는 심리 작업이나 자기 성장에 적합하며, 고급 수준의 이해와 해석이 요구됩니다. 그림자스프레드를 통해 자신을 깊이 이해하고, 내면의 갈등을 해결하는 데 필요한 통찰을 얻을 수 있습니다."
