id,label,type,cycle_type,period,description,saju_component,astro_component,numerology_component,integration_interpretation,timing_advice
CI_major_luck,대운주기,cycle_integration,major,10년,"10년 단위의 대운 주기. 인생의 큰 흐름과 시대적 테마를 결정한다.","대운(大運)-10년 단위 간지 흐름. 격국과의 상호작용이 핵심.","프로그레스드 태양(30년/별자리). 토성 귀환(29.5년). 목성 귀환(12년).","개인년 9년 주기의 통합. 마스터 넘버 주기와 연동.","대운+프로그레스+개인년을 종합하여 10년 인생 테마 파악. 용신 대운이면 황금기.","대운 교체 2년 전후는 전환기. 새 대운에 맞는 준비 필요."
CI_annual,연운주기,cycle_integration,annual,1년,"연간 운세 주기. 그 해의 전체적인 흐름과 기회/도전을 나타낸다.","세운(歲運)-매년 바뀌는 간지. 대운+원국과의 삼중 작용.","태양 귀환(Solar Return). 트랜짓 목성/토성 위치.","개인년(Personal Year) 1-9 또는 11/22/33.","세운+태양귀환+개인년으로 연간 테마 파악. 세 가지가 조화로우면 순풍.","연초(입춘/생일)에 연간 계획 수립. 주요 트랜짓 시기 체크."
CI_monthly,월운주기,cycle_integration,monthly,1개월,"월간 운세 주기. 그 달의 구체적인 에너지와 과제를 나타낸다.","월운-매월 바뀌는 간지. 월지와 대운/세운의 상호작용.","트랜짓 달의 위치(2.5일/별자리). 뉴문/풀문 사이클.","개인월(Personal Month) 1-9.","월운+달 트랜짓+개인월로 월간 테마 파악. 월초 뉴문에 계획, 풀문에 수확.","매월 초(뉴문)에 월간 목표 설정. 풀문에 점검과 수확."
CI_daily,일운주기,cycle_integration,daily,1일,"일간 운세 주기. 그날의 구체적인 에너지와 행동 가이드.","일진-매일 바뀌는 간지. 일간과 일진의 관계(합/충 등).","트랜짓 달의 정확한 위치. 보이드 오브 코스 시간.","개인일(Personal Day) 1-9.","일진+달 트랜짓+개인일로 일간 에너지 파악. 중요 결정은 좋은 일진에.","중요 약속/결정은 일진 확인. 보이드 타임 피하기."
CI_saturn_return,새턴리턴,cycle_integration,major_transit,29.5년,"토성이 출생 위치로 돌아오는 주기. 인생의 주요 전환점이자 성숙의 관문.","대운 3순환 시기와 유사. 30세 전후 첫 새턴리턴.","토성 귀환(Saturn Return). 28-30세, 57-60세, 86-88세.","개인년 1 또는 9와 겹치면 더욱 강력한 전환기.","첫 새턴리턴은 진정한 성인이 되는 관문. 두 번째는 인생 후반 설계. 세 번째는 완성.","새턴리턴 전 2년간 준비. 통과 후 새로운 30년 설계."
CI_jupiter_return,목성리턴,cycle_integration,major_transit,12년,"목성이 출생 위치로 돌아오는 주기. 확장과 기회의 창이 열린다.","12년 주기는 띠(12지지) 사이클과 일치. 본명띠 해.","목성 귀환(Jupiter Return). 12세, 24세, 36세, 48세...","개인년 3 또는 9와 연동시 확장 극대화.","목성 귀환은 기회의 창. 본명띠 해와 겹치면 원국 에너지 증폭.","목성 귀환 해에 확장 계획 실행. 과욕은 금물."
CI_lunar_nodes,노드리턴,cycle_integration,major_transit,18.6년,"달의 교점이 출생 위치로 돌아오는 주기. 운명적 전환점.","18-19년 주기는 대운 2순환 지점. 운명의 교차로.","노드 귀환(Nodal Return). 18세, 37세, 56세, 74세.","개인년 9(완성)와 겹치면 운명적 결정 시기.","노드 귀환은 인생 방향 재설정. 과거 카르마 청산과 새 방향 선택.","노드 귀환 시기에 인생 방향 재점검. 운명적 만남/결정."
CI_progressed_moon,프로그레스드문,cycle_integration,progression,27-28년,"프로그레스드 달이 12별자리를 한 바퀴 도는 주기.","27-28년은 대운 약 3순환에 해당. 감정적 성숙 완성.","프로그레스드 달 사이클. 각 별자리 2.5년씩 체류.","개인년 9년 주기의 3순환과 유사.","프로그레스드 달이 각 별자리를 지날 때 그 영역의 감정적 학습.","프로그레스드 달 별자리 변화 시기에 감정적 테마 전환."
CI_personal_year_1,개인년1시작,cycle_integration,numerology,9년,"개인년 1은 9년 주기의 새로운 시작. 새로운 씨앗을 뿌리는 해.","대운/세운에서 장생/건록 에너지와 유사.","태양귀환에서 새로운 테마 시작. 목성 에너지.","개인년 1. 새로운 9년 주기 시작.","개인년 1은 과감한 시작이 필요. 새 프로젝트, 새 관계, 새 방향.","개인년 1에는 주저하지 말고 새로운 시작. 씨앗 뿌리기."
CI_personal_year_9,개인년9완성,cycle_integration,numerology,9년,"개인년 9는 9년 주기의 완성과 정리. 놓아보내기의 해.","대운/세운에서 묘(墓)/절(絶) 에너지와 유사. 끝과 시작.","12하우스 에너지. 명왕성 트랜짓과 유사한 완결.","개인년 9. 9년 주기 완성.","개인년 9는 정리와 완성. 끝내야 할 것 끝내기. 새 주기 준비.","개인년 9에는 새 시작보다 마무리에 집중. 용서와 감사."
CI_void_period,공망기,cycle_integration,void,variable,"공망(空亡) 시기. 에너지가 비어 있어 기존 것은 유지, 새것은 불리.","대운/세운 공망 시기. 일주 공망과의 상호작용.","보이드 오브 코스(Void of Course Moon)와 유사.","카르마 숫자 또는 도전수 활성화 시기와 유사.","공망기에는 새로운 시작보다 기존 것의 유지/완성에 집중.","공망기에는 중요 결정/시작 피하기. 내면 성찰의 시간으로 활용."
CI_clash_period,충운기,cycle_integration,conflict,variable,"충(沖)이 발생하는 시기. 변화와 갈등, 전환의 에너지.","대운/세운과 원국의 충. 년충, 월충, 일충 등.","대립 트랜짓(Opposition). 토성/명왕성 긴장 트랜짓.","도전수 활성화 시기. 카르마 부채 숫자 시기.","충운기는 변화의 기회이자 갈등의 시기. 저항보다 유연한 대응.","충운기에는 변화를 받아들이고 유연하게 대응. 고집 금물."
