id,label,type,stem,branch,element_interaction,description,career,wealth,relationship,health,advice
AF_갑_자,갑자년운,annual_fortune,갑,子,수생목,"갑목이 자수를 만나 편인운. 물이 나무를 키우듯 학문과 지혜가 성장하는 해. 새로운 배움과 자기계발에 최적.","학업/자격증/연구에 유리. 멘토를 만날 수 있는 해. 새로운 기술 습득.","직접 투자보다 자기투자가 수익. 지식이 곧 재산. 부동산보다 교육비 지출.","지적 교감이 중요한 관계. 독서/학습 동반자와 인연. 깊은 대화를 원함.","신장/방광 계통 주의. 수분 대사 관리. 겨울철 건강관리 필수.","배움에 투자하세요. 올해 습득한 지식이 향후 10년의 기반이 됩니다."
AF_갑_축,갑축년운,annual_fortune,갑,丑,목극토,"갑목이 축토를 만나 정재운. 나무가 땅을 파고드는 상. 안정적 수입과 재물 축적의 해.","안정적 직장 유지에 유리. 실속형 업무 성과. 부동산/농업/식품 관련 기회.","꾸준한 저축이 답. 투기보다 안정 투자. 부동산 매입 검토 시기.","현실적이고 안정적인 관계. 결혼 운이 좋음. 신중한 만남 선호.","소화기 계통 주의. 위장 건강관리. 과식/과음 주의.","실속을 챙기세요. 화려함보다 내실이 중요한 해입니다."
AF_갑_인,갑인년운,annual_fortune,갑,寅,비화목,"갑목이 인목을 만나 비견운(건록). 같은 기운이 만나 자아가 극강해지는 해. 독립과 자기주장의 시기.","독립/창업에 유리. 경쟁이 치열해짐. 동업보다 독자 경영. 리더십 발휘.","내 힘으로 버는 해. 남의 도움 기대 말 것. 경쟁에서 이기면 큰 수익.","경쟁의식이 강해짐. 파트너와 주도권 다툼 가능. 자기 주장이 세짐.","간/담 계통 주의. 과로 주의. 근육/인대 부상 가능.","자기 힘을 믿으세요. 올해는 남에게 기대지 말고 스스로 개척하는 해입니다."
AF_갑_묘,갑묘년운,annual_fortune,갑,卯,비화목,"갑목이 묘목을 만나 겁재운. 비견과 유사하나 경쟁이 더 치열. 재물 손실 주의.","경쟁자 출현. 포지션 위협. 동료와의 갈등. 하지만 경쟁이 성장 동력.","재물 유출 주의. 보증/투자 손실 가능. 지출 관리 철저히.","삼각관계 주의. 경쟁자가 연인을 노릴 수 있음. 질투심 제어.","간 건강 주의. 스트레스로 인한 음주 증가 조심.","경쟁에서 이기려면 실력이 답입니다. 남을 깎아내리기보다 자신을 높이세요."
AF_갑_진,갑진년운,annual_fortune,갑,辰,목극토,"갑목이 진토를 만나 편재운. 투기적 재물운. 큰 돈이 들어올 수도, 나갈 수도 있는 해.","사업 확장 기회. 투자 기회 포착. 다만 리스크 관리 필수. 부동산 변동.","편재는 들어오고 나가는 돈. 큰 기회와 큰 위험이 공존. 분산투자 권장.","다양한 인연. 새로운 만남이 많으나 깊지 않을 수 있음. 바람기 주의.","소화기/피부 주의. 스트레스성 질환.","기회를 잡되 올인은 금물. 투자는 잃어도 되는 금액만."
AF_갑_사,갑사년운,annual_fortune,갑,巳,목생화,"갑목이 사화를 만나 식신운. 재능과 표현력이 꽃피는 해. 창작/예술/요리에 유리.","창작/콘텐츠/식품/서비스 분야 성과. 아이디어가 빛나는 해. 발표/강연 기회.","재능이 돈이 되는 해. 부업/사이드 프로젝트로 수입. 지적 재산 가치 상승.","편안하고 즐거운 관계. 함께 맛집 탐방/여행. 감성적 소통.","심장/소장 주의. 화기 상승으로 열성 질환. 여름 건강관리.","재능을 마음껏 발휘하세요. 올해는 당신의 능력이 인정받는 해입니다."
AF_갑_오,갑오년운,annual_fortune,갑,午,목생화,"갑목이 오화를 만나 상관운. 식신보다 날카로운 표현력. 혁신과 반항의 에너지.","기존 질서에 도전. 혁신/스타트업에 유리. 상사와 갈등 가능. 프리랜서 유리.","불규칙한 수입. 큰 기회와 손실이 교차. 아이디어로 승부.","자유연애 경향. 기존 관계의 변화. 솔직한 감정 표현이 과할 수 있음.","심장/혈압 주의. 화병 주의. 감정 기복으로 인한 스트레스.","혁신은 좋지만 적을 만들지 마세요. 말 조심이 가장 중요합니다."
AF_갑_미,갑미년운,annual_fortune,갑,未,목극토,"갑목이 미토를 만나 정재운. 축과 유사하나 여름 토라 더 활동적. 안정적 수입.","안정적 직장 생활. 승진/급여인상 가능. 관리직 적합.","저축과 투자의 균형. 안정적 자산 증식. 보험/연금 정리 적기.","따뜻하고 안정적 관계. 결혼 운 양호. 가정적인 분위기.","위장/소화기 주의. 여름 식중독 조심.","안정이 최고입니다. 화려함보다 실속을 챙기세요."
AF_갑_신,갑신년운,annual_fortune,갑,申,금극목,"갑목이 신금을 만나 편관운. 금이 나무를 치는 상. 시련과 도전의 해. 압박과 스트레스.","직장에서 압박 증가. 상사/조직의 요구 강화. 법적 문제 가능. 군인/공무원 승진 기회.","예상치 못한 지출. 법적 비용 가능. 보험의 중요성.","권위적 인물과의 갈등. 파트너의 통제 강화. 인내 필요.","간/폐 동시 약화. 교통사고 주의. 수술 가능성.","시련을 피하지 마세요. 편관의 압박을 이겨내면 한 단계 성장합니다."
AF_갑_유,갑유년운,annual_fortune,갑,酉,금극목,"갑목이 유금을 만나 정관운. 편관보다 부드러운 규율. 사회적 인정과 책임의 해.","승진/임명 운 양호. 조직 내 인정. 공공기관/대기업 유리. 자격증 취득.","안정적 급여 인상. 명예에 따른 수입 증가. 사회적 지위가 재물로.","책임감 있는 관계. 결혼/약혼 운 양호. 공식적 관계 진전.","폐/대장 주의. 호흡기 질환. 가을 건강관리.","사회적 책임을 받아들이세요. 명예로운 직위가 올해 당신을 기다립니다."
