id,label,type,degree,sign,symbol_image,keynote,description,career_hint,relationship_hint
SAB_AR01,양자리1도,sabian,1,Aries,바다에서 떠오르는 여인,출현,"무의식의 바다에서 의식이 처음 탄생하는 순간. 완전히 새로운 시작과 순수한 존재의 출현. 원시적 생명력.","완전히 새로운 분야 개척자. 아무도 가지 않은 길의 선구자.","운명적 첫 만남. 직감적으로 '이 사람이다'라는 느낌."
SAB_AR15,양자리15도,sabian,15,Aries,인도 직물을 짜는 원주민,문화적 뿌리,"자신의 문화적 정체성과 전통 기술을 통해 세상에 기여. 장인정신과 문화유산의 보존.","전통 공예/문화 산업. 장인적 기술과 문화적 가치 결합.","전통적 가치관을 공유하는 파트너. 문화적 공감대가 관계의 기초."
SAB_TA01,황소자리1도,sabian,1,Taurus,맑은 시냇물,순수한 흐름,"투명하고 순수한 감정의 흐름. 자연과의 조화 속에서 안정과 평화를 찾음. 물질적 세계의 순수한 기쁨.","자연 관련 직업. 유기농/환경/조경. 순수한 가치를 다루는 일.","자연스럽고 순수한 관계. 인위적이지 않은 편안한 만남."
SAB_TA15,황소자리15도,sabian,15,Taurus,모자를 쓴 남자가 폭풍에 맞서다,끈기,"역경 속에서도 굳건히 자기 자리를 지키는 인내와 결단력. 물질적 안정을 위한 투쟁.","어려운 상황에서 버티는 직업. 위기관리/구조대/경영난 극복 전문가.","어려운 시기를 함께 버텨주는 파트너. 동고동락의 관계."
SAB_GE01,쌍둥이자리1도,sabian,1,Gemini,유리바닥 배,투명한 관찰,"표면 아래를 볼 수 있는 통찰력. 보이지 않는 세계를 관찰하고 이해하는 지적 능력.","연구/분석/탐사 분야. 숨겨진 진실을 밝히는 직업. 저널리스트/탐정.","상대의 내면을 꿰뚫어 보는 능력. 깊은 이해에 기반한 관계."
SAB_GE15,쌍둥이자리15도,sabian,15,Gemini,대화하는 두 네덜란드 아이들,순수한 소통,"문화와 언어의 장벽을 넘는 순수한 의사소통. 아이 같은 호기심으로 세상과 교류.","통역/번역/외교/어린이 교육. 문화 간 소통을 연결하는 직업.","언어가 다른 사람과의 인연. 국제적 연애/결혼."
SAB_CA01,게자리1도,sabian,1,Cancer,배에서 굴러나온 깃발,소속감의 선언,"자신이 속한 집단/가족/국가에 대한 소속감과 충성심의 표현. 정체성의 깃발을 세움.","국가/지역 관련 공직. 애국적 단체. 가문 사업 계승.","가족을 중시하는 관계. 가문과 전통에 대한 존중이 있는 파트너."
SAB_CA15,게자리15도,sabian,15,Cancer,식탁에 앉은 많은 사람들,공동체의 나눔,"음식과 대화를 나누는 공동체적 유대. 함께 먹고 마시며 형성되는 따뜻한 관계와 소속감.","요식업/커뮤니티 운영/사회복지. 사람들을 먹이고 돌보는 일.","식사를 함께하는 것으로 사랑을 표현. 대가족 지향의 관계."
SAB_LE01,사자자리1도,sabian,1,Leo,뇌졸중 발작,각성의 충격,"갑작스러운 생명력의 분출 또는 차단. 의식의 급격한 변화와 자아의 위기를 통한 재탄생.","위기관리/응급의학/혁명적 변화를 이끄는 직업.","관계에서의 갑작스러운 각성. 위기를 통해 진정한 사랑을 발견."
SAB_LE15,사자자리15도,sabian,15,Leo,가장무도회,역할 놀이,"사회적 역할과 진정한 자아 사이의 유희. 가면 뒤의 진짜 얼굴을 찾는 여정.","배우/엔터테이너/마케팅. 이미지와 역할을 다루는 직업.","서로의 가면을 벗기는 과정. 진짜 모습을 사랑하는 관계."
SAB_VI01,처녀자리1도,sabian,1,Virgo,남자의 머리,지성의 초점,"순수한 지적 에너지의 집중. 분석과 판별의 시작. 세부사항에 대한 날카로운 인식.","분석가/연구원/데이터 과학자/편집자. 정밀한 지적 작업.","지적 교류가 핵심인 관계. 대화의 질이 관계의 질."
SAB_VI15,처녀자리15도,sabian,15,Virgo,손수건을 든 손,세밀한 배려,"작지만 세심한 배려와 봉사. 디테일에 사랑을 담는 능력. 실용적 도움.","비서/간호사/품질관리/미세 조정 전문가.","작은 것에서 사랑을 발견하는 관계. 세심한 배려가 큰 사랑."
SAB_LI01,천칭자리1도,sabian,1,Libra,공기를 뚫는 나비,변환의 아름다움,"애벌레에서 나비로의 변신. 관계 속에서 아름답게 변화하는 자아. 사회적 우아함의 탄생.","패션/뷰티/외교/중재. 아름다움과 균형을 다루는 직업.","관계를 통해 서로 아름답게 변화. 동반 성장하는 파트너십."
SAB_LI15,천칭자리15도,sabian,15,Libra,원형 통로,순환적 과정,"시작과 끝이 연결된 순환의 지혜. 관계와 사회에서의 끊임없는 주고받음의 균형.","순환경제/재활용/관계 상담. 균형과 순환을 다루는 분야.","주고받음의 균형이 완벽한 관계. 상호 의존적이되 독립적."
SAB_SC01,전갈자리1도,sabian,1,Scorpio,관광버스,집단 탐험,"깊은 무의식의 세계로 함께 떠나는 여행. 숨겨진 세계의 관광. 표면 아래 탐험의 시작.","심리학/탐정/고고학/심해탐사. 숨겨진 것을 발굴하는 직업.","함께 깊은 내면을 탐험하는 관계. 비밀을 공유하는 깊은 유대."
SAB_SC15,전갈자리15도,sabian,15,Scorpio,5개의 언덕을 걷는 아이들,순수한 도전,"5감을 통해 세상의 깊이를 경험하는 순수한 탐험. 위험을 두려워하지 않는 탐구.","모험적 연구/탐험가/극한 직업. 위험 속에서 진리를 찾는 일.","함께 모험하는 관계. 위험을 같이 감수하는 깊은 신뢰."
SAB_SG01,사수자리1도,sabian,1,Sagittarius,공화당 선거유세 캠페인,이념의 전파,"자신의 신념과 비전을 세상에 전파하는 열정. 철학적/종교적 진리의 전도.","정치가/선교사/강연가/철학교수. 신념을 전파하는 직업.","같은 비전을 공유하는 파트너. 이념적 동지이자 연인."
SAB_SG15,사수자리15도,sabian,15,Sagittarius,장갑을 낀 여자의 손에 있는 바다매,훈련된 본능,"야생의 본능을 문명의 지혜로 다스리는 능력. 자연적 재능의 고급스러운 승화.","고급 스포츠/승마/사냥/자연 트레이닝. 본능을 세련되게 다루는 분야.","야생적 매력을 품위 있게 표현하는 관계. 고급스러운 열정."
SAB_CP01,염소자리1도,sabian,1,Capricorn,인디언 추장이 백인에게 권력을 요구,권리의 주장,"잃어버린 권리와 존엄성의 회복을 요구. 정의와 권위에 대한 도전과 협상.","인권변호사/노동운동/정치인. 정의와 권리를 위해 싸우는 직업.","관계에서의 공정한 권력 분배를 요구. 대등한 파트너십."
SAB_CP15,염소자리15도,sabian,15,Capricorn,학교에서 다양한 국적의 아이들,통합된 교육,"다양한 배경의 사람들이 하나의 목표 아래 모임. 다문화 통합과 보편적 가치의 교육.","국제학교/다문화 교육/글로벌 기업 경영.","다양한 문화적 배경의 만남. 차이를 존중하는 포용적 관계."
SAB_AQ01,물병자리1도,sabian,1,Aquarius,오래된 벽돌 수도원,집단적 영성,"개인을 초월한 집단적 영적 추구. 공동체적 이상과 전통의 보존. 오래된 지혜의 새로운 적용.","영적 공동체/협동조합/시민단체. 집단적 이상을 추구하는 조직.","영적 동반자. 개인적 사랑을 넘어 함께 더 큰 목적을 섬기는 관계."
SAB_AQ15,물병자리15도,sabian,15,Aquarius,울타리 위에 앉은 두 러브버드,사랑의 자유,"경계 위에서 자유롭게 사랑하는 새들. 소유가 아닌 자유 속의 사랑. 진보적 관계관.","자유로운 창작/독립 미디어/사회 혁신. 경계를 넘는 활동.","자유로운 사랑. 소유하지 않으면서 깊이 사랑하는 진보적 관계."
SAB_PI01,물고기자리1도,sabian,1,Pisces,시장에 있는 군중,집단의식,"개인이 집단 의식의 바다에 녹아드는 경험. 모든 경계가 사라지는 보편적 공감의 세계.","대중 서비스/복지/심리치료. 대중의 필요를 읽고 봉사하는 일.","영혼의 합일을 추구하는 관계. 나와 너의 경계가 녹는 사랑."
SAB_PI15,물고기자리15도,sabian,15,Pisces,군대에서 적진 사이의 장교,중재자의 역할,"대립하는 양쪽 사이에서 평화를 중재하는 역할. 갈등 속에서 화해를 이끌어내는 영적 외교.","평화운동가/종교 간 대화/분쟁 중재. 갈등 해결 전문가.","갈등을 해결하고 화해를 이끄는 관계. 서로 다른 세계를 연결."
