id,label,name,desc,category,element,description
wisdom_sun,Wisdom through Sun,Wisdom 덕 - Sun 실천,Sun을 통해 실천하는 Wisdom,stoic_virtue_planet,earth,Wisdom 덕 - Sun 실천 - Sun을 통해 실천하는 Wisdom (카테고리: stoic_virtue_planet) 원소: earth
wisdom_moon,Wisdom through Moon,Wisdom 덕 - Moon 실천,Moon을 통해 실천하는 Wisdom,stoic_virtue_planet,earth,Wisdom 덕 - Moon 실천 - Moon을 통해 실천하는 Wisdom (카테고리: stoic_virtue_planet) 원소: earth
wisdom_mercury,Wisdom through Mercury,Wisdom 덕 - Mercury 실천,Mercury을 통해 실천하는 Wisdom,stoic_virtue_planet,earth,Wisdom 덕 - Mercury 실천 - Mercury을 통해 실천하는 Wisdom (카테고리: stoic_virtue_planet) 원소: earth
wisdom_venus,Wisdom through Venus,Wisdom 덕 - Venus 실천,Venus을 통해 실천하는 Wisdom,stoic_virtue_planet,earth,Wisdom 덕 - Venus 실천 - Venus을 통해 실천하는 Wisdom (카테고리: stoic_virtue_planet) 원소: earth
wisdom_mars,Wisdom through Mars,Wisdom 덕 - Mars 실천,Mars을 통해 실천하는 Wisdom,stoic_virtue_planet,earth,Wisdom 덕 - Mars 실천 - Mars을 통해 실천하는 Wisdom (카테고리: stoic_virtue_planet) 원소: earth
wisdom_jupiter,Wisdom through Jupiter,Wisdom 덕 - Jupiter 실천,Jupiter을 통해 실천하는 Wisdom,stoic_virtue_planet,earth,Wisdom 덕 - Jupiter 실천 - Jupiter을 통해 실천하는 Wisdom (카테고리: stoic_virtue_planet) 원소: earth
wisdom_saturn,Wisdom through Saturn,Wisdom 덕 - Saturn 실천,Saturn을 통해 실천하는 Wisdom,stoic_virtue_planet,earth,Wisdom 덕 - Saturn 실천 - Saturn을 통해 실천하는 Wisdom (카테고리: stoic_virtue_planet) 원소: earth
wisdom_uranus,Wisdom through Uranus,Wisdom 덕 - Uranus 실천,Uranus을 통해 실천하는 Wisdom,stoic_virtue_planet,earth,Wisdom 덕 - Uranus 실천 - Uranus을 통해 실천하는 Wisdom (카테고리: stoic_virtue_planet) 원소: earth
wisdom_neptune,Wisdom through Neptune,Wisdom 덕 - Neptune 실천,Neptune을 통해 실천하는 Wisdom,stoic_virtue_planet,earth,Wisdom 덕 - Neptune 실천 - Neptune을 통해 실천하는 Wisdom (카테고리: stoic_virtue_planet) 원소: earth
wisdom_pluto,Wisdom through Pluto,Wisdom 덕 - Pluto 실천,Pluto을 통해 실천하는 Wisdom,stoic_virtue_planet,earth,Wisdom 덕 - Pluto 실천 - Pluto을 통해 실천하는 Wisdom (카테고리: stoic_virtue_planet) 원소: earth
