id,ilgan,ilgan_kr,ilgan_ohang,wolji,wolji_kr,wolji_ohang,month,relation,energy,overall,advice,description
MONTHLY_甲_子,甲,갑,목,子,자,수,11,생조(생해줌),갑일간이 자월(쥐의 달)을 만남,월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다.,생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요,갑일간 자월(생조(생해줌)): 월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다. 조언: 생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요
MONTHLY_甲_丑,甲,갑,목,丑,축,토,12,극출(극함),갑일간이 축월(소의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,갑일간 축월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_甲_寅,甲,갑,목,寅,인,목,1,비화(동일),갑일간이 인월(호랑이의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 큰 나무, 시작, 진취의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","갑일간 인월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 큰 나무, 시작, 진취의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_甲_卯,甲,갑,목,卯,묘,목,2,비화(동일),갑일간이 묘월(토끼의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 큰 나무, 시작, 진취의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","갑일간 묘월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 큰 나무, 시작, 진취의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_甲_辰,甲,갑,목,辰,진,토,3,극출(극함),갑일간이 진월(용의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,갑일간 진월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_甲_巳,甲,갑,목,巳,사,화,4,설기(빼앗김),갑일간이 사월(뱀의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,갑일간 사월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_甲_午,甲,갑,목,午,오,화,5,설기(빼앗김),갑일간이 오월(말의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,갑일간 오월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_甲_未,甲,갑,목,未,미,토,6,극출(극함),갑일간이 미월(양의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,갑일간 미월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_甲_申,甲,갑,목,申,신,금,7,극입(극당함),갑일간이 신월(원숭이의 달)을 만남,월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다.,극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요,갑일간 신월(극입(극당함)): 월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다. 조언: 극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요
MONTHLY_甲_酉,甲,갑,목,酉,유,금,8,극입(극당함),갑일간이 유월(닭의 달)을 만남,월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다.,극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요,갑일간 유월(극입(극당함)): 월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다. 조언: 극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요
