id,source,target,relation,description
ALIAS_746e2b00,ASTRO_ARTIST_금성해왕,Venus,mentions_planet,ASTRO_ARTIST_금성해왕 -> Venus (mentions_planet)
ALIAS_d021493a,ASTRO_ASPECT_Opposition,AA_opposition,alias_of,ASTRO_ASPECT_Opposition -> AA_opposition alias
ALIAS_c9cc27e6,ASTRO_ASPECT_Square,AA_square,alias_of,ASTRO_ASPECT_Square -> AA_square alias
ALIAS_ee7a9b18,ASTRO_ASPECT_Trine,AA_trine,alias_of,ASTRO_ASPECT_Trine -> AA_trine alias
ALIAS_3e2f83c6,ASTRO_Aries,Aries,alias_of,ASTRO_Aries -> Aries alias
ALIAS_e1b88fd0,ASTRO_BLOCK_Saturn12th,H12,mentions_house,ASTRO_BLOCK_Saturn12th -> H12 (mentions_house)
ALIAS_840e6bc4,ASTRO_BLOCK_Saturn12th,Saturn,mentions_planet,ASTRO_BLOCK_Saturn12th -> Saturn (mentions_planet)
ALIAS_9abe0352,ASTRO_CAREER_MCsign,MC,mentions_point,ASTRO_CAREER_MCsign -> MC (mentions_point)
ALIAS_43a5040d,ASTRO_CHIRON_Chiron,Chiron,alias_of,ASTRO_CHIRON_Chiron -> Chiron alias
ALIAS_1434e2ea,ASTRO_COMMUNICATION_Mercury3rd,HP_mercury_3,alias_of,ASTRO_COMMUNICATION_Mercury3rd -> HP_mercury_3 alias
ALIAS_2dc6eaa3,ASTRO_CONCEPT_Benefic,Jupiter,related_to,ASTRO_CONCEPT_Benefic -> Jupiter benefic link
ALIAS_a0dbdbcb,ASTRO_CONCEPT_Benefic,Venus,related_to,ASTRO_CONCEPT_Benefic -> Venus benefic link
ALIAS_094b916a,ASTRO_CONCEPT_Malefic,Mars,related_to,ASTRO_CONCEPT_Malefic -> Mars malefic link
ALIAS_c6b37284,ASTRO_CONCEPT_Malefic,Saturn,related_to,ASTRO_CONCEPT_Malefic -> Saturn malefic link
ALIAS_1b104aeb,ASTRO_CREATIVITY_Mercury5th,H5,mentions_house,ASTRO_CREATIVITY_Mercury5th -> H5 (mentions_house)
ALIAS_845d6340,ASTRO_CREATIVITY_Mercury5th,Mercury,mentions_planet,ASTRO_CREATIVITY_Mercury5th -> Mercury (mentions_planet)
ALIAS_526da48b,ASTRO_CRISIS_SaturnPluto,Saturn,mentions_planet,ASTRO_CRISIS_SaturnPluto -> Saturn (mentions_planet)
ALIAS_3cfc20ff,ASTRO_CRISIS_SaturnPluto,Pluto,mentions_planet,ASTRO_CRISIS_SaturnPluto -> Pluto (mentions_planet)
ALIAS_03405ab7,ASTRO_CYCLE_Houses,H1,includes_house,ASTRO_CYCLE_Houses -> H1 house cycle
ALIAS_d1c3e1d3,ASTRO_CYCLE_Houses,H10,includes_house,ASTRO_CYCLE_Houses -> H10 house cycle
ALIAS_1b87730f,ASTRO_CYCLE_Houses,H11,includes_house,ASTRO_CYCLE_Houses -> H11 house cycle
ALIAS_e4a86eaa,ASTRO_CYCLE_Houses,H12,includes_house,ASTRO_CYCLE_Houses -> H12 house cycle
ALIAS_9bd4a495,ASTRO_CYCLE_Houses,H2,includes_house,ASTRO_CYCLE_Houses -> H2 house cycle
ALIAS_8a1066ba,ASTRO_CYCLE_Houses,H3,includes_house,ASTRO_CYCLE_Houses -> H3 house cycle
ALIAS_4c4d8269,ASTRO_CYCLE_Houses,H4,includes_house,ASTRO_CYCLE_Houses -> H4 house cycle
ALIAS_c14b2021,ASTRO_CYCLE_Houses,H5,includes_house,ASTRO_CYCLE_Houses -> H5 house cycle
ALIAS_60bb4c47,ASTRO_CYCLE_Houses,H6,includes_house,ASTRO_CYCLE_Houses -> H6 house cycle
ALIAS_4233b911,ASTRO_CYCLE_Houses,H7,includes_house,ASTRO_CYCLE_Houses -> H7 house cycle
ALIAS_335b5f38,ASTRO_CYCLE_Houses,H8,includes_house,ASTRO_CYCLE_Houses -> H8 house cycle
ALIAS_cd83cfc2,ASTRO_CYCLE_Houses,H9,includes_house,ASTRO_CYCLE_Houses -> H9 house cycle
ALIAS_44b62203,ASTRO_Cancer,Cancer,alias_of,ASTRO_Cancer -> Cancer alias
ALIAS_255a3bf5,ASTRO_Capricorn,Capricorn,alias_of,ASTRO_Capricorn -> Capricorn alias
ALIAS_b45c0c36,ASTRO_DEPTH_Pluto8th,HP_pluto_8,alias_of,ASTRO_DEPTH_Pluto8th -> HP_pluto_8 alias
ALIAS_bbabcfe8,ASTRO_DESTINY_Jupiter11th,H11,mentions_house,ASTRO_DESTINY_Jupiter11th -> H11 (mentions_house)
ALIAS_0e84bcc0,ASTRO_DESTINY_Jupiter11th,Jupiter,mentions_planet,ASTRO_DESTINY_Jupiter11th -> Jupiter (mentions_planet)
ALIAS_f799f4b5,ASTRO_FORTUNE_Fortune,PartOfFortune,alias_of,ASTRO_FORTUNE_Fortune -> PartOfFortune alias
ALIAS_3ba4c453,ASTRO_GIFT_JupiterVenus,Venus,mentions_planet,ASTRO_GIFT_JupiterVenus -> Venus (mentions_planet)
ALIAS_5f0dc670,ASTRO_GIFT_JupiterVenus,Jupiter,mentions_planet,ASTRO_GIFT_JupiterVenus -> Jupiter (mentions_planet)
ALIAS_c99d0f85,ASTRO_Gemini,Gemini,alias_of,ASTRO_Gemini -> Gemini alias
ALIAS_e9d22412,ASTRO_HEALING_ChironAsc,Chiron,alias_of,ASTRO_HEALING_ChironAsc -> Chiron alias
ALIAS_5aabce93,ASTRO_HEALING_MoonNeptune,Moon,mentions_planet,ASTRO_HEALING_MoonNeptune -> Moon (mentions_planet)
ALIAS_1acb11ac,ASTRO_HEALING_MoonNeptune,Neptune,mentions_planet,ASTRO_HEALING_MoonNeptune -> Neptune (mentions_planet)
ALIAS_04f55ef2,ASTRO_HEALTH_6thHouse,H6,alias_of,ASTRO_HEALTH_6thHouse -> H6 alias
ALIAS_33a41841,ASTRO_HOUSE_H1,H1,alias_of,ASTRO_HOUSE_H1 -> H1 alias
ALIAS_794d30f8,ASTRO_HOUSE_H10,H10,alias_of,ASTRO_HOUSE_H10 -> H10 alias
ALIAS_4d9cd01e,ASTRO_HOUSE_H11,H11,alias_of,ASTRO_HOUSE_H11 -> H11 alias
ALIAS_a9b57c7f,ASTRO_HOUSE_H12,H12,alias_of,ASTRO_HOUSE_H12 -> H12 alias
ALIAS_1d208530,ASTRO_HOUSE_H2,H2,alias_of,ASTRO_HOUSE_H2 -> H2 alias
ALIAS_087413b9,ASTRO_HOUSE_H3,H3,alias_of,ASTRO_HOUSE_H3 -> H3 alias
ALIAS_8e9cbad6,ASTRO_HOUSE_H4,H4,alias_of,ASTRO_HOUSE_H4 -> H4 alias
ALIAS_1a6a62e0,ASTRO_HOUSE_H5,H5,alias_of,ASTRO_HOUSE_H5 -> H5 alias
ALIAS_b84a01cc,ASTRO_HOUSE_H6,H6,alias_of,ASTRO_HOUSE_H6 -> H6 alias
ALIAS_c32e6bcc,ASTRO_HOUSE_H7,H7,alias_of,ASTRO_HOUSE_H7 -> H7 alias
ALIAS_7cd2a56e,ASTRO_HOUSE_H8,H8,alias_of,ASTRO_HOUSE_H8 -> H8 alias
ALIAS_09f6ed6d,ASTRO_HOUSE_H9,H9,alias_of,ASTRO_HOUSE_H9 -> H9 alias
ALIAS_6184cc1b,ASTRO_INDEPENDENCE_UranusAsc,Uranus,mentions_planet,ASTRO_INDEPENDENCE_UranusAsc -> Uranus (mentions_planet)
ALIAS_9104c320,ASTRO_INDEPENDENCE_UranusAsc,Asc,mentions_point,ASTRO_INDEPENDENCE_UranusAsc -> Asc (mentions_point)
ALIAS_559740f8,ASTRO_INTUITION_Neptune12th,HP_neptune_12,alias_of,ASTRO_INTUITION_Neptune12th -> HP_neptune_12 alias
ALIAS_724086ec,ASTRO_Jupiter,Jupiter,alias_of,ASTRO_Jupiter -> Jupiter alias
ALIAS_60101aab,ASTRO_Jupiter_Aquarius,Jupiter,mentions_planet,ASTRO_Jupiter_Aquarius -> Jupiter (mentions_planet)
ALIAS_23eff06f,ASTRO_Jupiter_Aquarius,Aquarius,mentions_sign,ASTRO_Jupiter_Aquarius -> Aquarius (mentions_sign)
ALIAS_ea876a82,ASTRO_Jupiter_Aries,Jupiter,mentions_planet,ASTRO_Jupiter_Aries -> Jupiter (mentions_planet)
ALIAS_f3d33e42,ASTRO_Jupiter_Aries,Aries,mentions_sign,ASTRO_Jupiter_Aries -> Aries (mentions_sign)
ALIAS_7d8401d4,ASTRO_Jupiter_Cancer,Jupiter,mentions_planet,ASTRO_Jupiter_Cancer -> Jupiter (mentions_planet)
ALIAS_f61bb6ea,ASTRO_Jupiter_Cancer,Cancer,mentions_sign,ASTRO_Jupiter_Cancer -> Cancer (mentions_sign)
ALIAS_380c02b0,ASTRO_Jupiter_Capricorn,Jupiter,mentions_planet,ASTRO_Jupiter_Capricorn -> Jupiter (mentions_planet)
ALIAS_b092db72,ASTRO_Jupiter_Capricorn,Capricorn,mentions_sign,ASTRO_Jupiter_Capricorn -> Capricorn (mentions_sign)
ALIAS_7330f55f,ASTRO_Jupiter_Gemini,Jupiter,mentions_planet,ASTRO_Jupiter_Gemini -> Jupiter (mentions_planet)
ALIAS_bc3a8628,ASTRO_Jupiter_Gemini,Gemini,mentions_sign,ASTRO_Jupiter_Gemini -> Gemini (mentions_sign)
ALIAS_08bc3ad8,ASTRO_Jupiter_H1,Jupiter,mentions_planet,ASTRO_Jupiter_H1 -> Jupiter (mentions_planet)
ALIAS_004edbf1,ASTRO_Jupiter_H10,HP_jupiter_10,alias_of,ASTRO_Jupiter_H10 -> HP_jupiter_10 alias
ALIAS_f5716252,ASTRO_Jupiter_H11,Jupiter,mentions_planet,ASTRO_Jupiter_H11 -> Jupiter (mentions_planet)
ALIAS_1ed6b688,ASTRO_Jupiter_H12,Jupiter,mentions_planet,ASTRO_Jupiter_H12 -> Jupiter (mentions_planet)
ALIAS_6df0b804,ASTRO_Jupiter_H2,HP_jupiter_2,alias_of,ASTRO_Jupiter_H2 -> HP_jupiter_2 alias
ALIAS_48bf78b0,ASTRO_Jupiter_H3,Jupiter,mentions_planet,ASTRO_Jupiter_H3 -> Jupiter (mentions_planet)
ALIAS_37059762,ASTRO_Jupiter_H4,Jupiter,mentions_planet,ASTRO_Jupiter_H4 -> Jupiter (mentions_planet)
ALIAS_cf89cfcc,ASTRO_Jupiter_H5,Jupiter,mentions_planet,ASTRO_Jupiter_H5 -> Jupiter (mentions_planet)
ALIAS_370e6e55,ASTRO_Jupiter_H6,Jupiter,mentions_planet,ASTRO_Jupiter_H6 -> Jupiter (mentions_planet)
ALIAS_8e6f16d1,ASTRO_Jupiter_H7,Jupiter,mentions_planet,ASTRO_Jupiter_H7 -> Jupiter (mentions_planet)
ALIAS_1c5d4165,ASTRO_Jupiter_H8,Jupiter,mentions_planet,ASTRO_Jupiter_H8 -> Jupiter (mentions_planet)
ALIAS_b54fbb86,ASTRO_Jupiter_H9,HP_jupiter_9,alias_of,ASTRO_Jupiter_H9 -> HP_jupiter_9 alias
ALIAS_56093caf,ASTRO_Jupiter_Leo,Jupiter,mentions_planet,ASTRO_Jupiter_Leo -> Jupiter (mentions_planet)
ALIAS_b51394fc,ASTRO_Jupiter_Leo,Leo,mentions_sign,ASTRO_Jupiter_Leo -> Leo (mentions_sign)
ALIAS_fd2144df,ASTRO_Jupiter_Libra,Jupiter,mentions_planet,ASTRO_Jupiter_Libra -> Jupiter (mentions_planet)
ALIAS_28199369,ASTRO_Jupiter_Libra,Libra,mentions_sign,ASTRO_Jupiter_Libra -> Libra (mentions_sign)
ALIAS_9adabb85,ASTRO_Jupiter_Pisces,Jupiter,mentions_planet,ASTRO_Jupiter_Pisces -> Jupiter (mentions_planet)
ALIAS_220e4aa9,ASTRO_Jupiter_Pisces,Pisces,mentions_sign,ASTRO_Jupiter_Pisces -> Pisces (mentions_sign)
ALIAS_36f650ad,ASTRO_Jupiter_Sagittarius,PS_jupiter_sag,alias_of,ASTRO_Jupiter_Sagittarius -> PS_jupiter_sag alias
