id,label,type,category,korean_meaning,jung_archetype,description,positive_interpretation,negative_interpretation,action_advice
DS_용,용,dream_symbol,동물,대길,"자기(Self)/변환","용꿈은 한국 문화에서 최고의 길몽. 권력, 부, 명예의 상징. 융 심리학에서는 자기(Self) 원형의 출현으로 큰 변환의 전조.","승진/합격/사업성공/임신. 큰 행운이 찾아옴. 특히 황금용은 최상의 길몽.","용에게 쫓기면 감당하기 어려운 도전 직면. 다친 용은 건강 주의.","꿈의 에너지를 현실에서 적극 활용하세요. 큰 도전을 시작하기 좋은 때."
DS_뱀,뱀,dream_symbol,동물,길흉혼재,"그림자/변환/치유","뱀꿈은 이중성을 가짐. 재물운(뱀=돈)이자 위험 경고. 융 심리학에서 무의식의 지혜와 변환의 상징.","재물이 들어옴. 큰 뱀이 집에 들어오면 재물운. 탈피하는 뱀은 변신/성장.","뱀에게 물리면 배신/건강 주의. 독사는 위험한 인물 경고. 검은 뱀은 음모.","뱀꿈 후에는 재물 관련 기회를 주시하되, 주변 인물을 경계하세요."
DS_호랑이,호랑이,dream_symbol,동물,길,"아니무스/권력","호랑이꿈은 권위와 힘의 상징. 산신의 사자로서 보호와 축복. 강한 에너지의 유입을 의미.","권력/지위 상승. 호랑이가 따르면 귀인 만남. 새끼 호랑이는 자녀 경사.","호랑이에게 쫓기면 권력자의 압박. 물리면 금전 손실이나 법적 문제.","자신의 내면 힘을 믿으세요. 리더십을 발휘할 기회가 옵니다."
DS_돼지,돼지,dream_symbol,동물,대길,"풍요/다산","돼지꿈은 한국에서 최고의 재물 길몽 중 하나. 풍요와 다산, 행운의 상징.","로또/복권/투자 성공. 큰 재물 유입. 돼지 여러 마리면 여러 수입원.","죽은 돼지는 재물 손실. 더러운 돼지는 탐욕 경고.","재물 관련 기회를 놓치지 마세요. 투자나 복권에 인연이 있는 시기."
DS_물고기,물고기,dream_symbol,동물,길,"무의식의 내용","물고기꿈은 재물과 행운의 상징. 물속의 보물을 건져올리는 의미. 임신/자녀운과도 관련.","큰 물고기를 잡으면 큰 재물. 잉어가 뛰면 합격/승진. 금붕어는 행운.","썩은 물고기는 기회 상실. 물고기가 도망가면 재물이 빠져나감.","기회를 놓치지 않도록 준비하세요. 물고기를 잡듯 적극적으로."
DS_새,새,dream_symbol,동물,길,"영혼/자유/초월","새꿈은 자유와 영적 상승의 상징. 메시지 전달자이자 영혼의 상징. 소식/변화의 전조.","좋은 소식이 옴. 하늘 높이 나는 새는 승진/합격. 파랑새는 행복의 전조.","새가 죽으면 희망 상실. 까마귀/올빼미는 불길한 소식 가능. 새장 속 새는 속박.","자유로운 변화를 받아들이세요. 새로운 소식이나 기회에 마음을 열어두세요."
DS_산,산,dream_symbol,자연,길,"자기실현/목표","산꿈은 목표와 성취의 상징. 인생의 도전과 극복. 높은 산일수록 큰 목표.","산 정상에 오르면 목표 달성. 풍경이 아름다우면 밝은 미래. 등반은 노력의 보상.","내려오는 산은 지위 하락. 험한 산은 어려운 도전. 산사태는 큰 위기.","목표를 향해 꾸준히 나아가세요. 정상은 포기하지 않는 자의 것입니다."
DS_물,물,dream_symbol,자연,길흉혼재,"무의식/감정","물꿈은 감정과 무의식의 상태를 반영. 물의 상태가 현재 심리 상태를 보여줌.","맑은 물은 정서적 안정. 큰 강/바다는 풍요. 시원한 물을 마시면 건강 회복.","탁한 물은 감정 혼란. 홍수는 감정 범람. 물에 빠지면 문제에 압도됨.","감정 상태를 점검하세요. 맑은 물처럼 마음을 정화하는 시간이 필요합니다."
DS_불,불,dream_symbol,자연,길흉혼재,"열정/변환/정화","불꿈은 열정과 변환의 상징. 파괴와 정화의 이중성. 감정의 강도를 나타냄.","집에 불이 붙으면(재산 피해 없이) 재물 길몽. 밝은 불은 성공의 빛.","화상을 입으면 손실. 불을 끄지 못하면 통제 불능. 검은 연기는 위험.","열정을 올바른 방향으로 태우세요. 불의 에너지를 창조적으로 활용하세요."
DS_꽃,꽃,dream_symbol,식물,길,"아니마/아름다움","꽃꿈은 아름다움, 사랑, 기쁨의 상징. 개화는 재능의 발현. 연애운과 밀접.","활짝 핀 꽃은 사랑의 성취. 꽃다발은 축하/경사. 연꽃은 영적 깨달음.","시든 꽃은 이별/상실. 가시에 찔리면 사랑의 상처. 조화(造花)는 거짓된 감정.","사랑에 마음을 열어두세요. 자신의 아름다움과 재능이 꽃필 때입니다."
