id,label,type,category,description,positive,negative,advice
SS_도화살,도화살,shinsal,애정,"매력과 이성운을 나타내는 살. 인자오유(寅子午酉)가 도화의 지지. 일지/시지에 있으면 내도화(內桃花)로 배우자복, 년지/월지에 있으면 외도화(外桃花)로 이성 문제 주의.","매력적이고 인기 많음. 연예, 예술, 서비스업에 유리. 일시지 도화는 배우자 매력.","년월지 도화는 바람기, 색정 문제 가능. 함지도화(咸池桃花)는 특히 주의. 유흥에 빠질 위험.","도화의 위치를 확인하세요. 내도화는 활용, 외도화는 절제가 필요합니다."
SS_홍염살,홍염살,shinsal,애정,"정열적인 연애운을 나타내는 살. 뜨겁게 사랑하고 뜨겁게 이별하는 타입.","열정적인 사랑. 강렬한 매력. 예술적 감성이 풍부함.","감정 기복이 심함. 이별의 아픔. 질투와 집착 가능.","감정을 다스리는 연습이 필요. 예술로 감정을 승화시키세요."
SS_백호살,백호살,shinsal,흉살,"피를 보는 살. 수술, 사고, 다툼 등 유혈 사태 가능성.","의료인, 군인, 경찰 등 피를 다루는 직업에 적합. 용기 있음.","사고, 수술, 폭력 위험. 다툼이 잦을 수 있음.","조심하고 예방하세요. 의료/무술 분야로 승화 가능."
SS_괴강살,괴강살,shinsal,특수,"강한 결단력과 독특한 성격. 甲辰, 庚辰, 庚戌, 壬辰 일주에 해당.","결단력이 강함. 리더십 있음. 독립심과 자존심이 강함.","고집이 세고 타협이 어려움. 외로울 수 있음. 배우자 극할 수 있음.","유연성을 기르세요. 강한 힘을 사회에 기여하는 방향으로."
SS_양인살,양인살,shinsal,특수,"칼날의 살. 일간의 녹(祿) 다음 지지로 겁재(劫財)의 자리. 갑목은 묘(卯), 병화는 오(午), 무토는 오(午), 경금은 유(酉), 임수는 자(子)가 양인살. 결단력과 공격성이 극대화됨.","결단력 최강. 추진력 있음. 위기 상황에 강함. 승부사 기질.","공격적이고 날카로움. 사고나 수술 위험. 인간관계 마찰. 양인충(羊刃沖)은 특히 위험.","칼처럼 날카로운 성격을 조절하세요. 무술, 외과, 법조계에 적합."
SS_삼재,삼재,shinsal,시기,"3년간 지속되는 불운의 시기. 12년 주기로 돌아옴.","시련을 통한 성장. 인내심 향상. 준비의 시간.","건강, 재물, 인간관계에 문제 발생 가능.","큰 일 피하고 내실 다지기. 건강 관리 최우선."
SS_천라지망,천라지망,shinsal,특수,"하늘과 땅의 그물. 辰戌이 있으면 천라, 丑未가 있으면 지망.","법조, 종교, 철학 분야 적합. 깊은 통찰력.","구속감, 답답함. 일이 막히는 느낌. 법적 문제 가능.","정신적 수양에 집중. 명상이나 종교 활동 권장."
SS_원진살,원진살,shinsal,관계,"서로 미워하는 관계. 子未, 丑午, 寅巳, 卯辰, 申亥, 酉戌.","극복하면 큰 성장. 대인관계 능력 향상.","특정인과 갈등. 오해와 불화. 가까울수록 힘듦.","인내하고 이해하려 노력하세요. 거리두기도 방법."
SS_귀문관살,귀문관살,shinsal,특수,"귀신이 드나드는 문. 영적 감각이 예민함.","직관력, 예지력이 뛰어남. 종교, 심리, 예술 분야 적합.","불안, 우울, 공포. 악몽이나 불면. 정신적 고통.","명상, 종교 활동으로 안정. 심리 상담 권장."
SS_화개살,화개살,shinsal,재능,"예술적 재능과 고독을 나타내는 살.","예술, 학문, 종교에 재능. 깊이 있는 사고.","고독함. 대중과 어울리기 어려움. 은둔 성향.","재능을 발휘하되 사회와 소통하세요."
SS_역마살,역마살,shinsal,이동,"이동과 변화를 나타내는 살. 활동적이고 여행이 많음.","활동력 좋음. 해외운, 무역운 좋음. 변화에 강함.","한곳에 정착 어려움. 이사가 잦음. 분주함.","이동이 많은 직업 추천. 무역, 항공, 여행업."
SS_겁살,겁살,shinsal,흉살,"겁탈과 손실을 나타내는 살. 도난이나 사기 주의.","위기 대처 능력. 경계심이 강함.","재물 손실, 도난, 사기 피해 가능.","계약서 꼼꼼히. 보증 서지 말 것. 재테크 신중히."
SS_천을귀인,천을귀인,shinsal,길성,"가장 좋은 귀인. 위기 때 도움받고 신분 상승.","귀인 덕이 많음. 위기 극복. 사회적 인정.","특별한 흉함 없음.","귀인의 도움에 감사하고 남도 도우세요."
