id,label,name,desc,category,element,description
hero_positive,Hero (positive),Hero - Positive,Hero 원형의 positive 측면,jung_archetype_variant,air,Hero - Positive:
hero_negative,Hero (negative),Hero - Negative,Hero 원형의 negative 측면,jung_archetype_variant,air,Hero - Negative:
hero_integrated,Hero (integrated),Hero - Integrated,Hero 원형의 integrated 측면,jung_archetype_variant,air,Hero - Integrated:
hero_shadow,Hero (shadow),Hero - Shadow,Hero 원형의 shadow 측면,jung_archetype_variant,air,Hero - Shadow:
hero_projected,Hero (projected),Hero - Projected,Hero 원형의 projected 측면,jung_archetype_variant,air,Hero - Projected:
mother_positive,Mother (positive),Mother - Positive,Mother 원형의 positive 측면,jung_archetype_variant,air,Mother - Positive:
mother_negative,Mother (negative),Mother - Negative,Mother 원형의 negative 측면,jung_archetype_variant,air,Mother - Negative:
mother_integrated,Mother (integrated),Mother - Integrated,Mother 원형의 integrated 측면,jung_archetype_variant,air,Mother - Integrated:
mother_shadow,Mother (shadow),Mother - Shadow,Mother 원형의 shadow 측면,jung_archetype_variant,air,Mother - Shadow:
mother_projected,Mother (projected),Mother - Projected,Mother 원형의 projected 측면,jung_archetype_variant,air,Mother - Projected:
father_positive,Father (positive),Father - Positive,Father 원형의 positive 측면,jung_archetype_variant,air,Father - Positive:
father_negative,Father (negative),Father - Negative,Father 원형의 negative 측면,jung_archetype_variant,air,Father - Negative:
father_integrated,Father (integrated),Father - Integrated,Father 원형의 integrated 측면,jung_archetype_variant,air,Father - Integrated:
father_shadow,Father (shadow),Father - Shadow,Father 원형의 shadow 측면,jung_archetype_variant,air,Father - Shadow:
father_projected,Father (projected),Father - Projected,Father 원형의 projected 측면,jung_archetype_variant,air,Father - Projected:
wise_old_man_positive,Wise Old Man (positive),Wise Old Man - Positive,Wise Old Man 원형의 positive 측면,jung_archetype_variant,air,Wise Old Man - Positive:
wise_old_man_negative,Wise Old Man (negative),Wise Old Man - Negative,Wise Old Man 원형의 negative 측면,jung_archetype_variant,air,Wise Old Man - Negative:
wise_old_man_integrated,Wise Old Man (integrated),Wise Old Man - Integrated,Wise Old Man 원형의 integrated 측면,jung_archetype_variant,air,Wise Old Man - Integrated:
wise_old_man_shadow,Wise Old Man (shadow),Wise Old Man - Shadow,Wise Old Man 원형의 shadow 측면,jung_archetype_variant,air,Wise Old Man - Shadow:
wise_old_man_projected,Wise Old Man (projected),Wise Old Man - Projected,Wise Old Man 원형의 projected 측면,jung_archetype_variant,air,Wise Old Man - Projected:
trickster_positive,Trickster (positive),Trickster - Positive,Trickster 원형의 positive 측면,jung_archetype_variant,air,Trickster - Positive:
trickster_negative,Trickster (negative),Trickster - Negative,Trickster 원형의 negative 측면,jung_archetype_variant,air,Trickster - Negative:
trickster_integrated,Trickster (integrated),Trickster - Integrated,Trickster 원형의 integrated 측면,jung_archetype_variant,air,Trickster - Integrated:
trickster_shadow,Trickster (shadow),Trickster - Shadow,Trickster 원형의 shadow 측면,jung_archetype_variant,air,Trickster - Shadow:
trickster_projected,Trickster (projected),Trickster - Projected,Trickster 원형의 projected 측면,jung_archetype_variant,air,Trickster - Projected:
anima_positive,Anima (positive),Anima - Positive,Anima 원형의 positive 측면,jung_archetype_variant,air,Anima - Positive:
anima_negative,Anima (negative),Anima - Negative,Anima 원형의 negative 측면,jung_archetype_variant,air,Anima - Negative:
anima_integrated,Anima (integrated),Anima - Integrated,Anima 원형의 integrated 측면,jung_archetype_variant,air,Anima - Integrated:
anima_shadow,Anima (shadow),Anima - Shadow,Anima 원형의 shadow 측면,jung_archetype_variant,air,Anima - Shadow:
anima_projected,Anima (projected),Anima - Projected,Anima 원형의 projected 측면,jung_archetype_variant,air,Anima - Projected:
animus_positive,Animus (positive),Animus - Positive,Animus 원형의 positive 측면,jung_archetype_variant,air,Animus - Positive:
animus_negative,Animus (negative),Animus - Negative,Animus 원형의 negative 측면,jung_archetype_variant,air,Animus - Negative:
animus_integrated,Animus (integrated),Animus - Integrated,Animus 원형의 integrated 측면,jung_archetype_variant,air,Animus - Integrated:
animus_shadow,Animus (shadow),Animus - Shadow,Animus 원형의 shadow 측면,jung_archetype_variant,air,Animus - Shadow:
animus_projected,Animus (projected),Animus - Projected,Animus 원형의 projected 측면,jung_archetype_variant,air,Animus - Projected:
shadow_positive,Shadow (positive),Shadow - Positive,Shadow 원형의 positive 측면,jung_archetype_variant,air,Shadow - Positive:
shadow_negative,Shadow (negative),Shadow - Negative,Shadow 원형의 negative 측면,jung_archetype_variant,air,Shadow - Negative:
shadow_integrated,Shadow (integrated),Shadow - Integrated,Shadow 원형의 integrated 측면,jung_archetype_variant,air,Shadow - Integrated:
shadow_shadow,Shadow (shadow),Shadow - Shadow,Shadow 원형의 shadow 측면,jung_archetype_variant,air,Shadow - Shadow:
shadow_projected,Shadow (projected),Shadow - Projected,Shadow 원형의 projected 측면,jung_archetype_variant,air,Shadow - Projected:
self_positive,Self (positive),Self - Positive,Self 원형의 positive 측면,jung_archetype_variant,air,Self - Positive:
self_negative,Self (negative),Self - Negative,Self 원형의 negative 측면,jung_archetype_variant,air,Self - Negative:
self_integrated,Self (integrated),Self - Integrated,Self 원형의 integrated 측면,jung_archetype_variant,air,Self - Integrated:
self_shadow,Self (shadow),Self - Shadow,Self 원형의 shadow 측면,jung_archetype_variant,air,Self - Shadow:
self_projected,Self (projected),Self - Projected,Self 원형의 projected 측면,jung_archetype_variant,air,Self - Projected:
persona_positive,Persona (positive),Persona - Positive,Persona 원형의 positive 측면,jung_archetype_variant,air,Persona - Positive:
persona_negative,Persona (negative),Persona - Negative,Persona 원형의 negative 측면,jung_archetype_variant,air,Persona - Negative:
persona_integrated,Persona (integrated),Persona - Integrated,Persona 원형의 integrated 측면,jung_archetype_variant,air,Persona - Integrated:
persona_shadow,Persona (shadow),Persona - Shadow,Persona 원형의 shadow 측면,jung_archetype_variant,air,Persona - Shadow:
persona_projected,Persona (projected),Persona - Projected,Persona 원형의 projected 측면,jung_archetype_variant,air,Persona - Projected:
child_positive,Child (positive),Child - Positive,Child 원형의 positive 측면,jung_archetype_variant,air,Child - Positive:
child_negative,Child (negative),Child - Negative,Child 원형의 negative 측면,jung_archetype_variant,air,Child - Negative:
child_integrated,Child (integrated),Child - Integrated,Child 원형의 integrated 측면,jung_archetype_variant,air,Child - Integrated:
child_shadow,Child (shadow),Child - Shadow,Child 원형의 shadow 측면,jung_archetype_variant,air,Child - Shadow:
child_projected,Child (projected),Child - Projected,Child 원형의 projected 측면,jung_archetype_variant,air,Child - Projected:
maiden_positive,Maiden (positive),Maiden - Positive,Maiden 원형의 positive 측면,jung_archetype_variant,air,Maiden - Positive:
maiden_negative,Maiden (negative),Maiden - Negative,Maiden 원형의 negative 측면,jung_archetype_variant,air,Maiden - Negative:
maiden_integrated,Maiden (integrated),Maiden - Integrated,Maiden 원형의 integrated 측면,jung_archetype_variant,air,Maiden - Integrated:
maiden_shadow,Maiden (shadow),Maiden - Shadow,Maiden 원형의 shadow 측면,jung_archetype_variant,air,Maiden - Shadow:
maiden_projected,Maiden (projected),Maiden - Projected,Maiden 원형의 projected 측면,jung_archetype_variant,air,Maiden - Projected:
hero_sun,Hero in Sun,Hero 원형 - Sun 표현,Sun을 통해 표현되는 Hero 원형,jung_planet_archetype,fire,Hero 원형 - Sun 표현:
hero_moon,Hero in Moon,Hero 원형 - Moon 표현,Moon을 통해 표현되는 Hero 원형,jung_planet_archetype,fire,Hero 원형 - Moon 표현:
hero_mercury,Hero in Mercury,Hero 원형 - Mercury 표현,Mercury을 통해 표현되는 Hero 원형,jung_planet_archetype,fire,Hero 원형 - Mercury 표현:
hero_venus,Hero in Venus,Hero 원형 - Venus 표현,Venus을 통해 표현되는 Hero 원형,jung_planet_archetype,fire,Hero 원형 - Venus 표현:
hero_mars,Hero in Mars,Hero 원형 - Mars 표현,Mars을 통해 표현되는 Hero 원형,jung_planet_archetype,fire,Hero 원형 - Mars 표현:
hero_jupiter,Hero in Jupiter,Hero 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Hero 원형,jung_planet_archetype,fire,Hero 원형 - Jupiter 표현:
hero_saturn,Hero in Saturn,Hero 원형 - Saturn 표현,Saturn을 통해 표현되는 Hero 원형,jung_planet_archetype,fire,Hero 원형 - Saturn 표현:
hero_uranus,Hero in Uranus,Hero 원형 - Uranus 표현,Uranus을 통해 표현되는 Hero 원형,jung_planet_archetype,fire,Hero 원형 - Uranus 표현:
hero_neptune,Hero in Neptune,Hero 원형 - Neptune 표현,Neptune을 통해 표현되는 Hero 원형,jung_planet_archetype,fire,Hero 원형 - Neptune 표현:
hero_pluto,Hero in Pluto,Hero 원형 - Pluto 표현,Pluto을 통해 표현되는 Hero 원형,jung_planet_archetype,fire,Hero 원형 - Pluto 표현:
mother_sun,Mother in Sun,Mother 원형 - Sun 표현,Sun을 통해 표현되는 Mother 원형,jung_planet_archetype,fire,Mother 원형 - Sun 표현:
mother_moon,Mother in Moon,Mother 원형 - Moon 표현,Moon을 통해 표현되는 Mother 원형,jung_planet_archetype,fire,Mother 원형 - Moon 표현:
mother_mercury,Mother in Mercury,Mother 원형 - Mercury 표현,Mercury을 통해 표현되는 Mother 원형,jung_planet_archetype,fire,Mother 원형 - Mercury 표현:
mother_venus,Mother in Venus,Mother 원형 - Venus 표현,Venus을 통해 표현되는 Mother 원형,jung_planet_archetype,fire,Mother 원형 - Venus 표현:
mother_mars,Mother in Mars,Mother 원형 - Mars 표현,Mars을 통해 표현되는 Mother 원형,jung_planet_archetype,fire,Mother 원형 - Mars 표현:
mother_jupiter,Mother in Jupiter,Mother 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Mother 원형,jung_planet_archetype,fire,Mother 원형 - Jupiter 표현:
mother_saturn,Mother in Saturn,Mother 원형 - Saturn 표현,Saturn을 통해 표현되는 Mother 원형,jung_planet_archetype,fire,Mother 원형 - Saturn 표현:
mother_uranus,Mother in Uranus,Mother 원형 - Uranus 표현,Uranus을 통해 표현되는 Mother 원형,jung_planet_archetype,fire,Mother 원형 - Uranus 표현:
mother_neptune,Mother in Neptune,Mother 원형 - Neptune 표현,Neptune을 통해 표현되는 Mother 원형,jung_planet_archetype,fire,Mother 원형 - Neptune 표현:
mother_pluto,Mother in Pluto,Mother 원형 - Pluto 표현,Pluto을 통해 표현되는 Mother 원형,jung_planet_archetype,fire,Mother 원형 - Pluto 표현:
father_sun,Father in Sun,Father 원형 - Sun 표현,Sun을 통해 표현되는 Father 원형,jung_planet_archetype,fire,Father 원형 - Sun 표현:
father_moon,Father in Moon,Father 원형 - Moon 표현,Moon을 통해 표현되는 Father 원형,jung_planet_archetype,fire,Father 원형 - Moon 표현:
father_mercury,Father in Mercury,Father 원형 - Mercury 표현,Mercury을 통해 표현되는 Father 원형,jung_planet_archetype,fire,Father 원형 - Mercury 표현:
father_venus,Father in Venus,Father 원형 - Venus 표현,Venus을 통해 표현되는 Father 원형,jung_planet_archetype,fire,Father 원형 - Venus 표현:
father_mars,Father in Mars,Father 원형 - Mars 표현,Mars을 통해 표현되는 Father 원형,jung_planet_archetype,fire,Father 원형 - Mars 표현:
