id,label,type,category,description,psychological_meaning,saju_correlation,astro_correlation,jung_archetype,positive_interpretation,negative_interpretation,advice,related_symbols
DL_집,집,dream_location,거주공간,"꿈에서 집은 자아와 정체성을 상징한다. 집의 상태는 현재 심리 상태를 반영하며 각 방은 자아의 다른 측면을 나타낸다.","자아의 총체적 표현. 집이 넓으면 자아 확장, 좁으면 제한된 자기 인식. 무너지는 집은 정체성 위기.","일지(日支)-자아의집/월지-가정/년지-가문","4하우스-가정/달-내면","자기원형-내면의집","안정된 기반과 정체성 확립. 새 집은 새로운 자아의 시작.","정체성 혼란, 심리적 불안정, 가정 문제.","집을 돌아보세요. 어떤 상태인가요? 그것이 현재 당신의 내면입니다.",방/지하실/지붕/문/창문
DL_학교,학교,dream_location,교육공간,"학교는 학습과 시험의 공간이다. 과거의 배움터이자 현재 삶에서 배워야 할 교훈을 상징한다.","배움과 평가에 대한 심리. 시험 꿈은 현실에서의 평가 불안을 반영. 교실은 사회적 규범 학습.","정인(正印)-학업/식신-기술학습","9하우스-고등교육/수성-학습","영원한아이원형-학습기","새로운 것을 배울 준비가 됨. 성장과 발전의 기회.","과거에 대한 미련, 평가 불안, 적응 문제.","삶에서 배워야 할 것이 있습니다. 어떤 교훈인지 생각해보세요.",교실/선생님/시험/급우/운동장
DL_직장,직장,dream_location,업무공간,"직장은 사회적 역할과 책임을 상징한다. 직장에서의 상황은 현재 직업적 상태와 사회적 위치에 대한 심리를 반영한다.","사회적 정체성과 역할 수행에 대한 심리. 직장 갈등 꿈은 현실 직장 스트레스 반영.","정관(正官)-직업/편관-권력구조","10하우스-경력/토성-책임","영웅원형-사회적역할","경력 발전, 사회적 인정, 역할 수행의 성공.","직장 스트레스, 권위와의 갈등, 역할 부담.","직업적 역할에서 무엇을 느끼고 있나요?",사무실/상사/동료/회의실/승진
DL_병원,병원,dream_location,치유공간,"병원은 치유와 회복의 공간이다. 몸과 마음의 건강 상태를 반영하며 치유가 필요한 부분을 가리킨다.","치유의 필요성. 병원 꿈은 실제 건강 문제이거나 심리적 상처의 치유 필요성을 나타냄.","천의성-건강/편인-치유","6하우스-건강/카이론-상처치유","치유자원형-회복","회복과 치유의 시작. 도움을 받을 수 있음.","건강 우려, 치유되지 않은 상처, 취약함.","몸이나 마음에서 치유가 필요한 부분이 있나요?",의사/간호사/수술/약/침대
DL_교회절,종교시설,dream_location,영적공간,"교회 절 사원 등 종교 시설은 영성과 초월적 경험을 상징한다. 의미와 목적을 찾는 내면의 여정을 나타낸다.","영적 갈망과 초월적 경험에 대한 욕구. 종교 시설 꿈은 삶의 의미를 찾고 있음을 나타냄.","화개살-영성/인성-교육","9하우스-철학종교/해왕성-영성","현자원형-영적탐구","영적 각성, 삶의 의미 발견, 내면의 평화.","종교적 갈등, 의미 상실, 죄책감.","삶에서 어떤 의미를 찾고 있나요?",스님/목사/기도/향/십자가
DL_숲,숲,dream_location,자연공간,"숲은 무의식의 영역을 상징한다. 어둡고 미지의 숲은 탐험되지 않은 내면을, 밝은 숲은 성장과 생명력을 나타낸다.","무의식 탐험. 숲에서 길을 잃는 꿈은 삶의 방향 상실, 숲을 통과하면 성장의 완성.","목(木)오행-성장/역마살-탐험","1하우스-자아탐험/명왕성-변환","그림자원형-무의식탐험","내면 성장, 자연과의 연결, 무의식의 보물 발견.","길 잃음, 두려움, 미지에 대한 불안.","무의식의 숲에서 무엇을 발견하셨나요?",나무/동물/길/어둠/빛
DL_바다,바다,dream_location,자연공간,"바다는 감정과 무의식의 광대함을 상징한다. 파도의 상태가 감정 상태를, 바다의 깊이가 무의식의 깊이를 나타낸다.","감정의 바다. 잔잔한 바다는 평화로운 감정, 폭풍우는 감정적 혼란. 깊은 바다는 무의식 탐험.","수(水)오행-감정/해(亥)수-심층","4하우스-감정뿌리/달-감정","위대한어머니원형-생명의근원","감정의 풍요, 무의식의 지혜, 생명력.","감정에 압도됨, 익사의 두려움, 통제 상실.","감정의 바다에서 무엇을 느끼나요? 파도의 상태를 관찰하세요.",파도/물고기/배/해변/수영
DL_산,산,dream_location,자연공간,"산은 목표와 도전, 영적 상승을 상징한다. 산을 오르는 꿈은 인생의 목표를 향한 여정을 나타낸다.","목표 지향성과 성취 욕구. 정상에 오르면 목표 달성, 오르다 멈추면 장애물 직면.","토(土)오행-안정/무토-높은산","10하우스-성취/토성-노력","영웅원형-정상정복","목표 달성, 넓은 시야 확보, 영적 상승.","너무 높은 목표, 고립, 어려움에 직면.","어떤 산을 오르고 계신가요? 정상에서 무엇을 볼 수 있을까요?",정상/등반/바위/전망/구름
DL_강,강,dream_location,자연공간,"강은 삶의 흐름과 시간의 경과를 상징한다. 강물의 상태가 삶의 흐름을, 강을 건너는 것은 인생의 전환을 나타낸다.","삶의 흐름과 변화. 맑은 강은 순조로운 삶, 급류는 격동의 시기. 강 건너기는 큰 전환.","수(水)오행-흐름/역마살-이동","8하우스-변환/명왕성-재생","변환원형-삶의흐름","순조로운 삶의 흐름, 정화, 새로운 시작.","흐름에 저항, 급류에 휩쓸림, 건너지 못함.","삶의 강물이 어디로 흐르고 있나요?",다리/배/물살/건너기/둑
DL_하늘,하늘,dream_location,자연공간,"하늘은 무한한 가능성과 영적 영역을 상징한다. 나는 꿈은 자유와 초월을, 하늘의 상태는 정신 상태를 반영한다.","자유와 초월에 대한 욕구. 맑은 하늘은 명료한 사고, 흐린 하늘은 혼란, 밤하늘은 무의식.","목(木)오행-상승/천을귀인-하늘도움","9하우스-확장/목성-행운","자기원형-초월적자아","자유, 영감, 무한한 가능성, 영적 연결.","현실에서 벗어남, 땅에 발 딛지 못함.","하늘에서 무엇을 보았나요? 어디로 날아가고 있나요?",별/달/해/구름/비행
DL_지하실,지하실,dream_location,건물내부,"지하실은 무의식과 억압된 것들의 저장소를 상징한다. 숨겨진 기억, 감정, 욕구가 저장된 곳이다.","억압된 무의식. 지하실 탐험은 숨겨진 자아 탐구. 무서운 지하실은 직면하기 두려운 부분.","묘(墓)운-저장/공망-숨겨진것","8하우스-숨겨진것/명왕성-깊이","그림자원형-억압된것","숨겨진 보물 발견, 억압된 재능 회복, 과거 치유.","두려움, 억압된 감정의 폭발, 과거의 유령.","지하실에 무엇을 보관하고 있나요? 그것을 꺼낼 준비가 됐나요?",계단/어둠/상자/먼지/발견
DL_다락,다락,dream_location,건물내부,"다락은 상위 의식과 영적 측면, 과거의 기억을 상징한다. 지하실이 아래라면 다락은 위의 저장소이다.","높은 의식과 과거. 다락에서 발견하는 것은 잊힌 기억이나 영적 통찰.","인성-지혜/화개살-영성","9하우스-상위의식/목성-확장","현자원형-지혜저장소","영적 통찰, 잊힌 재능 발견, 조상의 지혜.","과거에 집착, 현실 도피, 미완성의 과거.","다락에서 무엇을 발견하셨나요? 그것은 현재에 어떤 의미가 있나요?",상자/사진/옛물건/먼지/빛
