id,label,type,ganji,sibsin,description
GAN_갑술_겁재,갑술·겁재,saju_ganji_sibsin,갑술,겁재,GAN_갑술 일주의 겁재 십신 결합 노드.
GAN_갑술_비견,갑술·비견,saju_ganji_sibsin,갑술,비견,GAN_갑술 일주의 비견 십신 결합 노드.
GAN_갑술_상관,갑술·상관,saju_ganji_sibsin,갑술,상관,GAN_갑술 일주의 상관 십신 결합 노드.
GAN_갑술_식신,갑술·식신,saju_ganji_sibsin,갑술,식신,GAN_갑술 일주의 식신 십신 결합 노드.
GAN_갑술_정관,갑술·정관,saju_ganji_sibsin,갑술,정관,GAN_갑술 일주의 정관 십신 결합 노드.
GAN_갑술_정인,갑술·정인,saju_ganji_sibsin,갑술,정인,GAN_갑술 일주의 정인 십신 결합 노드.
GAN_갑술_정재,갑술·정재,saju_ganji_sibsin,갑술,정재,GAN_갑술 일주의 정재 십신 결합 노드.
GAN_갑술_편관,갑술·편관,saju_ganji_sibsin,갑술,편관,GAN_갑술 일주의 편관 십신 결합 노드.
GAN_갑술_편인,갑술·편인,saju_ganji_sibsin,갑술,편인,GAN_갑술 일주의 편인 십신 결합 노드.
GAN_갑술_편재,갑술·편재,saju_ganji_sibsin,갑술,편재,GAN_갑술 일주의 편재 십신 결합 노드.
GAN_갑신_겁재,갑신·겁재,saju_ganji_sibsin,갑신,겁재,GAN_갑신 일주의 겁재 십신 결합 노드.
GAN_갑신_비견,갑신·비견,saju_ganji_sibsin,갑신,비견,GAN_갑신 일주의 비견 십신 결합 노드.
GAN_갑신_상관,갑신·상관,saju_ganji_sibsin,갑신,상관,GAN_갑신 일주의 상관 십신 결합 노드.
GAN_갑신_식신,갑신·식신,saju_ganji_sibsin,갑신,식신,GAN_갑신 일주의 식신 십신 결합 노드.
GAN_갑신_정관,갑신·정관,saju_ganji_sibsin,갑신,정관,GAN_갑신 일주의 정관 십신 결합 노드.
GAN_갑신_정인,갑신·정인,saju_ganji_sibsin,갑신,정인,GAN_갑신 일주의 정인 십신 결합 노드.
GAN_갑신_정재,갑신·정재,saju_ganji_sibsin,갑신,정재,GAN_갑신 일주의 정재 십신 결합 노드.
GAN_갑신_편관,갑신·편관,saju_ganji_sibsin,갑신,편관,GAN_갑신 일주의 편관 십신 결합 노드.
GAN_갑신_편인,갑신·편인,saju_ganji_sibsin,갑신,편인,GAN_갑신 일주의 편인 십신 결합 노드.
GAN_갑신_편재,갑신·편재,saju_ganji_sibsin,갑신,편재,GAN_갑신 일주의 편재 십신 결합 노드.
GAN_갑오_겁재,갑오·겁재,saju_ganji_sibsin,갑오,겁재,GAN_갑오 일주의 겁재 십신 결합 노드.
GAN_갑오_비견,갑오·비견,saju_ganji_sibsin,갑오,비견,GAN_갑오 일주의 비견 십신 결합 노드.
GAN_갑오_상관,갑오·상관,saju_ganji_sibsin,갑오,상관,GAN_갑오 일주의 상관 십신 결합 노드.
GAN_갑오_식신,갑오·식신,saju_ganji_sibsin,갑오,식신,GAN_갑오 일주의 식신 십신 결합 노드.
GAN_갑오_정관,갑오·정관,saju_ganji_sibsin,갑오,정관,GAN_갑오 일주의 정관 십신 결합 노드.
GAN_갑오_정인,갑오·정인,saju_ganji_sibsin,갑오,정인,GAN_갑오 일주의 정인 십신 결합 노드.
GAN_갑오_정재,갑오·정재,saju_ganji_sibsin,갑오,정재,GAN_갑오 일주의 정재 십신 결합 노드.
GAN_갑오_편관,갑오·편관,saju_ganji_sibsin,갑오,편관,GAN_갑오 일주의 편관 십신 결합 노드.
GAN_갑오_편인,갑오·편인,saju_ganji_sibsin,갑오,편인,GAN_갑오 일주의 편인 십신 결합 노드.
GAN_갑오_편재,갑오·편재,saju_ganji_sibsin,갑오,편재,GAN_갑오 일주의 편재 십신 결합 노드.
GAN_갑인_겁재,갑인·겁재,saju_ganji_sibsin,갑인,겁재,GAN_갑인 일주의 겁재 십신 결합 노드.
GAN_갑인_비견,갑인·비견,saju_ganji_sibsin,갑인,비견,GAN_갑인 일주의 비견 십신 결합 노드.
GAN_갑인_상관,갑인·상관,saju_ganji_sibsin,갑인,상관,GAN_갑인 일주의 상관 십신 결합 노드.
GAN_갑인_식신,갑인·식신,saju_ganji_sibsin,갑인,식신,GAN_갑인 일주의 식신 십신 결합 노드.
GAN_갑인_정관,갑인·정관,saju_ganji_sibsin,갑인,정관,GAN_갑인 일주의 정관 십신 결합 노드.
GAN_갑인_정인,갑인·정인,saju_ganji_sibsin,갑인,정인,GAN_갑인 일주의 정인 십신 결합 노드.
GAN_갑인_정재,갑인·정재,saju_ganji_sibsin,갑인,정재,GAN_갑인 일주의 정재 십신 결합 노드.
GAN_갑인_편관,갑인·편관,saju_ganji_sibsin,갑인,편관,GAN_갑인 일주의 편관 십신 결합 노드.
GAN_갑인_편인,갑인·편인,saju_ganji_sibsin,갑인,편인,GAN_갑인 일주의 편인 십신 결합 노드.
GAN_갑인_편재,갑인·편재,saju_ganji_sibsin,갑인,편재,GAN_갑인 일주의 편재 십신 결합 노드.
GAN_갑자_겁재,갑자·겁재,saju_ganji_sibsin,갑자,겁재,GAN_갑자 일주의 겁재 십신 결합 노드.
GAN_갑자_비견,갑자·비견,saju_ganji_sibsin,갑자,비견,GAN_갑자 일주의 비견 십신 결합 노드.
GAN_갑자_상관,갑자·상관,saju_ganji_sibsin,갑자,상관,GAN_갑자 일주의 상관 십신 결합 노드.
GAN_갑자_식신,갑자·식신,saju_ganji_sibsin,갑자,식신,GAN_갑자 일주의 식신 십신 결합 노드.
GAN_갑자_정관,갑자·정관,saju_ganji_sibsin,갑자,정관,GAN_갑자 일주의 정관 십신 결합 노드.
GAN_갑자_정인,갑자·정인,saju_ganji_sibsin,갑자,정인,GAN_갑자 일주의 정인 십신 결합 노드.
GAN_갑자_정재,갑자·정재,saju_ganji_sibsin,갑자,정재,GAN_갑자 일주의 정재 십신 결합 노드.
GAN_갑자_편관,갑자·편관,saju_ganji_sibsin,갑자,편관,GAN_갑자 일주의 편관 십신 결합 노드.
GAN_갑자_편인,갑자·편인,saju_ganji_sibsin,갑자,편인,GAN_갑자 일주의 편인 십신 결합 노드.
GAN_갑자_편재,갑자·편재,saju_ganji_sibsin,갑자,편재,GAN_갑자 일주의 편재 십신 결합 노드.
GAN_갑진_겁재,갑진·겁재,saju_ganji_sibsin,갑진,겁재,GAN_갑진 일주의 겁재 십신 결합 노드.
GAN_갑진_비견,갑진·비견,saju_ganji_sibsin,갑진,비견,GAN_갑진 일주의 비견 십신 결합 노드.
GAN_갑진_상관,갑진·상관,saju_ganji_sibsin,갑진,상관,GAN_갑진 일주의 상관 십신 결합 노드.
GAN_갑진_식신,갑진·식신,saju_ganji_sibsin,갑진,식신,GAN_갑진 일주의 식신 십신 결합 노드.
GAN_갑진_정관,갑진·정관,saju_ganji_sibsin,갑진,정관,GAN_갑진 일주의 정관 십신 결합 노드.
GAN_갑진_정인,갑진·정인,saju_ganji_sibsin,갑진,정인,GAN_갑진 일주의 정인 십신 결합 노드.
GAN_갑진_정재,갑진·정재,saju_ganji_sibsin,갑진,정재,GAN_갑진 일주의 정재 십신 결합 노드.
GAN_갑진_편관,갑진·편관,saju_ganji_sibsin,갑진,편관,GAN_갑진 일주의 편관 십신 결합 노드.
GAN_갑진_편인,갑진·편인,saju_ganji_sibsin,갑진,편인,GAN_갑진 일주의 편인 십신 결합 노드.
GAN_갑진_편재,갑진·편재,saju_ganji_sibsin,갑진,편재,GAN_갑진 일주의 편재 십신 결합 노드.
GAN_경술_겁재,경술·겁재,saju_ganji_sibsin,경술,겁재,GAN_경술 일주의 겁재 십신 결합 노드.
GAN_경술_비견,경술·비견,saju_ganji_sibsin,경술,비견,GAN_경술 일주의 비견 십신 결합 노드.
GAN_경술_상관,경술·상관,saju_ganji_sibsin,경술,상관,GAN_경술 일주의 상관 십신 결합 노드.
GAN_경술_식신,경술·식신,saju_ganji_sibsin,경술,식신,GAN_경술 일주의 식신 십신 결합 노드.
GAN_경술_정관,경술·정관,saju_ganji_sibsin,경술,정관,GAN_경술 일주의 정관 십신 결합 노드.
GAN_경술_정인,경술·정인,saju_ganji_sibsin,경술,정인,GAN_경술 일주의 정인 십신 결합 노드.
GAN_경술_정재,경술·정재,saju_ganji_sibsin,경술,정재,GAN_경술 일주의 정재 십신 결합 노드.
GAN_경술_편관,경술·편관,saju_ganji_sibsin,경술,편관,GAN_경술 일주의 편관 십신 결합 노드.
GAN_경술_편인,경술·편인,saju_ganji_sibsin,경술,편인,GAN_경술 일주의 편인 십신 결합 노드.
GAN_경술_편재,경술·편재,saju_ganji_sibsin,경술,편재,GAN_경술 일주의 편재 십신 결합 노드.
GAN_경신_겁재,경신·겁재,saju_ganji_sibsin,경신,겁재,GAN_경신 일주의 겁재 십신 결합 노드.
GAN_경신_비견,경신·비견,saju_ganji_sibsin,경신,비견,GAN_경신 일주의 비견 십신 결합 노드.
GAN_경신_상관,경신·상관,saju_ganji_sibsin,경신,상관,GAN_경신 일주의 상관 십신 결합 노드.
GAN_경신_식신,경신·식신,saju_ganji_sibsin,경신,식신,GAN_경신 일주의 식신 십신 결합 노드.
GAN_경신_정관,경신·정관,saju_ganji_sibsin,경신,정관,GAN_경신 일주의 정관 십신 결합 노드.
GAN_경신_정인,경신·정인,saju_ganji_sibsin,경신,정인,GAN_경신 일주의 정인 십신 결합 노드.
GAN_경신_정재,경신·정재,saju_ganji_sibsin,경신,정재,GAN_경신 일주의 정재 십신 결합 노드.
GAN_경신_편관,경신·편관,saju_ganji_sibsin,경신,편관,GAN_경신 일주의 편관 십신 결합 노드.
GAN_경신_편인,경신·편인,saju_ganji_sibsin,경신,편인,GAN_경신 일주의 편인 십신 결합 노드.
