source,target,relation_type,weight,description
GK_식신격,Jupiter,geokguk_planet,0.9,식신격과 목성의 공명. 둘 다 풍요/확장/지혜를 상징. 식신격인 사람의 출생차트에 목성이 강하면 복합적 행운.
GK_상관격,Uranus,geokguk_planet,0.9,상관격과 천왕성의 공명. 둘 다 기존 체계에 대한 반항과 혁신을 상징. 독창적 재능.
GK_편재격,Jupiter,geokguk_planet,0.8,편재격과 목성의 공명. 큰 재물의 흐름과 확장적 사업 수완.
GK_정재격,Saturn,geokguk_planet,0.8,정재격과 토성의 공명. 안정적 축적과 체계적 재물 관리.
GK_편관격,Mars,geokguk_planet,0.9,편관(칠살)격과 화성의 공명. 전투적 에너지와 강한 추진력.
GK_편관격,Pluto,geokguk_planet,0.8,편관격과 명왕성의 공명. 극적 변환과 권력의 심층 에너지.
GK_정관격,Saturn,geokguk_planet,0.9,"정관격과 토성의 공명. 사회적 질서, 규범, 책임과 권위."
GK_정관격,Sun,geokguk_planet,0.7,"정관격과 태양의 공명. 사회적 지위와 명예, 빛나는 리더십."
GK_편인격,Neptune,geokguk_planet,0.9,"편인격과 해왕성의 공명. 직관적 사고, 영적 세계, 신비로운 지혜."
GK_편인격,Pluto,geokguk_planet,0.7,편인격과 명왕성의 공명. 깊은 변환적 사고와 비범한 통찰.
GK_정인격,Moon,geokguk_planet,0.9,"정인격과 달의 공명. 모성적 돌봄, 학문, 감성적 지혜."
GK_정인격,Mercury,geokguk_planet,0.8,"정인격과 수성의 공명. 학문적 재능, 문서/계약, 지적 소통."
GK_건록격,Sun,geokguk_planet,0.8,건록격과 태양의 공명. 자수성가와 독립적 정체성.
GK_양인격,Mars,geokguk_planet,0.9,양인격과 화성의 공명. 극도의 공격성과 전투적 에너지.
GK_양인격,Pluto,geokguk_planet,0.8,양인격과 명왕성의 공명. 파괴와 재건의 극단적 에너지.
GK_식신격,H5,geokguk_house,0.8,"식신격과 5하우스의 대응. 창조적 표현, 자녀, 즐거움의 영역."
GK_상관격,H11,geokguk_house,0.7,상관격과 11하우스의 대응. 혁신적 네트워크와 사회적 변혁.
GK_편재격,H2,geokguk_house,0.8,"편재격과 2하우스의 대응. 재물과 소유, 가치의 영역."
GK_편재격,H8,geokguk_house,0.7,"편재격과 8하우스의 대응. 타인의 재물, 투자, 유산."
GK_정재격,H2,geokguk_house,0.9,정재격과 2하우스의 대응. 안정적 수입과 소유.
GK_편관격,H10,geokguk_house,0.8,편관격과 10하우스의 대응. 사회적 지위와 권력.
GK_정관격,H10,geokguk_house,0.9,정관격과 10하우스의 대응. 명예로운 사회적 직위.
GK_편인격,H12,geokguk_house,0.8,"편인격과 12하우스의 대응. 무의식, 영성, 숨겨진 세계."
GK_정인격,H9,geokguk_house,0.8,"정인격과 9하우스의 대응. 고등교육, 철학, 해외."
GK_정인격,H4,geokguk_house,0.7,"정인격과 4하우스의 대응. 가정, 어머니, 뿌리."
GK_건록격,H1,geokguk_house,0.9,건록격과 1하우스의 대응. 자아정체성과 독립적 존재감.
GK_양인격,H8,geokguk_house,0.8,"양인격과 8하우스의 대응. 죽음과 재생, 극단적 변환의 영역."
GK_식신제살격,Jupiter,geokguk_planet,0.95,식신제살격과 목성의 공명. 지혜로 위협을 제어하고 복으로 변환.
GK_식신제살격,H6,geokguk_house,0.8,식신제살격과 6하우스의 대응. 봉사와 치유를 통한 권력 통제.
GK_상관견관격,Uranus,geokguk_planet,0.85,상관견관격과 천왕성의 공명. 기존 권위에 대한 창조적 도전.
GK_상관견관격,H10,geokguk_house,0.75,상관견관격과 10하우스의 긴장. 사회적 지위와 반항적 창조성.
GK_상관패인격,Neptune,geokguk_planet,0.8,상관패인격과 해왕성의 공명. 영적 지혜로 날카로움을 순화.
GK_상관패인격,H9,geokguk_house,0.8,상관패인격과 9하우스의 대응. 고등 지혜로 상관을 제어.
GK_재자살인격,Venus,geokguk_planet,0.85,재자살인격과 금성의 공명. 재물로 권력을 얻는 조화로운 에너지.
GK_재자살인격,H7,geokguk_house,0.75,재자살인격과 7하우스의 대응. 파트너십을 통한 권력 획득.
GK_살인상생격,Mars,geokguk_planet,0.9,살인상생격과 화성의 공명. 전투적 에너지가 지혜로 변환.
GK_살인상생격,Saturn,geokguk_planet,0.85,살인상생격과 토성의 공명. 엄격한 규율이 지혜를 낳음.
GK_관인상생격,Sun,geokguk_planet,0.9,관인상생격과 태양의 공명. 빛나는 권위와 학문의 조화.
GK_관인상생격,H9,geokguk_house,0.85,관인상생격과 9하우스의 대응. 권위가 고등 학문과 연결.
GK_재관쌍미격,Venus,geokguk_planet,0.85,재관쌍미격과 금성의 공명. 아름다운 조화로 재물과 권위 획득.
GK_재관쌍미격,Saturn,geokguk_planet,0.8,재관쌍미격과 토성의 공명. 안정적 구조 위에 아름다운 성취.
