id,label,name_ko,category,description,saju_correlation,astro_correlation,tarot_correlation,therapeutic_insight
shadow,Shadow,그림자,archetype,"억압된 자아의 어두운 측면. 인정하기 싫은 욕망, 분노, 질투 등이 투사됨. 그림자 통합은 개성화의 핵심 과제.","편관(七殺): 통제할 수 없는 힘, 상관(傷官): 반항과 파괴 충동","명왕성, 8하우스, 전갈자리","악마(The Devil), 달(The Moon), 탑(The Tower)","그림자를 인정하면 에너지가 된다. 부정하면 외부에 투사되어 갈등을 만든다."
anima,Anima,아니마,archetype,"남성 무의식 속 여성적 원형. 감정, 직관, 관계성을 담당. 미성숙하면 변덕, 성숙하면 지혜로 나타남.","정인(正印): 어머니적 돌봄, 편인(偏印): 직관과 영감","달, 금성, 해왕성, 4하우스","여사제(High Priestess), 여황제(Empress)","내면의 여성성과 대화하라. 꿈에 나타나는 여성 이미지에 주목하라."
animus,Animus,아니무스,archetype,"여성 무의식 속 남성적 원형. 의지, 판단, 행동력을 담당. 미성숙하면 독단, 성숙하면 로고스로 나타남.","편관(偏官): 권위와 힘, 정관(正官): 질서와 규범","태양, 화성, 토성, 10하우스","황제(Emperor), 전차(Chariot)","내면의 남성성이 당신을 어디로 이끄는가? 그 목소리를 분별하라."
persona,Persona,페르소나,archetype,"사회적 가면. 타인에게 보이는 자아상. 필요하지만 과도하면 진정한 자기를 잃음.","비견(比肩): 사회적 자아, 겁재(劫財): 경쟁적 이미지","상승점(ASC), 1하우스, 태양","마법사(Magician)","가면이 얼굴이 되어버리지 않았는가? 혼자 있을 때의 당신은 누구인가?"
self,Self,자기,archetype,"의식과 무의식의 통합체. 개성화의 최종 목표. 만다라, 원, 4위일체로 상징됨.","일간(日干)의 완전한 발현, 용신과 희신의 조화","태양+달 조화, MC-IC 축 통합","세계(The World), 태양(The Sun)","당신은 이미 완전하다. 다만 그것을 발견하는 여정 중일 뿐."
hero,Hero,영웅,archetype,"도전을 극복하고 성장하는 원형. 모험을 떠나 시련을 겪고 보물을 가져옴. 자아 강화의 상징.","비겁(比劫)의 강함, 식상(食傷)의 표현력","태양, 화성, 사자자리, 1하우스","전차(Chariot), 힘(Strength), 바보(Fool)","영웅의 여정은 외부가 아닌 내면에서 시작된다."
great_mother,Great Mother,태모,archetype,"생명을 주고 빼앗는 양면적 어머니 원형. 돌봄과 삼킴, 보호와 속박의 이중성.","정인(正印): 돌봄, 편인(偏印): 질식시키는 사랑","달, 게자리, 4하우스","여황제(Empress), 달(The Moon)","어머니로부터 진정으로 독립했는가? 아직도 승인을 구하는가?"
wise_old_man,Wise Old Man,현자,archetype,"지혜와 통찰의 원형. 위기의 순간 나타나 조언하는 내면의 안내자.","정인(正印)의 성숙한 형태, 인성의 지혜","토성, 목성, 9하우스, 사수자리","은둔자(Hermit), 교황(Hierophant)","당신 안에 답이 있다. 고요히 들으라."
trickster,Trickster,트릭스터,archetype,"규칙을 어기고 혼란을 만드는 원형. 창의성과 변화의 촉매. 경계를 허무는 자.","상관(傷官): 기존 질서 파괴, 식신(食神): 유머와 창의","수성, 천왕성, 쌍둥이자리, 물병자리","바보(Fool), 마법사(Magician)","때로는 광대가 가장 진실을 말한다. 진지함을 내려놓으라."
child,Divine Child,신성한 아이,archetype,"순수함, 가능성, 새로운 시작의 원형. 상처받은 아이와 신성한 아이의 이중성.","식신(食神): 순수한 표현, 비견의 원초적 상태","5하우스, 사자자리, 태양","태양(The Sun), 바보(Fool), 별(The Star)","내면 아이를 돌보라. 그가 당신의 창의성과 기쁨의 원천이다."
father,Father,아버지,archetype,"권위, 질서, 보호의 원형. 긍정적이면 안내자, 부정적이면 폭군. 세상과의 관계를 형성.","편관(偏官): 엄격한 아버지, 정관(正官): 올바른 아버지","토성, 태양, 10하우스, 염소자리","황제(Emperor)","아버지와의 관계가 당신의 세상과의 관계를 만든다."
