id,label,type,debt_number,korean_name,past_life_pattern,current_life_challenge,healing_path,saju_correlation,description
NKD_13,카르마부채13,karmic_debt,13,카르마숫자13,전생에서노력회피/타인착취,열심히일해도성과가더딤/좌절경험,꾸준한노력/인내/정직한노동,편관-시련을통한성장,13의 카르마 부채는 전생에 노력 없이 얻으려 했던 것. 이번 생에서는 꾸준한 노력으로 정직하게 성취해야 함.
NKD_14,카르마부채14,karmic_debt,14,카르마숫자14,전생에서자유남용/방종/중독,자유와절제사이균형/중독경향,절제력개발/건강한자유,도화살-유혹과절제,14의 카르마 부채는 전생에 자유를 남용했던 것. 이번 생에서는 절제와 책임 있는 자유를 배움.
NKD_16,카르마부채16,karmic_debt,16,카르마숫자16,전생에서ego남용/관계파괴,자아붕괴경험/관계에서배신,겸손/진정한사랑학습,칠살-자아변환,16의 카르마 부채는 전생에 ego로 관계를 파괴한 것. 이번 생에서는 겸손과 진정한 연결을 배움.
NKD_19,카르마부채19,karmic_debt,19,카르마숫자19,전생에서권력남용/타인무시,홀로서야하는상황/도움거부,상호의존인정/도움주고받기,양인-독립과협력,19의 카르마 부채는 전생에 권력을 남용하고 타인을 무시한 것. 이번 생에서는 상호의존을 배움.
NKD_13_manifest,13징후,karmic_debt_sign,13,13의발현,작업이계속좌절됨,프로젝트가막판에무너짐/노력이물거품,포기하지않는끈기/새로운접근,편관-반복시련,13이 있으면 노력한 것이 무너지는 경험을 반복. 이를 통해 더 견고한 기반을 세우는 법을 배움.
NKD_14_manifest,14징후,karmic_debt_sign,14,14의발현,자유에대한과도한갈망,중독경향/극단적경험추구/안정거부,균형/절제/건강한경계,도화역마-과도한자극,14가 있으면 극단적인 자유나 자극을 추구. 중독이나 방종을 통해 절제의 가치를 배움.
NKD_16_manifest,16징후,karmic_debt_sign,16,16의발현,갑작스러운상실/배신경험,관계나지위의급격한붕괴,겸손/재건/진정한연결,칠살파-급격한변화,16이 있으면 갑자기 모든 것을 잃는 경험. ego의 탑이 무너지며 진정한 자아를 발견하는 기회.
NKD_19_manifest,19징후,karmic_debt_sign,19,19의발현,고립/도움없이홀로해야함,필요할때도움이오지않음/혼자서감당,도움요청법학습/상호의존인정,양인고립-자립과연결,19가 있으면 도움 없이 혼자 해내야 하는 상황. 이를 통해 겸손하게 도움을 주고받는 법을 배움.
NKD_healing_13,13치유법,karmic_healing,13,13의치유,끈기와정직한노력,지름길을찾지않고꾸준히,작은성취를쌓아큰결과,토기운보강-안정적노력,13의 치유는 포기하지 않는 것. 실패해도 다시 시작하며 정직한 노력의 가치를 체득함.
NKD_healing_14,14치유법,karmic_healing,14,14의치유,절제와균형잡힌자유,극단을피하고중도를찾음,건강한습관/적당한자극,수기운조절-절제와흐름,14의 치유는 균형. 자유를 누리되 책임을 지며, 자극을 추구하되 절제를 유지함.
NKD_healing_16,16치유법,karmic_healing,16,16의치유,겸손과재건,무너진후더나은것을세움,ego내려놓기/진정한연결,화기운정화-겸손과빛,16의 치유는 겸손하게 재건하는 것. 탑이 무너진 자리에 더 견고하고 진정한 것을 세움.
NKD_healing_19,19치유법,karmic_healing,19,19의치유,상호의존인정,도움을요청하고베푸는것,함께하는성공/연결의가치,목기운조화-성장과협력,19의 치유는 연결. 혼자 할 수 있어도 함께할 때 더 큰 것을 이룰 수 있음을 배움.
