id,type,position,nature,description
Regulus,항성,29Leo50,Mars/Jupiter,"왕의 별, 성공과 명예"
Spica,항성,23Libra50,Venus/Mars,"수확의 별, 성공과 재능"
Algol,항성,26Taurus10,Saturn/Jupiter,"악마의 별, 강렬한 변형"
Aldebaran,항성,09Gemini47,Mars,"봄의 눈, 성공과 명예"
Antares,항성,09Sagittarius46,Mars/Jupiter,"전갈의 심장, 강렬한 열정"
Fomalhaut,항성,03Pisces52,Venus/Mercury,"물고기 입, 이상주의"
Sirius,항성,14Cancer05,Jupiter/Mars,"가장 밝은 별, 명성"
Canopus,항성,14Cancer58,Saturn/Jupiter,"항해자의 별, 지혜"
Vega,항성,15Capricorn19,Venus/Mercury,"하프 별, 예술적 재능"
Capella,항성,21Gemini51,Mars/Mercury,"작은 염소, 호기심"
Rigel,항성,16Gemini50,Jupiter/Mars,"오리온 발, 교육과 명예"
Betelgeuse,항성,28Gemini45,Mars/Mercury,"오리온 어깨, 성공"
Polaris,항성,28Gemini34,Saturn/Venus,"북극성, 방향과 안내"
Deneb,항성,05Pisces20,Venus/Mercury,"백조 꼬리, 예술적 재능"
Altair,항성,01Aquarius47,Mars/Jupiter,"독수리, 대담함과 야망"
