id,saju_id,astro_id,mapping_type,confidence,rationale,evidence_source,enabled,status,version,updated_at
XW_092d03c06273,BR_묘,Venus,jiji_planet,0.75,"묘(卯)지지와 금성의 대응. 봄, 토끼, 조화로운 시작.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:91,true,active,1.0.0,2026-02-11
XW_c5c6c1c5ffb3,BR_사,Mars,jiji_planet,0.85,"사(巳)지지와 화성의 대응. 뱀, 화기, 변환의 지혜.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:93,true,active,1.0.0,2026-02-11
XW_32d7b8bfe1c7,BR_술,Mars,jiji_planet,0.75,"술(戌)지지와 화성의 대응. 가을 끝, 개, 보호본능.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:98,true,active,1.0.0,2026-02-11
XW_c839a9b8e5a8,BR_신,Venus,jiji_planet,0.80,"신(申)지지와 금성의 대응. 가을, 원숭이, 수확의 시작.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:96,true,active,1.0.0,2026-02-11
XW_6fff9a215e0c,BR_오,Sun,jiji_planet,0.90,"오(午)지지와 태양의 대응. 정오, 말, 최고조의 빛.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:94,true,active,1.0.0,2026-02-11
XW_b15794b314f4,BR_유,Venus,jiji_planet,0.85,"유(酉)지지와 금성의 대응. 저녁, 닭, 수확과 정리.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:97,true,active,1.0.0,2026-02-11
XW_aa6f9fb157b3,BR_인,Jupiter,jiji_planet,0.85,"인(寅)지지와 목성의 대응. 새벽, 호랑이, 확장.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:90,true,active,1.0.0,2026-02-11
XW_f5a93472a834,BR_자,Moon,jiji_planet,0.85,"자(子)지지와 달의 대응. 밤, 물, 감정의 깊이.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:88,true,active,1.0.0,2026-02-11
XW_424e6be3242a,BR_진,Mars,jiji_planet,0.80,"진(辰)지지와 화성의 대응. 용, 변환, 역동적 에너지.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:92,true,active,1.0.0,2026-02-11
XW_6a7386f83a59,BR_축,Saturn,jiji_planet,0.80,"축(丑)지지와 토성의 대응. 겨울 끝, 축적, 인내.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:89,true,active,1.0.0,2026-02-11
XW_5fb8301a122b,BR_해,Jupiter,jiji_planet,0.80,"해(亥)지지와 목성의 대응. 겨울, 돼지, 잠재력 축적.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:99,true,active,1.0.0,2026-02-11
XW_ed9a2d840905,CHEONGAN_갑목,Aries,cheongan_sign,0.85,"갑목(甲木)과 양자리의 대응. 새 시작의 리더, 전진하는 나무.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:78,true,active,1.0.0,2026-02-11
XW_24765dee8199,CHEONGAN_경금,Libra,cheongan_sign,0.75,"경금(庚金)과 천칭자리의 대응. 날카로운 결단, 균형 잡힌 정의.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:84,true,active,1.0.0,2026-02-11
XW_f3ea9bca0d47,CHEONGAN_계수,Pisces,cheongan_sign,0.85,"계수(癸水)와 물고기자리의 대응. 비와 안개, 영적 직관.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:87,true,active,1.0.0,2026-02-11
XW_deaad88f1227,CHEONGAN_기토,Virgo,cheongan_sign,0.80,"기토(己土)와 처녀자리의 대응. 비옥한 밭, 실용적 봉사.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:83,true,active,1.0.0,2026-02-11
XW_ae7e716d84db,CHEONGAN_무토,Capricorn,cheongan_sign,0.80,"무토(戊土)와 염소자리의 대응. 거대한 산, 사회적 구조.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:82,true,active,1.0.0,2026-02-11
XW_285c74c88cd8,CHEONGAN_병화,Leo,cheongan_sign,0.90,"병화(丙火)와 사자자리의 대응. 빛나는 태양, 중심 에너지.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:80,true,active,1.0.0,2026-02-11
XW_b8dcdede1751,CHEONGAN_임수,Aquarius,cheongan_sign,0.80,"임수(壬水)와 물병자리의 대응. 큰 물의 흐름, 혁신적 사고.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:86,true,active,1.0.0,2026-02-11
XW_fc8b76b856d1,GK_건록격,H1,geokguk_house,0.90,건록격과 1하우스의 대응. 자아정체성과 독립적 존재감.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:27,true,active,1.0.0,2026-02-11
XW_7680358f99de,GK_건록격,Sun,geokguk_planet,0.80,건록격과 태양의 공명. 자수성가와 독립적 정체성.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:14,true,active,1.0.0,2026-02-11
XW_c63549e7a1d2,GK_관인상생격,H9,geokguk_house,0.85,관인상생격과 9하우스의 대응. 권위가 고등 학문과 연결.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:40,true,active,1.0.0,2026-02-11
XW_a0dd3b7ad19d,GK_관인상생격,Sun,geokguk_planet,0.90,관인상생격과 태양의 공명. 빛나는 권위와 학문의 조화.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:39,true,active,1.0.0,2026-02-11
XW_8a1ad245b5f3,GK_살인상생격,Mars,geokguk_planet,0.90,살인상생격과 화성의 공명. 전투적 에너지가 지혜로 변환.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:37,true,active,1.0.0,2026-02-11
XW_749d1aa323ec,GK_살인상생격,Saturn,geokguk_planet,0.85,살인상생격과 토성의 공명. 엄격한 규율이 지혜를 낳음.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:38,true,active,1.0.0,2026-02-11
XW_61cdb8b332ab,GK_상관격,Uranus,geokguk_planet,0.90,상관격과 천왕성의 공명. 둘 다 기존 체계에 대한 반항과 혁신을 상징. 독창적 재능.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:3,true,active,1.0.0,2026-02-11
XW_367a513d7442,GK_상관견관격,H10,geokguk_house,0.75,상관견관격과 10하우스의 긴장. 사회적 지위와 반항적 창조성.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:32,true,active,1.0.0,2026-02-11
XW_0825831510f4,GK_상관견관격,Uranus,geokguk_planet,0.85,상관견관격과 천왕성의 공명. 기존 권위에 대한 창조적 도전.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:31,true,active,1.0.0,2026-02-11
XW_10596d70f648,GK_상관생재격,Uranus,geokguk_planet,0.80,상관생재격과 천왕성의 공명. 혁신적 재능이 재물을 창출.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:45,true,active,1.0.0,2026-02-11
XW_16d6af4d7ae9,GK_상관생재격,Venus,geokguk_planet,0.75,상관생재격과 금성의 공명. 예술적 재능이 아름다운 재물로.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:46,true,active,1.0.0,2026-02-11
XW_3640c2589e15,GK_상관패인격,H9,geokguk_house,0.80,상관패인격과 9하우스의 대응. 고등 지혜로 상관을 제어.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:34,true,active,1.0.0,2026-02-11
XW_f4f9064c7373,GK_상관패인격,Neptune,geokguk_planet,0.80,상관패인격과 해왕성의 공명. 영적 지혜로 날카로움을 순화.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:33,true,active,1.0.0,2026-02-11
