id,label,type,element,description
EL_목,목,element,목,"성장과 창조, 생명력과 확장의 기운. 자연의 변화와 시작을 상징한다."
EL_화,화,element,화,"열정과 추진, 밝음과 표현의 기운. 생명에 활력을 주고 변화를 일으킨다."
EL_토,토,element,토,"안정과 균형, 중용과 포용의 기운. 오행의 중심에서 조화를 이룬다."
EL_금,금,element,금,"결단과 판단, 수렴과 절제의 기운. 형태를 정리하고 마무리 짓는 힘."
EL_수,수,element,수,"지혜와 유연, 적응과 내면성의 기운. 생명의 근원으로 순환을 담당한다."
ST_갑,갑,stem,목,"새싹처럼 꿋꿋하고 직진하는 양목의 기운. 개척과 성장, 강한 추진력."
ST_을,을,stem,목,"덩굴처럼 유연하고 조화로운 음목의 기운. 섬세함과 협동, 예술성과 친화력."
ST_병,병,stem,화,"태양처럼 밝고 당당한 양화의 기운. 리더십, 표현력, 낙천적 활력."
ST_정,정,stem,화,"촛불처럼 부드럽고 따뜻한 음화의 기운. 감성, 세심함, 내면적 열정."
ST_무,무,stem,토,"크고 단단한 산같은 양토의 기운. 믿음직, 안정, 계획적 추진력."
ST_기,기,stem,토,"농토처럼 부드럽고 현실적인 음토의 기운. 배려, 실무형, 조화로운 안정감."
ST_경,경,stem,금,"광석처럼 강하고 단단한 양금의 기운. 결단, 직설, 현실·규율 중심."
ST_신,신,stem,금,"보석처럼 섬세하고 세련된 음금의 기운. 현대적 감각, 분석력, 예민한 통찰."
ST_임,임,stem,수,"바다처럼 광활하고 포용적인 양수의 기운. 지혜, 통찰, 개방성과 신비감."
ST_계,계,stem,수,"샘물처럼 맑고 직관적인 음수의 기운. 감수성, 직관, 내면적 사고."
BR_자,자,branch,수,"겨울의 시작, 북쪽의 기운. 저장과 시작, 지혜와 감정의 근원."
BR_축,축,branch,토,"겨울의 응축과 준비, 인내와 성실, 현실적 기반을 다진다."
BR_인,인,branch,목,"봄의 태동, 생명의 발아. 시작, 희망, 리더십과 확장."
BR_묘,묘,branch,목,"봄의 성장, 교류와 예술적 감각, 감수성과 사교성."
BR_진,진,branch,토,"봄 끝의 전환기. 실행력과 융합, 현실과 이상을 연결."
BR_사,사,branch,화,"여름의 시작. 통찰, 변화, 명예와 표현의 에너지."
BR_오,오,branch,화,"여름의 정점, 남쪽의 열정과 창조성, 표현과 리더십."
BR_미,미,branch,토,"여름 끝의 안정기. 예술성, 내면 정리, 균형감."
BR_신,신,branch,금,"가을의 시작. 혁신과 결단, 분석력과 실행력."
BR_유,유,branch,금,"가을의 완성기. 수확, 정돈, 예의와 세련미."
BR_술,술,branch,토,"가을 끝의 조율기. 신중함과 책임감, 현실적 통합."
BR_해,해,branch,수,"겨울의 형성기. 직관, 포용, 스며드는 감성과 지혜."
SS_비견,비견,sibsin,,같은 에너지와 목표를 지닌 동료적 관계. 자존감·독립심을 상징.
SS_겁재,겁재,sibsin,,경쟁과 도전의 관계. 나눔과 충돌을 통한 성장.
SS_식신,식신,sibsin,,"생산과 창조의 에너지. 표현력, 성과, 치유의 힘."
SS_상관,상관,sibsin,,"자기 표현과 주장. 재치, 창의성, 돌파력 있으나 자존이 강함."
SS_편재,편재,sibsin,,"도전적 현실 대응, 외부 자원 활용. 성취욕과 실리 추구."
SS_정재,정재,sibsin,,"안정된 재물·현실성, 책임감과 실속 중심."
SS_편관,편관,sibsin,,통제·도전·위기 속 리더십. 강한 의지와 사명감.
SS_정관,정관,sibsin,,"명예, 권위, 질서의 상징. 안정되고 공적인 역할."
SS_편인,편인,sibsin,,"창의적 사고, 직관, 예술성·풍부한 상상력. 고독과 반항 가능."
SS_정인,정인,sibsin,,"지혜, 학문, 보호 본능. 신뢰, 안정, 배려의 에너지."
