id,label,type,canonical_id,description
ASTRO_ARTIST_금성해왕,ARTIST 금성해왕,astro_concept,,ASTRO_ARTIST_금성해왕 점성학 개념/조합 노드.
ASTRO_ASPECT_Opposition,ASPECT Opposition,astro_alias,AA_opposition,ASTRO_ASPECT_Opposition is an alias for AA_opposition.
ASTRO_ASPECT_Square,ASPECT Square,astro_alias,AA_square,ASTRO_ASPECT_Square is an alias for AA_square.
ASTRO_ASPECT_Trine,ASPECT Trine,astro_alias,AA_trine,ASTRO_ASPECT_Trine is an alias for AA_trine.
ASTRO_Aries,Aries,astro_alias,Aries,ASTRO_Aries is an alias for Aries.
ASTRO_BLOCK_Saturn12th,BLOCK Saturn12th,astro_concept,,ASTRO_BLOCK_Saturn12th 점성학 개념/조합 노드.
ASTRO_CAREER_MCsign,CAREER MCsign,astro_concept,,ASTRO_CAREER_MCsign 점성학 개념/조합 노드.
ASTRO_CHIRON_Chiron,CHIRON Chiron,astro_alias,Chiron,ASTRO_CHIRON_Chiron is an alias for Chiron.
ASTRO_COMMUNICATION_Mercury3rd,COMMUNICATION Mercury3rd,astro_alias,HP_mercury_3,ASTRO_COMMUNICATION_Mercury3rd is an alias for HP_mercury_3.
ASTRO_CONCEPT_Benefic,CONCEPT Benefic,astro_concept,,ASTRO_CONCEPT_Benefic 점성학 개념/조합 노드.
ASTRO_CONCEPT_Malefic,CONCEPT Malefic,astro_concept,,ASTRO_CONCEPT_Malefic 점성학 개념/조합 노드.
ASTRO_CREATIVITY_Mercury5th,CREATIVITY Mercury5th,astro_concept,,ASTRO_CREATIVITY_Mercury5th 점성학 개념/조합 노드.
ASTRO_CRISIS_SaturnPluto,CRISIS SaturnPluto,astro_concept,,ASTRO_CRISIS_SaturnPluto 점성학 개념/조합 노드.
ASTRO_CYCLE_Houses,CYCLE Houses,astro_concept,,ASTRO_CYCLE_Houses 점성학 개념/조합 노드.
ASTRO_Cancer,Cancer,astro_alias,Cancer,ASTRO_Cancer is an alias for Cancer.
ASTRO_Capricorn,Capricorn,astro_alias,Capricorn,ASTRO_Capricorn is an alias for Capricorn.
ASTRO_DEPTH_Pluto8th,DEPTH Pluto8th,astro_alias,HP_pluto_8,ASTRO_DEPTH_Pluto8th is an alias for HP_pluto_8.
ASTRO_DESTINY_Jupiter11th,DESTINY Jupiter11th,astro_concept,,ASTRO_DESTINY_Jupiter11th 점성학 개념/조합 노드.
ASTRO_ELEMENT_Air,ELEMENT Air,astro_element,,ASTRO_ELEMENT_Air 점성학 개념/조합 노드.
ASTRO_ELEMENT_Earth,ELEMENT Earth,astro_element,,ASTRO_ELEMENT_Earth 점성학 개념/조합 노드.
ASTRO_ELEMENT_Fire,ELEMENT Fire,astro_element,,ASTRO_ELEMENT_Fire 점성학 개념/조합 노드.
ASTRO_ELEMENT_Water,ELEMENT Water,astro_element,,ASTRO_ELEMENT_Water 점성학 개념/조합 노드.
ASTRO_FORTUNE_Fortune,FORTUNE Fortune,astro_alias,PartOfFortune,ASTRO_FORTUNE_Fortune is an alias for PartOfFortune.
ASTRO_GIFT_JupiterVenus,GIFT JupiterVenus,astro_concept,,ASTRO_GIFT_JupiterVenus 점성학 개념/조합 노드.
ASTRO_Gemini,Gemini,astro_alias,Gemini,ASTRO_Gemini is an alias for Gemini.
ASTRO_HEALING_ChironAsc,HEALING ChironAsc,astro_alias,Chiron,ASTRO_HEALING_ChironAsc is an alias for Chiron.
ASTRO_HEALING_MoonNeptune,HEALING MoonNeptune,astro_concept,,ASTRO_HEALING_MoonNeptune 점성학 개념/조합 노드.
ASTRO_HEALTH_6thHouse,HEALTH 6thHouse,astro_alias,H6,ASTRO_HEALTH_6thHouse is an alias for H6.
ASTRO_HOUSE_H1,HOUSE H1,astro_alias,H1,ASTRO_HOUSE_H1 is an alias for H1.
ASTRO_HOUSE_H10,HOUSE H10,astro_alias,H10,ASTRO_HOUSE_H10 is an alias for H10.
ASTRO_HOUSE_H11,HOUSE H11,astro_alias,H11,ASTRO_HOUSE_H11 is an alias for H11.
ASTRO_HOUSE_H12,HOUSE H12,astro_alias,H12,ASTRO_HOUSE_H12 is an alias for H12.
ASTRO_HOUSE_H2,HOUSE H2,astro_alias,H2,ASTRO_HOUSE_H2 is an alias for H2.
ASTRO_HOUSE_H3,HOUSE H3,astro_alias,H3,ASTRO_HOUSE_H3 is an alias for H3.
ASTRO_HOUSE_H4,HOUSE H4,astro_alias,H4,ASTRO_HOUSE_H4 is an alias for H4.
