id,label,type,longitude,magnitude,constellation,nature,description,career_influence,relationship_influence,health_note
FS_algol,알골,fixed_star,26Taurus10,2.1,페르세우스,토성+목성,"메두사의 머리. 가장 강렬한 항성 중 하나로 극단적 에너지를 지닌다. 파괴와 재생, 여성적 분노와 힘의 상징.","위기관리/응급의학/법의학/전쟁 관련. 극단적 상황에서 빛나는 직업.","격렬하고 위험한 인연. 강렬한 끌림이나 파괴적 관계 가능성. 변환적 사랑.","머리/목 부위 주의. 두통, 갑상선 문제 가능."
FS_aldebaran,알데바란,fixed_star,9Gemini47,0.85,황소자리,화성,"황소의 눈. 사계의 왕성(Royal Star) 중 하나. 정직과 명예를 통한 성공을 약속하나 부정직하면 몰락.","군사지도자/정치가/법조인. 명예로운 직업에서 높은 성취. 정직이 핵심 조건.","명예롭고 품위 있는 관계. 상호 존중과 정직이 관계의 기둥.","시력 문제 주의. 눈 건강 관리 필요. 화성성 질환(염증)."
FS_rigel,리겔,fixed_star,16Gemini50,0.12,오리온,목성+토성,"오리온의 왼발. 지식과 교육을 통한 명성과 성공. 학문적 성취와 가르침의 별.","교수/연구원/교육자/저자. 학문적 탁월성으로 명성을 얻는 직업.","지적 교류가 풍부한 관계. 서로를 가르치고 배우는 파트너십.","발/다리 건강 주의. 관절 문제 가능."
FS_sirius,시리우스,fixed_star,14Cancer05,-1.46,큰개자리,목성+화성,"하늘에서 가장 밝은 별. 영광과 야망, 충성과 수호의 에너지. 강력한 보호와 성공의 별.","정부 고위직/기업 리더/수호자 역할. 크고 영향력 있는 위치.","충성스럽고 보호적인 관계. 헌신적인 파트너. 강한 유대감.","더위 관련 질환. 열병, 화상 주의."
FS_regulus,레굴루스,fixed_star,29Leo50,1.35,사자자리,화성+목성,"사자의 심장. 사계의 왕성 중 최고. 왕의 별로 지위와 명예, 리더십의 별. 단 복수심은 몰락.","왕/대통령/CEO급 리더. 최고의 지위에 오를 수 있는 강력한 성공의 별.","왕과 여왕 같은 관계. 서로를 높이고 존경하는 파트너십.","심장 건강 주의. 고혈압, 심장 질환 가능."
FS_spica,스피카,fixed_star,23Libra50,0.97,처녀자리,금성+화성,"처녀의 밀이삭. 풍요와 수확, 재능의 별. 예술적 재능과 물질적 풍요를 동시에 가져온다.","예술가/농업/금융. 재능으로 풍요를 만드는 직업. 과학적 발견의 별이기도.","아름답고 풍요로운 관계. 예술적 감성을 공유하는 파트너.","면역 체계 강화. 전반적으로 건강에 이로운 별."
FS_antares,안타레스,fixed_star,9Sagittarius46,1.09,전갈자리,화성+목성,"전갈의 심장. 사계의 왕성 중 하나. 전쟁과 용기, 모험의 별. 무모함은 파멸을 초래.","군인/탐험가/모험가/위기 전문가. 용기가 필요한 위험한 직업.","열정적이고 모험적인 관계. 격렬한 사랑. 배신에 극도로 민감.","심장/혈액 관련 주의. 열성 질환, 외상 주의."
FS_fomalhaut,포말하우트,fixed_star,3Pisces52,1.16,남쪽물고기자리,금성+수성,"사계의 왕성 중 마지막. 이상과 꿈의 실현, 영적 비전의 별. 순수한 이상을 유지해야 성공.","예술/음악/영성/비전제시. 꿈을 현실로 만드는 직업. 순수성이 핵심.","이상적이고 영적인 관계. 꿈을 공유하는 영혼의 동반자.","발/림프계 주의. 중독 문제 가능성."
FS_vega,베가,fixed_star,15Capricorn19,0.03,거문고자리,금성+수성,"직녀성. 음악과 마법, 카리스마의 별. 예술적 재능과 대중적 매력의 별. 한국/동양 전설의 별.","음악가/배우/마법사(IT)/대중문화. 카리스마로 대중을 사로잡는 직업.","직녀와 견우 같은 운명적 만남. 거리나 장애를 넘는 사랑.","목/후두 관련 주의. 음성 관리 필요."
FS_altair,알타이르,fixed_star,1Aquarius47,0.77,독수리자리,화성+목성,"견우성. 대담하고 용감한 독수리의 별. 행동력과 결단, 모험심의 별. 동양 전설에서 견우.","조종사/군인/모험가/스포츠선수. 대담한 행동력이 필요한 직업.","견우와 직녀의 전설처럼 장애를 극복하는 사랑. 용기 있는 관계.","폐/호흡기 주의. 눈 건강도 관리."
FS_deneb,데네브,fixed_star,5Pisces20,1.25,백조자리,금성+수성,"백조의 꼬리. 예술과 치유, 신비의 별. 백조의 우아함과 변환(못난 오리→아름다운 백조)의 상징.","예술치료/음악치료/무용. 아름다움을 통해 치유하는 직업.","우아하고 신비로운 관계. 서로를 변환시키는 사랑.","피부/점막 관련 주의. 알레르기 체질 가능."
FS_capella,카펠라,fixed_star,21Gemini51,0.08,마차부자리,화성+수성,"마차부의 별. 호기심과 다재다능함, 교육과 소통의 별. 여러 분야를 연결하는 능력.","교육자/소통 전문가/다재다능 크리에이터. 여러 분야를 연결하는 직업.","다양한 주제로 대화가 끊이지 않는 관계. 지적 호기심 공유.","피부/알레르기 주의. 과민 반응 가능."
FS_polaris,폴라리스,fixed_star,28Gemini34,2.0,작은곰자리,토성+금성,"북극성. 안내와 방향의 별. 불변의 중심, 나침반의 별. 길을 찾는 자들의 별.","네비게이터/컨설턴트/멘토/안내자. 방향을 제시하는 직업.","관계의 중심이 되는 사람. 안정적인 축 역할. 의지할 수 있는 파트너.","척추/뼈 건강 주의. 중심축 관련 문제."
FS_betelgeuse,베텔게우스,fixed_star,28Gemini45,0.45,오리온,화성+수성,"오리온의 오른어깨. 전쟁과 승리의 별. 명예와 부의 획득. 단 교만하면 몰락. 최후의 빛남.","군사지도자/스포츠 챔피언/전략가. 경쟁에서 승리하는 직업.","승리를 함께 축하하는 관계. 파트너와 함께 정상에 오름.","어깨/팔 건강 주의. 염증성 질환 가능."
FS_procyon,프로키온,fixed_star,25Cancer47,0.38,작은개자리,수성+화성,"작은 개의 별. 민첩함과 기민함의 별. 빠른 판단과 행동으로 성공. 충성심의 별.","기자/트레이더/응급대응/스타트업. 빠른 판단이 필요한 직업.","민첩하고 재미있는 관계. 함께 뛰어다니는 활동적인 파트너.","신경계 주의. 불안/초조 경향. 빠른 리듬 관리."
FS_castor,카스토르,fixed_star,20Cancer14,1.58,쌍둥이자리,수성,"쌍둥이 중 카스토르. 지성과 글쓰기의 별. 소통과 표현의 재능. 쌍둥이의 반쪽.","작가/기자/번역가/커뮤니케이터. 언어로 일하는 직업.","쌍둥이처럼 닮은 관계. 말이 잘 통하는 파트너. 지적 교류.","신경/손 건강 주의. 손목터널증후군 등."
FS_pollux,폴룩스,fixed_star,23Cancer13,1.14,쌍둥이자리,화성,"쌍둥이 중 폴룩스. 체력과 용기의 별. 스포츠와 경쟁의 재능. 쌍둥이의 나머지 반쪽.","운동선수/군인/경쟁 분야. 체력과 용기가 필요한 직업.","경쟁적이면서도 보완적인 관계. 함께 운동하는 파트너.","근육/관절 주의. 스포츠 부상 가능."
FS_achernar,아케르나르,fixed_star,15Pisces19,0.46,에리다누스강,목성,"강의 끝. 성공과 행운의 별. 여정의 완성과 도달. 종교적/철학적 성취.","철학자/종교인/탐험가. 긴 여정 끝의 깨달음을 얻는 직업.","여정을 함께 완주하는 관계. 함께 도달하는 파트너십.","순환계 주의. 혈류 관련 문제."
FS_canopus,카노푸스,fixed_star,14Cancer58,-0.72,용골자리,토성+목성,"하늘에서 두 번째로 밝은 별. 항해의 별. 먼 여정의 안내자. 지혜와 노년의 영광.","항해사/여행가/노년의 멘토. 긴 경험을 통한 지혜의 직업.","먼 곳에서 만난 인연. 여행 중의 로맨스. 현명한 파트너.","발/다리 건강 주의. 여행 관련 건강 문제."
FS_arcturus,아크투루스,fixed_star,24Libra14,0.04,목동자리,화성+목성,"목동의 별. 보호자와 수호자의 별. 지키고 인도하는 역할. 탐험과 발견.","가디언/보안전문가/탐험가. 지키고 발견하는 직업.","보호하고 보호받는 관계. 안전한 품이 되어주는 파트너.","무릎/다리 건강 주의. 관절염 가능."
FS_hamal,하말,fixed_star,7Taurus40,2.0,양자리,화성+토성,"양의 머리. 독립심과 리더십의 별. 선구자와 개척자. 때로는 완고함.","기업가/혁신가/선구자. 새로운 길을 여는 직업.","독립적이면서 함께하는 관계. 서로의 공간을 존중.","머리/뇌 건강 주의. 두통, 편두통."
FS_algedi,알게디,fixed_star,3Aquarius46,3.6,염소자리,금성+화성,"염소의 뿔. 야망과 인내의 별. 천천히 그러나 확실하게 정상에 오름.","경영자/장기 프로젝트 관리자. 인내로 성취하는 직업.","느리지만 확실한 관계 발전. 오래 가는 파트너십.","무릎/뼈 건강 주의. 골다공증 관리."
FS_deneb_algedi,데네브 알게디,fixed_star,23Aquarius33,2.9,염소자리,토성+목성,"염소의 꼬리. 법과 정의의 별. 공정함과 판단력. 사회적 책임.","판사/법조인/감사관. 공정함을 다루는 직업.","공정하고 균형 잡힌 관계. 규칙이 있는 파트너십.","무릎 하부 주의. 다리 순환 문제."
