id,layer,category,saju_concept,astro_concept,age_range,title_ko,description,synchronization_insight,life_event_correlation,advice
TIMING_SYNC_001,4,timing,대운전환_1대운,Jupiter_Return_1st,11-13세,첫 번째 전환기,"사주 첫 대운 전환(약 10-12세)과 목성 리턴(12세)이 겹치는 시기. 두 시스템 모두 인생의 첫 번째 큰 전환점으로 본다.","사주의 대운이 바뀌는 시기에 목성이 출생 위치로 돌아오면 변화의 에너지가 극대화됩니다. 새로운 환경(중학교 진학)에 적응하며 자아정체성이 형성됩니다.","학교 전환, 사춘기 시작, 관심사 변화, 첫 재능 발현. 이 시기 부모의 지지가 결정적.","이 시기 아이의 변화를 억누르지 마세요. 새로운 관심사를 적극 지원해주면 평생의 방향이 정해집니다."
TIMING_SYNC_002,4,timing,대운전환_2대운,Saturn_Square_1st,20-22세,성인기 진입,"사주 두 번째 대운 전환(약 20-22세)과 토성 첫 스퀘어(21세)가 겹치는 시기. 책임과 현실의 첫 시험.","대운이 바뀌면서 토성 스퀘어가 오면 사회적 책임이 급증합니다. 학업에서 직업으로, 의존에서 독립으로의 전환.","대학 졸업, 취업 준비, 첫 사회생활, 군 제대, 경제적 독립 시작.","현실의 벽을 느끼더라도 포기하지 마세요. 이 시기의 시련이 30대의 기반을 만듭니다."
TIMING_SYNC_003,4,timing,대운전환_3대운,Saturn_Return_1st,28-30세,첫 번째 새턴 리턴,"사주 세 번째 대운 전환과 첫 번째 토성 리턴(29.5세)이 겹치는 시기. 인생에서 가장 중요한 전환점 중 하나.","토성 리턴은 점성술에서 가장 중대한 전환점이고, 사주의 대운 전환도 10년 주기의 큰 변화입니다. 이 둘이 겹치면 인생의 방향이 근본적으로 재설정됩니다.","결혼/이혼, 직업 대전환, 사업 시작/정리, 해외이주, 가치관 근본적 변화. 20대의 실험이 끝나고 진짜 인생이 시작.","이 시기의 결정이 향후 30년을 좌우합니다. 외부 기대가 아닌 자신의 진정한 원하는 것에 집중하세요."
TIMING_SYNC_004,4,timing,대운중반,Jupiter_Return_2nd,23-25세,기회의 창,"대운 중반기에 두 번째 목성 리턴(24세)이 오는 시기. 사주 대운의 기운이 안정되면서 목성이 확장의 기회를 가져온다.","대운이 안정된 시기에 목성 리턴이 오면 최적의 기회 포착 시기입니다. 새로운 학업, 여행, 관계 확장에 유리.","대학원 진학, 해외 경험, 새로운 인간관계 확장, 첫 투자, 결혼 준비.","기회가 왔을 때 과감하게 잡으세요. 목성의 확장 에너지와 대운의 안정이 만나는 황금 시기입니다."
TIMING_SYNC_005,4,timing,대운전환_4대운,Pluto_Square_1st,36-40세,심층 변환기,"사주 네 번째 대운 전환과 명왕성 첫 스퀘어(약 38세)가 겹치는 시기. 인생의 근본적 변환.","대운 전환과 명왕성 스퀘어가 겹치면 삶의 깊은 층위에서 변화가 일어납니다. 겉으로는 위기처럼 보이지만 진정한 자아를 발견하는 시기.","중년의 위기, 직업적 대전환, 깊은 자기성찰, 관계 재정립, 건강 경고 신호, 영적 각성.","저항하지 말고 변화의 흐름을 타세요. 이 시기에 놓아야 할 것을 놓으면 후반생이 가벼워집니다."
TIMING_SYNC_006,4,timing,대운전환_5대운,Jupiter_Return_3rd,35-37세,확장과 수확,"사주 대운 전환과 세 번째 목성 리턴(36세)이 겹치는 시기. 그동안의 노력이 결실을 맺는 시기.","세 번째 목성 리턴은 사회적 성취와 확장의 시기이며, 대운 전환이 겹치면 새로운 무대에서의 성공.","승진, 사업 확장, 출판, 사회적 인정, 재산 증식, 자녀 교육 관련 결정.","성취에 취하지 마세요. 겸손하게 나누면 더 큰 복이 옵니다."
TIMING_SYNC_007,4,timing,대운후반,Uranus_Opposition,40-42세,각성의 시기,"대운 후반부에 천왕성 오포지션(42세)이 오는 시기. 예측 불가능한 변화와 자유를 향한 갈망.","천왕성 오포지션은 점성술의 '중년의 각성'이며 사주 대운 후반의 에너지 변화와 결합하면 돌발적 전환이 일어납니다.","갑작스러운 퇴사, 이혼, 새로운 취미/관계 시작, 인생 2막, 해외이주, 급격한 외모 변화.","자유에 대한 갈망을 건설적으로 표현하세요. 충동적 결정보다 계획된 변화가 더 나은 결과를 가져옵니다."
TIMING_SYNC_008,4,timing,대운전환_중년,Neptune_Square_1st,40-42세,영적 전환점,"사주 대운 전환과 해왕성 첫 스퀘어(41세)가 겹치는 시기. 현실과 이상 사이의 혼란.","해왕성 스퀘어는 삶의 의미에 대한 근본적 질문을 던지며, 대운 전환이 겹치면 영적 방향 전환이 일어납니다.","종교/영성 탐구, 예술적 각성, 환상과 현실의 구분 흐려짐, 중독 위험, 봉사활동 시작.","현실 도피가 아닌 영적 성장으로 방향을 잡으세요. 명상, 예술, 봉사활동이 이 에너지를 건강하게 표현하는 방법입니다."
TIMING_SYNC_009,4,timing,대운전환_6대운,Jupiter_Return_4th,47-49세,지혜의 수확,"사주 여섯 번째 대운 전환과 네 번째 목성 리턴(48세)이 겹치는 시기. 축적된 경험이 지혜로 변환.","인생 후반기 진입과 함께 목성 리턴이 오면 그동안의 경험이 지혜로 승화됩니다. 멘토/교육자로서의 역할이 시작.","교육/멘토링 역할 시작, 인생 후반기 사업 구상, 자녀 독립, 건강 관리 본격화.","경험을 나누세요. 이제는 받는 것보다 주는 것에서 더 큰 기쁨을 찾는 시기입니다."
TIMING_SYNC_010,4,timing,대운전환_후반,Saturn_Return_2nd,57-60세,두 번째 새턴 리턴,"사주 대운 전환과 두 번째 토성 리턴(59세)이 겹치는 시기. 인생 후반기의 근본적 재정립.","두 번째 토성 리턴은 인생의 진정한 유산을 정리하는 시기입니다. 대운 전환이 겹치면 은퇴 후 삶의 방향이 결정됩니다.","은퇴 준비/실행, 인생 정리, 유산 계획, 건강 관리 체계화, 손자녀와의 관계.","후회 없는 마무리를 준비하세요. 이 시기에 정리한 것이 남은 인생의 품질을 결정합니다."
