id,source,target,relation,description
REL_SS_비견_겁재,SS_비견,SS_겁재,균형,같은 에너지가 협동과 경쟁 속에서 균형을 이루는 관계. 자존과 도전의 공존.
REL_SS_식신_상관,SS_식신,SS_상관,균형,생산과 표현의 조화로 창의력이 극대화되는 균형 관계.
REL_SS_편재_정재,SS_편재,SS_정재,균형,확장적 재물운과 안정적 실속이 균형을 이루는 흐름.
REL_SS_편관_정관,SS_편관,SS_정관,균형,도전적 통제력과 책임감이 조화를 이루며 균형감 있게 작용.
REL_SS_편인_정인,SS_편인,SS_정인,균형,직관과 현실지혜가 함께 작용하는 균형 관계.
REL_SS_식신_편재,SS_식신,SS_편재,상생,생산능력이 재물운으로 이어지는 구조. 노력의 보상.
REL_SS_상관_정재,SS_상관,SS_정재,상생,표현력이 현실적 이득으로 이어지는 관계.
REL_SS_편재_편관,SS_편재,SS_편관,상생,재물이 사회적 권위로 전환되는 구조. 외부 활동의 기회 상승.
REL_SS_정재_정관,SS_정재,SS_정관,상생,성실한 재정관리로 명예와 신뢰를 쌓는 흐름.
REL_SS_편인_비견,SS_편인,SS_비견,상생,직관적 통찰이 새로운 협력 관계를 불러오는 조화.
REL_SS_정인_식신,SS_정인,SS_식신,상생,지식과 배움이 생산적 활동으로 전환되는 구조.
REL_SS_비견_편재,SS_비견,SS_편재,상극,자존심과 욕심이 충돌하며 재정적 긴장이 발생.
REL_SS_겁재_정재,SS_겁재,SS_정재,상극,경쟁심이 현실적 안정감을 흔드는 상극의 흐름.
REL_SS_식신_편관,SS_식신,SS_편관,상극,자유로운 표현이 통제와 마찰을 일으키는 긴장 관계.
REL_SS_상관_정관,SS_상관,SS_정관,상극,표현이 규범을 넘으면 갈등으로 발전.
REL_SS_편재_편인,SS_편재,SS_편인,상극,현실욕망과 내면통찰이 상반되어 불안정 에너지.
REL_SS_정재_정인,SS_정재,SS_정인,상극,현실과 이상이 충돌.
REL_SS_편관_비견,SS_편관,SS_비견,상극,권위와 자존이 부딪히는 경쟁 구도.
REL_SS_정관_겁재,SS_정관,SS_겁재,상극,책임의식과 투쟁심이 충돌하여 긴장감 증가.
REL_SS_정관_정인,SS_정관,SS_정인,보호,리더십과 지식이 조화되어 책임감으로 승화.
REL_SS_편관_편인,SS_편관,SS_편인,보호,권위와 통찰이 합쳐져 균형을 이룸.
REL_SS_편재_정재_보완,SS_편재,SS_정재,보완,확장과 안정이 결합하여 재정 구조를 안정화.
REL_SS_편관_정관_보완,SS_편관,SS_정관,보완,도전과 책임이 결합되어 리더십 완성.
REL_SS_편인_정인_보완,SS_편인,SS_정인,보완,직관과 전문성이 상호 보완.
REL_SS_편재_정관,SS_편재,SS_정관,도전,현실 활동이 명예로 이어지지만 부담감 증가.
REL_SS_정재_편관,SS_정재,SS_편관,도전,규범과 책임감이 강화되어 리더십 시험.
REL_SS_비견_정관,SS_비견,SS_정관,도전,자존심이 외부 압력에 반응하며 성장.
REL_SS_겁재_편관,SS_겁재,SS_편관,도전,경쟁심이 권위와 충돌.
REL_SS_편재_편관_긴장,SS_편재,SS_편관,긴장,현실 활동에서 목표 압박.
REL_SS_정재_정관_긴장,SS_정재,SS_정관,긴장,안정과 명예 사이 균형 점검.
REL_SS_식신_편인,SS_식신,SS_편인,내면화,표현력과 직관 교차로 창조적 영감 상승.
REL_SS_상관_정인,SS_상관,SS_정인,내면화,이성과 감성의 균형을 맞추는 시기.
REL_SS_편인_식신,SS_편인,SS_식신,내면화,직관이 현실 행위로 전환.
REL_SS_정인_상관,SS_정인,SS_상관,내면화,지식이 표현과 예술로 발현.
REL_SS_편재_편인,SS_편재,SS_편인,후원,재물과 지식의 보완적 연결.
REL_SS_정재_정인,SS_정재,SS_정인,후원,성실한 관리가 지적 성취를 지원.
REL_SS_비견_정인,SS_비견,SS_정인,후원,협력 속 지식 교류.
REL_SS_겁재_편인,SS_겁재,SS_편인,후원,경쟁 속에서도 통찰을 나눔.
REL_SS_식신_정재,SS_식신,SS_정재,상생,생산이 안정된 재정으로.
REL_SS_상관_편재,SS_상관,SS_편재,상생,표현이 외부 확장으로 이어짐.
REL_SS_편재_정관_성취,SS_편재,SS_정관,성취,결과 중심의 활동으로 성취.
REL_SS_정재_편관_성취,SS_정재,SS_편관,성취,책임과 명예가 결합.
REL_SS_편인_정관_보호,SS_편인,SS_정관,보호,내면 통찰이 권위를 안정화.
REL_SS_정인_편관_보호,SS_정인,SS_편관,보호,지혜와 명예의 동반 성장.
REL_SS_식신_편인_충돌,SS_식신,SS_편인,충돌,실행력과 직관의 마찰. 예술적 갈등의 원천.
REL_SS_상관_정인_충돌,SS_상관,SS_정인,충돌,감성과 이성의 충돌로 갈등과 영감 공존.
REL_SS_비견_정재_충돌,SS_비견,SS_정재,충돌,개인성과 현실 욕구 충돌로 긴장 발생.
REL_SS_비견_식신_상호생극,SS_비견,SS_식신,상호생극,협력과 창의가 교차되는 생중극 관계.
REL_SS_정재_정인_상호생극,SS_정재,SS_정인,상호생극,현실과 이상이 순환하며 교차 작용.
REL_SS_비견_정인_교류,SS_비견,SS_정인,교류,협력 속 정신적 교류 활성화.
REL_SS_겁재_편인_교류,SS_겁재,SS_편인,교류,도전 속 통찰 나눔.
REL_SS_편인_정관_종속,SS_편인,SS_정관,종속,직관이 권위에 따르는 흐름.
REL_SS_정인_편재_종속,SS_정인,SS_편재,종속,지식이 현실 흐름에 순응.
REL_SS_편인_정재_완화,SS_편인,SS_정재,완화,지적 통찰이 재정 안정에 도움.
REL_SS_정인_편재_완화,SS_정인,SS_편재,완화,감성과 현실감각의 조화.
