id,label,type,aspect_name,degree,orb,nature,korean_name,energy,effect,saju_correlation,description
AA_conjunction,합,astro_aspect,Conjunction,0,8,neutral,합(0도),융합/강화/집중,두에너지가하나로융합/강렬한표현,천간합-융합,합(Conjunction)은 두 행성이 같은 위치에서 에너지를 융합. 행성의 성격에 따라 조화롭거나 긴장될 수 있음.
AA_sextile,육분,astro_aspect,Sextile,60,4,harmonious,육분(60도),기회/재능/협력,자연스러운재능과기회/노력하면열리는문,지지삼합-조화,육분(Sextile)은 조화로운 기회의 각도. 자연스러운 재능이나 기회가 있으나 활용하려면 노력 필요.
AA_square,사각,astro_aspect,Square,90,7,challenging,사각(90도),긴장/도전/성장동력,갈등과긴장/행동을촉발하는압력,충-대립,사각(Square)은 긴장과 도전의 각도. 갈등을 일으키나 그 압력이 성장과 행동의 동력이 됨.
AA_trine,삼합,astro_aspect,Trine,120,8,harmonious,삼합(120도),조화/재능/흐름,자연스러운재능과행운/노력없이흐르는에너지,삼합-대조화,삼합(Trine)은 가장 조화로운 각도. 타고난 재능과 행운이 자연스럽게 흐르나 게을러질 수 있음.
AA_opposition,충,astro_aspect,Opposition,180,8,challenging,충(180도),대립/인식/통합과제,반대극의긴장/타인을통한자기인식,충-정면대립,충(Opposition)은 정반대의 긴장. 대립하는 에너지 사이에서 균형을 찾아야 하며 타인을 통해 배움.
AA_quincunx,불합,astro_aspect,Quincunx,150,3,adjusting,불합(150도),조정/불편함/적응필요,서로맞지않는에너지/지속적조정필요,반합-불완전,불합(Quincunx)은 조정이 필요한 각도. 서로 다른 에너지가 불편하게 연결되어 지속적 적응 필요.
AA_semisextile,반육분,astro_aspect,Semi-sextile,30,2,minor,반육분(30도),미세한연결/잠재력,인접한에너지의미묘한연결/발전가능성,방합-인접,반육분(Semi-sextile)은 미세한 연결의 각도. 인접한 별자리 에너지가 미묘하게 연결됨.
AA_semisquare,반사각,astro_aspect,Semi-square,45,2,minor_challenging,반사각(45도),마찰/자극/성장통,작은긴장과마찰/성장을위한자극,형-마찰,반사각(Semi-square)은 작은 긴장의 각도. 성장을 위한 미세한 자극과 마찰을 제공.
AA_sesquiquadrate,세스퀴사각,astro_aspect,Sesquiquadrate,135,2,minor_challenging,세스퀴사각(135도),조정필요/긴장/해결과제,지속적인긴장/해결해야할과제,파-분열,세스퀴사각(Sesquiquadrate)은 지속적 긴장의 각도. 해결해야 할 과제가 계속 나타남.
AA_quintile,오분,astro_aspect,Quintile,72,2,creative,오분(72도),창의성/재능/특별한능력,창의적재능/독특한능력발현,특수신살-특별재능,오분(Quintile)은 창의성의 각도. 독특하고 특별한 재능이 발현되는 연결.
AA_biquintile,쌍오분,astro_aspect,Biquintile,144,2,creative,쌍오분(144도),창의적표현/재능발휘,창의적재능의성숙한표현,특수신살-재능발휘,쌍오분(Biquintile)은 창의적 재능이 성숙하게 표현되는 각도.
AA_novile,구분,astro_aspect,Novile,40,1.5,spiritual,구분(40도),영적연결/카르마/운명,영적사명과운명적연결/카르마적의미,천을귀인-영적연결,구분(Novile)은 영적 연결의 각도. 9분할의 신비로운 에너지로 운명적 사명과 관련.
AA_binovile,쌍구분,astro_aspect,Binovile,80,1.5,spiritual,쌍구분(80도),영적성숙/카르마해소,영적성숙과카르마적해소/전생연결,월덕귀인-자비,쌍구분(Binovile)은 영적 성숙의 각도. 전생의 연결과 카르마 해소의 기회.
AA_quadranovile,사구분,astro_aspect,Quadranovile,160,1.5,spiritual,사구분(160도),영적완성/운명발현,영적여정의완성/운명적발현,화개살-영적각성,사구분(Quadranovile)은 영적 완성의 각도. 영적 여정의 완성과 운명적 발현.
AA_septile,칠분,astro_aspect,Septile,51.43,1.5,fated,칠분(51.43도),운명/신비/불가해,운명적연결/신비롭고설명불가한끌림,천을귀인-운명,칠분(Septile)은 운명의 각도. 7분할의 신비로운 에너지로 운명적이고 불가해한 연결.
AA_biseptile,쌍칠분,astro_aspect,Biseptile,102.86,1.5,fated,쌍칠분(102.86도),운명적행동/신비적추진,운명에이끌리는행동/신비로운추진력,역마살-운명이동,쌍칠분(Biseptile)은 운명적 행동의 각도. 신비로운 힘에 이끌려 행동하게 됨.
AA_triseptile,삼칠분,astro_aspect,Triseptile,154.29,1.5,fated,삼칠분(154.29도),운명완성/신비체험,운명적여정의완성/신비체험,천의성-하늘뜻,삼칠분(Triseptile)은 운명 완성의 각도. 운명적 여정이 완성되는 신비로운 체험.
AA_decile,십분,astro_aspect,Decile,36,1.5,manifestation,십분(36도),물질화/현실화/구체화,아이디어의물질화/꿈을현실로,정재-현실화,십분(Decile)은 물질화의 각도. 아이디어를 현실로 만드는 구체화 능력.
AA_tridecile,삼십분,astro_aspect,Tridecile,108,1.5,manifestation,삼십분(108도),성숙한현실화/완성된구현,성숙한방식의현실화/완성된구현,정재-완성,삼십분(Tridecile)은 성숙한 현실화의 각도. 경험을 통해 완성된 구현 능력.
AA_undecile,십일분,astro_aspect,Undecile,32.73,1,transcendent,십일분(32.73도),초월/직관/영감,일반적틀을초월하는영감/직관적통찰,편인-직관,십일분(Undecile)은 초월의 각도. 일반적인 틀을 넘어서는 영감과 직관.
AA_vigintile,이십분,astro_aspect,Vigintile,18,1,subtle,이십분(18도),미세한연결/잠재적영향,매우미세한에너지연결/잠재적영향,묘한인연-미세,이십분(Vigintile)은 매우 미세한 연결의 각도. 잠재적이고 미묘한 영향.
AA_parallel,평행,astro_aspect,Parallel,0,1,conjunction_like,평행(적위일치),강화/융합/숨은합,적위가같아숨겨진합의효과/강화작용,암합-숨은합,평행(Parallel)은 적위가 같은 각도. 숨겨진 합의 효과로 에너지가 강화됨.
AA_contraparallel,역평행,astro_aspect,Contraparallel,0,1,opposition_like,역평행(적위대칭),대립/인식/숨은충,적위가대칭으로숨겨진충의효과,암충-숨은충,역평행(Contraparallel)은 적위가 대칭인 각도. 숨겨진 충의 효과로 인식과 대립.
AA_sun_moon_conj,일월합,astro_aspect_pair,Sun_Moon_Conjunction,0,10,identity,해달합,자아와감정의융합/신월,의지와감정이하나/본능적인사람,일간일지합-내면통합,태양과 달의 합은 의지와 감정이 하나로 통합. 본능적이고 직관적이나 객관성이 부족할 수 있음.
AA_sun_moon_opp,일월충,astro_aspect_pair,Sun_Moon_Opposition,180,10,awareness,해달충,자아와감정의대립/보름,내면갈등/의식과무의식의긴장,일간일지충-내면갈등,태양과 달의 충은 의지와 감정 사이의 긴장. 내면 갈등이 있으나 자기 인식이 깊어질 수 있음.
AA_sun_moon_square,일월사각,astro_aspect_pair,Sun_Moon_Square,90,8,tension,해달사각,자아와감정의긴장/반달,내면의갈등이행동의동력/복잡한감정,일간일지형-내면마찰,태양과 달의 사각은 의지와 감정 사이의 긴장. 내면 갈등이 행동의 동력이 되나 스트레스 유발.
AA_sun_moon_trine,일월삼합,astro_aspect_pair,Sun_Moon_Trine,120,8,harmony,해달삼합,자아와감정의조화/심리안정,의지와감정이자연스럽게흐름/심리적안정,일간일지합-내면조화,태양과 달의 삼합은 의지와 감정의 자연스러운 조화. 심리적으로 안정되고 자기 확신이 있음.
