id,source,target,relation,description
TR_Sun_conjunction_Sun,TR_Sun,Sun,conjunction,트랜짓 Sun이(가) 네이탈 Sun와(과) conjunction
TR_Sun_sextile_Sun,TR_Sun,Sun,sextile,트랜짓 Sun이(가) 네이탈 Sun와(과) sextile
TR_Sun_square_Sun,TR_Sun,Sun,square,트랜짓 Sun이(가) 네이탈 Sun와(과) square
TR_Sun_trine_Sun,TR_Sun,Sun,trine,트랜짓 Sun이(가) 네이탈 Sun와(과) trine
TR_Sun_opposition_Sun,TR_Sun,Sun,opposition,트랜짓 Sun이(가) 네이탈 Sun와(과) opposition
TR_Sun_conjunction_Moon,TR_Sun,Moon,conjunction,트랜짓 Sun이(가) 네이탈 Moon와(과) conjunction
TR_Sun_sextile_Moon,TR_Sun,Moon,sextile,트랜짓 Sun이(가) 네이탈 Moon와(과) sextile
TR_Sun_square_Moon,TR_Sun,Moon,square,트랜짓 Sun이(가) 네이탈 Moon와(과) square
TR_Sun_trine_Moon,TR_Sun,Moon,trine,트랜짓 Sun이(가) 네이탈 Moon와(과) trine
TR_Sun_opposition_Moon,TR_Sun,Moon,opposition,트랜짓 Sun이(가) 네이탈 Moon와(과) opposition
TR_Sun_conjunction_Mercury,TR_Sun,Mercury,conjunction,트랜짓 Sun이(가) 네이탈 Mercury와(과) conjunction
TR_Sun_sextile_Mercury,TR_Sun,Mercury,sextile,트랜짓 Sun이(가) 네이탈 Mercury와(과) sextile
TR_Sun_square_Mercury,TR_Sun,Mercury,square,트랜짓 Sun이(가) 네이탈 Mercury와(과) square
TR_Sun_trine_Mercury,TR_Sun,Mercury,trine,트랜짓 Sun이(가) 네이탈 Mercury와(과) trine
TR_Sun_opposition_Mercury,TR_Sun,Mercury,opposition,트랜짓 Sun이(가) 네이탈 Mercury와(과) opposition
TR_Sun_conjunction_Venus,TR_Sun,Venus,conjunction,트랜짓 Sun이(가) 네이탈 Venus와(과) conjunction
TR_Sun_sextile_Venus,TR_Sun,Venus,sextile,트랜짓 Sun이(가) 네이탈 Venus와(과) sextile
TR_Sun_square_Venus,TR_Sun,Venus,square,트랜짓 Sun이(가) 네이탈 Venus와(과) square
TR_Sun_trine_Venus,TR_Sun,Venus,trine,트랜짓 Sun이(가) 네이탈 Venus와(과) trine
TR_Sun_opposition_Venus,TR_Sun,Venus,opposition,트랜짓 Sun이(가) 네이탈 Venus와(과) opposition
TR_Sun_conjunction_Mars,TR_Sun,Mars,conjunction,트랜짓 Sun이(가) 네이탈 Mars와(과) conjunction
TR_Sun_sextile_Mars,TR_Sun,Mars,sextile,트랜짓 Sun이(가) 네이탈 Mars와(과) sextile
TR_Sun_square_Mars,TR_Sun,Mars,square,트랜짓 Sun이(가) 네이탈 Mars와(과) square
