id,source,target,relation_type,description,interpretation_note,strength
DA_E1,DS_용,PS_sun_leo,dream_astro_parallel,"용꿈과 사자자리 태양의 연결. 둘 다 왕의 에너지와 자기실현을 상징.","용꿈을 꾸고 사자자리 태양을 가진 경우 자아실현과 리더십의 강한 징조.",strong
DA_E2,DS_용,AS_jupiter_sun,dream_astro_parallel,"용꿈과 목성-태양 합의 연결. 둘 다 확장과 성공의 극대화.","용꿈과 목성-태양 합이 겹치면 큰 성공과 행운의 시기.",strong
DA_E3,DS_뱀,PS_venus_sco,dream_astro_parallel,"뱀꿈과 전갈자리 금성의 연결. 둘 다 변환과 깊은 욕망을 상징.","뱀꿈과 전갈자리 금성은 재물과 관계에서의 변환적 경험을 암시.",moderate
DA_E4,DS_뱀,AS_pluto_venus,dream_astro_parallel,"뱀꿈과 명왕성-금성 관계. 둘 다 소유욕과 변환적 사랑.","뱀꿈과 명왕성-금성 트랜짓이 겹치면 관계나 재물의 큰 변화.",strong
DA_E5,DS_호랑이,PS_mars_ari,dream_astro_parallel,"호랑이꿈과 양자리 화성. 둘 다 용기와 전투적 에너지.","호랑이꿈과 양자리 화성은 리더십과 권위 획득의 시기.",strong
DA_E6,DS_호랑이,PS_sun_ari,dream_astro_parallel,"호랑이꿈과 양자리 태양. 둘 다 개척자와 선두주자의 에너지.","호랑이꿈과 양자리 태양은 새로운 도전에서 승리할 징조.",strong
DA_E7,DS_돼지,PS_venus_tau,dream_astro_parallel,"돼지꿈과 황소자리 금성. 둘 다 물질적 풍요와 감각적 즐거움.","돼지꿈과 황소자리 금성은 재물운과 안정의 좋은 시기.",strong
DA_E8,DS_돼지,AS_jupiter_venus,dream_astro_parallel,"돼지꿈과 목성-금성 합. 둘 다 풍요와 행운의 극대화.","돼지꿈과 목성-금성 합이 겹치면 로또/복권 등 횡재운 가능.",strong
DA_E9,DS_물고기,PS_venus_pis,dream_astro_parallel,"물고기꿈과 물고기자리 금성. 둘 다 무의식의 풍요와 영적 사랑.","물고기꿈과 물고기자리 금성은 직관적 행운과 영적 인연.",strong
DA_E10,DS_물고기,PS_moon_can,dream_astro_parallel,"물고기꿈과 게자리 달. 둘 다 감정의 풍요와 임신/자녀운.","물고기꿈과 게자리 달은 가족과 자녀에 관한 좋은 소식.",moderate
DA_E11,DS_새,AS_mercury_uranus,dream_astro_parallel,"새꿈과 수성-천왕성 관계. 둘 다 소식과 갑작스런 변화.","새꿈과 수성-천왕성 트랜짓은 예상치 못한 좋은 소식.",moderate
DA_E12,DS_새,PS_jupiter_sag,dream_astro_parallel,"새꿈과 사수자리 목성. 둘 다 자유와 확장, 해외 인연.","새꿈과 사수자리 목성은 여행이나 해외 관련 기회.",moderate
DA_E13,DS_산,PS_saturn_cap,dream_astro_parallel,"산꿈과 염소자리 토성. 둘 다 장기적 목표와 인내를 통한 성취.","산꿈과 염소자리 토성은 꾸준한 노력이 성과로 이어지는 시기.",strong
DA_E14,DS_산,PS_mars_cap,dream_astro_parallel,"산꿈과 염소자리 화성. 둘 다 전략적 상승과 목표 달성.","산꿈과 염소자리 화성은 야심찬 목표 달성의 좋은 시기.",strong
DA_E15,DS_물,PS_moon_can,dream_astro_parallel,"물꿈과 게자리 달. 둘 다 깊은 감정과 무의식.","물꿈과 게자리 달은 감정 상태를 점검하라는 신호.",strong
DA_E16,DS_물,AS_moon_neptune,dream_astro_parallel,"물꿈과 달-해왕성 관계. 둘 다 감정의 무한함과 직관.","물꿈과 달-해왕성 트랜짓은 직관력 극대화 시기.",moderate
