id,label,type,spread_name,card_count,korean_name,purpose,positions,best_for,difficulty,description
TS_one,원카드,tarot_spread,One_Card,1,원카드스프레드,간단한질문/오늘의메시지/핵심통찰,1-현재상황또는답,일상적질문/빠른통찰/명상,초급,가장 간단한 스프레드. 하나의 카드로 핵심 메시지를 받음. 명확한 질문에 직접적 답.
TS_three,쓰리카드,tarot_spread,Three_Card,3,쓰리카드스프레드,과거현재미래/상황조언결과/마음몸영혼,1-과거_2-현재_3-미래,흐름파악/기본상담/학습용,초급,가장 다용도의 스프레드. 시간 흐름, 상황 분석, 세 가지 측면 등 다양하게 활용.
TS_celtic,켈틱크로스,tarot_spread,Celtic_Cross,10,켈틱크로스스프레드,종합적상황분석/깊은통찰/복잡한질문,1-현재_2-도전_3-의식_4-무의식_5-과거_6-미래_7-자신_8-환경_9-희망두려움_10-결과,복잡한상황/중요한결정/깊은분석,고급,가장 유명하고 포괄적인 스프레드. 상황의 모든 측면을 다루며 깊은 통찰 제공.
TS_horseshoe,호스슈,tarot_spread,Horseshoe,7,말굽스프레드,상황분석과조언/중간수준분석,1-과거_2-현재_3-숨겨진요소_4-조언_5-외부영향_6-희망/두려움_7-결과,중간수준분석/결정사항,중급,말굽 모양으로 배열. 켈틱크로스보다 간단하면서도 충분한 깊이의 분석 제공.
TS_relationship,관계스프레드,tarot_spread,Relationship,6,관계스프레드,두사람의관계분석,1-나_2-상대_3-관계의기반_4-도전_5-강점_6-미래방향,연애/파트너십/갈등분석,중급,두 사람의 관계를 분석하는 전문 스프레드. 각자의 관점과 관계의 역학 파악.
TS_year,연간스프레드,tarot_spread,Year_Ahead,12,연간운세스프레드,한해의흐름/월별운세,1월-12월각각의카드,새해운세/장기계획,중급,12장의 카드로 한 해의 흐름을 봄. 각 월의 에너지와 주제를 미리 파악.
TS_decision,결정스프레드,tarot_spread,Decision,5,선택스프레드,두가지선택지비교,1-현재_2-선택A결과_3-선택B결과_4-숨겨진요소_5-조언,중요한결정/양자택일,중급,두 가지 선택지를 비교 분석. 각 선택의 결과와 숨겨진 요소 파악.
TS_career,커리어스프레드,tarot_spread,Career,6,직업운스프레드,직업관련질문/커리어방향,1-현재직업상황_2-강점_3-약점_4-기회_5-도전_6-조언,직업상담/이직/사업,중급,직업과 커리어에 특화된 스프레드. 현재 상황과 발전 방향 분석.
TS_chakra,차크라스프레드,tarot_spread,Chakra,7,차크라스프레드,에너지센터점검/전인적분석,1-루트_2-천골_3-태양신경총_4-하트_5-목_6-제3의눈_7-크라운,영적성장/에너지점검,고급,7개 차크라에 대응하는 스프레드. 신체-정서-영적 에너지의 균형 점검.
TS_shadow,그림자스프레드,tarot_spread,Shadow_Work,5,그림자작업스프레드,무의식탐구/그림자통합,1-의식적자아_2-숨겨진그림자_3-그림자의기원_4-통합의선물_5-치유방법,심리작업/자기성장,고급,융심리학의 그림자 작업을 위한 스프레드. 무의식의 억압된 면을 탐구하고 통합.
