id,label,type,category,description
GAN_갑,갑,천간,structure,"갑(목,양) 천간 — 하늘의 기운, 주체와 의지, 오행〔목〕의 방향을 가짐."
GAN_을,을,천간,structure,"을(목,음) 천간 — 하늘의 기운, 주체와 의지, 오행〔목〕의 방향을 가짐."
GAN_병,병,천간,structure,"병(화,양) 천간 — 하늘의 기운, 주체와 의지, 오행〔화〕의 방향을 가짐."
GAN_정,정,천간,structure,"정(화,음) 천간 — 하늘의 기운, 주체와 의지, 오행〔화〕의 방향을 가짐."
GAN_무,무,천간,structure,"무(토,양) 천간 — 하늘의 기운, 주체와 의지, 오행〔토〕의 방향을 가짐."
GAN_기,기,천간,structure,"기(토,음) 천간 — 하늘의 기운, 주체와 의지, 오행〔토〕의 방향을 가짐."
GAN_경,경,천간,structure,"경(금,양) 천간 — 하늘의 기운, 주체와 의지, 오행〔금〕의 방향을 가짐."
GAN_신,신,천간,structure,"신(금,음) 천간 — 하늘의 기운, 주체와 의지, 오행〔금〕의 방향을 가짐."
GAN_임,임,천간,structure,"임(수,양) 천간 — 하늘의 기운, 주체와 의지, 오행〔수〕의 방향을 가짐."
GAN_계,계,천간,structure,"계(수,음) 천간 — 하늘의 기운, 주체와 의지, 오행〔수〕의 방향을 가짐."
BR_자,자,지지,structure,"자(수,양) 지지 — 환경·감정·현실의 기운, 오행〔수〕의 흐름을 드러냄."
HIDDEN_자_계,계,지장간,자,"자지 속 지장간 계 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_축,축,지지,structure,"축(토,음) 지지 — 환경·감정·현실의 기운, 오행〔토〕의 흐름을 드러냄."
HIDDEN_축_기,기,지장간,축,"축지 속 지장간 기 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_축_계,계,지장간,축,"축지 속 지장간 계 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_축_신,신,지장간,축,"축지 속 지장간 신 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_인,인,지지,structure,"인(목,양) 지지 — 환경·감정·현실의 기운, 오행〔목〕의 흐름을 드러냄."
HIDDEN_인_병,병,지장간,인,"인지 속 지장간 병 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_인_갑,갑,지장간,인,"인지 속 지장간 갑 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_인_무,무,지장간,인,"인지 속 지장간 무 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_묘,묘,지지,structure,"묘(목,음) 지지 — 환경·감정·현실의 기운, 오행〔목〕의 흐름을 드러냄."
HIDDEN_묘_을,을,지장간,묘,"묘지 속 지장간 을 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_진,진,지지,structure,"진(토,양) 지지 — 환경·감정·현실의 기운, 오행〔토〕의 흐름을 드러냄."
HIDDEN_진_무,무,지장간,진,"진지 속 지장간 무 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_진_을,을,지장간,진,"진지 속 지장간 을 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_진_계,계,지장간,진,"진지 속 지장간 계 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_사,사,지지,structure,"사(화,음) 지지 — 환경·감정·현실의 기운, 오행〔화〕의 흐름을 드러냄."
HIDDEN_사_병,병,지장간,사,"사지 속 지장간 병 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_사_무,무,지장간,사,"사지 속 지장간 무 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_사_경,경,지장간,사,"사지 속 지장간 경 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_오,오,지지,structure,"오(화,양) 지지 — 환경·감정·현실의 기운, 오행〔화〕의 흐름을 드러냄."
HIDDEN_오_정,정,지장간,오,"오지 속 지장간 정 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_오_기,기,지장간,오,"오지 속 지장간 기 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_미,미,지지,structure,"미(토,음) 지지 — 환경·감정·현실의 기운, 오행〔토〕의 흐름을 드러냄."
HIDDEN_미_기,기,지장간,미,"미지 속 지장간 기 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_미_을,을,지장간,미,"미지 속 지장간 을 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_미_정,정,지장간,미,"미지 속 지장간 정 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_신,신,지지,structure,"신(금,양) 지지 — 환경·감정·현실의 기운, 오행〔금〕의 흐름을 드러냄."
HIDDEN_신_경,경,지장간,신,"신지 속 지장간 경 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_신_임,임,지장간,신,"신지 속 지장간 임 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_신_무,무,지장간,신,"신지 속 지장간 무 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_유,유,지지,structure,"유(금,음) 지지 — 환경·감정·현실의 기운, 오행〔금〕의 흐름을 드러냄."
HIDDEN_유_신,신,지장간,유,"유지 속 지장간 신 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_술,술,지지,structure,"술(토,양) 지지 — 환경·감정·현실의 기운, 오행〔토〕의 흐름을 드러냄."
HIDDEN_술_무,무,지장간,술,"술지 속 지장간 무 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_술_신,신,지장간,술,"술지 속 지장간 신 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_술_정,정,지장간,술,"술지 속 지장간 정 — 해당 지지의 내면 속성, 잠재 기운 표현."
BR_해,해,지지,structure,"해(수,음) 지지 — 환경·감정·현실의 기운, 오행〔수〕의 흐름을 드러냄."
HIDDEN_해_임,임,지장간,해,"해지 속 지장간 임 — 해당 지지의 내면 속성, 잠재 기운 표현."
HIDDEN_해_갑,갑,지장간,해,"해지 속 지장간 갑 — 해당 지지의 내면 속성, 잠재 기운 표현."
UNS_장생,장생,운성,12운성,"탄생과 시작의 기운, 생명력의 발현."
UNS_목욕,목욕,운성,12운성,정화와 변화를 준비하는 시기.
UNS_관대,관대,운성,12운성,성숙과 사회적 책임감의 강화.
UNS_건록,건록,운성,12운성,안정과 자기 확립의 단계.
UNS_제왕,제왕,운성,12운성,"정점의 기세, 강한 추진과 리더십."
UNS_쇠,쇠,운성,12운성,"기운이 줄어드는 회귀기, 성찰."
UNS_병,병,운성,12운성,휴식과 재정비의 시기.
UNS_사,사,운성,12운성,"마무리와 전환, 구세대 교체."
UNS_묘,묘,운성,12운성,"휴면과 잠재, 숨김의 단계."
UNS_절,절,운성,12운성,"단절과 분기점, 새로운 주기로 전환."
UNS_태,태,운성,12운성,"새 생명의 잉태, 가능성의 씨앗."
UNS_양,양,운성,12운성,"생명의 발아, 성장의 시작."
SAL_도화,도화,신살,12신살,"매력, 예술, 인기, 감정표현의 별."
SAL_홍염,홍염,신살,12신살,이성적 매력과 감정적 유대 향상.
SAL_문창,문창,신살,12신살,"학문/예술/문장력, 창조적 사고."
SAL_문곡,문곡,신살,12신살,"감성/언변, 사회 관계력 강화."
SAL_역마,역마,신살,12신살,"이동과 변화, 활발한 활동성."
SAL_화개,화개,신살,12신살,"예술성, 철학, 종교적 사색."
SAL_장성,장성,신살,12신살,"명예, 권위, 리더십."
SAL_망신,망신,신살,12신살,"예민/변덕, 불안정함, 표현과 감정이 과함."
SAL_겁살,겁살,신살,12신살,"돌발상황, 급격한 변화, 예민함."
SAL_재살,재살,신살,12신살,"도전, 경쟁심, 모험정신."
SAL_천을귀인,천을귀인,신살,12신살,"귀인운, 보호, 덕운."
SAL_지살,지살,신살,12신살,"현실적 활동, 개척정신."
GIL_천을귀인,천을귀인,길성,길/귀인성,"귀인의 도움, 복덕 및 행운."
GIL_문창,문창,길성,길/귀인성,"지혜, 예술, 문예성취."
GIL_문곡,문곡,길성,길/귀인성,"언변, 감성, 인기운."
GIL_현침,현침,길성,길/귀인성,"통찰력, 세밀함과 예민한 직관."
GIL_화개,화개,길성,길/귀인성,예술·철학·종교·예감의 기운.
GIL_도화,도화,길성,길/귀인성,"대인 매력, 예술, 외향성."
GIL_태극귀인,태극귀인,길성,길/귀인성,"종교성과 보호 본능, 정신적 고결함."
GIL_귀문관,귀문관,길성,길/귀인성,"심리, 영감, 직관적 통찰."
GIL_천덕,천덕,길성,길/귀인성,덕으로 보호받는 길.
GIL_월덕,월덕,길성,길/귀인성,명예·신망·사회적 신뢰.
HUNG_겁살,겁살,흉성,흉성,"불안/예민, 돌발/급변의 흉운."
HUNG_재살,재살,흉성,흉성,"공격성, 싸움, 경쟁심 과다."
HUNG_망신,망신,흉성,흉성,"불안정, 명예 손상, 감정 과잉."
HUNG_천라,천라,흉성,흉성,"속박, 제약, 고민과 시험."
HUNG_지망,지망,흉성,흉성,"감정혼란, 내면불안, 고립감."
