id,label,type,stage_order,description,career,relationship,health,timing,jung_archetype,tarot_parallel,energy_level,advice
TS_장생,장생,twelve_stage,1,"생명이 시작되는 단계. 희망과 가능성이 넘치며 새로운 시작에 유리하다. 순수하고 낙관적인 에너지.","창업, 신규 사업, 교육, 연구직에 적합. 새로운 분야 개척에 강점.","순수하고 헌신적인 사랑. 이상적인 관계를 추구하며 상대에게 희망을 준다.","체력의 기초가 형성되는 시기. 건강 습관 형성이 중요.","새로운 일을 시작하기 좋은 시기. 씨앗을 뿌리는 때.","Divine_Child/Innocent","바보(새시작)/에이스(잠재력)","상승기-30%","두려워 말고 시작하세요. 모든 위대한 것은 작은 시작에서 비롯됩니다."
TS_목욕,목욕,twelve_stage,2,"성장하며 세상과 접촉하는 단계. 욕망과 감정이 풍부하나 불안정할 수 있다. 변화와 도전의 시기.","예술, 연예, 서비스업, 유흥업에 적합. 감각적 분야에 재능.","열정적이나 변덕스러울 수 있음. 로맨스가 많으나 안정감 부족.","피부, 비뇨기 계통 주의. 과욕으로 인한 탈진 조심.","변화가 많은 시기. 유혹에 주의하고 중심을 잡아야.","Puer/Lover","연인(유혹)/페이지(미성숙)","상승기-45%","욕망을 부정하지 말되 통제하세요. 열정은 방향이 있어야 힘이 됩니다."
TS_관대,관대,twelve_stage,3,"성인이 되어 관을 쓰는 단계. 자신감과 야망이 넘치며 사회적 인정을 받기 시작한다.","공무원, 전문직, 관리직에 적합. 승진과 인정받는 일에 강점.","자존심이 강하고 당당한 연애. 상대를 리드하려는 성향.","전반적으로 건강하나 과로 주의. 스트레스 관리 필요.","사회적 도약의 시기. 시험, 면접, 승진에 유리.","Warrior/Hero","황제(권위)/기사(행동)","상승기-70%","자신감을 가지되 겸손을 잃지 마세요. 관을 쓰면 책임도 따릅니다."
TS_임관,임관,twelve_stage,4,"관직에 나아가는 단계. 능력을 인정받고 사회적 지위가 상승한다. 책임감과 성취의 시기.","고위직, CEO, 정치인, 전문경영인에 적합. 리더십 발휘.","안정적이고 성숙한 관계. 결혼운이 좋고 가정을 중시.","왕성한 활동력. 다만 과로와 책임감으로 인한 압박 주의.","최고의 성취 시기. 중요한 결정과 계약에 적합.","King/Ruler","황제(권력)/정의(균형)","최고조-90%","정상에서 겸손하세요. 높이 오를수록 내려다볼 것이 아닌 올려다볼 것을 보세요."
TS_왕지,왕지,twelve_stage,5,"제왕의 자리. 에너지가 최고조에 달하며 모든 것이 왕성하다. 강한 카리스마와 지배력.","대기업 임원, 사업가, 정치인, 예술가에 적합. 정상의 자리.","주도적이고 강렬한 관계. 상대를 압도할 수 있어 배려 필요.","에너지 과잉으로 혈압, 심장 주의. 휴식의 중요성.","모든 일이 정점에 달하는 때. 다만 내리막 준비도.","King/Sun","태양(정점)/세계(완성)","최고조-100%","정점에서는 내려가는 길밖에 없습니다. 후계자를 키우고 물러날 때를 알아야 합니다."
TS_쇠,쇠,twelve_stage,6,"기운이 서서히 쇠퇴하는 단계. 원숙함과 지혜가 있으나 활력은 줄어든다.","컨설팅, 자문, 교육, 연구직에 적합. 경험을 전수하는 역할.","안정적이나 열정이 식을 수 있음. 깊이 있는 관계 추구.","면역력 저하 주의. 규칙적인 생활과 건강 관리 중요.","정리하고 수확하는 시기. 무리한 확장보다 안정 추구.","Sage/Senex","은둔자(지혜)/운명의수레바퀴(순환)","하강기-80%","쇠퇴를 두려워 마세요. 지혜는 힘이 빠질 때 비로소 드러납니다."
TS_병,병,twelve_stage,7,"병이 드는 단계. 에너지가 약해지고 어려움이 찾아온다. 내면을 돌아보는 시기.","의료, 복지, 상담, 종교 분야에 적합. 타인의 아픔을 이해.","상대의 아픔을 공감하나 자신도 상처받기 쉬움. 치유가 필요.","실제 건강 문제 발생 가능. 정기 검진과 예방이 중요.","어려움이 예상되는 시기. 큰 일보다 휴식과 치유.","Wounded_Healer/Orphan","매달린사람(항복)/검9(고통)","하강기-50%","아픔을 통해 치유자가 됩니다. 자신의 상처가 타인을 치유하는 약이 됩니다."
TS_사,사,twelve_stage,8,"죽음의 단계. 한 사이클의 끝. 포기와 변화, 완전한 전환이 필요한 시기.","장례, 보험, 청산 업무, 구조조정 전문가에 적합. 마무리 역할.","이별이나 관계의 종료 가능. 집착을 버리고 새 시작 준비.","면역력 최저. 중병 주의하고 건강을 최우선으로.","마무리와 정리의 시기. 새로운 시작을 위한 준비.","Destroyer/Death","죽음(변환)/탑(붕괴)","최저점-20%","끝이 아니라 전환입니다. 죽음 없이 재탄생은 없습니다. 놓아보내세요."
TS_묘,묘,twelve_stage,9,"무덤에 들어가는 단계. 에너지가 저장되고 숨어있다. 잠재력이 축적되는 시기.","보안, 금고, 저장, 문서관리에 적합. 숨은 재능 보유.","내성적이고 깊은 관계. 겉으로 드러내지 않으나 정이 깊음.","만성 질환 주의. 숨어있던 병이 나타날 수 있음.","숨어서 준비하는 시기. 드러내기보다 내실을 다져야.","Hermit/Shadow","여사제(신비)/펜타클4(저장)","저장기-25%","무덤은 보물창고이기도 합니다. 숨겨진 것을 발견하고 잘 보관하세요."
TS_절,절,twelve_stage,10,"완전히 끊어지는 단계. 공허함 속에서 새로운 기운이 싹튼다. 극과 극의 전환점.","혁신, 벤처, 예술, 종교에 적합. 파괴적 창조력.","극적인 만남이나 이별. 인연이 확 바뀌는 시기.","급성 질환 주의. 갑작스러운 건강 문제 가능성.","완전한 전환의 시기. 과거를 버리고 새 출발.","Destroyer/Creator","탑(파괴)/심판(부활)","전환점-10%","절벽 끝에서 새가 날개를 편다. 완전히 끊어져야 완전히 새로워집니다."
