"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Python", "TypeScript JSX", "PostCSS", "JavaScript JSX", "Markdown", "XML", "MS SQL", "comment", "blank", "total"
"c:\dev\saju-astro-chat\.vs\ProjectSettings.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\dev\saju-astro-chat\.vs\VSWorkspaceState.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\dev\saju-astro-chat\.vs\saju-astro-chat\v17\DocumentLayout.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\dev\saju-astro-chat\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 14, 37
"c:\dev\saju-astro-chat\astro-debug.json", "JSON", 618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 619
"c:\dev\saju-astro-chat\astrology-js.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\dev\saju-astro-chat\download-ephe.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 8, 10, 63
"c:\dev\saju-astro-chat\eslint.config.mjs", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 5, 45
"c:\dev\saju-astro-chat\next.config.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 35
"c:\dev\saju-astro-chat\package-lock.json", "JSON", 14860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14861
"c:\dev\saju-astro-chat\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\dev\saju-astro-chat\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\dev\saju-astro-chat\postcss.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\dev\saju-astro-chat\prisma\migrations\20251031035507_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 13, 17, 88
"c:\dev\saju-astro-chat\prisma\migrations\20251031065920_add_fortune\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 5, 23
