id,label,type,number_a,number_b,compatibility_score,description,strengths,challenges,advice
NC_1_1,1과1궁합,num_compat,1,1,60,"두 리더의 만남. 강한 독립성이 충돌할 수 있으나 서로의 야망을 이해한다.","서로의 독립성 존중. 함께 큰 목표를 향해 전진. 강한 추진력의 파트너십.","주도권 다툼. 타협 부족. 각자의 길을 고집.","리더십을 번갈아 발휘하세요. 경쟁이 아닌 협력의 관계로."
NC_1_2,1과2궁합,num_compat,1,2,90,"이상적인 조합. 1의 리더십과 2의 지원이 완벽한 균형을 이룬다.","1이 이끌고 2가 보완. 결정과 실행의 조화. 서로에게 부족한 것을 채워줌.","1이 2를 무시할 수 있음. 2가 자기 목소리를 잃을 위험.","2의 의견도 존중하세요. 겉으로 조용해도 핵심을 꿰뚫고 있습니다."
NC_1_5,1과5궁합,num_compat,1,5,85,"모험과 자유의 역동적 조합. 둘 다 독립적이고 새로운 경험을 사랑한다.","서로의 자유를 존중. 함께 모험과 새 경험. 지루할 틈이 없음.","안정감 부족. 둘 다 제멋대로일 수 있음. 정착하기 어려움.","가끔은 멈추고 함께하는 시간을 만드세요. 모험도 좋지만 뿌리도 필요합니다."
NC_2_6,2과6궁합,num_compat,2,6,95,"사랑과 돌봄의 최고 조합. 둘 다 관계를 소중히 여기고 헌신적이다.","깊은 감정적 유대. 가정 중심의 안정된 관계. 서로를 돌보는 따뜻함.","과잉보호. 서로에게 너무 의존. 외부 세계와 단절 위험.","둘만의 세계에 갇히지 마세요. 각자의 개인 공간과 성장도 중요합니다."
NC_3_5,3과5궁합,num_compat,3,5,80,"창의적 에너지의 폭발. 재미있고 활기찬 관계. 자유분방한 두 영혼의 만남.","끝없는 재미와 모험. 창의적 영감 교환. 사교적인 커플.","산만함. 깊이 부족. 책임 회피. 재정 관리 소홀.","재미도 좋지만 가끔은 진지한 대화가 필요합니다. 미래 계획을 함께 세우세요."
NC_4_8,4과8궁합,num_compat,4,8,90,"물질적 성공의 파워 커플. 4의 근면함과 8의 야심이 합쳐져 큰 성취를 이룬다.","함께 부를 축적. 안정적이고 체계적인 관계. 사회적 성공을 함께 이룸.","일 중심의 관계. 감정적 친밀감 부족. 워커홀릭 커플.","돈과 성공만큼 감정적 교류도 중요합니다. 함께 쉬는 시간을 만드세요."
NC_6_9,6과9궁합,num_compat,6,9,85,"사랑과 봉사의 이상적 조합. 둘 다 타인을 위해 헌신하는 이타적인 영혼.","함께 세상에 기여. 깊은 사랑과 이해. 영적 교류가 풍부.","자기 희생 과다. 둘 다 남을 먼저 챙기다 자기를 잃음.","서로를 돌보되 자기 자신도 사랑하세요. 나를 먼저 채워야 남에게 줄 수 있습니다."
NC_7_7,7과7궁합,num_compat,7,7,70,"두 현자의 만남. 깊은 지적/영적 교류가 가능하나 현실 세계와 단절 위험.","심오한 대화. 영적 성장의 동반자. 서로의 내면 세계를 이해.","현실 감각 부족. 소통 단절(둘 다 내성적). 감정 표현의 벽.","가끔은 머리에서 나와 가슴으로 대화하세요. 밖으로 나가 함께 활동하는 시간도 필요."
NC_3_7,3과7궁합,num_compat,3,7,50,"표현 vs 내면의 대조적 조합. 3의 밝음과 7의 깊이가 서로를 보완하거나 충돌.","3이 7을 밖으로 끌어내고, 7이 3에게 깊이를 줌. 상호 보완적 성장 가능.","3이 7을 가벼이 여김. 7이 3을 피상적이라 느낌. 소통 방식의 차이.","서로의 다름을 배움의 기회로 삼으세요. 차이가 성장의 동력이 됩니다."
NC_11_22,11과22궁합,num_compat,11,22,95,"마스터넘버의 만남. 비전과 실현의 최고 조합. 함께 세상을 바꿀 수 있는 잠재력.","11의 비전과 22의 실현력. 영적이면서도 현실적. 역사를 만드는 조합.","엄청난 압박감. 둘 다 무거운 사명감. 완벽주의 충돌.","서로의 무게를 나눠 지세요. 완벽하지 않아도 함께이기에 충분합니다."
