source,target,relation_type,weight,description
DS_용,OH_목,dream_saju_element,0.8,용꿈은 목(木) 에너지와 연결. 용은 진(辰)토이나 상승하는 기운은 목의 성장 에너지. 목이 용신인 사람에게 특히 길몽.
DS_용,OH_수,dream_saju_element,0.7,용은 수(水)와도 깊은 연관. 동양에서 용은 물의 신. 임수(壬水) 일간에게 용꿈은 대길.
DS_뱀,OH_화,dream_saju_element,0.8,뱀은 사(巳)화와 직접 연결. 화(火) 에너지의 상징. 뱀꿈은 화가 용신인 사람에게 재물운.
DS_호랑이,OH_목,dream_saju_element,0.9,호랑이는 인(寅)목과 직접 연결. 목(木) 에너지의 왕. 갑목(甲木) 일간에게 매우 길한 꿈.
DS_돼지,OH_수,dream_saju_element,0.9,돼지는 해(亥)수와 직접 연결. 수(水) 에너지의 왕지. 재물운의 근원.
DS_물고기,OH_수,dream_saju_element,0.8,물고기는 수(水) 에너지 자체. 수 오행이 강한 사주에게는 에너지 증폭.
DS_새,OH_화,dream_saju_element,0.7,새는 화(火)와 연결. 하늘로 날아오르는 양(陽)의 기운. 남방 주작의 상징.
DS_산,OH_토,dream_saju_element,0.9,산은 토(土) 에너지 자체. 무토(戊土) 일간에게 산꿈은 자아 확인.
DS_물,OH_수,dream_saju_element,1.0,물은 수(水) 에너지의 직접적 표현. 물의 상태가 수 오행의 상태를 반영.
DS_불,OH_화,dream_saju_element,1.0,불은 화(火) 에너지의 직접적 표현. 불의 상태가 화 오행의 상태를 반영.
DS_꽃,OH_목,dream_saju_element,0.8,꽃은 목(木) 에너지의 개화. 목이 용신인 사람에게 꽃꿈은 재능 발현의 전조.
DS_나무,OH_목,dream_saju_element,1.0,나무는 목(木) 에너지의 직접적 표현. 나무의 상태가 목 오행의 상태를 반영.
DS_돈,OH_금,dream_saju_element,0.8,돈/재물은 금(金) 에너지와 연결. 금이 재성인 사주에게 돈꿈은 직접적 재물 길몽.
DS_눈_날씨,OH_수,dream_saju_element,0.7,눈은 수(水)의 고체 형태. 정화와 축적의 수 에너지. 계수(癸水)와 특히 연결.
DS_비,OH_수,dream_saju_element,0.8,비는 수(水)의 하강 에너지. 하늘에서 내리는 은혜의 물. 감정의 정화.
DS_용,TS_임관,dream_stage,0.9,용꿈과 임관(최고 성취 단계)의 연결. 용꿈은 대운/세운이 임관일 때 그 효과가 극대화.
DS_죽음,TS_절,dream_stage,0.8,죽음꿈과 절(끊어짐 단계)의 연결. 끝과 새 시작을 함께 예고.
DS_아기,TS_장생,dream_stage,0.9,아기꿈과 장생(시작 단계)의 연결. 새로운 시작과 가능성의 공명.
DS_비행,TS_제왕,dream_stage,0.7,비행꿈과 제왕(정점 단계)의 연결. 자유와 정점의 에너지 공명.
DS_용,SS_천을귀인,dream_shinsal,0.8,용꿈과 천을귀인 신살의 연결. 귀인의 도움이 올 조짐.
DS_호랑이,SS_역마살,dream_shinsal,0.7,호랑이꿈과 역마살의 연결. 큰 이동이나 변화의 전조.
DS_뱀,SS_도화살,dream_shinsal,0.6,뱀꿈과 도화살의 연결. 이성 관련 변화의 전조.
DS_말,OH_화,dream_saju_element,0.85,말은 오(午)화와 직접 연결. 화(火) 에너지의 정점. 빠른 행동력과 열정의 상징.
DS_소,OH_토,dream_saju_element,0.85,소는 축(丑)토와 직접 연결. 토(土) 에너지의 저장. 근면과 재물 축적의 상징.
DS_양,OH_토,dream_saju_element,0.8,양은 미(未)토와 직접 연결. 토(土) 에너지의 성숙. 양육과 돌봄의 상징.
