id,source,target,relation,category,harmony_score,description_ko,description_en,insight_template
NA_001,NUM_1,Sun,핵심원형,number_planet,95,"생명경로수 1은 태양의 에너지와 공명합니다. 리더십, 독립성, 창조적 자아표현이 두 시스템에서 같은 원형으로 나타납니다.","Life Path 1 resonates with the Sun — both represent leadership, independence, and creative self-expression.",당신의 생명경로수 1이 태양과 만났습니다. 자신만의 빛으로 세상을 밝히는 것이 당신의 사명입니다.
NA_002,NUM_2,Moon,핵심원형,number_planet,96,"생명경로수 2는 달의 에너지와 공명합니다. 감수성, 협력, 직관, 양육이 두 시스템의 공통 주제입니다.","Life Path 2 resonates with the Moon — sensitivity, cooperation, intuition, and nurturing.",당신의 생명경로수 2가 달과 만났습니다. 감정과 직관으로 조화를 이루는 것이 당신의 길입니다.
NA_003,NUM_3,Jupiter,핵심원형,number_planet,90,"생명경로수 3은 목성의 에너지와 공명합니다. 확장, 낙관, 창의성, 표현력이 공통된 주제입니다.","Life Path 3 resonates with Jupiter — expansion, optimism, creativity, and expression.",당신의 생명경로수 3이 목성과 만났습니다. 풍요로운 창조성으로 세상에 기쁨을 전하세요.
NA_004,NUM_4,Saturn,핵심원형,number_planet,93,"생명경로수 4는 토성의 에너지와 공명합니다. 구조, 인내, 책임, 기초 건설이 핵심 주제입니다.","Life Path 4 resonates with Saturn — structure, patience, responsibility, and foundation building.",당신의 생명경로수 4가 토성과 만났습니다. 견고한 기반 위에 오래가는 것을 세우는 것이 사명입니다.
NA_005,NUM_5,Mercury,핵심원형,number_planet,91,"생명경로수 5는 수성의 에너지와 공명합니다. 변화, 소통, 다재다능함, 자유가 공통 주제입니다.","Life Path 5 resonates with Mercury — change, communication, versatility, and freedom.",당신의 생명경로수 5가 수성과 만났습니다. 변화를 통해 성장하고 소통으로 연결하세요.
NA_006,NUM_6,Venus,핵심원형,number_planet,94,"생명경로수 6은 금성의 에너지와 공명합니다. 사랑, 아름다움, 조화, 책임감이 핵심 주제입니다.","Life Path 6 resonates with Venus — love, beauty, harmony, and responsibility.",당신의 생명경로수 6이 금성과 만났습니다. 사랑과 조화로 세상을 아름답게 만드세요.
NA_007,NUM_7,Neptune,핵심원형,number_planet,88,"생명경로수 7은 해왕성의 에너지와 공명합니다. 영성, 탐구, 직관, 신비가 공통 주제입니다.","Life Path 7 resonates with Neptune — spirituality, research, intuition, and mystery.",당신의 생명경로수 7이 해왕성과 만났습니다. 내면의 깊이에서 진리를 찾는 것이 사명입니다.
NA_008,NUM_8,Pluto,핵심원형,number_planet,89,"생명경로수 8은 명왕성의 에너지와 공명합니다. 권력, 변환, 성취, 재생이 핵심 주제입니다.","Life Path 8 resonates with Pluto — power, transformation, achievement, and regeneration.",당신의 생명경로수 8이 명왕성과 만났습니다. 변환의 힘으로 세상에 영향력을 행사하세요.
NA_009,NUM_9,Mars,핵심원형,number_planet,85,"생명경로수 9는 화성의 에너지와 공명합니다. 용기, 인류애, 완결, 희생이 공통 주제입니다.","Life Path 9 resonates with Mars — courage, humanitarianism, completion, and sacrifice.",당신의 생명경로수 9가 화성과 만났습니다. 용기로 인류를 위해 봉사하는 것이 사명입니다.
NA_010,NUM_11,Uranus,마스터넘버,master_planet,92,"마스터 넘버 11은 천왕성의 에너지와 공명합니다. 영감, 직관, 혁신, 각성이 핵심 주제입니다.","Master Number 11 resonates with Uranus — inspiration, intuition, innovation, and awakening.",당신의 마스터 넘버 11이 천왕성과 만났습니다. 혁신적 영감으로 인류를 각성시키세요.
NA_011,NUM_22,Saturn,마스터넘버,master_planet,90,마스터 넘버 22는 토성의 고차원 에너지와 공명합니다. 마스터 빌더로서 비전을 현실로 구현합니다.,Master Number 22 resonates with higher Saturn — the Master Builder manifesting visions into reality.,당신의 마스터 넘버 22가 토성과 만났습니다. 거대한 비전을 현실의 구조물로 건설하세요.
NA_012,NUM_33,Neptune,마스터넘버,master_planet,91,마스터 넘버 33은 해왕성의 고차원 에너지와 공명합니다. 마스터 티처로서 사랑으로 가르칩니다.,Master Number 33 resonates with higher Neptune — the Master Teacher teaching through love.,당신의 마스터 넘버 33이 해왕성과 만났습니다. 무조건적 사랑으로 인류를 인도하세요.
NA_013,NUM_1,Aries,별자리연결,number_sign,88,"수비학 1은 양자리와 공명합니다. 개척정신, 리더십, 새로운 시작이 공통 주제입니다.","Number 1 resonates with Aries — pioneering spirit, leadership, and new beginnings.",숫자 1의 에너지가 양자리와 만났습니다. 두려움 없이 새로운 길을 개척하세요.
NA_014,NUM_2,Cancer,별자리연결,number_sign,89,"수비학 2는 게자리와 공명합니다. 감수성, 보호본능, 가정이 공통 주제입니다.","Number 2 resonates with Cancer — sensitivity, protective instincts, and home.",숫자 2의 에너지가 게자리와 만났습니다. 사랑하는 이들을 보듬고 보호하세요.
NA_015,NUM_3,Sagittarius,별자리연결,number_sign,87,"수비학 3은 사수자리와 공명합니다. 확장, 낙관, 철학적 탐구가 공통 주제입니다.","Number 3 resonates with Sagittarius — expansion, optimism, and philosophical exploration.",숫자 3의 에너지가 사수자리와 만났습니다. 더 넓은 세계를 향해 모험하세요.
NA_016,NUM_4,Capricorn,별자리연결,number_sign,92,"수비학 4는 염소자리와 공명합니다. 구조, 야망, 인내, 실용성이 공통 주제입니다.","Number 4 resonates with Capricorn — structure, ambition, patience, and practicality.",숫자 4의 에너지가 염소자리와 만났습니다. 정상을 향해 꾸준히 올라가세요.
NA_017,NUM_5,Gemini,별자리연결,number_sign,90,"수비학 5는 쌍둥이자리와 공명합니다. 변화, 소통, 호기심, 적응력이 공통 주제입니다.","Number 5 resonates with Gemini — change, communication, curiosity, and adaptability.",숫자 5의 에너지가 쌍둥이자리와 만났습니다. 다양한 경험으로 세상을 배우세요.
NA_018,NUM_6,Libra,별자리연결,number_sign,91,"수비학 6은 천칭자리와 공명합니다. 조화, 아름다움, 관계, 균형이 공통 주제입니다.","Number 6 resonates with Libra — harmony, beauty, relationships, and balance.",숫자 6의 에너지가 천칭자리와 만났습니다. 균형과 조화를 통해 아름다움을 창조하세요.
