id,source,target,relation,description
COMP_Sun_H1,COMP_Sun,H1,in_house,합성 차트 Sun이(가) 1하우스에 위치
COMP_Sun_H2,COMP_Sun,H2,in_house,합성 차트 Sun이(가) 2하우스에 위치
COMP_Sun_H3,COMP_Sun,H3,in_house,합성 차트 Sun이(가) 3하우스에 위치
COMP_Sun_H4,COMP_Sun,H4,in_house,합성 차트 Sun이(가) 4하우스에 위치
COMP_Sun_H5,COMP_Sun,H5,in_house,합성 차트 Sun이(가) 5하우스에 위치
COMP_Sun_H6,COMP_Sun,H6,in_house,합성 차트 Sun이(가) 6하우스에 위치
COMP_Sun_H7,COMP_Sun,H7,in_house,합성 차트 Sun이(가) 7하우스에 위치
COMP_Sun_H8,COMP_Sun,H8,in_house,합성 차트 Sun이(가) 8하우스에 위치
COMP_Sun_H9,COMP_Sun,H9,in_house,합성 차트 Sun이(가) 9하우스에 위치
COMP_Sun_H10,COMP_Sun,H10,in_house,합성 차트 Sun이(가) 10하우스에 위치
COMP_Sun_H11,COMP_Sun,H11,in_house,합성 차트 Sun이(가) 11하우스에 위치
COMP_Sun_H12,COMP_Sun,H12,in_house,합성 차트 Sun이(가) 12하우스에 위치
COMP_Moon_H1,COMP_Moon,H1,in_house,합성 차트 Moon이(가) 1하우스에 위치
COMP_Moon_H2,COMP_Moon,H2,in_house,합성 차트 Moon이(가) 2하우스에 위치
COMP_Moon_H3,COMP_Moon,H3,in_house,합성 차트 Moon이(가) 3하우스에 위치
COMP_Moon_H4,COMP_Moon,H4,in_house,합성 차트 Moon이(가) 4하우스에 위치
COMP_Moon_H5,COMP_Moon,H5,in_house,합성 차트 Moon이(가) 5하우스에 위치
COMP_Moon_H6,COMP_Moon,H6,in_house,합성 차트 Moon이(가) 6하우스에 위치
COMP_Moon_H7,COMP_Moon,H7,in_house,합성 차트 Moon이(가) 7하우스에 위치
COMP_Moon_H8,COMP_Moon,H8,in_house,합성 차트 Moon이(가) 8하우스에 위치
COMP_Moon_H9,COMP_Moon,H9,in_house,합성 차트 Moon이(가) 9하우스에 위치
COMP_Moon_H10,COMP_Moon,H10,in_house,합성 차트 Moon이(가) 10하우스에 위치
COMP_Moon_H11,COMP_Moon,H11,in_house,합성 차트 Moon이(가) 11하우스에 위치
COMP_Moon_H12,COMP_Moon,H12,in_house,합성 차트 Moon이(가) 12하우스에 위치
COMP_Mercury_H1,COMP_Mercury,H1,in_house,합성 차트 Mercury이(가) 1하우스에 위치
COMP_Mercury_H2,COMP_Mercury,H2,in_house,합성 차트 Mercury이(가) 2하우스에 위치
COMP_Mercury_H3,COMP_Mercury,H3,in_house,합성 차트 Mercury이(가) 3하우스에 위치
COMP_Mercury_H4,COMP_Mercury,H4,in_house,합성 차트 Mercury이(가) 4하우스에 위치
COMP_Mercury_H5,COMP_Mercury,H5,in_house,합성 차트 Mercury이(가) 5하우스에 위치
COMP_Mercury_H6,COMP_Mercury,H6,in_house,합성 차트 Mercury이(가) 6하우스에 위치
COMP_Mercury_H7,COMP_Mercury,H7,in_house,합성 차트 Mercury이(가) 7하우스에 위치
COMP_Mercury_H8,COMP_Mercury,H8,in_house,합성 차트 Mercury이(가) 8하우스에 위치
COMP_Mercury_H9,COMP_Mercury,H9,in_house,합성 차트 Mercury이(가) 9하우스에 위치
COMP_Mercury_H10,COMP_Mercury,H10,in_house,합성 차트 Mercury이(가) 10하우스에 위치
COMP_Mercury_H11,COMP_Mercury,H11,in_house,합성 차트 Mercury이(가) 11하우스에 위치
COMP_Mercury_H12,COMP_Mercury,H12,in_house,합성 차트 Mercury이(가) 12하우스에 위치
COMP_Venus_H1,COMP_Venus,H1,in_house,합성 차트 Venus이(가) 1하우스에 위치
COMP_Venus_H2,COMP_Venus,H2,in_house,합성 차트 Venus이(가) 2하우스에 위치
COMP_Venus_H3,COMP_Venus,H3,in_house,합성 차트 Venus이(가) 3하우스에 위치
COMP_Venus_H4,COMP_Venus,H4,in_house,합성 차트 Venus이(가) 4하우스에 위치
COMP_Venus_H5,COMP_Venus,H5,in_house,합성 차트 Venus이(가) 5하우스에 위치
COMP_Venus_H6,COMP_Venus,H6,in_house,합성 차트 Venus이(가) 6하우스에 위치
COMP_Venus_H7,COMP_Venus,H7,in_house,합성 차트 Venus이(가) 7하우스에 위치
COMP_Venus_H8,COMP_Venus,H8,in_house,합성 차트 Venus이(가) 8하우스에 위치
COMP_Venus_H9,COMP_Venus,H9,in_house,합성 차트 Venus이(가) 9하우스에 위치
COMP_Venus_H10,COMP_Venus,H10,in_house,합성 차트 Venus이(가) 10하우스에 위치
COMP_Venus_H11,COMP_Venus,H11,in_house,합성 차트 Venus이(가) 11하우스에 위치
COMP_Venus_H12,COMP_Venus,H12,in_house,합성 차트 Venus이(가) 12하우스에 위치
COMP_Mars_H1,COMP_Mars,H1,in_house,합성 차트 Mars이(가) 1하우스에 위치
COMP_Mars_H2,COMP_Mars,H2,in_house,합성 차트 Mars이(가) 2하우스에 위치
COMP_Mars_H3,COMP_Mars,H3,in_house,합성 차트 Mars이(가) 3하우스에 위치
COMP_Mars_H4,COMP_Mars,H4,in_house,합성 차트 Mars이(가) 4하우스에 위치
COMP_Mars_H5,COMP_Mars,H5,in_house,합성 차트 Mars이(가) 5하우스에 위치
COMP_Mars_H6,COMP_Mars,H6,in_house,합성 차트 Mars이(가) 6하우스에 위치
COMP_Mars_H7,COMP_Mars,H7,in_house,합성 차트 Mars이(가) 7하우스에 위치
COMP_Mars_H8,COMP_Mars,H8,in_house,합성 차트 Mars이(가) 8하우스에 위치
COMP_Mars_H9,COMP_Mars,H9,in_house,합성 차트 Mars이(가) 9하우스에 위치
COMP_Mars_H10,COMP_Mars,H10,in_house,합성 차트 Mars이(가) 10하우스에 위치
COMP_Mars_H11,COMP_Mars,H11,in_house,합성 차트 Mars이(가) 11하우스에 위치
COMP_Mars_H12,COMP_Mars,H12,in_house,합성 차트 Mars이(가) 12하우스에 위치
COMP_Jupiter_H1,COMP_Jupiter,H1,in_house,합성 차트 Jupiter이(가) 1하우스에 위치
COMP_Jupiter_H2,COMP_Jupiter,H2,in_house,합성 차트 Jupiter이(가) 2하우스에 위치
COMP_Jupiter_H3,COMP_Jupiter,H3,in_house,합성 차트 Jupiter이(가) 3하우스에 위치
COMP_Jupiter_H4,COMP_Jupiter,H4,in_house,합성 차트 Jupiter이(가) 4하우스에 위치
COMP_Jupiter_H5,COMP_Jupiter,H5,in_house,합성 차트 Jupiter이(가) 5하우스에 위치
COMP_Jupiter_H6,COMP_Jupiter,H6,in_house,합성 차트 Jupiter이(가) 6하우스에 위치
COMP_Jupiter_H7,COMP_Jupiter,H7,in_house,합성 차트 Jupiter이(가) 7하우스에 위치
COMP_Jupiter_H8,COMP_Jupiter,H8,in_house,합성 차트 Jupiter이(가) 8하우스에 위치
COMP_Jupiter_H9,COMP_Jupiter,H9,in_house,합성 차트 Jupiter이(가) 9하우스에 위치
COMP_Jupiter_H10,COMP_Jupiter,H10,in_house,합성 차트 Jupiter이(가) 10하우스에 위치
COMP_Jupiter_H11,COMP_Jupiter,H11,in_house,합성 차트 Jupiter이(가) 11하우스에 위치
COMP_Jupiter_H12,COMP_Jupiter,H12,in_house,합성 차트 Jupiter이(가) 12하우스에 위치
COMP_Saturn_H1,COMP_Saturn,H1,in_house,합성 차트 Saturn이(가) 1하우스에 위치
COMP_Saturn_H2,COMP_Saturn,H2,in_house,합성 차트 Saturn이(가) 2하우스에 위치
COMP_Saturn_H3,COMP_Saturn,H3,in_house,합성 차트 Saturn이(가) 3하우스에 위치
COMP_Saturn_H4,COMP_Saturn,H4,in_house,합성 차트 Saturn이(가) 4하우스에 위치
COMP_Saturn_H5,COMP_Saturn,H5,in_house,합성 차트 Saturn이(가) 5하우스에 위치
COMP_Saturn_H6,COMP_Saturn,H6,in_house,합성 차트 Saturn이(가) 6하우스에 위치
COMP_Saturn_H7,COMP_Saturn,H7,in_house,합성 차트 Saturn이(가) 7하우스에 위치
COMP_Saturn_H8,COMP_Saturn,H8,in_house,합성 차트 Saturn이(가) 8하우스에 위치
COMP_Saturn_H9,COMP_Saturn,H9,in_house,합성 차트 Saturn이(가) 9하우스에 위치
COMP_Saturn_H10,COMP_Saturn,H10,in_house,합성 차트 Saturn이(가) 10하우스에 위치
COMP_Saturn_H11,COMP_Saturn,H11,in_house,합성 차트 Saturn이(가) 11하우스에 위치
COMP_Saturn_H12,COMP_Saturn,H12,in_house,합성 차트 Saturn이(가) 12하우스에 위치
COMP_Uranus_H1,COMP_Uranus,H1,in_house,합성 차트 Uranus이(가) 1하우스에 위치
COMP_Uranus_H2,COMP_Uranus,H2,in_house,합성 차트 Uranus이(가) 2하우스에 위치
COMP_Uranus_H3,COMP_Uranus,H3,in_house,합성 차트 Uranus이(가) 3하우스에 위치
COMP_Uranus_H4,COMP_Uranus,H4,in_house,합성 차트 Uranus이(가) 4하우스에 위치
COMP_Uranus_H5,COMP_Uranus,H5,in_house,합성 차트 Uranus이(가) 5하우스에 위치
COMP_Uranus_H6,COMP_Uranus,H6,in_house,합성 차트 Uranus이(가) 6하우스에 위치
COMP_Uranus_H7,COMP_Uranus,H7,in_house,합성 차트 Uranus이(가) 7하우스에 위치
COMP_Uranus_H8,COMP_Uranus,H8,in_house,합성 차트 Uranus이(가) 8하우스에 위치
COMP_Uranus_H9,COMP_Uranus,H9,in_house,합성 차트 Uranus이(가) 9하우스에 위치
COMP_Uranus_H10,COMP_Uranus,H10,in_house,합성 차트 Uranus이(가) 10하우스에 위치
COMP_Uranus_H11,COMP_Uranus,H11,in_house,합성 차트 Uranus이(가) 11하우스에 위치
COMP_Uranus_H12,COMP_Uranus,H12,in_house,합성 차트 Uranus이(가) 12하우스에 위치
COMP_Neptune_H1,COMP_Neptune,H1,in_house,합성 차트 Neptune이(가) 1하우스에 위치
COMP_Neptune_H2,COMP_Neptune,H2,in_house,합성 차트 Neptune이(가) 2하우스에 위치
COMP_Neptune_H3,COMP_Neptune,H3,in_house,합성 차트 Neptune이(가) 3하우스에 위치
COMP_Neptune_H4,COMP_Neptune,H4,in_house,합성 차트 Neptune이(가) 4하우스에 위치
COMP_Neptune_H5,COMP_Neptune,H5,in_house,합성 차트 Neptune이(가) 5하우스에 위치
COMP_Neptune_H6,COMP_Neptune,H6,in_house,합성 차트 Neptune이(가) 6하우스에 위치
COMP_Neptune_H7,COMP_Neptune,H7,in_house,합성 차트 Neptune이(가) 7하우스에 위치
COMP_Neptune_H8,COMP_Neptune,H8,in_house,합성 차트 Neptune이(가) 8하우스에 위치
