source,target,relation_type,weight,description
NUM_1,TM_01,numerology_tarot,0.9,"생명수 1은 마법사 카드와 연결. 시작, 창조, 리더십, 의지력의 에너지."
NUM_1,Sun,numerology_astro,0.9,"생명수 1은 태양과 연결. 자아, 빛, 리더십, 창조성."
NUM_1,Aries,numerology_astro_sign,0.8,"생명수 1은 양자리와 연결. 선구자, 개척자, 시작의 에너지."
NUM_1,Leo,numerology_astro_sign,0.7,"생명수 1은 사자자리와도 연결. 왕의 기질, 리더십."
NUM_2,TM_02,numerology_tarot,0.9,"생명수 2는 여사제 카드와 연결. 직관, 균형, 협력, 이중성."
NUM_2,Moon,numerology_astro,0.9,"생명수 2는 달과 연결. 감정, 직관, 수용성, 리듬."
NUM_2,Cancer,numerology_astro_sign,0.8,"생명수 2는 게자리와 연결. 양육, 보호, 감정."
NUM_2,Libra,numerology_astro_sign,0.7,"생명수 2는 천칭자리와도 연결. 균형, 파트너십."
NUM_3,TM_03,numerology_tarot,0.9,"생명수 3은 여황제 카드와 연결. 창조, 풍요, 표현, 성장."
NUM_3,Jupiter,numerology_astro,0.9,"생명수 3은 목성과 연결. 확장, 낙관, 풍요, 성장."
NUM_3,Sagittarius,numerology_astro_sign,0.8,"생명수 3은 사수자리와 연결. 탐험, 철학, 확장."
NUM_3,Pisces,numerology_astro_sign,0.6,생명수 3은 물고기자리와도 연결. 창조적 상상력.
NUM_4,TM_04,numerology_tarot,0.9,"생명수 4는 황제 카드와 연결. 구조, 안정, 권위, 체계."
NUM_4,Saturn,numerology_astro,0.8,"생명수 4는 토성과 연결. 구조, 제한, 책임, 시간."
NUM_4,Uranus,numerology_astro,0.7,생명수 4는 천왕성과도 연결. 혁신적 구조화.
NUM_4,Capricorn,numerology_astro_sign,0.8,"생명수 4는 염소자리와 연결. 야망, 구조, 성취."
NUM_4,Taurus,numerology_astro_sign,0.7,"생명수 4는 황소자리와도 연결. 안정, 물질."
NUM_5,TM_05,numerology_tarot,0.8,"생명수 5는 교황 카드와 연결. 전통과 자유의 긴장, 배움."
NUM_5,TM_06,numerology_tarot,0.7,생명수 5는 연인 카드와도 연결. 선택과 변화.
NUM_5,Mercury,numerology_astro,0.9,"생명수 5는 수성과 연결. 소통, 변화, 다양성, 적응."
NUM_5,Gemini,numerology_astro_sign,0.8,"생명수 5는 쌍둥이자리와 연결. 소통, 다양성, 호기심."
NUM_5,Virgo,numerology_astro_sign,0.7,"생명수 5는 처녀자리와도 연결. 분석, 적응."
NUM_6,TM_06,numerology_tarot,0.9,"생명수 6은 연인 카드와 연결. 사랑, 조화, 책임, 선택."
NUM_6,Venus,numerology_astro,0.9,"생명수 6은 금성과 연결. 사랑, 아름다움, 조화, 관계."
NUM_6,Taurus,numerology_astro_sign,0.8,"생명수 6은 황소자리와 연결. 물질적 아름다움, 감각."
NUM_6,Libra,numerology_astro_sign,0.8,"생명수 6은 천칭자리와도 연결. 관계, 균형, 조화."
NUM_7,TM_07,numerology_tarot,0.9,"생명수 7은 전차 카드와 연결. 승리, 의지, 탐구, 내면 여정."
NUM_7,Neptune,numerology_astro,0.8,"생명수 7은 해왕성과 연결. 영성, 직관, 신비, 초월."
NUM_7,Moon,numerology_astro,0.7,"생명수 7은 달과도 연결. 내면 탐구, 직관."
NUM_7,Pisces,numerology_astro_sign,0.8,"생명수 7은 물고기자리와 연결. 영성, 직관, 초월."
NUM_7,Scorpio,numerology_astro_sign,0.7,생명수 7은 전갈자리와도 연결. 깊은 탐구.
NUM_8,TM_08,numerology_tarot,0.9,"생명수 8은 힘 카드와 연결. 권력, 물질, 카르마, 성취."
NUM_8,Saturn,numerology_astro,0.9,"생명수 8은 토성과 연결. 카르마, 시간, 성취, 책임."
NUM_8,Pluto,numerology_astro,0.7,"생명수 8은 명왕성과도 연결. 변환, 권력."
NUM_8,Capricorn,numerology_astro_sign,0.8,"생명수 8은 염소자리와 연결. 야망, 성취, 권력."
NUM_8,Scorpio,numerology_astro_sign,0.7,"생명수 8은 전갈자리와도 연결. 변환, 재생."
NUM_9,TM_09,numerology_tarot,0.9,"생명수 9는 은둔자 카드와 연결. 완성, 지혜, 인도, 초월."
NUM_9,Mars,numerology_astro,0.8,"생명수 9는 화성과 연결. 에너지, 행동, 완성."
NUM_9,Neptune,numerology_astro,0.7,"생명수 9는 해왕성과도 연결. 초월, 봉사."
NUM_9,Aries,numerology_astro_sign,0.7,"생명수 9는 양자리와 연결. 에너지, 시작과 끝."
NUM_9,Sagittarius,numerology_astro_sign,0.8,"생명수 9는 사수자리와도 연결. 지혜, 철학, 여행."
NUM_11,TM_11,numerology_tarot,0.8,"마스터넘버 11은 정의 카드와 연결. 영적 통찰, 직관, 계시."
NUM_11,TM_02,numerology_tarot,0.9,마스터넘버 11은 여사제 카드와도 연결. 고차원 직관.
NUM_11,Uranus,numerology_astro,0.9,"마스터넘버 11은 천왕성과 연결. 계시, 혁신, 영적 각성."
NUM_11,Neptune,numerology_astro,0.8,"마스터넘버 11은 해왕성과도 연결. 영성, 직관."
NUM_11,Aquarius,numerology_astro_sign,0.9,"마스터넘버 11은 물병자리와 연결. 인도주의, 비전, 혁신."
NUM_22,TM_00,numerology_tarot,0.8,마스터넘버 22는 바보 카드와 연결. 무한한 가능성의 구현.
NUM_22,TM_21,numerology_tarot,0.9,"마스터넘버 22는 세계 카드와도 연결. 완성, 성취, 현실화."
