id,label,type,planet,korean_name,duration,frequency,general_meaning,positive_aspect,challenging_aspect,life_areas,do_advice,dont_advice,saju_correlation,description
RX_mercury,수성역행,retrograde,Mercury,수성역행,약3주,연3-4회,"소통/기술/여행의 재검토 시기. 과거가 돌아오고 오해가 생기기 쉬움.","과거 관계 재연결, 미완성 프로젝트 완성, 재검토를 통한 개선, 잃어버린 것 발견.","계약 착오, 소통 오해, 기기 고장, 여행 지연, 메시지 전달 실패.","소통/계약/기술/여행/형제","과거 연락처 정리, 백업, 계약서 재검토, 과거 프로젝트 마무리.","새 계약 서명, 새 전자기기 구입, 중요한 여행 시작, 새 사업 발표.","역마살/문창귀인 시기와 겹치면 이중 주의. 형충 시기에 역행 시 복잡함 가중.","수성역행은 가장 유명한 역행. 소통과 이동에 관련된 모든 것이 느려지고 재검토가 필요함. 과거가 돌아오는 시기."
RX_venus,금성역행,retrograde,Venus,금성역행,약40일,약18개월마다,"사랑/가치/아름다움의 재평가 시기. 과거 연인이 돌아오거나 관계 재검토.","과거 관계 치유, 자기 가치 재발견, 예술적 영감, 진정한 사랑이 무엇인지 깨달음.","이별, 관계 문제 표면화, 충동구매 후회, 미용 시술 실패, 재정 손실.","연애/결혼/재물/미용/예술","과거 연인과의 관계 정리, 자기 가치 성찰, 옷장 정리, 예술 감상.","새 연애 시작, 결혼, 큰 구매, 성형수술, 새 사업 투자.","도화살/홍염살 시기와 겹치면 과거 인연이 강하게 돌아옴. 정재 운과 충돌 시 재물 손실.","금성역행은 사랑과 가치를 재검토하는 시기. 옛 사랑이 돌아오거나 현재 관계의 진정성을 시험받음."
RX_mars,화성역행,retrograde,Mars,화성역행,약70일,약26개월마다,"행동/에너지/분노의 재검토 시기. 좌절감이 커지고 추진력이 약해짐.","과거 프로젝트 재시작, 분노의 근원 이해, 행동 방식 개선, 체력 회복.","좌절, 분노 폭발, 사고, 성급한 결정, 에너지 고갈, 갈등 악화.","행동/운동/성/갈등/수술","과거 운동 루틴 재개, 분노 관리, 미뤄둔 일 처리, 휴식.","새 사업 시작, 수술, 큰 갈등 시작, 격렬한 운동 시작.","양인살/편관 시기와 겹치면 사고 위험 증가. 형충 시기에 화성역행 시 갈등 폭발 가능.","화성역행은 행동력이 내향화되는 시기. 외부로 향하던 에너지가 안으로 들어와 좌절감을 느끼기 쉬움."
RX_jupiter,목성역행,retrograde,Jupiter,목성역행,약4개월,연1회,"성장/행운/철학의 재검토 시기. 외적 확장보다 내적 성장에 집중.","내면 성장, 영적 발전, 과대평가된 것 조정, 진정한 행운이 무엇인지 깨달음.","기회 지연, 과대망상 조정, 법적 문제, 해외 계획 차질.","행운/해외/철학/교육/법률","내면 성찰, 영적 공부, 과거 배움 정리, 가치관 재정립.","해외 이민, 큰 투자, 법적 소송 시작, 출판.","식신 시기와 겹치면 내적 풍요 추구. 편인과 함께면 영적 성장 가속.","목성역행은 외적 확장이 멈추고 내적 의미를 찾는 시기. 행운보다 지혜를 추구할 때."
RX_saturn,토성역행,retrograde,Saturn,토성역행,약4.5개월,연1회,"책임/구조/제한의 재검토 시기. 카르마와 대면하고 책임을 재정립.","구조 재정비, 카르마 청산, 책임의 의미 깨달음, 인내의 보상.","지연, 제약 강화, 좌절, 권위와의 갈등, 우울함.","책임/구조/권위/카르마/뼈","과거 책임 정리, 구조 재검토, 인내심 키우기, 장기 계획 수정.","새 사업 구조 형성, 권위에 도전, 큰 책임 떠안기.","정관 시기와 겹치면 책임이 가중됨. 공망과 함께면 구조적 공허함 경험.","토성역행은 삶의 구조와 책임을 재검토하는 시기. 피할 수 없는 것과 대면해야 함."
RX_uranus,천왕성역행,retrograde,Uranus,천왕성역행,약5개월,연1회,"변화/자유/혁신의 내면화 시기. 외적 반항보다 내적 자유를 추구.","내면의 자유 발견, 진정한 개성 인식, 과거 변화 통합, 독창성 재발견.","갑작스러운 변화에 대한 저항, 내적 불안, 기존 틀에 갇힌 느낌.","자유/혁신/기술/독창성/반항","내면의 독특함 인정, 과거 변화 소화, 혁신적 아이디어 숙성.","갑작스러운 변화 시도, 급진적 반항, 큰 기술 전환.","역마살과 겹치면 내적 방랑. 상관과 함께면 내면의 반항심 재검토.","천왕성역행은 외적 혁명보다 내적 자유를 찾는 시기. 진정한 자유는 안에서 시작됨."
RX_neptune,해왕성역행,retrograde,Neptune,해왕성역행,약5개월,연1회,"영성/환상/이상의 재검토 시기. 환상이 걷히고 진실이 드러남.","영적 명확성, 환상에서 깨어남, 직관 강화, 예술적 영감의 내면화.","우울, 환멸, 중독 유혹, 경계 혼란, 자기기만 인식.","영성/예술/환상/중독/직관","명상, 영적 수련, 예술 감상, 환상 정리, 경계 설정.","중독성 있는 것 시작, 환상에 기반한 결정, 불명확한 계약.","편인/공망과 겹치면 영적 혼란 또는 각성. 화개살과 함께면 깊은 영적 성찰.","해왕성역행은 환상의 안개가 걷히는 시기. 아름다운 환상이 사라질 수 있지만 진실을 볼 수 있음."
RX_pluto,명왕성역행,retrograde,Pluto,명왕성역행,약5-6개월,연1회,"변환/권력/깊이의 내면화 시기. 외적 변환보다 내적 죽음과 재생.","깊은 자기 변환, 권력 관계 재검토, 숨겨진 진실 대면, 카르마 청산.","억압된 것의 분출, 권력 투쟁, 집착, 과거 트라우마 재활성화.","변환/권력/죽음재생/심층/숨겨진것","내면 그림자 작업, 과거 트라우마 치유, 집착 놓기.","권력 투쟁 시작, 큰 변환 시도, 숨기려는 것.","편관/칠살과 겹치면 내적 권력 투쟁. 공망과 함께면 깊은 공허와 대면.","명왕성역행은 가장 깊은 변환이 내면에서 일어나는 시기. 죽고 다시 태어나는 과정이 안에서 진행됨."
RX_mercury_natal,수성역행출생,natal_retrograde,Mercury,출생시수성역행,평생,인구약18%,"내면적 사고방식. 생각이 깊고 직관적. 독특한 소통 방식.","깊은 사고력, 직관적 이해, 독창적 표현, 내면의 지혜.","오해받기 쉬움, 소통 지연, 학습 방식 다름, 생각을 말로 옮기기 어려움.","소통/학습/사고/글쓰기","글쓰기로 표현, 충분히 생각한 후 말하기, 직관 신뢰.","말을 빨리 하려고 서두르기, 타인의 소통 방식 따라하기.","편인격과 유사. 문창귀인이 내면화된 형태. 학당귀인이 느리게 발현.","수성역행에 태어난 사람은 생각이 안에서 밖으로 흐르지 않고 안에서 더 깊이 순환함. 내향적 지성."
RX_venus_natal,금성역행출생,natal_retrograde,Venus,출생시금성역행,평생,인구약7%,"사랑과 가치관의 내면화. 자기 사랑을 먼저 배워야 함. 독특한 미적 감각.","깊은 자기 사랑, 독특한 미적 감각, 진정한 가치 인식, 내면의 아름다움.","관계에서 불안정, 자존감 문제, 사랑받는 것에 대한 두려움, 물질적 가치 혼란.","사랑/자존감/미적감각/재물","자기 사랑 연습, 내면의 가치 발견, 독특한 예술성 발휘.","외부 인정으로 자존감 채우기, 관계에서 자신을 잃기.","도화살이 내면화된 형태. 정재가 내적으로 작용. 공망과 금성역행 시 사랑 공허.","금성역행에 태어난 사람은 외부의 사랑보다 먼저 자신을 사랑하는 법을 배워야 함. 그래야 진정한 관계 가능."
RX_mars_natal,화성역행출생,natal_retrograde,Mars,출생시화성역행,평생,인구약9%,"행동 에너지의 내면화. 내적 동기가 강함. 분노를 안으로 삼킴.","강한 내적 동기, 지속적 추진력, 분노의 건설적 사용, 내면의 전사.","분노 억압, 수동적 공격성, 자기 파괴, 행동 지연, 의지력 문제.","행동/분노/성/의지력/추진력","분노를 건강하게 표현하는 연습, 내적 동기 발견, 지구력 스포츠.","분노 무조건 억압, 타인의 속도에 맞추기.","양인살이 내면화된 형태. 편관이 내향적으로 작용. 비겁이 약하면 의지력 문제.","화성역행에 태어난 사람은 외부로 공격하기보다 내면에서 싸움. 분노를 건강하게 표현하는 법을 배워야 함."
RX_jupiter_natal,목성역행출생,natal_retrograde,Jupiter,출생시목성역행,평생,인구약30%,"성장과 행운의 내면화. 외적 성공보다 내적 풍요를 추구.","깊은 지혜, 내적 풍요, 철학적 깊이, 진정한 행복의 의미 이해.","외적 기회 놓침, 자신감 부족, 성공에 대한 두려움.","행운/성장/철학/교육/풍요","내면의 풍요 추구, 영적 성장, 자신만의 성공 정의.","타인의 성공 정의 따라가기, 외적 인정만 추구.","식신이 내면화된 형태. 편인격과 유사한 내적 지혜. 화개살과 공명.","목성역행에 태어난 사람은 세상이 말하는 성공이 아닌 자신만의 풍요를 정의해야 함."
RX_saturn_natal,토성역행출생,natal_retrograde,Saturn,출생시토성역행,평생,인구약36%,"책임과 권위의 내면화. 내면의 엄격한 심판자. 자기 비판적.","자기 규율, 내적 권위, 책임감 있는 성숙, 진정한 어른됨.","지나친 자기 비판, 죄책감, 성취해도 만족 못함, 권위 불신.","책임/구조/자기비판/성숙/권위","내면의 비판자 달래기, 자기 연민 연습, 자신의 권위 인정.","외부 권위에만 의존, 끝없는 자기 비판.","정관이 내면화된 형태. 자형(自刑)과 유사한 자기 엄격함.","토성역행에 태어난 사람은 외부의 권위보다 내면의 권위와 먼저 화해해야 함. 자기 자신에게 너무 엄격하지 말 것."
