id,label,type,stage,age_range,description,task,crisis,saju_timing,dream_symbols,tarot_parallel,advice,alchemy_stage
JI_페르소나형성,페르소나형성기,individuation,1,0-12,"사회적 가면(페르소나)을 형성하는 시기. 부모와 사회의 기대에 맞춰 자아를 구성한다.","사회에 적응하는 자아 구축. 기본적 사회화와 역할 학습. 안전한 가면 만들기.","과도한 페르소나 동일시. 진짜 자기를 잃어버림. 부모 기대에 매몰.","초년 대운. 년주/월주의 영향이 강한 시기. 인성대운-부모영향.","학교, 유니폼, 거울, 다른 아이들, 부모님, 선생님, 칭찬받는 꿈","교황(사회화)/마법사(가면형성)","가면은 필요하지만 가면이 나는 아닙니다.","프리마마테리아-원료수집"
JI_그림자직면,그림자직면기,individuation,2,12-25,"억압된 그림자(Shadow)를 처음 만나는 시기. 청소년기 반항과 정체성 혼란을 통해 어두운 측면 발견.","억압된 측면을 인식하기 시작. 페르소나 뒤의 진짜 자기를 탐색. 그림자 인정.","그림자에 휩쓸림(비행/중독). 또는 그림자를 계속 억압. 타인에게 투사.","대운 교체기. 관살운이나 상관운에서 그림자가 자극받음. 양인운-공격성.","쫓기는 꿈, 괴물, 어두운 인물, 도둑, 지하실, 전쟁, 싸움, 도망","악마(그림자)/달(무의식)/탑(붕괴)","가장 싫어하는 타인의 특성이 당신의 그림자입니다.","니그레도-검은단계"
JI_아니마아니무스,내면이성통합기,individuation,3,25-40,"내면의 이성(아니마/아니무스)을 만나고 통합하는 시기. 연애/결혼을 통해 투사를 경험하고 회수.","내면의 남성성/여성성을 인정하고 통합. 투사를 거둬들이기. 진정한 관계 형성.","파트너에게 내면 이성 투사. 관계 중독이나 회피. 이상화와 환멸 반복.","일주 관련 대운. 정관/편관(남성성) 또는 정재/편재(여성성) 운. 도화살운.","이상적 이성, 결혼, 아름다운 인물, 바다, 달, 춤, 사랑, 영혼의 만남","연인(결합)/별(영혼)/여황제(여성성)","내면의 이성을 타인에게서 찾지 말고 자신 안에서 발견하세요.","알베도-하얀단계"
JI_자기만남,자기(Self)접촉기,individuation,4,40-60,"자기(Self) 원형과 처음 의식적으로 접촉하는 시기. 인생 중반의 위기와 전환. 에고를 넘어선 자기 발견.","에고를 초월한 더 큰 자기를 발견. 인생의 의미 재정립. 진정한 나의 발견.","중년 위기. 이전 삶의 의미 상실감. 우울 또는 급격한 변화. 허무감.","대운 중반. 용신이 바뀌거나 공망이 충전되는 시기. 인성대운-자기성찰.","만다라, 황금, 아이, 빛, 신성한 장소, 통합의 상징, 원, 중심","심판(각성)/태양(자기발견)/세계(통합)","중년의 위기는 진정한 자기를 찾으라는 영혼의 부름입니다.","시트리니타스-노란단계"
JI_지혜자단계,지혜자(Elder)단계,individuation,5,60+,"축적된 경험이 지혜로 결정화되는 시기. 다음 세대에 전수할 것을 정리. 죽음 준비.","삶의 지혜를 통합하고 전달. 죽음을 수용하고 초월 준비. 레거시 정리.","과거 집착. 쓸모없다는 느낌. 세대 간 단절. 죽음에 대한 공포.","시주 관련 대운. 말년 운의 흐름. 인성/식신운-지혜전수.","노인, 산, 고요함, 일몰, 지혜로운 존재, 책, 후손, 유산","은둔자(지혜)/세계(완성)/심판(평가)","지혜는 경험에서 오지만 나누지 않으면 사라집니다.","루베도-붉은단계"
JI_개성화완성,전체성실현,individuation,6,전생애,"자아와 자기(Self)가 조화를 이룬 상태. 대극의 통합. 완전히 도달할 수 없는 이상적 목표이자 방향.","의식과 무의식의 완전한 소통. 모든 대극의 통합. 진정한 전체됨.","교만. 완성되었다는 착각. 여정의 끝이라는 오해. 새 주기 시작 거부.","대운/세운의 삼합이 완성되거나 사주 전체가 조화로운 시기. 용신활성.","만다라, 철학자의 돌, 황금, 왕과 여왕의 결혼, 완전한 원, 중심에 선 자기","세계(완성)/바보(새시작)/태양(통합)","완성은 도착지가 아니라 출발점입니다. 한 주기가 끝나면 다음 주기가 시작됩니다.","황금만들기-현자의돌"
JI_그림자통합,그림자통합,individuation,practice,전생애,"평생에 걸친 그림자 통합 작업. 억압된 것을 인식하고 받아들여 전체가 되어가는 과정.","내가 싫어하는 것 안에서 나를 발견. 투사 인식. 어둠을 빛과 통합.","그림자 부정. 계속된 투사. 분열 상태 유지.","편관/상관이 활성화되는 운. 형충이 있는 시기.","어두운 인물과 대화, 괴물과 친구 됨, 어둠이 빛이 됨","악마(인정)/절제(통합)","그림자를 미워하지 마세요. 그것도 당신의 일부입니다.","니그레도→알베도"
JI_아니마통합남,아니마통합(남성),individuation,practice,청년~,남성의 내면 여성성(아니마) 통합 과정. 감정/관계/창조성/영혼과의 연결.","감정을 표현하기. 관계 능력 개발. 창조적 영감에 열리기. 영적 감수성.","감정 억압. 관계 회피. 아니마 투사로 여성 이상화/경멸.","정재/편재 대운. 수(水) 기운이 활성화되는 시기.","여인, 바다, 달, 꽃, 여신, 인어, 안내하는 여성","여사제/별/여황제","여성을 통해 자신을 발견하되, 여성에게서 찾지 마세요.","알베도-달의작업"
JI_아니무스통합여,아니무스통합(여성),individuation,practice,청년~,여성의 내면 남성성(아니무스) 통합 과정. 독립적사고/결단/행동력/정신적확신.","자기 의견 갖기. 결단력 개발. 독립적 행동. 정신적 확신.","남성 이상화/경멸. 아니무스에 사로잡혀 독단적. 남성에 의존.","정관/편관 대운. 목(木)/화(火) 기운이 활성화되는 시기.","남자, 영웅, 태양, 칼, 왕, 안내하는 남성, 다리","황제/전차/힘","남성을 통해 자신을 발견하되, 남성에게서 찾지 마세요.","알베도-태양의작업"
JI_적극적상상,적극적상상,individuation,technique,전생애,"융의 핵심 기법. 의식적으로 무의식 이미지에 집중하여 내면 인물들과 대화하는 방법.","무의식 이미지에 집중. 내면 인물과 대화. 판단 없이 관찰. 기록.","무의식에 압도. 환상에 빠짐. 의식 통제력 상실. 정신병적 혼란.","편인이 활성화되는 시기. 명상이나 영적 수련이 강조되는 운.","생생한 내면 이미지, 대화하는 인물, 살아있는 꿈","여사제(내면소통)/마법사(변환)","적극적 상상은 훈련이 필요합니다. 안전한 환경에서 시작하세요.","연금술적명상"
