id,label,type,daymaster,yearly_relation,description,career,wealth,relationship,health,timing_tip,advice
SU_갑_비견,갑목 비견 세운,seun_interpretation,갑,비견,"갑목 일간에게 비견(甲木)의 해가 오면 나와 같은 에너지가 강해져 경쟁과 자립의 해입니다. 자존심이 강해지고 독립심이 커지며, 남에게 지기 싫어하는 마음이 강해집니다. 동업이나 경쟁 상황이 발생할 수 있습니다.","독립적인 프로젝트나 창업에 유리. 다만 동료와의 경쟁 심화 가능. 혼자 하는 일이 더 효율적. 팀워크보다 개인 성과 추구.","재물 분산 주의. 동업 시 손해 가능성. 독립적 수입원 개발에 집중. 보증이나 공동 투자 삼가.","형제자매나 동료와 갈등 가능. 같은 목표를 가진 라이벌 등장. 연애에서도 경쟁자 출현.","간, 담, 근육 건강 주의. 과도한 경쟁 스트레스로 인한 두통과 긴장감.","봄(1-3월)에 추진력 최고. 여름에 과열 주의. 가을(7-9월)에 정리. 겨울에 재충전.","나를 지키되 고집은 버리세요. 경쟁이 아닌 자기 성장에 집중하면 더 큰 결실을 얻습니다."
SU_갑_식신,갑목 식신 세운,seun_interpretation,갑,식신,"갑목 일간에게 식신(丙火)의 해가 오면 표현력과 창의력이 폭발하는 해입니다. 자신의 재능을 세상에 드러내고 인정받는 시기이며, 예술적 활동이나 학문적 연구에서 큰 성과를 낼 수 있습니다.","창작 활동, 프레젠테이션, 교육, 저술에서 두각. 아이디어가 넘치고 표현력이 탁월. 승진보다 실력 인정받는 해.","재능을 통한 수입 증가. 부업이나 강의로 추가 수입. 투자보다 실력으로 버는 돈이 커지는 해.","새로운 인연 유입. 자녀 관련 기쁜 소식. 사교적이고 밝은 분위기로 인기 상승. 식사 모임 증가.","소화기 건강 주의. 과식이나 음식 관련 문제 가능. 목소리, 구강 건강 관리. 적절한 식이조절 필요.","봄에 아이디어 구상. 여름(4-6월)이 최고의 표현 시기. 가을에 성과 수확. 겨울에 다음 계획.","재능을 숨기지 마세요. 올해는 세상에 자신을 보여줄 최적의 해입니다. 표현하는 만큼 인정받습니다."
SU_갑_재성,갑목 재성 세운,seun_interpretation,갑,재성,"갑목 일간에게 재성(戊己土)의 해가 오면 재물 운이 활성화되는 해입니다. 나무가 땅을 극하듯 적극적으로 재물을 추구하게 됩니다. 사업 확장이나 투자에 유리하지만, 과욕은 금물입니다.","사업 확장, 영업 성과 증가, 새로운 수입원 발굴. 적극적인 비즈니스 활동으로 성과. 부동산 관련 기회.","재물 유입 증가하지만 지출도 늘어남. 투자 기회가 많으나 신중한 판단 필요. 부동산 매매에 유리한 시기.","이성 운 상승. 새로운 만남이나 결혼 가능성. 다만 재물과 연애가 연결되어 금전적 부담 가능.","위장, 소화기, 피부 건강 주의. 비만이나 당뇨 초기 징후 관리. 과식과 과음 자제.","봄에 투자 계획 수립. 여름에 실행. 가을(7-9월)이 수확의 적기. 겨울에 정리와 절세.","돈을 쫓지 말고 돈이 오게 하세요. 실력과 신용을 쌓으면 재물은 자연히 따라옵니다."
SU_갑_관성,갑목 관성 세운,seun_interpretation,갑,관성,"갑목 일간에게 관성(庚辛金)의 해가 오면 시련과 성장이 공존하는 해입니다. 금이 목을 극하듯 외부의 압력과 규제가 강해지지만, 이를 통해 단련되고 성숙해집니다. 직장에서의 승진이나 사회적 인정의 기회이기도 합니다.","승진 기회이나 경쟁이 치열. 상사의 기대와 압박 증가. 공무원이나 대기업은 승진 적기. 자영업은 규제 주의.","세금이나 벌금 등 의무적 지출 증가. 법적 문제에 연루될 수 있으니 계약 시 꼼꼼히. 안정적 수입 유지에 집중.","권위적인 인물과의 관계가 중요. 여성은 남편이나 남자친구와의 관계 변화. 윗사람과의 갈등 주의.","간 건강 주의. 스트레스로 인한 근육 경직, 두통. 음주 조절. 교통사고나 골절 주의.","봄에 준비하고 인내. 여름에 시련 최고조. 가을(7-9월)에 결실과 인정. 겨울에 정비.","시련은 성장의 기회입니다. 법과 원칙을 지키면서 인내하면 반드시 인정받는 때가 옵니다."
SU_갑_인성,갑목 인성 세운,seun_interpretation,갑,인성,"갑목 일간에게 인성(壬癸水)의 해가 오면 학습과 지혜가 빛나는 해입니다. 물이 나무를 키우듯 지적 성장과 내면의 충전이 이루어집니다. 학업, 자격증, 연구에 최적의 해이며, 어머니나 스승과의 인연이 깊어집니다.","학업 성취, 자격증 합격, 연구 성과. 새로운 기술이나 지식 습득에 유리. 교육 관련 업종 호황.","당장의 수입보다 미래를 위한 투자 시기. 학비나 교육비 지출 증가하지만 장기적으로 가치 있음.","어머니나 멘토와의 관계 강화. 보호받는 느낌. 연애보다 학문적 동반자 만남에 유리.","신장, 방광, 냉증 주의. 충분한 수면과 휴식 필요. 수분 섭취 관리. 우울감 주의.","겨울(10-12월)에 학습 효율 최고. 봄에 시험 응시 유리. 여름에 실습. 가을에 정리와 마무리.","배움에 투자하세요. 올해 쌓은 지식과 자격은 향후 10년의 자산이 됩니다."
SU_갑_겁재,갑목 겁재 세운,seun_interpretation,갑,겁재,"갑목 일간에게 겁재(乙木)의 해가 오면 협력과 경쟁이 동시에 나타나는 해입니다. 비슷한 에너지지만 미묘하게 다른 힘이 작용하여, 동료와의 갈등이나 재물 손실에 주의해야 합니다. 다만 유연한 협력은 큰 성과를 낼 수 있습니다.","동료와의 협업이 중요한 해. 팀 프로젝트에서 역할 분담 명확히. 경쟁보다 협력에 초점. 사업 파트너 선별 주의.","재물 유출 주의. 보증이나 빌려주는 돈 삼가. 공동 투자보다 개인 투자가 안전. 사기 주의.","형제자매나 친구와의 금전 문제 주의. 인간관계에서 배신감 느낄 수 있음. 새로운 인연보다 기존 관계 유지에 집중.","간, 신경계 건강 주의. 스트레스성 질환. 수면 장애 가능. 과로 주의.","봄에 협력 관계 점검. 여름에 갈등 최고조 주의. 가을(7-9월)에 관계 정리. 겨울에 재충전.","남을 탓하기보다 나를 돌아보세요. 겁재의 해는 진정한 인간관계의 가치를 깨닫게 합니다."
SU_을_비견,을목 비견 세운,seun_interpretation,을,비견,"을목 일간에게 비견(乙木)의 해가 오면 나와 비슷한 에너지가 강해져 동류의식과 경쟁심이 동시에 나타납니다. 같은 분야에서 경쟁자가 등장하거나, 비슷한 처지의 동료와 깊은 유대감을 형성합니다.","동종 업계에서 경쟁 심화. 차별화 전략 필요. 프리랜서나 창작 분야에서 라이벌 등장. 협업보다 독자적 경로 개척.","재물 분산 주의. 동료에게 빌려주거나 보증 서지 않기. 소소하지만 꾸준한 수입 유지에 집중.","친구나 동료와의 관계에서 질투나 경쟁심 발생 가능. 비교하지 말고 자기 페이스 유지.","소화기, 간 건강 주의. 스트레스성 피부 트러블. 충분한 휴식과 규칙적 식사 중요.","봄(1-3월)에 방향 설정. 여름에 경쟁 최고조. 가을에 차별화 결실. 겨울에 자기 성찰.","남과 비교하지 마세요. 을목의 유연함으로 자기만의 길을 걸으면 경쟁자와 다른 꽃을 피울 수 있습니다."
SU_을_식신,을목 식신 세운,seun_interpretation,을,식신,"을목 일간에게 식신(丁火)의 해가 오면 섬세한 창의력과 표현력이 빛나는 해입니다. 촛불처럼 은은하지만 깊이 있는 표현으로 주변의 감동을 이끌어냅니다. 예술, 글쓰기, 상담 분야에서 탁월한 성과를 냅니다.","예술 창작, 상담, 글쓰기, 요리, 디자인에서 성과. 섬세한 감각이 빛을 발함. 소규모이지만 질 높은 작업에 적합.","재능 기반 수입 증가. 작지만 알찬 수익. 과도한 투자보다 실력으로 벌기. 부업 수입 가능.","따뜻한 인간관계 형성. 자녀 관련 기쁜 소식. 음식을 통한 교류 활발. 소개팅이나 모임 성공적.","소화기, 심장, 눈 건강 주의. 과식 주의. 스트레스성 위장 질환. 충분한 수면 필요.","봄에 영감 폭발. 여름(4-6월)에 작품 완성 적기. 가을에 발표. 겨울에 다음 작품 구상.","섬세한 감각을 세상에 보여주세요. 작지만 깊은 울림을 주는 것이 을목 식신의 진정한 힘입니다."
SU_을_재성,을목 재성 세운,seun_interpretation,을,재성,"을목 일간에게 재성(戊己土)의 해가 오면 실속 있는 재물 운이 찾아옵니다. 부드러운 접근으로 재물을 모으는 해이며, 큰 투자보다 작은 것을 알뜰히 모아 성과를 냅니다. 부동산이나 실물 자산에 인연이 있습니다.","실무 능력으로 수입 증가. 서비스업이나 유통업에서 성과. 영업보다 관리 능력으로 인정. 안정적 사업 운영.","알뜰한 재테크로 자산 증가. 소규모 부동산 투자 유리. 적금과 보험으로 안전자산 확보. 과욕 삼가.","이성 운 상승. 실속 있는 만남. 결혼 적기. 다만 금전 문제가 관계에 영향 주지 않도록 주의.","위장, 소화기, 피부 건강 주의. 체중 관리. 규칙적 식사와 적당한 운동 중요.","봄에 재테크 계획 수립. 여름에 실행. 가을(7-9월)에 수확. 겨울에 결산과 내년 준비.","큰 것을 욕심내지 말고 작은 것부터 모으세요. 을목의 꾸준함이 재물을 불립니다."
SU_을_관성,을목 관성 세운,seun_interpretation,을,관성,"을목 일간에게 관성(庚辛金)의 해가 오면 외부의 압력과 기회가 동시에 오는 해입니다. 금이 목을 다듬듯 시련을 통해 더 아름다워지는 시기입니다. 직장에서 인정받거나 사회적 지위가 상승할 수 있습니다.","상사의 인정과 함께 높은 기대 부담. 승진 기회이나 책임도 커짐. 규율적 환경에서 능력 발휘. 이직 기회도.","법적 의무 지출 주의. 세금, 보험료 증가. 안정적 수입은 유지되나 여유자금 줄어듦.","여성은 남성과의 관계 변화 가능. 권위자와의 관계가 핵심. 순종적이면 좋은 결과. 반항하면 갈등.","호흡기, 피부, 간 건강 주의. 스트레스로 인한 알레르기 악화. 규칙적 생활 유지 중요.","봄에 인내하며 준비. 여름에 시련 최고조. 가을(7-9월)에 인정과 승진. 겨울에 휴식.","부드러움으로 강함을 이기세요. 을목은 바람에 꺾이지 않고 유연하게 휘어지듯 시련을 넘깁니다."
