id,label,type,relation_type,branch1,branch2,element_clash,description,personality_effect,career_effect,health_effect,relationship_effect,timing_effect,severity,advice
BRD_자오충_상세,자오충,branch_clash,충,子,午,수화상극,자수(子水)와 오화(午火)의 정면 충돌. 감정과 이성의 대립. 북방 수기와 남방 화기가 격렬히 부딪히며 급변을 초래한다. 가장 강렬한 충 중 하나로 삶에 큰 전환점을 만든다.,"내면의 갈등이 심하다. 이성적으로 판단해야 할 때 감정이 앞서고, 감정에 충실해야 할 때 이성이 가로막는다. 결단력은 있으나 변덕이 따른다.","급격한 직업 변동. 이직, 전직이 잦을 수 있다. 물(수산, 유통)과 불(IT, 에너지) 관련 분야에서 갈등. 사업 방향의 급전환.","심장과 신장 계통 주의. 혈압 불안정, 비뇨기 질환, 심장 두근거림. 정신적 스트레스로 인한 불면증.",연인과의 급격한 이별 또는 만남. 감정의 롤러코스터. 가정 내 부부 갈등. 세대 간 충돌.,대운/세운에서 자오충이 오면 6개월~1년 내 큰 변화. 월운에서는 해당 월에 급변.,5,변화를 거스르지 마세요. 물과 불 사이에서 중재자가 되는 토(土)의 역할이 필요합니다. 명상과 운동으로 내면의 균형을 잡으세요.
BRD_축미충_상세,축미충,branch_clash,충,丑,未,토토상충,축토(丑土)와 미토(未土)의 충돌. 같은 토끼리의 충으로 가장 느리고 은근한 변화를 가져온다. 습토(축)와 건토(미)의 대립으로 땅의 균열 같은 변화.,고집이 세고 타협을 어려워한다. 내 것을 지키려는 본능이 강하며 변화에 저항한다. 하지만 일단 변하면 완전히 달라진다.,"부동산, 농업, 건설 관련 변동. 상속 문제 발생. 직장에서 느린 승진이나 좌천. 재산 분쟁의 가능성.","소화기 계통 취약. 위장병, 소화불량, 당뇨 주의. 피부 트러블. 비만 경향.","가족 간 갈등, 특히 시부모/장인어른 관계. 재산 상속 문제로 형제 다툼. 오래된 관계의 서서히 무너짐.",변화가 느리게 온다. 1~2년에 걸쳐 서서히 상황이 바뀜. 부동산 관련 시기 주의.,3,급하게 밀어붙이지 마세요. 축미충은 시간이 해결합니다. 부동산 거래나 상속 관련 서류를 미리 정리해 두세요.
BRD_인신충_상세,인신충,branch_clash,충,寅,申,목금상극,인목(寅木)과 신금(申金)의 충돌. 나무를 도끼가 베는 형상. 6충 중 가장 격렬하고 파괴적이며 빠른 변화를 초래한다. 행동과 제약의 대립.,과감하고 공격적인 성향. 도전 정신이 강하지만 무모함으로 이어질 수 있다. 타인과의 경쟁의식이 매우 강하다.,"직업 변동이 가장 급격. 사업 실패/성공의 극단. 법적 분쟁, 소송. 군인/경찰/의사 등 칼을 다루는 직업과 인연.","간/폐 계통 취약. 교통사고 특히 주의. 수술 가능성. 팔다리 골절, 인대 부상. 과로로 인한 급성 질환.",격렬한 다툼과 이별. 적대적 경쟁관계. 법적 분쟁으로 인한 관계 파탄. 하지만 극복하면 가장 강한 동반자가 됨.,"가장 빠르게 영향. 해당 월/일에 즉각적 사건. 교통사고, 수술은 인신충 기간에 집중.",5,"안전이 최우선입니다. 운전 조심, 보험 필수. 다툼은 법적으로 해결하되 소송보다 합의를 먼저 시도하세요."
BRD_묘유충_상세,묘유충,branch_clash,충,卯,酉,목금상극,묘목(卯木)과 유금(酉金)의 충돌. 꽃을 가위가 자르는 형상. 인신충보다 부드럽지만 감성적 상처가 깊다. 예술과 현실의 괴리.,예민하고 감성적. 예술적 재능이 있으나 현실과 타협하기 어렵다. 완벽주의적 성향이 강하며 자기비판이 심하다.,예술/연예/디자인 분야에서 갈등. 이상과 현실 사이에서 방황. 금융과 예술 사이의 선택. 계약 분쟁.,"간/대장 계통 주의. 우울증, 불안장애 가능성. 알레르기, 피부병. 음주 문제로 이어질 수 있음.",연인과의 감성적 이별. 예술적 견해 차이로 인한 갈등. 이상형과 현실 파트너의 괴리.,감정적 영향이 오래간다. 해당 시기에 우울감이 깊어짐. 봄(묘월)~가을(유월) 사이 특히 주의.,4,"감정을 예술로 승화시키세요. 글쓰기, 음악, 그림 등 창작 활동이 치유됩니다. 술로 달래지 마세요."
BRD_진술충_상세,진술충,branch_clash,충,辰,戌,토토상충,진토(辰土)와 술토(戌土)의 충돌. 용과 개의 대립. 창고(고)가 열리는 상으로 숨겨진 것이 드러난다. 비밀 폭로와 재물 변동의 상.,비밀이 많고 전략적. 숨기는 것이 많으나 충을 만나면 모든 것이 드러난다. 직관력이 뛰어나지만 의심도 많다.,"숨겨진 재물이 발견되거나 반대로 숨긴 것이 폭로. 금융 비밀, 세금 문제. 부동산 관련 큰 변동. 법적 서류 문제.","소화기/피부 계통. 위궤양, 피부염. 눈 관련 질환. 스트레스성 질환.",비밀 관계 폭로. 이중생활 발각. 신뢰 관계의 와해. 하지만 진실이 드러나면 새로운 관계 시작.,진월(4월경)~술월(10월경) 사이 비밀이 드러남. 서류/계약 관련 시기 주의.,4,비밀을 정리하세요. 숨기는 것보다 스스로 공개하는 것이 피해를 줄입니다. 서류와 세금을 꼼꼼히 점검하세요.
BRD_사해충_상세,사해충,branch_clash,충,巳,亥,화수상극,사화(巳火)와 해수(亥水)의 충돌. 뱀과 돼지의 대립. 지혜와 본능의 충돌. 이동과 변화의 상이 강하며 해외 인연과 관련.,지적이면서도 본능적. 전략적 사고와 즉흥적 행동이 교차한다. 여행욕구가 강하며 한 곳에 정착하기 어렵다.,"해외 관련 사업 변동. 이민, 유학, 해외 파견. 교역/무역 분야. IT와 전통산업의 충돌.",심혈관계와 비뇨기 주의. 여행 중 건강 문제. 화상/동상 등 극단적 온도 관련 사고.,먼 거리의 인연. 해외에서 만남/이별. 문화 차이로 인한 갈등. 장거리 연애의 어려움.,"이동/변화가 핵심. 해당 시기에 여행, 이사, 이직이 겹침. 해외 관련 일이 집중.",4,변화를 받아들이세요. 새로운 환경에 적응하는 유연성이 필요합니다. 여행 보험과 건강 관리 필수.
BRD_인사신_삼형,인사신 삼형살,branch_punishment,형,寅巳申,,"무은지형(無恩之刑). 은혜를 모르는 형벌. 세 지지가 모두 모이면 가장 강력한 형살이 된다. 인목이 사화를 낳고, 사화가 신금을 낳고, 신금이 인목을 치는 순환적 파괴.","배은망덕의 상. 은혜를 베풀어도 돌아오지 않거나, 본인이 은혜를 잊기 쉽다. 권력욕이 강하고 수단과 방법을 가리지 않는 경향.","권력 다툼, 정치적 갈등. 법조/검찰/경찰 관련. 의료 사고. 상사와의 극심한 갈등. 배신당할 수 있음.",간/폐/심장 동시 약화 가능. 수술이 겹칠 수 있음. 교통사고 + 수술의 연쇄. 스트레스성 급성 질환.,은혜를 모르는 관계 패턴. 도와줬는데 배신당함. 직장 동료/상사와의 법적 분쟁.,삼형이 모두 갖춰지면 해당 해에 큰 사건. 둘만 있어도 반형(半刑)으로 영향. 관재수/소송 시기.,5,"은혜를 베풀되 대가를 기대하지 마세요. 법적 문제에 항상 대비하고, 문서화 습관을 들이세요. 건강검진 필수.",
BRD_축술미_삼형,축술미 삼형살,branch_punishment,형,丑戌未,,지세지형(恃勢之刑). 세력을 믿고 교만한 형벌. 세 토(土)가 모여 과도한 고집과 집착을 만든다.,완고하고 고집이 세다. 자신의 방식만 옳다고 믿으며 타협하지 않는다. 보수적이고 변화를 극도로 싫어한다.,부동산/농업/건설 관련 분쟁. 파트너와의 주도권 다툼. 자금 집착으로 인한 사업 경직.,"소화기 계통 집중 약화. 위암/대장암 가능성(가족력 있으면 특히 주의). 당뇨, 비만.",가족 간 재산 다툼. 형제/자매 간 불화. 완고한 성격으로 인한 이혼. 시부모/장인 갈등.,느리지만 깊은 영향. 수년에 걸쳐 관계가 악화. 부동산 관련 시기에 집중.,4,유연해지세요. 내 방식만 고집하면 모두가 떠납니다. 소화기 건강에 특별히 신경 쓰세요.,
BRD_자묘형,자묘형,branch_punishment,형,子卯,,무례지형(無禮之刑). 예의를 모르는 형벌. 자수(子)가 묘목(木)을 생해주지만 묘목이 오히려 자수를 무시하는 형상.,도와주면 당연하게 여기는 관계 패턴. 부모-자식 간 갈등의 전형. 예의 없는 행동으로 주변을 힘들게 한다.,상하관계에서 갈등. 도제식 관계의 파탄. 교육/양육 관련 스트레스.,신장/간 약화. 알코올 관련 문제. 수면 장애.,부모-자녀 갈등이 핵심. 키워준 은혜를 모름. 스승-제자 관계의 파탄.,자년(쥐띠해)과 묘년(토끼띠해)에 특히 두드러짐.,3,예의를 갖추세요. 받은 것에 감사하는 습관이 중요합니다. 부모님과의 관계를 돌아보세요.,
BRD_자파_자유,자유파,branch_destruction,파,子,酉,,자수(子)와 유금(酉)의 파. 물과 금속의 만남이지만 서로를 깨뜨린다. 기존의 틀이 무너지는 상.,기존 질서에 대한 불만. 규칙을 깨고 싶은 욕구. 반골 기질이 있으나 건설적이지 못할 때가 있다.,기존 사업의 파산. 새로운 시작을 위한 정리. 직장 퇴사 후 방황.,폐/신장 약화. 감기가 잘 낫지 않음. 비뇨기 문제.,오래된 관계의 청산. 친구 관계의 변화. 소속 집단에서의 이탈.,파(破)는 충보다 약하지만 지속적. 서서히 기존 것이 무너짐.,2,낡은 것을 정리하세요. 파는 새 시작의 전조입니다. 미련 없이 놓아야 새로운 것이 옵니다.
