src,dst,rel,desc
정묘,무술,생,"성장과 발전의 시기, 화이 토을 북돋워 활력을 준다."
임오,경진,귀인,도움 손길이 다가오며 관계 성과 향상.
기사,신유,생,내면이 밝아지고 명예에 기회가 열린다.
병진,계사,충,병진와 계사 충돌. 감정 방향 수정의 전환점.
신묘,임자,생,"성장과 발전의 시기, 금이 수을 북돋워 활력을 준다."
임오,을해,생,"성장과 발전의 시기, 수이 목을 북돋워 활력을 준다."
신미,을유,극,"조율이 필요한 시기, 금이 목을 제어한다. 객관적 판단 요구."
신유,무인,형,"규칙과 자유의 마찰, 감정에서 자기통제 필요."
계해,정미,극,"수-화의 충돌로 현실점검 필요, 경험치가 성장한다."
병인,경자,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
기축,병진,형,기축와 병진 사이의 내적 긴장. 심리적 피로 경계.
경자,경자,합,"새로운 인연 또는 프로젝트 결합, 직업 안정화."
임인,정해,극,긴장 속에서 균형을 잡을 때. 직업 변동 예상.
병술,갑진,형,"형세 재편의 시기, 감정관리 중요."
정해,기묘,생,에너지가 확장되며 감정에서 새로운 돌파구 등장.
임술,갑술,생,"성장과 발전의 시기, 수이 목을 북돋워 활력을 준다."
정묘,병신,합,"새로운 인연 또는 프로젝트 결합, 생활 안정화."
갑술,정사,생,"성장과 발전의 시기, 목이 화을 북돋워 활력을 준다."
계유,정축,극,긴장 속에서 균형을 잡을 때. 사회 변동 예상.
정해,을축,귀인,도움 손길이 다가오며 사회 성과 향상.
임인,신사,해,임인와 신사의 해(害)기운. 감정 노출과 정리의 시기.
병술,신해,극,"화-금의 충돌로 현실점검 필요, 경험치가 성장한다."
신해,무오,해,"정서적 정리와 단절, 새 순환을 준비."
경진,무신,해,"피로·오해의 흐름, 진로에서 속도조절 필요."
을해,갑술,합,을해와 갑술의 교류로 조화로운 변화. 능률에서 협력·이익 상승.
갑자,경오,충,목-금 대립으로 이동·변화 발생.
계사,경술,귀인,좋은 인연·정보가 열려 능률 안정.
병진,임자,충,병진와 임자 충돌. 대인관계 방향 수정의 전환점.
기사,임술,극,"조율이 필요한 시기, 토이 수을 제어한다. 객관적 판단 요구."
계해,임술,합,"새로운 인연 또는 프로젝트 결합, 일상 안정화."
갑진,신해,귀인,능률에 귀인의 조력 출현. 갑진-신해 상호보완 기운.
기축,경술,생,에너지가 확장되며 대인관계에서 새로운 돌파구 등장.
무진,경술,생,"성장과 발전의 시기, 토이 금을 북돋워 활력을 준다."
갑자,신묘,귀인,좋은 인연·정보가 열려 진로 안정.
을유,병신,생,"성장과 발전의 시기, 목이 화을 북돋워 활력을 준다."
계축,임술,합,계축와 임술의 교류로 조화로운 변화. 관계에서 협력·이익 상승.
갑오,경자,형,갑오와 경자 사이의 내적 긴장. 심리적 피로 경계.
경오,신유,합,경오와 신유의 교류로 조화로운 변화. 능률에서 협력·이익 상승.
병인,계해,귀인,좋은 인연·정보가 열려 능률 안정.
경오,계미,생,내면이 밝아지고 일상에 기회가 열린다.
기유,병신,해,"정서적 정리와 단절, 새 순환을 준비."
계유,병오,극,긴장 속에서 균형을 잡을 때. 관계 변동 예상.
임신,신축,귀인,좋은 인연·정보가 열려 진로 안정.
정사,경신,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
을축,경인,해,"피로·오해의 흐름, 감정에서 속도조절 필요."
계미,기미,해,계미와 기미의 해(害)기운. 감정 노출과 정리의 시기.
계사,정해,극,긴장 속에서 균형을 잡을 때. 능률 변동 예상.
계묘,임신,합,계묘와 임신의 교류로 조화로운 변화. 생활에서 협력·이익 상승.
병신,정유,합,"새로운 인연 또는 프로젝트 결합, 직업 안정화."
임오,경오,형,"규칙과 자유의 마찰, 감정에서 자기통제 필요."
병신,병인,합,"새로운 인연 또는 프로젝트 결합, 사회 안정화."
신유,을해,극,"금-목의 충돌로 현실점검 필요, 경험치가 성장한다."
병인,갑오,충,병인와 갑오 충돌. 감정 방향 수정의 전환점.
병진,임진,귀인,감정에 귀인의 조력 출현. 병진-임진 상호보완 기운.
갑신,계축,해,"정서적 정리와 단절, 새 순환을 준비."
정해,경인,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
기해,경자,생,내면이 밝아지고 감정에 기회가 열린다.
무오,병오,해,"피로·오해의 흐름, 능률에서 속도조절 필요."
병신,임술,형,"규칙과 자유의 마찰, 명예에서 자기통제 필요."
무인,신미,생,에너지가 확장되며 관계에서 새로운 돌파구 등장.
