id,source,target,relation,description
Regulus_conjunct_Sun,Regulus,Sun,conjunction,Regulus이(가) Sun와(과) 합
Regulus_conjunct_Moon,Regulus,Moon,conjunction,Regulus이(가) Moon와(과) 합
Regulus_conjunct_Mercury,Regulus,Mercury,conjunction,Regulus이(가) Mercury와(과) 합
Regulus_conjunct_Venus,Regulus,Venus,conjunction,Regulus이(가) Venus와(과) 합
Regulus_conjunct_Mars,Regulus,Mars,conjunction,Regulus이(가) Mars와(과) 합
Regulus_conjunct_Jupiter,Regulus,Jupiter,conjunction,Regulus이(가) Jupiter와(과) 합
Regulus_conjunct_Saturn,Regulus,Saturn,conjunction,Regulus이(가) Saturn와(과) 합
Regulus_conjunct_Uranus,Regulus,Uranus,conjunction,Regulus이(가) Uranus와(과) 합
Regulus_conjunct_Neptune,Regulus,Neptune,conjunction,Regulus이(가) Neptune와(과) 합
Regulus_conjunct_Pluto,Regulus,Pluto,conjunction,Regulus이(가) Pluto와(과) 합
Regulus_conjunct_Ascendant,Regulus,Ascendant,conjunction,Regulus이(가) Ascendant와(과) 합
Regulus_conjunct_MC,Regulus,MC,conjunction,Regulus이(가) MC와(과) 합
Spica_conjunct_Sun,Spica,Sun,conjunction,Spica이(가) Sun와(과) 합
Spica_conjunct_Moon,Spica,Moon,conjunction,Spica이(가) Moon와(과) 합
Spica_conjunct_Mercury,Spica,Mercury,conjunction,Spica이(가) Mercury와(과) 합
Spica_conjunct_Venus,Spica,Venus,conjunction,Spica이(가) Venus와(과) 합
Spica_conjunct_Mars,Spica,Mars,conjunction,Spica이(가) Mars와(과) 합
Spica_conjunct_Jupiter,Spica,Jupiter,conjunction,Spica이(가) Jupiter와(과) 합
Spica_conjunct_Saturn,Spica,Saturn,conjunction,Spica이(가) Saturn와(과) 합
Spica_conjunct_Uranus,Spica,Uranus,conjunction,Spica이(가) Uranus와(과) 합
Spica_conjunct_Neptune,Spica,Neptune,conjunction,Spica이(가) Neptune와(과) 합
Spica_conjunct_Pluto,Spica,Pluto,conjunction,Spica이(가) Pluto와(과) 합
Spica_conjunct_Ascendant,Spica,Ascendant,conjunction,Spica이(가) Ascendant와(과) 합
Spica_conjunct_MC,Spica,MC,conjunction,Spica이(가) MC와(과) 합
Algol_conjunct_Sun,Algol,Sun,conjunction,Algol이(가) Sun와(과) 합
Algol_conjunct_Moon,Algol,Moon,conjunction,Algol이(가) Moon와(과) 합
Algol_conjunct_Mercury,Algol,Mercury,conjunction,Algol이(가) Mercury와(과) 합
Algol_conjunct_Venus,Algol,Venus,conjunction,Algol이(가) Venus와(과) 합
Algol_conjunct_Mars,Algol,Mars,conjunction,Algol이(가) Mars와(과) 합
Algol_conjunct_Jupiter,Algol,Jupiter,conjunction,Algol이(가) Jupiter와(과) 합
Algol_conjunct_Saturn,Algol,Saturn,conjunction,Algol이(가) Saturn와(과) 합
Algol_conjunct_Uranus,Algol,Uranus,conjunction,Algol이(가) Uranus와(과) 합
Algol_conjunct_Neptune,Algol,Neptune,conjunction,Algol이(가) Neptune와(과) 합
Algol_conjunct_Pluto,Algol,Pluto,conjunction,Algol이(가) Pluto와(과) 합
Algol_conjunct_Ascendant,Algol,Ascendant,conjunction,Algol이(가) Ascendant와(과) 합
Algol_conjunct_MC,Algol,MC,conjunction,Algol이(가) MC와(과) 합
Aldebaran_conjunct_Sun,Aldebaran,Sun,conjunction,Aldebaran이(가) Sun와(과) 합
Aldebaran_conjunct_Moon,Aldebaran,Moon,conjunction,Aldebaran이(가) Moon와(과) 합
Aldebaran_conjunct_Mercury,Aldebaran,Mercury,conjunction,Aldebaran이(가) Mercury와(과) 합
Aldebaran_conjunct_Venus,Aldebaran,Venus,conjunction,Aldebaran이(가) Venus와(과) 합
Aldebaran_conjunct_Mars,Aldebaran,Mars,conjunction,Aldebaran이(가) Mars와(과) 합
Aldebaran_conjunct_Jupiter,Aldebaran,Jupiter,conjunction,Aldebaran이(가) Jupiter와(과) 합
Aldebaran_conjunct_Saturn,Aldebaran,Saturn,conjunction,Aldebaran이(가) Saturn와(과) 합
Aldebaran_conjunct_Uranus,Aldebaran,Uranus,conjunction,Aldebaran이(가) Uranus와(과) 합
Aldebaran_conjunct_Neptune,Aldebaran,Neptune,conjunction,Aldebaran이(가) Neptune와(과) 합
Aldebaran_conjunct_Pluto,Aldebaran,Pluto,conjunction,Aldebaran이(가) Pluto와(과) 합
Aldebaran_conjunct_Ascendant,Aldebaran,Ascendant,conjunction,Aldebaran이(가) Ascendant와(과) 합
Aldebaran_conjunct_MC,Aldebaran,MC,conjunction,Aldebaran이(가) MC와(과) 합
Antares_conjunct_Sun,Antares,Sun,conjunction,Antares이(가) Sun와(과) 합
Antares_conjunct_Moon,Antares,Moon,conjunction,Antares이(가) Moon와(과) 합
Antares_conjunct_Mercury,Antares,Mercury,conjunction,Antares이(가) Mercury와(과) 합
Antares_conjunct_Venus,Antares,Venus,conjunction,Antares이(가) Venus와(과) 합
Antares_conjunct_Mars,Antares,Mars,conjunction,Antares이(가) Mars와(과) 합
Antares_conjunct_Jupiter,Antares,Jupiter,conjunction,Antares이(가) Jupiter와(과) 합
Antares_conjunct_Saturn,Antares,Saturn,conjunction,Antares이(가) Saturn와(과) 합
Antares_conjunct_Uranus,Antares,Uranus,conjunction,Antares이(가) Uranus와(과) 합
