id,label,type,challenge_number,korean_name,core_lesson,manifestation,growth_path,saju_correlation,description
NC_0,챌린지0,numerology_challenge,0,도전수0,모든것또는아무것도아님,모든도전을동시에경험/선택의자유,균형잡힌선택/집중력개발,공망-무한가능성,챌린지 0은 모든 숫자의 도전을 포함. 무한한 가능성과 선택의 자유가 있으나 방향 설정이 과제.
NC_1,챌린지1,numerology_challenge,1,도전수1,자기주장과독립,의존성/자신감부족/남의의견에휩쓸림,건강한자기주장/독립심개발,비겁약-자아확립필요,챌린지 1은 자기 목소리를 내는 것이 어려움. 타인의 승인 없이 스스로 결정하는 법을 배워야 함.
NC_2,챌린지2,numerology_challenge,2,도전수2,감수성과협력,과민함/타인에휩쓸림/경계부족,건강한경계/민감성활용,인성과다-과민감성,챌린지 2는 감수성이 너무 강해 타인에게 휩쓸리기 쉬움. 자신을 보호하면서 협력하는 법을 배움.
NC_3,챌린지3,numerology_challenge,3,도전수3,자기표현과집중,산만함/자기비판/표현억제,창의적표현/긍정적자기대화,상관억압-표현막힘,챌린지 3은 자기 표현이 억제되거나 너무 산만함. 집중력 있는 창의적 표현을 배움.
NC_4,챌린지4,numerology_challenge,4,도전수4,노력과한계,게으름/경직성/변화거부,유연한노력/건강한구조,토과다-경직성,챌린지 4는 너무 게으르거나 너무 경직됨. 유연하면서도 꾸준한 노력을 배움.
NC_5,챌린지5,numerology_challenge,5,도전수5,자유와책임,무책임/변화중독/안정거부,책임있는자유/건강한변화,역마과다-불안정,챌린지 5는 자유를 추구하다 책임을 회피함. 안정과 변화의 균형을 배움.
NC_6,챌린지6,numerology_challenge,6,도전수6,책임과간섭,과잉책임/타인통제/순교자의식,건강한경계/자기돌봄,인성과다-과잉헌신,챌린지 6은 너무 많은 책임을 지거나 타인을 통제하려 함. 건강한 돌봄의 경계를 배움.
NC_7,챌린지7,numerology_challenge,7,도전수7,신뢰와믿음,과도한회의/고립/타인불신,건강한신뢰/영적열림,편인과다-고립경향,챌린지 7은 모든 것을 의심하고 고립되기 쉬움. 신뢰하고 연결되는 법을 배움.
NC_8,챌린지8,numerology_challenge,8,도전수8,권력과물질,물질집착/권력남용/성공강박,균형잡힌성공/윤리적권력,재관과다-물질집착,챌린지 8은 물질이나 권력에 집착하거나 반대로 회피함. 균형 잡힌 성공을 배움.
NC_first,첫번째도전,numerology_challenge,varies,첫번째도전기,어린시절에형성된패턴,0-30대초반에가장강하게경험,근본패턴인식/어린시절치유,초년대운-어린시절과제,첫 번째 도전은 주로 어린 시절에 형성됨. 가정환경이나 초기 경험에서 비롯된 패턴.
NC_second,두번째도전,numerology_challenge,varies,두번째도전기,청년기에심화되는과제,20-50대에주로경험,사회적적응/관계성숙,청년대운-성장과제,두 번째 도전은 청년기에 사회와 관계에서 심화됨. 커리어와 관계에서 나타나는 패턴.
NC_third,세번째도전,numerology_challenge,varies,세번째도전기,중년이후지속되는과제,평생에걸쳐경험/중년이후심화,인생통합/지혜획득,중년대운-통합과제,세 번째 도전은 평생에 걸친 주요 과제. 중년 이후 더 명확해지며 인생 후반의 성장 방향.
NC_fourth,네번째도전,numerology_challenge,varies,네번째도전기,말년의최종과제,노년기에집중적으로경험,인생완성/최종성장,말년대운-최종과제,네 번째 도전은 인생의 최종 과제. 모든 경험을 통합하고 완성하는 마지막 성장의 기회.
