id,label,name,desc,category,element,description
archetype,원형,Archetype,집단 무의식에 존재하는 보편적 상징과 패턴,jung_concept,air,Archetype: Astro interpretation data.
shadow,그림자,Shadow,인정하기 싫어하는 자아의 억압된 부분,jung_concept,water,Shadow: Astro interpretation data.
anima,아니마,Anima,남성 내면의 여성적 에너지,jung_archetype,water,Anima: Astro interpretation data.
animus,아니무스,Animus,여성 내면의 남성적 에너지,jung_archetype,fire,Animus: Astro interpretation data.
self,자기,Self,의식과 무의식의 통합된 전체,jung_concept,earth,Self: Astro interpretation data.
persona,페르소나,Persona,사회에 보여주는 가면과 역할,jung_concept,air,Persona: Astro interpretation data.
collective_unconscious,집단무의식,Collective Unconscious,인류가 공유하는 보편적 심리 구조,jung_concept,water,Collective Unconscious:
individuation,개성화,Individuation,진정한 자기 자신이 되어가는 과정,jung_process,fire,Individuation:
synchronicity,공시성,Synchronicity,의미있는 우연의 일치,jung_concept,air,Synchronicity:
ego,자아,Ego,의식의 중심,jung_concept,fire,Ego: Astro interpretation data.
hero,영웅,Hero Archetype,여정과 변화를 상징하는 원형,jung_archetype,fire,Hero Archetype:
mother,어머니,Mother Archetype,양육과 보호의 원형,jung_archetype,water,Mother Archetype:
father,아버지,Father Archetype,권위와 질서의 원형,jung_archetype,earth,Father Archetype:
trickster,트릭스터,Trickster Archetype,혼돈과 변화를 가져오는 원형,jung_archetype,air,Trickster Archetype:
wise_old_man,현자,Wise Old Man,지혜와 통찰의 원형,jung_archetype,earth,Wise Old Man:
integration,통합,Integration,대립하는 면들을 조화시키는 과정,jung_process,earth,Integration:
transcendent_function,초월기능,Transcendent Function,의식과 무의식을 연결하는 심리 기능,jung_concept,air,Transcendent Function:
active_imagination,능동적상상,Active Imagination,무의식과 대화하는 기법,jung_practice,water,Active Imagination:
dream_analysis,꿈분석,Dream Analysis,무의식의 메시지를 해석하는 방법,jung_practice,water,Dream Analysis:
