id,label,type,suit,number,korean_name,upright_meaning,reversed_meaning,element,saju_correlation,astro_correlation,description,jung_archetype,dream_symbol,advice,timing_guidance
TM_pent_ace,펜타클에이스,tarot_minor,Pentacles,1,펜타클의에이스,새기회/물질축복/번영시작/안정,기회놓침/물질집착/불안정/손실,Earth,무토기토일간-물질적시작,황소자리0-10도,펜타클 에이스는 구름에서 내민 황금 동전. 물질적 기회와 번영의 시작. 재정적 축복과 안정의 씨앗.,자기원형-물질적시작,황금/씨앗/비옥한땅,새로운 재정적 기회가 왔습니다. 땅에 씨앗을 심으세요.,초승달/목요일/봄(파종기)
TM_pent_2,펜타클2,tarot_minor,Pentacles,2,펜타클의2,균형/적응/유연성/다중작업,불균형/과부하/우선순위혼란/스트레스,Earth,비겁운-다중관리,황소자리10-20도,펜타클 2는 두 동전을 저글링하는 모습. 여러 일을 동시에 처리하며 균형을 잡음. 유연한 적응력.,트릭스터원형-유연한균형,저글링/파도타기/균형잡기,여러 일을 동시에 잘 처리하고 있습니다. 균형을 유지하세요.,수요일/변동시기/멀티태스킹필요기
TM_pent_3,펜타클3,tarot_minor,Pentacles,3,펜타클의3,기술/협업/장인정신/인정,미숙함/협업실패/품질저하/무시,Earth,식신생재-기술인정,황소자리20-30도,펜타클 3은 대성당에서 일하는 석공. 전문 기술이 인정받고 협업을 통해 큰 작품을 만듦.,창조자원형-장인정신,대성당/공예품/팀작업,전문성을 키우고 협업하세요. 장인정신이 인정받습니다.,목요일/기술향상기/협업프로젝트시작
TM_pent_4,펜타클4,tarot_minor,Pentacles,4,펜타클의4,안정/보존/보수적/소유욕,탐욕/집착/폐쇄적/변화두려움,Earth,정재운-재산보존,황소자리-처녀경계,펜타클 4는 동전을 꽉 쥔 모습. 가진 것을 지키려는 마음. 안정적이나 너무 닫히면 성장 못함.,그림자원형-소유집착,금고/꽉쥔손/성벽,가진 것을 지키되 너무 움켜쥐면 흐름이 멈춥니다.,토요일/재산보호기/보수적접근필요시
TM_pent_5,펜타클5,tarot_minor,Pentacles,5,펜타클의5,어려움/가난/고립/건강문제,회복/도움/끝터널/희망,Earth,재성파-경제적어려움,처녀자리0-10도,펜타클 5는 눈 속에 헤매는 두 사람. 물질적 어려움과 고립. 하지만 빛나는 창문이 있음을 잊지 말것.,고아원형-물질적결핍,눈보라/빈손/교회앞,어려운 시기지만 도움의 문이 있습니다. 주변을 둘러보세요.,그믐달/겨울/경제적어려움기
TM_pent_6,펜타클6,tarot_minor,Pentacles,6,펜타클의6,나눔/관용/주고받음/균형,불공정/이기심/빚/착취,Earth,식신생재-베풂과받음,처녀자리10-20도,펜타클 6은 부자가 가난한 이에게 주는 장면. 가진 것을 나누는 관용. 주고받음의 균형.,돌봄자원형-관대한나눔,저울/나눔/선물,베풀 수 있을 때 베푸세요. 주고받음의 균형이 풍요를 낳습니다.,금요일/기부적기/감사표현시기
TM_pent_7,펜타클7,tarot_minor,Pentacles,7,펜타클의7,인내/성장관찰/투자/기다림,조급함/성급한수확/포기/좌절,Earth,편인운-투자기다림,처녀자리20-30도,펜타클 7은 농부가 작물을 바라보는 모습. 씨뿌린 것이 자라는 걸 기다리며 인내. 장기 투자.,농부원형-인내의결실,농작물/기다리는사람/계절변화,씨앗은 심었습니다. 조급해하지 말고 성장을 지켜보세요.,토요일/장기투자기간/인내필요시
TM_pent_8,펜타클8,tarot_minor,Pentacles,8,펜타클의8,장인정신/숙련/집중/노력,반복/지루함/완벽주의/과로,Earth,식신운-기술연마,염소자리0-10도,펜타클 8은 동전을 새기는 장인. 한 우물을 파는 장인 정신. 꾸준한 노력으로 기술을 연마.,창조자원형-숙련의길,작업대/반복연습/도구,한 분야에 집중하세요. 꾸준한 노력이 전문가를 만듭니다.,화요일/기술연마기/집중필요시기
TM_pent_9,펜타클9,tarot_minor,Pentacles,9,펜타클의9,풍요/독립/자수성가/성취,과시/물질의존/외로움/불안정,Earth,정재운-자수성가,염소자리10-20도,펜타클 9는 정원에서 풍요를 누리는 모습. 스스로의 노력으로 이룬 물질적 성공. 독립과 안정.,자기원형-자족하는풍요,정원/포도/새,노력의 결실을 누리세요. 스스로 만든 풍요에 감사하세요.,목요일/보름달/성취축하시기
TM_pent_10,펜타클10,tarot_minor,Pentacles,10,펜타클의10,유산/가업/영속/세대,가족갈등/유산분쟁/기반불안/단절,Earth,년주조상궁-가문유산,염소자리20-30도,펜타클 10은 세대가 함께하는 가족. 가업과 유산의 전승. 영속하는 물질적 기반.,노인원형-세대간전승,대가족/저택/가문,물려받은 것과 물려줄 것을 생각하세요. 영속하는 기반을 세우세요.,토요일/가족모임/유산관련시기
