id,planet,planet_kr,house,house_domain,duration,theme,opportunities,challenges,advice,description
TRANSIT_Sun_H1,Sun,태양,1,"자아, 외모, 첫인상",1년,"태양이(가) 1하우스(자아, 외모, 첫인상)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","자아, 외모, 첫인상 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 자아, 외모, 첫인상 관련 도전이 있을 수 있습니다.","이 시기에는 자아, 외모, 첫인상 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Sun_H2,Sun,태양,2,"재정, 가치관, 소유",1년,"태양이(가) 2하우스(재정, 가치관, 소유)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","재정, 가치관, 소유 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 재정, 가치관, 소유 관련 도전이 있을 수 있습니다.","이 시기에는 재정, 가치관, 소유 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Sun_H3,Sun,태양,3,"소통, 형제, 단거리 이동",1년,"태양이(가) 3하우스(소통, 형제, 단거리 이동)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","소통, 형제, 단거리 이동 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 소통, 형제, 단거리 이동 관련 도전이 있을 수 있습니다.","이 시기에는 소통, 형제, 단거리 이동 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Sun_H4,Sun,태양,4,"가정, 뿌리, 부동산",1년,"태양이(가) 4하우스(가정, 뿌리, 부동산)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","가정, 뿌리, 부동산 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 가정, 뿌리, 부동산 관련 도전이 있을 수 있습니다.","이 시기에는 가정, 뿌리, 부동산 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Sun_H5,Sun,태양,5,"창조, 로맨스, 자녀",1년,"태양이(가) 5하우스(창조, 로맨스, 자녀)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","창조, 로맨스, 자녀 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 창조, 로맨스, 자녀 관련 도전이 있을 수 있습니다.","이 시기에는 창조, 로맨스, 자녀 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Sun_H6,Sun,태양,6,"건강, 일상, 봉사",1년,"태양이(가) 6하우스(건강, 일상, 봉사)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","건강, 일상, 봉사 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 건강, 일상, 봉사 관련 도전이 있을 수 있습니다.","이 시기에는 건강, 일상, 봉사 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Sun_H7,Sun,태양,7,"파트너십, 결혼, 계약",1년,"태양이(가) 7하우스(파트너십, 결혼, 계약)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","파트너십, 결혼, 계약 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 파트너십, 결혼, 계약 관련 도전이 있을 수 있습니다.","이 시기에는 파트너십, 결혼, 계약 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Sun_H8,Sun,태양,8,"변환, 공유자원, 심리",1년,"태양이(가) 8하우스(변환, 공유자원, 심리)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","변환, 공유자원, 심리 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 변환, 공유자원, 심리 관련 도전이 있을 수 있습니다.","이 시기에는 변환, 공유자원, 심리 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Sun_H9,Sun,태양,9,"철학, 고등교육, 해외",1년,"태양이(가) 9하우스(철학, 고등교육, 해외)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","철학, 고등교육, 해외 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 철학, 고등교육, 해외 관련 도전이 있을 수 있습니다.","이 시기에는 철학, 고등교육, 해외 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Sun_H10,Sun,태양,10,"경력, 명성, 사회적 지위",1년,"태양이(가) 10하우스(경력, 명성, 사회적 지위)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","경력, 명성, 사회적 지위 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 경력, 명성, 사회적 지위 관련 도전이 있을 수 있습니다.","이 시기에는 경력, 명성, 사회적 지위 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
