id,label,type,transit_planet,duration,korean_name,general_effect,life_area,timing_advice,saju_correlation,description
AT_jupiter,목성트랜짓,astro_transit,Jupiter,1년/별자리,목성운행,확장/행운/성장/과잉,해당하우스영역의확장과기회,기회를잡되과잉주의,세운-확장기,목성 트랜짓은 해당 영역에 확장과 기회를 가져옴. 낙관적이 되나 과잉에 주의.
AT_saturn,토성트랜짓,astro_transit,Saturn,2.5년/별자리,토성운행,제한/시련/구조화/성숙,해당영역의시련과성숙/책임증가,인내하며기반구축/책임수용,대운-시련성숙,토성 트랜짓은 해당 영역에 시련과 책임을 가져옴. 힘들지만 견고한 기반을 세우는 시기.
AT_uranus,천왕성트랜짓,astro_transit,Uranus,7년/별자리,천왕성운행,변화/혁신/해방/불안정,해당영역의급격한변화와혁신,변화수용/유연성유지,대운교체-급변,천왕성 트랜짓은 해당 영역에 급격한 변화와 해방을 가져옴. 예측 불가능하나 혁신의 기회.
AT_neptune,해왕성트랜짓,astro_transit,Neptune,14년/별자리,해왕성운행,혼란/영감/환상/용해,해당영역의경계용해와영적각성,직관신뢰/현실확인필요,대운-영적시기,해왕성 트랜짓은 해당 영역의 경계를 용해시킴. 영감이 높아지나 혼란과 환상에 주의.
AT_pluto,명왕성트랜짓,astro_transit,Pluto,12-30년/별자리,명왕성운행,변환/파괴재생/권력/깊이,해당영역의근본적변환,저항하지말고변환수용,대운-근본변화,명왕성 트랜짓은 해당 영역을 근본적으로 변환시킴. 파괴와 재생을 통한 깊은 변화.
AT_saturn_return,토성리턴,astro_transit,Saturn_Return,29-30세/58-60세,토성회귀,성인됨/인생점검/구조재편,인생의큰전환점/어른이됨,책임수용/방향재설정,대운중반-전환,토성 리턴은 약 29년마다 찾아오는 인생의 전환점. 성인으로서 책임을 수용하고 방향을 재설정.
AT_jupiter_return,목성리턴,astro_transit,Jupiter_Return,12년주기,목성회귀,새로운확장사이클/기회,새로운성장사이클시작,비전확장/새로운모험,세운12년-확장주기,목성 리턴은 12년마다 새로운 확장과 성장의 사이클이 시작됨. 비전을 넓히는 기회.
AT_chiron_return,카이론리턴,astro_transit,Chiron_Return,50세경,카이론회귀,상처의지혜/치유자됨,상처를지혜로변환/치유자역할,상처수용/타인치유,대운후반-치유,카이론 리턴은 50세경에 찾아옴. 인생의 상처가 지혜로 변환되고 치유자로서의 역할이 열림.
AT_uranus_opp,천왕성대충,astro_transit,Uranus_Opposition,40-42세,천왕성반환,중년위기/자유욕구/변화,중년의급격한변화욕구,진정한자기발견/변화수용,대운중반-중년위기,천왕성 대충은 40대 초반의 중년 위기. 억압된 자아가 폭발하며 급격한 변화를 원함.
AT_progressed_moon,진행달,astro_transit,Progressed_Moon,2.5년/별자리,진행달운행,감정초점변화/내면변화,감정적관심영역이동,감정의변화를따라감,월운-감정변화,진행 달은 약 2.5년마다 별자리를 이동하며 감정적 관심과 초점이 변화함.
AT_solar_arc,태양호,astro_transit,Solar_Arc,1도/1년,태양호진행,점진적발전/타이밍,인생이벤트의타이밍지표,중요한시점예측,세운월운-시점,태양호 진행은 1년에 1도씩 이동하며 인생의 주요 이벤트 타이밍을 나타냄.
AT_eclipse,일월식,astro_transit,Eclipse,6개월영향,일월식,운명적사건/큰변화/새로운시작,해당하우스영역의운명적변화,중요한결정/새로운시작,세운충형-운명적시점,일월식은 해당 위치와 관련된 영역에 운명적인 사건이나 새로운 시작을 가져옴.
AT_mercury_retro,수성역행,astro_transit,Mercury_Retrograde,3주/년3회,수성역행,소통혼란/재검토/과거회귀,계약서명주의/과거정리,재검토/백업/과거해결,역마형-혼란,수성 역행은 소통과 이동에 혼란. 계약이나 중요 결정을 피하고 과거를 정리하는 시기.
AT_venus_retro,금성역행,astro_transit,Venus_Retrograde,6주/18개월주기,금성역행,관계재평가/가치재검토,전연인재회/관계점검,관계재평가/충동적결정주의,도화형-관계재검토,금성 역행은 관계와 가치의 재평가 시기. 전 연인이 돌아오거나 관계를 다시 생각하게 됨.
AT_mars_retro,화성역행,astro_transit,Mars_Retrograde,2개월/2년주기,화성역행,행동지연/분노내면화/재충전,행동계획재검토/에너지내부집중,새시작피하기/에너지충전,역마억제-지연,화성 역행은 행동과 에너지가 내부로 향함. 새로운 시작보다 재검토와 재충전의 시기.
