id,source,target,relation,category,description,situation,timing_advice,life_area
ICH_SAJU_001,HEX_01,SAJU_TS_장생,괘운성매핑,hexagram_stage,건괘(乾)와 장생의 결합 - 순양의 기운이 생명력의 시작과 만나 강력한 창조적 에너지를 형성한다,새로운 사업이나 프로젝트의 시작 단계에서 강한 리더십과 추진력이 요구되는 상황,장생 시기에 건괘가 활성화되면 과감한 도전과 새로운 시작을 두려워하지 말 것. 하늘의 기운이 상승하는 때이므로 주도적으로 행동하라,career/spiritual
ICH_SAJU_002,HEX_01,SAJU_TS_제왕,괘운성매핑,hexagram_stage,건괘(乾)와 제왕의 결합 - 순양의 창조력이 최고 정점에 도달하여 절대적 권위와 영향력을 발휘한다,조직이나 공동체에서 최고 지도자의 역할을 맡거나 결정적 순간에 중대한 결단을 내려야 하는 상황,제왕 시기의 건괘는 최고의 역량 발휘 시점이다. 그러나 항룡유회(亢龍有悔)를 명심하여 겸손함을 잃지 말 것,career/wealth
ICH_SAJU_003,HEX_01,SAJU_SIPSIN_비견,괘십신매핑,hexagram_sipsin,건괘(乾)와 비견의 결합 - 동등한 기운끼리의 순수한 경쟁과 협력이 하늘의 창조적 에너지로 증폭된다,동료나 경쟁자와의 관계에서 주도권을 확립해야 하는 상황. 독립적 사업이나 자기 브랜딩이 중요한 시기,비견의 에너지가 건괘와 만나면 자주적 행동력이 극대화된다. 파트너십보다 독자적 노선이 유리하며 자기 확신을 가지고 전진하라,career/relationship
ICH_SAJU_004,HEX_02,SAJU_TS_묘,괘운성매핑,hexagram_stage,곤괘(坤)와 묘의 결합 - 순음의 수용적 에너지가 저장과 잠복의 단계와 만나 깊은 내면의 지혜를 축적한다,외부 활동보다 내면 성찰과 학문적 탐구가 필요한 시기. 조상이나 가문의 유산과 관련된 일이 발생하는 상황,묘 시기의 곤괘는 적극적 행동보다 수용과 관찰이 중요하다. 땅의 덕처럼 만물을 품는 자세로 때를 기다리며 내공을 쌓으라,spiritual/relationship
ICH_SAJU_005,HEX_02,SAJU_TS_태,괘운성매핑,hexagram_stage,곤괘(坤)와 태의 결합 - 순음의 포용력이 새 생명의 잉태와 만나 무한한 가능성의 씨앗을 품는다,임신이나 새로운 아이디어의 구상 단계. 아직 형체는 없으나 내면에서 무언가가 자라나고 있는 상황,태 시기의 곤괘는 조용히 내면의 가능성을 키우는 때이다. 서두르지 말고 대지가 씨앗을 품듯 인내심을 가지고 준비하라,health/spiritual
ICH_SAJU_006,HEX_02,SAJU_SIPSIN_정인,괘십신매핑,hexagram_sipsin,곤괘(坤)와 정인의 결합 - 어머니 대지의 수용적 지혜가 학문과 교육의 에너지와 합쳐져 깊은 통찰력을 형성한다,스승이나 멘토의 가르침이 큰 영향을 미치는 시기. 학업이나 자격증 취득에 유리한 상황,정인의 학문적 기운이 곤괘의 수용력과 만나면 배움의 효율이 극대화된다. 겸허한 마음으로 가르침을 받아들이고 기초를 탄탄히 다지라,career/spiritual
ICH_SAJU_007,HEX_03,SAJU_TS_목욕,괘운성매핑,hexagram_stage,둔괘(屯)와 목욕의 결합 - 만물이 처음 태어나는 어려움이 목욕의 시련기와 만나 성장통을 겪는다,사업 초기의 자금난이나 인간관계의 혼란. 새로운 환경에 적응하느라 고전하는 상황,목욕 시기의 둔괘는 시련이 불가피하나 이것이 성장의 과정임을 인식해야 한다. 무리하게 확장하지 말고 기본기를 다지며 인내하라,career/wealth
ICH_SAJU_008,HEX_03,SAJU_SIPSIN_겁재,괘십신매핑,hexagram_sipsin,둔괘(屯)와 겁재의 결합 - 초기 난관 속에서 재물의 손실이나 경쟁자의 방해가 겹치는 복합적 시련의 에너지,투자 실패나 동업자와의 갈등으로 재정적 어려움을 겪는 상황. 신뢰했던 사람의 배신 가능성,겁재가 둔괘와 결합하면 재물 관리에 각별히 주의해야 한다. 보증이나 큰 투자를 삼가고 현금 유동성을 확보하라. 혼자 감당할 수 있는 범위 내에서 행동하라,wealth/relationship
ICH_SAJU_009,HEX_04,SAJU_TS_장생,괘운성매핑,hexagram_stage,몽괘(蒙)와 장생의 결합 - 어리석음 속의 순수함이 생명력의 시작과 만나 배움의 여정이 시작된다,학업을 시작하거나 새로운 분야에 입문하는 시기. 초심자의 겸손함이 필요한 상황,장생 시기의 몽괘는 무지를 부끄러워하지 말고 적극적으로 질문하고 배우라는 메시지이다. 좋은 스승을 찾아 가르침을 청하라,career/spiritual
ICH_SAJU_010,HEX_04,SAJU_SIPSIN_식신,괘십신매핑,hexagram_sipsin,몽괘(蒙)와 식신의 결합 - 천진한 호기심이 창의적 표현력과 만나 예술적 재능이나 독창적 아이디어가 발현된다,창작 활동이나 교육 분야에서 새로운 가능성이 열리는 시기. 아이들이나 젊은 세대와의 교류가 중요한 상황,식신의 창의적 에너지가 몽괘의 순수함과 만나면 고정관념에서 벗어난 혁신적 발상이 가능하다. 놀이하듯 즐기며 창조하라,career/relationship
