id,label,type,category,description,traditional_meaning,psychological_meaning,fortune_rating,action_advice
DKH_태몽_용,태몽_용꿈,korean_haemong,태몽,"용이 나타나는 태몽. 한국 전통에서 최고의 태몽으로 아이가 큰 인물이 될 것을 예고한다.","아이가 장차 사회적으로 높은 지위에 오르거나 큰 부를 이룸. 황금용은 최상의 길몽으로 대통령/재벌급 인물의 태몽.","부모의 아이에 대한 높은 기대와 무한한 가능성에 대한 무의식적 인식. 자기실현(Self) 원형의 투사.","★★★★★","태몽은 기억해두되 아이에게 과도한 기대를 부과하지 않도록 주의. 가능성의 상징으로 받아들이세요."
DKH_태몽_호랑이,태몽_호랑이꿈,korean_haemong,태몽,"호랑이가 나타나는 태몽. 강인하고 리더십 있는 아이가 태어날 것을 암시.","아이가 용감하고 카리스마 있는 인물로 성장. 군인/정치인/CEO 등 리더 유형. 백호는 특히 귀한 태몽.","강인한 아니무스(남성성) 에너지의 상징. 부모 내면의 보호 본능과 힘에 대한 열망.","★★★★★","아이의 강한 성격을 올바르게 이끌어주는 교육이 중요합니다."
DKH_태몽_돼지,태몽_돼지꿈,korean_haemong,태몽,"돼지가 나타나는 태몽. 재물복이 많은 아이가 태어날 것을 암시.","아이가 물질적으로 풍요로운 삶을 살 것. 사업 재능이 있거나 재테크에 능한 인물. 금돼지는 최고의 재물 태몽.","풍요와 다산의 원형적 상징. 물질적 안정에 대한 부모의 소망이 반영.","★★★★★","재물 교육을 어릴 때부터 시작하면 태몽의 에너지를 더 잘 활용할 수 있습니다."
DKH_태몽_과일,태몽_과일꿈,korean_haemong,태몽,"큰 과일(복숭아, 사과, 배 등)을 받거나 따는 태몽. 건강하고 복 많은 아이를 암시.","붉은 과일은 딸, 파란/초록 과일은 아들이라는 속설. 크고 탐스러운 과일일수록 아이의 복이 큼.","열매는 노력의 결실과 풍요의 상징. 출산에 대한 긍정적 기대와 감사의 마음.","★★★★☆","과일의 종류와 상태를 기억해두세요. 아이의 성향을 예측하는 데 참고가 됩니다."
DKH_태몽_꽃,태몽_꽃꿈,korean_haemong,태몽,"아름다운 꽃을 받거나 꽃밭에 있는 태몽. 주로 딸 태몽으로 해석되며 예쁘고 재능 있는 아이를 암시.","연꽃은 영적으로 뛰어난 아이, 장미는 매력적인 아이, 무궁화는 나라에 기여할 아이를 상징.","아니마(여성성)의 아름다움과 개화. 부모의 아이에 대한 사랑과 기대의 투영.","★★★★☆","아이의 예술적/감성적 재능을 키워주는 환경을 만들어주세요."
DKH_태몽_해달별,태몽_해달별꿈,korean_haemong,태몽,"해, 달, 별이 나타나는 태몽. 빛나는 인물이 될 아이를 암시하는 최상급 태몽.","해 태몽은 아들(권력/명예), 달 태몽은 딸(지혜/아름다움), 별 태몽은 재능 있는 아이. 해를 품으면 대통령급.","자기(Self) 원형의 가장 밝은 표현. 의식과 무의식의 통합된 빛. 부모의 최고 기대.","★★★★★","하늘의 기운을 받은 아이이니 넓은 세상을 경험하게 해주세요."
DKH_복권꿈_돼지,복권꿈_돼지,korean_haemong,재물,"돼지꿈을 꾼 후 복권을 사면 당첨된다는 한국 전통 믿음. 특히 돼지가 집에 들어오는 꿈.","돼지=재물의 한국 전통 상징. 돼지꿈 후 3일 이내에 재물 기회가 온다고 전해짐. 로또/복권 구매 추천 시기.","물질적 풍요에 대한 무의식의 신호. 재물에 대한 에너지가 활성화된 상태를 반영.","★★★★☆","꿈의 기운이 강할 때 재물 관련 기회를 적극 활용하되, 과도한 도박은 금물."
DKH_조상꿈_음식,조상꿈_음식주기,korean_haemong,조상,"돌아가신 분이 음식을 주는 꿈. 한국에서 매우 길한 꿈으로 조상의 축복을 의미.","조상이 음식을 주면 재물이 들어옴. 떡은 경사, 과일은 건강, 고기는 재물의 상징. 맛있게 먹으면 더 좋음.","조상 원형(집단무의식)으로부터의 에너지 전달. 가족 시스템에서 받는 지지와 축복의 상징.","★★★★★","조상에 대한 감사를 표현하세요. 성묘나 차례를 올리면 꿈의 기운이 더 강해집니다."
DKH_조상꿈_화남,조상꿈_화남,korean_haemong,조상,"돌아가신 분이 화를 내거나 꾸짖는 꿈. 현재 행동에 대한 경고의 메시지.","조상이 화내면 현재 잘못된 결정을 하고 있거나 도리에 어긋난 행동을 하고 있다는 경고. 빨리 바로잡아야.","내면의 도덕적 판단(초자아)이 현재 행동에 대해 경고를 보내는 것. 양심의 가책이 꿈으로 표현.","★★☆☆☆","최근 결정들을 되돌아보세요. 잘못된 것이 있으면 빨리 바로잡으세요."
DKH_조상꿈_데려감,조상꿈_데려감,korean_haemong,조상,"돌아가신 분이 손을 잡고 어디론가 데려가려 하는 꿈. 한국에서 가장 경계하는 꿈 중 하나.","건강에 심각한 경고. 큰 사고나 질병의 전조로 해석. 따라가면 안 됨. 거절하면 위험을 모면.","생사의 경계에 대한 무의식적 인식. 심각한 건강 문제나 생명 위협에 대한 자기 보호 본능의 경고.","★☆☆☆☆","건강검진을 즉시 받으세요. 위험한 활동을 당분간 피하고, 붉은팥죽이나 수수를 먹으면 액막이가 된다고 전해집니다."
DKH_이빨꿈_부모,이빨빠짐_가족,korean_haemong,건강,"이빨이 빠지는 꿈. 한국에서는 가족 중 누군가의 건강에 이상이 생길 수 있다는 해석.","윗니=윗사람(부모/어르신), 아랫니=아랫사람(자녀/후배). 앞니=가까운 가족, 어금니=먼 친척. 빠지는 위치로 누구인지 판단.","자신감 상실, 노화 불안, 통제력 상실에 대한 불안의 투사. 가족의 건강에 대한 걱정이 반영.","★★☆☆☆","가족의 안부를 확인하세요. 특히 꿈에서 빠진 이빨 위치에 해당하는 가족의 건강을 챙기세요."
DKH_불꿈_집,불꿈_집에불,korean_haemong,재물,"집에 불이 나는 꿈. 한국에서 역설적으로 큰 재물이 들어올 길몽으로 해석.","화재꿈은 재물의 화(火)가 활성화되는 것으로 봄. 불길이 크고 밝을수록 큰 재물. 단 자신이 다치면 흉.","변환과 정화의 에너지. 낡은 것이 타서 새로운 것이 들어올 공간이 만들어짐. 카타르시스.","★★★★☆","재물 기회가 올 수 있으니 눈을 크게 뜨세요. 단 화재 예방은 현실적으로 항상 주의."
DKH_물꿈_맑은물,맑은물꿈,korean_haemong,건강,"맑고 깨끗한 물을 마시거나 맑은 물에 들어가는 꿈. 건강 회복과 정서적 안정의 길몽.","맑은 물은 건강/재물/정화의 상징. 시원한 물을 마시면 건강 회복, 맑은 강에 들어가면 재물운.","감정적 정화와 무의식의 맑은 상태. 심리적 건강이 양호하거나 회복되고 있음을 반영.","★★★★☆","건강한 상태를 유지하세요. 맑은 물의 에너지처럼 마음도 깨끗이."
DKH_물꿈_홍수,홍수꿈,korean_haemong,경고,"홍수나 해일이 나는 꿈. 감정의 범람이나 예상치 못한 큰 변화의 전조.","홍수에 떠내려가면 흉. 높은 곳에서 바라보면 시련 후 성공. 홍수 후 맑아지면 고난 후 좋은 결과.","억압된 감정의 폭발. 통제할 수 없는 상황에 대한 불안. 감정 관리의 필요성을 알려주는 신호.","★★☆☆☆","감정을 억누르지 마세요. 큰 변화에 대비하되, 물이 맑아진 후를 기대하세요."
DKH_뱀꿈_재물,뱀꿈_재물,korean_haemong,재물,"큰 뱀이 집에 들어오거나 몸을 감는 꿈. 한국에서 대표적인 재물 길몽.","뱀=돈(사=巳=재물). 큰 구렁이가 집에 들어오면 큰돈이 들어옴. 뱀이 알을 낳으면 수입원이 늘어남.","변환과 재생의 원형. 탈피하는 뱀은 새로운 단계로의 성장을 상징. 쿤달리니 에너지의 각성.","★★★★☆","재물 기회를 놓치지 마세요. 단 뱀에게 물리면 배신/손실 주의."
DKH_돌아가신분_웃음,돌아가신분_미소,korean_haemong,조상,"돌아가신 분이 환하게 웃는 꿈. 한국에서 최고의 조상 축복 꿈.","조상의 미소는 후손에 대한 만족과 축복. 현재 하고 있는 일이 올바르며 앞으로도 잘 될 것이라는 확인.","내면의 평화와 조화가 달성된 상태. 집단무의식 레벨에서 긍정적 에너지가 흐르고 있음.","★★★★★","감사한 마음을 유지하고, 현재의 방향을 계속 유지하세요."
DKH_시험꿈_불합격,시험꿈_실패,korean_haemong,역설,"시험에 떨어지는 꿈. 역설적으로 한국에서는 합격의 길몽으로 해석하는 경우가 많다.","꿈과 반대(반몽). 시험에 떨어지는 꿈을 꾸면 실제로는 합격. 우는 꿈은 실제로 좋은 일. 역설의 법칙.","불안의 방출. 무의식이 최악의 시나리오를 미리 경험함으로써 실제 스트레스를 줄여주는 자기 보호 메커니즘.","★★★☆☆","불안감을 내려놓으세요. 충분히 준비했다면 좋은 결과가 올 것입니다."
DKH_결혼꿈_독신,결혼꿈_미혼자,korean_haemong,변화,"결혼하는 꿈(미혼자). 한국에서 새로운 시작이나 중요한 결합/계약의 전조.","실제 결혼이 가까워졌거나, 중요한 계약/협력이 성사될 징조. 결혼식이 화려할수록 좋은 결과.","아니마/아니무스의 통합. 내면의 남성성과 여성성이 조화를 이루는 과정. 새로운 정체성의 탄생.","★★★★☆","새로운 파트너십이나 계약 기회를 주시하세요."
