id,source,target,relation,description
CROSS_00001_SAJU_ELEMENT_화_ASTRO_PLANET_Sun,EL_화,Sun,오행행성,화↔Sun 기운 연관
CROSS_00002_SAJU_ELEMENT_화_ASTRO_PLANET_Moon,EL_화,Moon,오행행성,화↔Moon 기운 연관
CROSS_00003_SAJU_ELEMENT_화_ASTRO_PLANET_Mercury,EL_화,Mercury,오행행성,화↔Mercury 기운 연관
CROSS_00004_SAJU_ELEMENT_화_ASTRO_PLANET_Venus,EL_화,Venus,오행행성,화↔Venus 기운 연관
CROSS_00005_SAJU_ELEMENT_화_ASTRO_PLANET_Mars,EL_화,Mars,오행행성,화↔Mars 기운 연관
CROSS_00006_SAJU_ELEMENT_화_ASTRO_PLANET_Jupiter,EL_화,Jupiter,오행행성,화↔Jupiter 기운 연관
CROSS_00007_SAJU_ELEMENT_화_ASTRO_PLANET_Saturn,EL_화,Saturn,오행행성,화↔Saturn 기운 연관
CROSS_00008_SAJU_ELEMENT_화_ASTRO_PLANET_Uranus,EL_화,Uranus,오행행성,화↔Uranus 기운 연관
CROSS_00009_SAJU_ELEMENT_화_ASTRO_PLANET_Neptune,EL_화,Neptune,오행행성,화↔Neptune 기운 연관
CROSS_00010_SAJU_ELEMENT_화_ASTRO_PLANET_Pluto,EL_화,Pluto,오행행성,화↔Pluto 기운 연관
CROSS_00011_SAJU_ELEMENT_토_ASTRO_PLANET_Sun,EL_토,Sun,오행행성,토↔Sun 기운 연관
CROSS_00012_SAJU_ELEMENT_토_ASTRO_PLANET_Moon,EL_토,Moon,오행행성,토↔Moon 기운 연관
CROSS_00013_SAJU_ELEMENT_토_ASTRO_PLANET_Mercury,EL_토,Mercury,오행행성,토↔Mercury 기운 연관
CROSS_00014_SAJU_ELEMENT_토_ASTRO_PLANET_Venus,EL_토,Venus,오행행성,토↔Venus 기운 연관
CROSS_00015_SAJU_ELEMENT_토_ASTRO_PLANET_Mars,EL_토,Mars,오행행성,토↔Mars 기운 연관
CROSS_00016_SAJU_ELEMENT_토_ASTRO_PLANET_Jupiter,EL_토,Jupiter,오행행성,토↔Jupiter 기운 연관
CROSS_00017_SAJU_ELEMENT_토_ASTRO_PLANET_Saturn,EL_토,Saturn,오행행성,토↔Saturn 기운 연관
CROSS_00018_SAJU_ELEMENT_토_ASTRO_PLANET_Uranus,EL_토,Uranus,오행행성,토↔Uranus 기운 연관
CROSS_00019_SAJU_ELEMENT_토_ASTRO_PLANET_Neptune,EL_토,Neptune,오행행성,토↔Neptune 기운 연관
CROSS_00020_SAJU_ELEMENT_토_ASTRO_PLANET_Pluto,EL_토,Pluto,오행행성,토↔Pluto 기운 연관
CROSS_00021_SAJU_ELEMENT_금_ASTRO_PLANET_Sun,EL_금,Sun,오행행성,금↔Sun 기운 연관
CROSS_00022_SAJU_ELEMENT_금_ASTRO_PLANET_Moon,EL_금,Moon,오행행성,금↔Moon 기운 연관
CROSS_00023_SAJU_ELEMENT_금_ASTRO_PLANET_Mercury,EL_금,Mercury,오행행성,금↔Mercury 기운 연관
CROSS_00024_SAJU_ELEMENT_금_ASTRO_PLANET_Venus,EL_금,Venus,오행행성,금↔Venus 기운 연관
CROSS_00025_SAJU_ELEMENT_금_ASTRO_PLANET_Mars,EL_금,Mars,오행행성,금↔Mars 기운 연관
CROSS_00026_SAJU_ELEMENT_금_ASTRO_PLANET_Jupiter,EL_금,Jupiter,오행행성,금↔Jupiter 기운 연관
CROSS_00027_SAJU_ELEMENT_금_ASTRO_PLANET_Saturn,EL_금,Saturn,오행행성,금↔Saturn 기운 연관
CROSS_00028_SAJU_ELEMENT_금_ASTRO_PLANET_Uranus,EL_금,Uranus,오행행성,금↔Uranus 기운 연관
CROSS_00029_SAJU_ELEMENT_금_ASTRO_PLANET_Neptune,EL_금,Neptune,오행행성,금↔Neptune 기운 연관
CROSS_00030_SAJU_ELEMENT_금_ASTRO_PLANET_Pluto,EL_금,Pluto,오행행성,금↔Pluto 기운 연관
CROSS_00031_SAJU_ELEMENT_수_ASTRO_PLANET_Sun,EL_수,Sun,오행행성,수↔Sun 기운 연관
CROSS_00032_SAJU_ELEMENT_수_ASTRO_PLANET_Moon,EL_수,Moon,오행행성,수↔Moon 기운 연관
CROSS_00033_SAJU_ELEMENT_수_ASTRO_PLANET_Mercury,EL_수,Mercury,오행행성,수↔Mercury 기운 연관
CROSS_00034_SAJU_ELEMENT_수_ASTRO_PLANET_Venus,EL_수,Venus,오행행성,수↔Venus 기운 연관
CROSS_00035_SAJU_ELEMENT_수_ASTRO_PLANET_Mars,EL_수,Mars,오행행성,수↔Mars 기운 연관
CROSS_00036_SAJU_ELEMENT_수_ASTRO_PLANET_Jupiter,EL_수,Jupiter,오행행성,수↔Jupiter 기운 연관
CROSS_00037_SAJU_ELEMENT_수_ASTRO_PLANET_Saturn,EL_수,Saturn,오행행성,수↔Saturn 기운 연관
CROSS_00038_SAJU_ELEMENT_수_ASTRO_PLANET_Uranus,EL_수,Uranus,오행행성,수↔Uranus 기운 연관
CROSS_00039_SAJU_ELEMENT_수_ASTRO_PLANET_Neptune,EL_수,Neptune,오행행성,수↔Neptune 기운 연관
CROSS_00040_SAJU_ELEMENT_수_ASTRO_PLANET_Pluto,EL_수,Pluto,오행행성,수↔Pluto 기운 연관
CROSS_00041_SAJU_ELEMENT_목_ASTRO_PLANET_Sun,EL_목,Sun,오행행성,목↔Sun 기운 연관
CROSS_00042_SAJU_ELEMENT_목_ASTRO_PLANET_Moon,EL_목,Moon,오행행성,목↔Moon 기운 연관
CROSS_00043_SAJU_ELEMENT_목_ASTRO_PLANET_Mercury,EL_목,Mercury,오행행성,목↔Mercury 기운 연관
CROSS_00044_SAJU_ELEMENT_목_ASTRO_PLANET_Venus,EL_목,Venus,오행행성,목↔Venus 기운 연관
