id,source,target,relation,description
SP_Moon_enters_Aries,SP_Moon,Aries,enters,진행 달이 Aries에 진입
SP_Moon_enters_Taurus,SP_Moon,Taurus,enters,진행 달이 Taurus에 진입
SP_Moon_enters_Gemini,SP_Moon,Gemini,enters,진행 달이 Gemini에 진입
SP_Moon_enters_Cancer,SP_Moon,Cancer,enters,진행 달이 Cancer에 진입
SP_Moon_enters_Leo,SP_Moon,Leo,enters,진행 달이 Leo에 진입
SP_Moon_enters_Virgo,SP_Moon,Virgo,enters,진행 달이 Virgo에 진입
SP_Moon_enters_Libra,SP_Moon,Libra,enters,진행 달이 Libra에 진입
SP_Moon_enters_Scorpio,SP_Moon,Scorpio,enters,진행 달이 Scorpio에 진입
SP_Moon_enters_Sagittarius,SP_Moon,Sagittarius,enters,진행 달이 Sagittarius에 진입
SP_Moon_enters_Capricorn,SP_Moon,Capricorn,enters,진행 달이 Capricorn에 진입
SP_Moon_enters_Aquarius,SP_Moon,Aquarius,enters,진행 달이 Aquarius에 진입
SP_Moon_enters_Pisces,SP_Moon,Pisces,enters,진행 달이 Pisces에 진입
SP_Moon_enters_H1,SP_Moon,H1,enters,진행 달이 1하우스에 진입
SP_Moon_enters_H2,SP_Moon,H2,enters,진행 달이 2하우스에 진입
SP_Moon_enters_H3,SP_Moon,H3,enters,진행 달이 3하우스에 진입
SP_Moon_enters_H4,SP_Moon,H4,enters,진행 달이 4하우스에 진입
SP_Moon_enters_H5,SP_Moon,H5,enters,진행 달이 5하우스에 진입
SP_Moon_enters_H6,SP_Moon,H6,enters,진행 달이 6하우스에 진입
SP_Moon_enters_H7,SP_Moon,H7,enters,진행 달이 7하우스에 진입
SP_Moon_enters_H8,SP_Moon,H8,enters,진행 달이 8하우스에 진입
SP_Moon_enters_H9,SP_Moon,H9,enters,진행 달이 9하우스에 진입
SP_Moon_enters_H10,SP_Moon,H10,enters,진행 달이 10하우스에 진입
SP_Moon_enters_H11,SP_Moon,H11,enters,진행 달이 11하우스에 진입
SP_Moon_enters_H12,SP_Moon,H12,enters,진행 달이 12하우스에 진입
SP_Sun_enters_Aries,SP_Sun,Aries,enters,진행 태양이 Aries에 진입
SP_Sun_enters_Taurus,SP_Sun,Taurus,enters,진행 태양이 Taurus에 진입
SP_Sun_enters_Gemini,SP_Sun,Gemini,enters,진행 태양이 Gemini에 진입
SP_Sun_enters_Cancer,SP_Sun,Cancer,enters,진행 태양이 Cancer에 진입
SP_Sun_enters_Leo,SP_Sun,Leo,enters,진행 태양이 Leo에 진입
SP_Sun_enters_Virgo,SP_Sun,Virgo,enters,진행 태양이 Virgo에 진입
SP_Sun_enters_Libra,SP_Sun,Libra,enters,진행 태양이 Libra에 진입
SP_Sun_enters_Scorpio,SP_Sun,Scorpio,enters,진행 태양이 Scorpio에 진입
SP_Sun_enters_Sagittarius,SP_Sun,Sagittarius,enters,진행 태양이 Sagittarius에 진입
SP_Sun_enters_Capricorn,SP_Sun,Capricorn,enters,진행 태양이 Capricorn에 진입
SP_Sun_enters_Aquarius,SP_Sun,Aquarius,enters,진행 태양이 Aquarius에 진입
SP_Sun_enters_Pisces,SP_Sun,Pisces,enters,진행 태양이 Pisces에 진입
SA_Sun_conjunction_Sun,SA_Sun,Sun,conjunction,솔라 아크 Sun이(가) 네이탈 Sun와(과) conjunction
SA_Sun_sextile_Sun,SA_Sun,Sun,sextile,솔라 아크 Sun이(가) 네이탈 Sun와(과) sextile
SA_Sun_square_Sun,SA_Sun,Sun,square,솔라 아크 Sun이(가) 네이탈 Sun와(과) square
SA_Sun_trine_Sun,SA_Sun,Sun,trine,솔라 아크 Sun이(가) 네이탈 Sun와(과) trine
SA_Sun_opposition_Sun,SA_Sun,Sun,opposition,솔라 아크 Sun이(가) 네이탈 Sun와(과) opposition
SA_Sun_conjunction_Moon,SA_Sun,Moon,conjunction,솔라 아크 Sun이(가) 네이탈 Moon와(과) conjunction
SA_Sun_sextile_Moon,SA_Sun,Moon,sextile,솔라 아크 Sun이(가) 네이탈 Moon와(과) sextile
SA_Sun_square_Moon,SA_Sun,Moon,square,솔라 아크 Sun이(가) 네이탈 Moon와(과) square
SA_Sun_trine_Moon,SA_Sun,Moon,trine,솔라 아크 Sun이(가) 네이탈 Moon와(과) trine
SA_Sun_opposition_Moon,SA_Sun,Moon,opposition,솔라 아크 Sun이(가) 네이탈 Moon와(과) opposition
SA_Sun_conjunction_Mercury,SA_Sun,Mercury,conjunction,솔라 아크 Sun이(가) 네이탈 Mercury와(과) conjunction
SA_Sun_sextile_Mercury,SA_Sun,Mercury,sextile,솔라 아크 Sun이(가) 네이탈 Mercury와(과) sextile
SA_Sun_square_Mercury,SA_Sun,Mercury,square,솔라 아크 Sun이(가) 네이탈 Mercury와(과) square
SA_Sun_trine_Mercury,SA_Sun,Mercury,trine,솔라 아크 Sun이(가) 네이탈 Mercury와(과) trine
SA_Sun_opposition_Mercury,SA_Sun,Mercury,opposition,솔라 아크 Sun이(가) 네이탈 Mercury와(과) opposition
SA_Sun_conjunction_Venus,SA_Sun,Venus,conjunction,솔라 아크 Sun이(가) 네이탈 Venus와(과) conjunction
SA_Sun_sextile_Venus,SA_Sun,Venus,sextile,솔라 아크 Sun이(가) 네이탈 Venus와(과) sextile
SA_Sun_square_Venus,SA_Sun,Venus,square,솔라 아크 Sun이(가) 네이탈 Venus와(과) square
SA_Sun_trine_Venus,SA_Sun,Venus,trine,솔라 아크 Sun이(가) 네이탈 Venus와(과) trine
SA_Sun_opposition_Venus,SA_Sun,Venus,opposition,솔라 아크 Sun이(가) 네이탈 Venus와(과) opposition
SA_Sun_conjunction_Mars,SA_Sun,Mars,conjunction,솔라 아크 Sun이(가) 네이탈 Mars와(과) conjunction
SA_Sun_sextile_Mars,SA_Sun,Mars,sextile,솔라 아크 Sun이(가) 네이탈 Mars와(과) sextile
SA_Sun_square_Mars,SA_Sun,Mars,square,솔라 아크 Sun이(가) 네이탈 Mars와(과) square
SA_Sun_trine_Mars,SA_Sun,Mars,trine,솔라 아크 Sun이(가) 네이탈 Mars와(과) trine
SA_Sun_opposition_Mars,SA_Sun,Mars,opposition,솔라 아크 Sun이(가) 네이탈 Mars와(과) opposition
SA_Sun_conjunction_Jupiter,SA_Sun,Jupiter,conjunction,솔라 아크 Sun이(가) 네이탈 Jupiter와(과) conjunction
SA_Sun_sextile_Jupiter,SA_Sun,Jupiter,sextile,솔라 아크 Sun이(가) 네이탈 Jupiter와(과) sextile
SA_Sun_square_Jupiter,SA_Sun,Jupiter,square,솔라 아크 Sun이(가) 네이탈 Jupiter와(과) square
SA_Sun_trine_Jupiter,SA_Sun,Jupiter,trine,솔라 아크 Sun이(가) 네이탈 Jupiter와(과) trine
SA_Sun_opposition_Jupiter,SA_Sun,Jupiter,opposition,솔라 아크 Sun이(가) 네이탈 Jupiter와(과) opposition
SA_Sun_conjunction_Saturn,SA_Sun,Saturn,conjunction,솔라 아크 Sun이(가) 네이탈 Saturn와(과) conjunction
SA_Sun_sextile_Saturn,SA_Sun,Saturn,sextile,솔라 아크 Sun이(가) 네이탈 Saturn와(과) sextile
SA_Sun_square_Saturn,SA_Sun,Saturn,square,솔라 아크 Sun이(가) 네이탈 Saturn와(과) square
SA_Sun_trine_Saturn,SA_Sun,Saturn,trine,솔라 아크 Sun이(가) 네이탈 Saturn와(과) trine
SA_Sun_opposition_Saturn,SA_Sun,Saturn,opposition,솔라 아크 Sun이(가) 네이탈 Saturn와(과) opposition
SA_Sun_conjunction_Uranus,SA_Sun,Uranus,conjunction,솔라 아크 Sun이(가) 네이탈 Uranus와(과) conjunction
SA_Sun_sextile_Uranus,SA_Sun,Uranus,sextile,솔라 아크 Sun이(가) 네이탈 Uranus와(과) sextile
SA_Sun_square_Uranus,SA_Sun,Uranus,square,솔라 아크 Sun이(가) 네이탈 Uranus와(과) square
SA_Sun_trine_Uranus,SA_Sun,Uranus,trine,솔라 아크 Sun이(가) 네이탈 Uranus와(과) trine
SA_Sun_opposition_Uranus,SA_Sun,Uranus,opposition,솔라 아크 Sun이(가) 네이탈 Uranus와(과) opposition
SA_Sun_conjunction_Neptune,SA_Sun,Neptune,conjunction,솔라 아크 Sun이(가) 네이탈 Neptune와(과) conjunction
