id,label,type,number,korean_name,chinese_name,upper_trigram,lower_trigram,keyword,judgment,image,advice,saju_correlation,description
HEX_33,둔괘,iching_hexagram,33,천산둔,天山遯,건천,간산,물러남/은퇴/피함,형통하고작은것이바르면이롭다,하늘아래에산이있으니군자는소인을멀리하되미워하지않는다,때가되면물러나라/은둔하라,공망퇴기-물러남,둔괘(遯)는 하늘이 산 위로 멀어지는 모습. 물러나야 할 때를 알고 은퇴해야 하는 때.
HEX_34,대장괘,iching_hexagram,34,뇌천대장,雷天大壯,진뢰,건천,큰힘/강성/왕성,바르면이롭다,우레가하늘위에있으니군자는예가아니면밟지않는다,힘이왕성하나바름을지켜라,양인편관-강성왕성,대장괘(大壯)는 우레가 하늘 위에서 치는 모습. 힘이 왕성한 때이나 바름을 잃지 말아야 함.
HEX_35,진괘,iching_hexagram,35,화지진,火地晉,이화,곤지,나아감/승진/진출,강후가말을많이받고하루에세번접견한다,밝음이땅위로나오니군자는스스로밝은덕을밝힌다,밝게나아가라/승진의때,정관승진-나아감,진괘(晉)는 태양이 땅 위로 떠오르는 모습. 밝게 나아가고 진출하는 때. 승진운.
HEX_36,명이괘,iching_hexagram,36,지화명이,地火明夷,곤지,이화,밝음이상함/은인자중/어두운때,어려움에바르면이롭다,밝음이땅속에들어가니군자는무리를대할때어리석음으로밝음을감싼다,빛을숨기고때를기다려라,공망암-어둠속빛,명이괘(明夷)는 태양이 땅 속으로 들어가는 모습. 어두운 때이니 빛을 숨기고 기다려야 함.
HEX_37,가인괘,iching_hexagram,37,풍화가인,風火家人,손풍,이화,가정/가족/내부질서,여자가바르면이롭다,바람이불에서나오니군자는말에실체가있고행동에항상함이있다,가정을먼저다스려라/내부를정돈하라,일지정재-가정,가인괘(家人)는 바람이 불에서 나오는 모습. 가정과 내부를 먼저 다스려야 하는 때.
HEX_38,규괘,iching_hexagram,38,화택규,火澤睽,이화,태택,어긋남/대립/이견,작은일이길하다,불이위에있고못이아래에있으니군자는같으면서도다르다,대립속에서조화를찾아라,충대립-어긋남,규괘(睽)는 불과 물이 반대로 가는 모습. 어긋나고 대립하는 때이나 차이 속 조화를 찾음.
HEX_39,건괘험,iching_hexagram,39,수산건,水山蹇,감수,간산,험난/고난/앞길막힘,서남이이롭고동북이이롭지않다/대인을보는것이이롭다,산위에물이있으니군자는몸을돌이켜덕을닦는다,험난앞에서자신을돌아보라,편관시련-험난,건괘(蹇)는 산 앞에 물이 막힌 모습. 앞길이 험난한 때이니 자신을 돌아보고 때를 기다림.
HEX_40,해괘,iching_hexagram,40,뇌수해,雷水解,진뢰,감수,풀림/해소/해방,서남이이롭다/갈곳이없으면돌아오면길하다,우레와비가일어나니군자는잘못을용서하고죄를사면한다,매듭이풀린다/용서하고해방하라,삼합해소-풀림,해괘(解)는 우레와 비가 함께 내리는 모습. 막힌 것이 풀리고 해방되는 때.
HEX_41,손괘,iching_hexagram,41,산택손,山澤損,간산,태택,덜어냄/손해/희생,믿음이있으면크게길하고허물이없다,산아래에못이있으니군자는분노를징계하고욕심을막는다,먼저줄여야나중에늘어난다,비겁손재-덜어냄,손괘(損)는 산 아래 연못이 줄어드는 모습. 먼저 덜어내야 나중에 얻을 수 있는 때.
HEX_42,익괘,iching_hexagram,42,풍뢰익,風雷益,손풍,진뢰,더함/이익/증가,가는것이이로우니큰내를건너는것이이롭다,바람과우레가함께하니군자는선을보면옮기고과실이있으면고친다,더하고베풀어라/확장하라,삼합대길-이익증가,익괘(益)는 바람과 우레가 서로 돕는 모습. 이익이 더해지고 확장하는 때.
