id,label,type,category,korean_name,general_meaning,psychological_meaning,saju_correlation,jung_archetype,description
DC_mother,어머니,dream_character,family,어머니,모성/돌봄/근원/보호,내면의어머니상/모성콤플렉스,인성-모성에너지,Great_Mother,어머니 꿈은 돌봄과 보호의 욕구나 모성 콤플렉스. 관계가 어떤지가 현재 자기 돌봄 상태를 반영.
DC_father,아버지,dream_character,family,아버지,권위/보호/규율/방향,내면의아버지상/부성콤플렉스,정관-부성권위,Father_Figure,아버지 꿈은 권위나 방향에 대한 것. 관계가 어떤지가 권위에 대한 태도를 반영.
DC_child,아이,dream_character,family,어린아이,순수/잠재력/내면아이/새시작,내면아이/잃어버린순수,식신-순수창조,Divine_Child,"아이 꿈은 내면 아이나 새로운 시작. 다치면 상처받은 내면 아이, 건강하면 순수함과의 연결."
DC_baby,아기,dream_character,family,아기,새시작/책임/취약함/가능성,새프로젝트/잠재력/책임감,식신-새로운창조,Divine_Child,"아기 꿈은 새로 시작하는 것이나 책임. 아기를 돌보면 새 프로젝트, 잃어버리면 기회 상실 두려움."
DC_sibling,형제자매,dream_character,family,형제자매,동료/경쟁/협력/자아의일부,자아의다른측면/경쟁심,비겁-형제에너지,Shadow_Sibling,"형제자매 꿈은 자아의 다른 측면이나 동료 관계. 갈등이면 내면 갈등, 협력이면 자아 통합."
DC_grandparent,조부모,dream_character,family,조부모,지혜/뿌리/조상/전통,조상의지혜/가문의유산,년주-조상에너지,Wise_Elder,"조부모 꿈은 지혜나 뿌리에 대한 것. 조언을 주면 무의식의 지혜, 돌아가신 분이면 미해결 감정."
DC_deceased,죽은사람,dream_character,spiritual,고인,미해결감정/메시지/과거,해결안된관계/죄책감/그리움,공망-저승연결,Ancestor_Spirit,"죽은 사람 꿈은 그 사람과의 미해결 감정이나 메시지. 평화롭게 만나면 화해, 무섭거나 원망하면 죄책감."
DC_stranger,낯선사람,dream_character,unknown,모르는사람,미지의자아/가능성/그림자,아직인식못한자신의일부,편인-미지영역,Shadow_Self,낯선 사람은 대개 자신의 투영. 그 사람의 특징이 자신의 인식하지 못한 면을 보여줌.
DC_enemy,적,dream_character,conflict,적/원수,갈등/그림자/억압된면,투사된그림자/내면의적,칠살-적대에너지,Shadow_Enemy,적이나 악당은 자신의 그림자. 그들의 특성이 자신이 억압한 면일 가능성. 화해하면 그림자 통합.
DC_friend,친구,dream_character,social,친구,지지/연결/자아의일부,자아의친근한측면/지지욕구,비겁-동료에너지,Companion,친구 꿈은 지지에 대한 욕구나 자아의 친근한 측면. 그 친구의 특성이 자신에게 필요한 것을 암시.
DC_ex_partner,전연인,dream_character,relationship,전애인,과거관계/미해결감정/패턴,해결안된감정/관계패턴반복,도화살-과거인연,Anima_Animus,전 연인 꿈은 그 관계의 미해결 감정이나 반복되는 패턴. 현재 관계에 영향을 주는 과거.
DC_current_partner,현재연인,dream_character,relationship,현재파트너,관계상태/욕구/투사,관계에대한느낌/투사,정재정관-현재관계,Anima_Animus,"현재 파트너 꿈은 관계의 현 상태를 반영. 행복하면 만족, 갈등이면 실제 문제나 투사."
DC_boss,상사,dream_character,authority,직장상사,권위/통제/평가/아버지상,권위에대한태도/평가불안,정관-직장권위,Father_Authority,"상사 꿈은 권위에 대한 것. 좋은 관계면 인정욕구, 갈등이면 권위에 대한 반감이나 평가 불안."
DC_teacher,선생님,dream_character,authority,선생/스승,가르침/지혜/평가/멘토,배움에대한태도/지혜추구,인성-교육지도,Wise_Teacher,"선생님 꿈은 배움이나 지도에 대한 것. 가르침을 받으면 성장 욕구, 혼나면 자기 비판."
DC_doctor,의사,dream_character,healer,의사,치유/진단/건강/권위,치유에대한욕구/건강불안,인성-치유에너지,Healer,"의사 꿈은 치유에 대한 것. 진단받으면 문제 인식, 치료받으면 회복 욕구. 건강 불안 반영하기도."
DC_police,경찰,dream_character,authority,경찰,법/질서/죄책감/통제,양심/내면의검열자,정관-법질서,Judge,"경찰 꿈은 규칙이나 죄책감과 관련. 쫓기면 죄책감, 보호받으면 안전 욕구."
DC_criminal,범죄자,dream_character,shadow,범죄자,그림자/금지된욕망/위반,억압된충동/규칙을깨고싶음,편관-반항에너지,Shadow_Outlaw,범죄자 꿈은 억압된 충동이나 규칙을 깨고 싶은 욕구. 자신이 범죄자면 죄책감이나 일탈 욕구.
DC_celebrity,유명인,dream_character,ideal,연예인/유명인,이상/욕망/투사/인정욕구,이상적자아투사/인정욕구,상관-인정표현,Hero_Ideal,유명인 꿈은 그들이 상징하는 것에 대한 욕망. 그들의 특성이 자신이 되고 싶은 모습일 수 있음.
DC_king_queen,왕/여왕,dream_character,archetype,왕과여왕,권력/통치/자아의최고형태,통합된자아/완전한권위,정관정인-최고권위,King_Queen,"왕이나 여왕은 자아의 가장 높은 형태. 자신이 왕이면 자기 통제력, 다른 왕이면 권위에 대한 태도."
DC_witch,마녀,dream_character,archetype,마녀,부정적모성/두려운여성성/마법,그림자모성/억압된여성의힘,편인음-어두운지혜,Dark_Mother,"마녀는 부정적 모성이나 두려운 여성의 힘. 좋은 마녀면 지혜로운 여성성, 나쁘면 파괴적 모성."
DC_monster,괴물,dream_character,shadow,괴물,두려움/그림자/억압된것,극도로억압된감정/트라우마,칠살-극단두려움,Monster_Shadow,괴물은 극도로 억압된 것의 상징. 그 형태가 두려움의 성격을 암시. 물리치면 그림자 극복.
DC_angel,천사,dream_character,spiritual,천사,보호/영적안내/선함/메시지,상위자아/영적갈망,화개살-영적존재,Guardian_Angel,"천사는 보호나 영적 안내. 메시지를 주면 무의식의 지혜, 나타나면 보호받고 있다는 느낌."
DC_demon,악마,dream_character,shadow,악마,유혹/그림자/두려움/악,극단적그림자/유혹과두려움,칠살-어둠유혹,Devil_Shadow,"악마는 유혹이나 극단적 그림자. 유혹하면 억압된 욕망, 공격하면 내면의 어두운 힘과의 싸움."
DC_guide,안내자,dream_character,wisdom,안내자,지혜/방향/무의식의도움,내면의현자/무의식의안내,편인-지혜안내,Wise_Guide,안내자는 무의식이 보내는 지혜. 모르는 사람이지만 도움을 주면 내면의 지혜에 귀 기울이라는 신호.
DC_animal_human,동물인간,dream_character,hybrid,동물특성을가진사람,본능/특정특성/통합,본능과이성의결합/특성통합,식신편인-본능지혜,Animal_Animus,동물 특성을 가진 사람은 그 동물의 특성이 인간적으로 통합된 것. 어떤 동물인지가 핵심.
DC_self_other,다른모습의나,dream_character,self,다른버전의나,가능성/대안자아/평행자아,탐구안한가능성/대안인생,비겁-다른자아,Alternative_Self,다른 모습의 자신은 선택하지 않은 길이나 다른 가능성. 그 모습이 현재 욕구를 반영.
DC_shadow_self,어두운나,dream_character,shadow,그림자자아,억압된면/부정하는자아,정면으로마주해야할그림자,칠살-그림자자아,Shadow_Self,"자신의 어두운 버전은 억압한 그림자. 직면하면 통합의 기회, 도망치면 계속 추적당함."
DC_younger_self,어린나,dream_character,self,어린시절나,내면아이/과거/트라우마,상처받은내면아이/과거의나,년주월주-과거자아,Inner_Child,"어린 시절의 자신은 내면 아이. 돌보면 치유, 위험에 처하면 과거 트라우마 재활성화."
DC_older_self,미래의나,dream_character,self,늙은나/미래의나,미래/지혜/시간/죽음,미래에대한기대두려움,시주-미래자아,Future_Self,"미래의 자신은 될 수 있는 모습. 지혜롭면 성장 가능성, 불행하면 현재 방향에 대한 경고."
DC_twins,쌍둥이,dream_character,duality,쌍둥이,이중성/선택/대립면/통합,자아의두측면/통합필요,비겁겁재-이중성,Twin_Duality,"쌍둥이는 자아의 두 측면. 협력하면 통합, 갈등하면 내면 분열. 어느 쪽이 자신인지도 중요."
DC_priest,성직자,dream_character,spiritual,성직자/스님,영성/도덕/초월/죄와용서,영적갈망/죄책감과용서,인성화개-영적안내,Priest_Figure,"성직자는 영적 안내나 도덕적 권위. 축복하면 영적 승인, 비난하면 죄책감."
DC_soldier,군인,dream_character,authority,군인/전사,싸움/훈련/복종/보호,내면의전사/규율과복종,편관칠살-전투에너지,Warrior,"군인은 내면의 전사. 싸우면 갈등, 훈련하면 자기 단련, 보호하면 방어 본능."
DC_nurse,간호사,dream_character,healer,간호사,돌봄/치유/헌신/보조,돌봄의욕구/지지받고싶음,인성식신-돌봄치유,Nurturing_Healer,"간호사는 돌봄과 치유. 돌봄을 받으면 지지 욕구, 돌보면 타인을 돕고 싶은 마음."
DC_judge,판사,dream_character,authority,판사/재판관,심판/정의/결정/양심,내면의심판자/자기판단,정관-공정심판,Inner_Judge,"판사는 내면의 심판자. 판결을 받으면 자기 평가, 자신이 판사면 결정의 순간."
DC_thief,도둑,dream_character,shadow,도둑,상실/빼앗김/숨겨진욕망,박탈당하는느낌/은밀한욕구,편재도화-은밀욕망,Trickster_Thief,"도둑은 상실이나 은밀한 욕망. 도둑맞으면 빼앗김, 자신이 도둑이면 금지된 욕망."
DC_beggar,거지,dream_character,shadow,거지/노숙자,결핍/두려움/연민/그림자,빈곤에대한두려움/버림받은자아,공망편인-결핍그림자,Outcast_Shadow,거지는 결핍에 대한 두려움이나 버림받은 자아의 부분. 돕는다면 그림자 수용.
DC_driver,운전자,dream_character,control,운전사/기사,방향/통제/의존/신뢰,삶의방향/타인에게맡김,정재-방향통제,Guide_Driver,운전사는 삶의 방향. 자신이 아닌 타인이 운전하면 통제를 맡기거나 의존하는 상태.
DC_pilot,조종사,dream_character,control,비행기조종사,상승/통제/원대한계획,높은목표의통제자/야망,상관정관-고위통제,High_Controller,"조종사는 높은 목표의 통제. 안전하면 목표 향해 순항, 위험하면 야망에 대한 불안."
DC_captain,선장,dream_character,control,선장/함장,감정항해/리더십/책임,감정의바다를이끄는자,정관임수-감정리더,Emotional_Captain,"선장은 감정의 항해를 이끄는 자. 폭풍 속이면 감정적 격동기, 순항이면 감정 통제."
DC_cook,요리사,dream_character,creation,요리사/셰프,창조/양육/변환/제공,창조적변환/타인을양육,식신-창조양육,Creative_Cook,"요리사는 창조와 양육. 맛있게 만들면 창조적 성공, 태우면 창조적 좌절."
