id,daymaster,season,month_branch,primary_yongsin,secondary_yongsin,description
JH_갑_춘,甲,춘,寅卯辰,화,수,"봄 갑목: 목이 왕하니 화로 설기하고 수로 윤택하게. 금으로 가지치기도 필요."
JH_갑_하,甲,하,巳午未,수,금,"여름 갑목: 화가 태과하니 수로 조열을 식히고 금으로 제목(制木). 수원이 중요."
JH_갑_추,甲,추,申酉戌,화,수,"가을 갑목: 금이 왕하여 목을 극하니 화로 금을 제하고 수로 생목."
JH_갑_동,甲,동,亥子丑,화,토,"겨울 갑목: 수가 태과하니 화로 따뜻하게. 토로 수를 제하고 근을 심음."
JH_을_춘,乙,춘,寅卯辰,화,수,"봄 을목: 목왕하니 화로 설기. 수가 있으면 생기 있음."
JH_을_하,乙,하,巳午未,수,금,"여름 을목: 화태과하여 마르니 수로 자윤. 금은 적당히."
JH_을_추,乙,추,申酉戌,화,수,"가을 을목: 금왕하여 극을 받으니 화로 금을 녹임. 수로 생조."
JH_을_동,乙,동,亥子丑,화,토,"겨울 을목: 한랭하니 화가 급선무. 토로 습을 제거."
JH_병_춘,丙,춘,寅卯辰,목,토,"봄 병화: 목이 생화하니 세력 강함. 토로 설기하고 수로 조절."
JH_병_하,丙,하,巳午未,수,금,"여름 병화: 화태과하니 수로 조후 필수. 금도 설기에 도움."
JH_병_추,丙,추,申酉戌,목,토,"가을 병화: 금왕하여 설기되니 목으로 생화. 토는 금생."
JH_병_동,丙,동,亥子丑,목,토,"겨울 병화: 수왕하여 극받으니 목으로 통관생화."
JH_정_춘,丁,춘,寅卯辰,목,금,"봄 정화: 목생화하니 강함. 금재로 부를 얻음."
JH_정_하,丁,하,巳午未,수,금,"여름 정화: 화태과하니 수로 조후. 금재도 필요."
JH_정_추,丁,추,申酉戌,목,토,"가을 정화: 금왕하니 목으로 생화 필요."
JH_정_동,丁,동,亥子丑,목,토,"겨울 정화: 한랭하니 목으로 생화 급선무."
JH_무_춘,戊,춘,寅卯辰,화,금,"봄 무토: 목왕하여 극받으니 화로 통관. 금으로 설기."
JH_무_하,戊,하,巳午未,수,금,"여름 무토: 화생토하여 조열하니 수로 윤택하게."
JH_무_추,戊,추,申酉戌,화,목,"가을 무토: 금이 설기하니 화로 난토(暖土)."
JH_무_동,戊,동,亥子丑,화,목,"겨울 무토: 한습하니 화로 따뜻하게 하고 목으로 소토."
JH_기_춘,己,춘,寅卯辰,화,금,"봄 기토: 목극토하니 화로 통관. 금으로 설기."
JH_기_하,己,하,巳午未,수,금,"여름 기토: 조열하니 수로 윤택하게."
JH_기_추,己,추,申酉戌,화,목,"가을 기토: 금설기하니 화로 따뜻하게."
JH_기_동,己,동,亥子丑,화,목,"겨울 기토: 한습하니 화가 급선무."
JH_경_춘,庚,춘,寅卯辰,토,화,"봄 경금: 목왕하여 금이 묻히니 토로 생금. 화로 제련."
JH_경_하,庚,하,巳午未,수,토,"여름 경금: 화극금하니 수로 조후 필수."
JH_경_추,庚,추,申酉戌,화,목,"가을 경금: 금태왕하니 화로 제련하여 쓸모있게."
JH_경_동,庚,동,亥子丑,화,토,"겨울 경금: 수다금침(水多金沈)하니 화로 따뜻하게."
JH_신_춘,辛,춘,寅卯辰,토,수,"봄 신금: 목왕하니 토로 생금. 수로 세금(洗金)."
JH_신_하,辛,하,巳午未,수,토,"여름 신금: 화태과하니 수로 조후 필수."
JH_신_추,辛,추,申酉戌,화,수,"가을 신금: 금태왕하니 화로 제련. 수로 설기."
JH_신_동,辛,동,亥子丑,화,토,"겨울 신금: 한랭하니 화로 따뜻하게."
JH_임_춘,壬,춘,寅卯辰,금,토,"봄 임수: 목이 설기하니 금으로 생수."
JH_임_하,壬,하,巳午未,금,토,"여름 임수: 화태과하니 금생수로 원천 보충."
JH_임_추,壬,추,申酉戌,화,목,"가을 임수: 금생수하여 범람 우려. 토로 제수. 목으로 설기."
JH_임_동,壬,동,亥子丑,화,목,"겨울 임수: 수태과하니 화로 따뜻하게. 목으로 설기."
JH_계_춘,癸,춘,寅卯辰,금,화,"봄 계수: 목설기하니 금으로 생수."
JH_계_하,癸,하,巳午未,금,수,"여름 계수: 화태과하여 마르니 금생수로 원천."
JH_계_추,癸,추,申酉戌,화,목,"가을 계수: 금생수하니 화로 따뜻하게."
JH_계_동,癸,동,亥子丑,화,목,"겨울 계수: 수태과하니 화로 따뜻하게."
