id,source,target,relation,category,harmony_score,description_ko,insight_template
ICHING_ASTRO_001,trigram_geon,planet_sun,planetary_link,trigram_planet,0.96,"건괘(☰ 하늘)는 태양의 창조적 생명 에너지와 가장 강하게 공명합니다. 순양(純陽)의 극치로서 태양이 만물을 비추는 것처럼 건의 에너지는 우주의 창조적 의지를 나타냅니다. 군주와 아버지의 원형이 태양의 권위와 일치합니다.","{name}님의 건괘(☰)는 태양의 창조적 권위와 연결됩니다. 강한 리더십과 창조적 의지력이 현재 핵심 에너지입니다."
ICHING_ASTRO_002,trigram_gon,planet_moon,planetary_link,trigram_planet,0.94,"곤괘(☷ 땅)는 달의 수용적 양육 에너지와 깊이 연결됩니다. 순음(純陰)의 극치로서 달이 태양빛을 받아 반사하듯, 곤의 에너지는 만물을 품어 기르는 대지의 어머니 원형을 담고 있습니다.","{name}님의 곤괘(☷)는 달의 양육 에너지와 연결됩니다. 수용과 포용, 인내를 통한 성취가 현재의 지혜입니다."
ICHING_ASTRO_003,trigram_gon,planet_saturn,planetary_link,trigram_planet,0.88,"곤괘(☷)는 토성의 구조적 안정 에너지와도 공명합니다. 대지가 견고한 기반을 제공하듯, 토성이 관장하는 시간과 인내, 질서의 원리가 곤괘의 성실하고 순종적인 덕성과 일치합니다.","{name}님의 곤괘(☷)는 토성의 인내와 구조 에너지와도 연결됩니다. 꾸준한 노력과 견고한 기반이 장기적 성공의 열쇠입니다."
ICHING_ASTRO_004,trigram_jin,planet_mars,planetary_link,trigram_planet,0.93,"진괘(☳ 우레)는 화성의 역동적 행동 에너지와 강하게 공명합니다. 천둥이 하늘을 가르듯, 화성의 전사적 에너지가 진괘의 갑작스러운 움직임과 각성, 새로운 시작의 폭발적 힘과 일치합니다.","{name}님의 진괘(☳)는 화성의 행동 에너지와 연결됩니다. 갑작스러운 변화와 새로운 시작의 에너지가 폭발적으로 작용합니다."
ICHING_ASTRO_005,trigram_son,planet_venus,planetary_link,trigram_planet,0.90,"손괘(☴ 바람)는 금성의 부드러운 침투 에너지와 공명합니다. 바람이 모든 곳에 스며들듯, 금성이 관장하는 사랑과 조화의 에너지가 손괘의 유연하고 겸손한 침투력과 일치합니다. 인간관계의 조화를 이끕니다.","{name}님의 손괘(☴)는 금성의 조화 에너지와 연결됩니다. 부드러운 접근과 유연한 소통이 관계를 개선합니다."
ICHING_ASTRO_006,trigram_son,planet_jupiter,planetary_link,trigram_planet,0.87,"손괘(☴)는 목성의 확장적 성장 에너지와도 연결됩니다. 바람이 씨앗을 퍼뜨려 생명을 확산시키듯, 목성의 풍요와 성장의 에너지가 손괘의 유포와 전파의 힘과 일치합니다. 지혜의 전파를 상징합니다.","{name}님의 손괘(☴)는 목성의 확장 에너지와도 공명합니다. 지식과 영향력이 넓은 범위로 퍼져나가는 시기입니다."
ICHING_ASTRO_007,trigram_gam,planet_moon,planetary_link,trigram_planet,0.92,"감괘(☵ 물)는 달의 무의식적 흐름 에너지와 깊이 공명합니다. 물이 달의 영향으로 밀물과 썰물을 이루듯, 감괘의 위험과 시련 속에 숨겨진 깊은 지혜는 달의 무의식적 직관과 일치합니다.","{name}님의 감괘(☵)는 달의 무의식적 흐름과 연결됩니다. 위험 속에도 깊은 직관적 지혜가 숨어있으니 내면의 목소리에 귀 기울이세요."
ICHING_ASTRO_008,trigram_gam,planet_neptune,planetary_link,trigram_planet,0.89,"감괘(☵)는 해왕성의 신비로운 심층 에너지와도 연결됩니다. 깊은 물이 보이지 않는 곳까지 침투하듯, 해왕성이 관장하는 환상과 영적 심층, 초월적 경험이 감괘의 깊은 물의 신비와 일치합니다.","{name}님의 감괘(☵)는 해왕성의 영적 심층과도 공명합니다. 표면 아래의 진실을 통찰하는 영적 감수성이 활성화됩니다."
ICHING_ASTRO_009,trigram_ri,planet_sun,planetary_link,trigram_planet,0.91,"리괘(☲ 불)는 태양의 밝은 의식 에너지와 공명합니다. 불이 어둠을 밝히듯, 태양의 생명력과 명료한 의식, 진실의 빛이 리괘의 밝음과 문명, 아름다움의 덕성과 일치합니다. 깨달음의 빛을 상징합니다.","{name}님의 리괘(☲)는 태양의 의식적 밝음과 연결됩니다. 명료한 인식과 진실의 빛이 상황을 밝히는 시기입니다."
ICHING_ASTRO_010,trigram_ri,planet_mars,planetary_link,trigram_planet,0.84,"리괘(☲)는 화성의 열정적 에너지와도 연결됩니다. 불의 뜨거운 에너지가 화성의 행동력과 용기, 전투적 정신과 공명하며, 리괘의 화려함과 눈부신 활력이 화성의 적극적 에너지와 일치합니다.","{name}님의 리괘(☲)는 화성의 열정과도 공명합니다. 적극적 행동력과 용기가 빛을 발하는 시기입니다."
ICHING_ASTRO_011,trigram_gan,planet_saturn,planetary_link,trigram_planet,0.93,"간괘(☶ 산)는 토성의 견고한 한계 에너지와 강하게 공명합니다. 산이 움직이지 않고 서 있듯, 토성이 관장하는 경계와 구조, 인내와 제한이 간괘의 멈춤과 안정, 수양의 덕성과 정확히 일치합니다.","{name}님의 간괘(☶)는 토성의 한계와 구조 에너지와 연결됩니다. 멈추어야 할 때 멈추는 지혜가 진정한 힘입니다."
ICHING_ASTRO_012,trigram_tae,planet_venus,planetary_link,trigram_planet,0.92,"태괘(☱ 연못)는 금성의 기쁨과 소통 에너지와 깊이 공명합니다. 연못이 기쁨과 교류의 장이 되듯, 금성이 관장하는 사랑과 예술, 사교적 즐거움이 태괘의 환희와 소통의 덕성과 일치합니다.","{name}님의 태괘(☱)는 금성의 기쁨과 소통 에너지와 연결됩니다. 즐거운 교류와 예술적 표현이 행운을 부르는 시기입니다."
ICHING_ASTRO_013,hexagram_01_geon,zodiac_aries,energy_resonance,hexagram_zodiac,0.92,"건위천(乾爲天) 1번 괘는 양자리의 개시적 리더십 에너지와 공명합니다. 여섯 개의 양효가 순수한 창조적 힘을 나타내듯, 양자리의 선구자적 용기와 독립적 행동력이 건괘의 원시적 창조 에너지와 일치합니다.","{name}님의 건위천(乾)은 양자리의 개척 에너지와 공명합니다. 강한 의지력으로 새로운 길을 여는 것이 현재의 과제입니다."
ICHING_ASTRO_014,hexagram_01_geon,zodiac_leo,energy_resonance,hexagram_zodiac,0.94,"건위천(乾爲天) 1번 괘는 사자자리의 왕성한 창조 에너지와도 강하게 공명합니다. 건괘의 군주적 위엄과 창조적 권위가 사자자리의 태양적 리더십과 당당한 자기표현의 원형과 깊이 일치합니다.","{name}님의 건위천(乾)은 사자자리의 창조적 위엄과도 연결됩니다. 당당한 자기표현과 리더십이 빛나는 시기입니다."
ICHING_ASTRO_015,hexagram_02_gon,zodiac_cancer,energy_resonance,hexagram_zodiac,0.93,"곤위지(坤爲地) 2번 괘는 게자리의 모성적 수용 에너지와 공명합니다. 대지가 만물을 품어 기르듯, 게자리의 돌봄과 보호, 감정적 양육이 곤괘의 순수한 음의 포용력과 일치합니다.","{name}님의 곤위지(坤)는 게자리의 돌봄 에너지와 공명합니다. 포용과 수용을 통해 주변을 돌보는 것이 현재의 길입니다."
ICHING_ASTRO_016,hexagram_02_gon,zodiac_taurus,energy_resonance,hexagram_zodiac,0.91,"곤위지(坤爲地) 2번 괘는 황소자리의 견고한 대지 에너지와도 연결됩니다. 곤괘의 참을성 있는 수용력과 견고한 안정감이 황소자리의 물질적 구축력과 감각적 풍요로움의 원형과 일치합니다.","{name}님의 곤위지(坤)는 황소자리의 안정 에너지와도 연결됩니다. 인내와 꾸준함으로 풍요로운 기반을 다질 때입니다."
ICHING_ASTRO_017,hexagram_04_mong,zodiac_pisces,energy_resonance,hexagram_zodiac,0.87,"산수몽(山水蒙) 4번 괘는 물고기자리의 몽환적 배움 에너지와 공명합니다. 어린 학생이 미지의 세계를 탐험하듯, 물고기자리의 직관적 상상력과 경계 없는 학습이 몽괘의 어리석음 속 배움의 원형과 일치합니다.","{name}님의 산수몽(蒙)은 물고기자리의 직관적 학습 에너지와 공명합니다. 모르는 것을 인정하는 겸손함이 지혜의 시작입니다."
ICHING_ASTRO_018,hexagram_05_su,zodiac_cancer,energy_resonance,hexagram_zodiac,0.88,"수천수(水天需) 5번 괘는 게자리의 보호적 기다림 에너지와 공명합니다. 비가 오기를 기다리는 것처럼, 게자리의 신중한 보호 본능과 적절한 시기를 기다리는 인내가 수괘의 기다림의 지혜와 일치합니다.","{name}님의 수천수(需)는 게자리의 기다림 에너지와 공명합니다. 조급하지 않게 적절한 때를 기다리는 것이 최선의 전략입니다."
ICHING_ASTRO_019,hexagram_06_song,zodiac_libra,energy_resonance,hexagram_zodiac,0.85,"천수송(天水訟) 6번 괘는 천칭자리의 정의와 판단 에너지와 공명합니다. 소송과 분쟁의 해결을 다루는 이 괘가 천칭자리의 공정한 저울질과 법적 판단, 분쟁 중재의 원형과 일치합니다.","{name}님의 천수송(訟)은 천칭자리의 정의 에너지와 공명합니다. 공정한 시각으로 갈등을 해결하되, 타협점을 찾는 것이 지혜입니다."
