id,layer,category,saju_element,astro_element,title_ko,title_en,description,insight_template,emoji
LAYER1_ELEMENT_FIRE,1,element,火,Fire,불의 기운,Fire Energy,기본 오행-원소 매칭,"당신의 {saju}(은)는 점성술의 {astro}와 공명합니다. 열정과 추진력의 에너지가 흐릅니다.",🔥
LAYER1_ELEMENT_WATER,1,element,水,Water,물의 기운,Water Energy,기본 오행-원소 매칭,"당신의 {saju}(은)는 점성술의 {astro}와 공명합니다. 직관과 깊이의 에너지가 흐릅니다.",💧
LAYER1_ELEMENT_WOOD,1,element,木,Earth,나무의 기운,Wood Energy,기본 오행-원소 매칭,"당신의 {saju}(은)는 점성술의 {astro}와 공명합니다. 성장과 확장의 에너지가 흐릅니다.",🌳
LAYER1_ELEMENT_METAL,1,element,金,Air,금의 기운,Metal Energy,기본 오행-원소 매칭,"당신의 {saju}(은)는 점성술의 {astro}와 공명합니다. 결단과 명확함의 에너지가 흐릅니다.",⚔️
LAYER1_ELEMENT_EARTH,1,element,土,Earth,토의 기운,Earth Energy,기본 오행-원소 매칭,"당신의 {saju}(은)는 점성술의 {astro}와 공명합니다. 안정과 중심의 에너지가 흐릅니다.",🏔️
LAYER1_STEM_SUN,1,stem,甲,Sun,갑목-태양,Wood-Sun,천간-행성 매칭,"리더십의 {saju}이 태양의 빛과 만나 세상을 밝힙니다.",☀️
LAYER1_STEM_MOON,1,stem,乙,Moon,을목-달,Wood-Moon,천간-행성 매칭,"유연함의 {saju}이 달의 감성과 어우러져 공감력이 빛납니다.",🌙
LAYER1_STEM_MARS,1,stem,丙,Mars,병화-화성,Fire-Mars,천간-행성 매칭,"열정의 {saju}이 화성의 행동력과 합쳐져 돌파력이 됩니다.",🔴
LAYER1_STEM_VENUS,1,stem,辛,Venus,신금-금성,Metal-Venus,천간-행성 매칭,"순수함의 {saju}이 금성의 미감과 만나 예술적 재능이 빛납니다.",💎
LAYER1_BRANCH_SIGN,1,branch,子,Aquarius,자수-물병,Rat-Aquarius,지지-사인 매칭,"지혜로운 {saju}가 혁신의 물병자리와 만나 독창성이 폭발합니다.",♒
