id,label,type,planet,korean_name,glyph,rulership,detriment,exaltation,fall,element,modality,era,dignity_keywords,personality,career,health,saju_correlation,description
AP_sun,태양,planet_detailed,Sun,태양,☉,Leo,Aquarius,Aries,Libra,Fire,Fixed,전통(고전7행성),"자아/정체성/생명력/권위","핵심 정체성과 자아상. 어떻게 빛나고 싶은지, 인생의 목적. 아버지/권위자와의 관계. 창조성과 표현욕구.","리더십/CEO/정치인/연예인/창업가. 주목받고 영향력 행사하는 역할. 중심에 서서 빛나는 직업.","심장/척추/활력. 태양이 강하면 생명력 충만. 약하면 피로/자존감저하/심장문제.","병화(丙火)와 상응. 일간의 핵심 에너지와 유사. 밝게 드러나는 양화(陽火)의 성질.","태양은 출생차트의 핵심. 당신이 누구인지, 어떤 사람이 되고자 하는지를 나타냄. 태양의 별자리/하우스/각도가 인생의 방향성을 결정."
AP_moon,달,planet_detailed,Moon,달,☽,Cancer,Capricorn,Taurus,Scorpio,Water,Cardinal,전통(고전7행성),"감정/무의식/본능/어머니","내면의 감정 패턴과 본능적 반응. 어머니와의 관계. 안전감과 편안함을 느끼는 방식. 무의식적 습관.","돌봄/양육/심리상담/요리/가정사업/부동산. 감정적 연결이 중요한 직업.","위장/유방/체액/호르몬. 달이 불안정하면 감정기복/수면장애/소화불량.","계수(癸水)와 상응. 음수(陰水)의 성질. 감정과 직관의 흐름.","달은 태양만큼 중요. 외부에 보이는 태양과 달리 내면의 진짜 감정을 보여줌. 어떻게 느끼고 반응하는지가 달의 영역."
AP_mercury,수성,planet_detailed,Mercury,수성,☿,Gemini|Virgo,Sagittarius|Pisces,Virgo,Pisces,Air|Earth,Mutable,전통(고전7행성),"사고/소통/분석/학습","생각하고 소통하는 방식. 학습 스타일과 지적 관심사. 정보 처리와 분석 능력. 유머 감각.","작가/기자/교사/번역/프로그래밍/마케팅/영업. 소통과 정보가 핵심인 직업.","신경계/호흡기/손. 수성이 불안정하면 불안/수면문제/과민성.","임수(壬水)+기토(己土)와 상응. 지혜로운 소통과 분석의 결합.","수성은 생각의 행성. 어떻게 사고하고 표현하는지 결정. 수성역행은 소통/계약/기술 문제로 유명."
AP_venus,금성,planet_detailed,Venus,금성,♀,Taurus|Libra,Scorpio|Aries,Pisces,Virgo,Earth|Air,Fixed|Cardinal,전통(고전7행성),"사랑/아름다움/가치/조화","사랑하고 사랑받는 방식. 아름다움과 쾌락에 대한 감각. 재정과 가치관. 관계 스타일.","예술/디자인/패션/미용/금융/외교/접객. 아름다움과 조화를 다루는 직업.","신장/목/피부. 금성이 약하면 피부문제/신장질환/관계어려움.","경금(庚金)과 상응. 정재(正財)/편재(偏財)와 연결. 재물과 여성 인연.","금성은 사랑과 돈의 행성. 무엇을 가치있게 여기고 어떻게 끌어들이는지 보여줌. 관계 패턴의 핵심."
AP_mars,화성,planet_detailed,Mars,화성,♂,Aries|Scorpio,Libra|Taurus,Capricorn,Cancer,Fire|Water,Cardinal|Fixed,전통(고전7행성),"행동/열정/용기/분노","욕구를 추구하는 방식. 분노 표현과 갈등 대처. 성적 에너지와 경쟁심. 추진력의 방향.","군인/운동선수/외과의/엔지니어/소방관. 행동력과 결단이 필요한 직업.","근육/혈액/염증/두통. 화성이 과하면 사고/화상/고혈압.","정화(丁火)와 상응. 편관(偏官)/겁재(劫財)와 연결. 양인살 에너지.","화성은 전사의 행성. 무엇을 위해 싸우고 어떻게 행동하는지 결정. 성욕과 공격성의 출처."
AP_jupiter,목성,planet_detailed,Jupiter,목성,♃,Sagittarius|Pisces,Gemini|Virgo,Cancer,Capricorn,Fire|Water,Mutable|Mutable,전통(고전7행성),"확장/행운/철학/풍요","성장과 확장의 방향. 신앙과 철학. 행운이 오는 영역. 과잉과 낙관의 경향.","교수/법조인/종교인/출판/해외사업/관광. 성장과 확장을 다루는 직업.","간/허벅지/체중증가. 목성이 과하면 과잉/비만/과대망상.","갑목(甲木)과 상응. 정인(正印)/편인(偏印)과 연결. 귀인과 축복.","목성은 대길성(大吉星). 행운과 보호를 가져다주는 곳. 12년 주기로 각 별자리를 지나며 그 영역에 확장과 기회."
AP_saturn,토성,planet_detailed,Saturn,토성,♄,Capricorn|Aquarius,Cancer|Leo,Libra,Aries,Earth|Air,Cardinal|Fixed,전통(고전7행성),"책임/제한/시간/구조","한계와 두려움의 영역. 권위와 책임. 카르마적 교훈. 시간이 걸리는 성취.","관리자/건축/법률/공무원/학자. 구조와 시스템을 다루는 직업.","뼈/관절/피부/치아/우울. 토성이 강하면 만성질환/관절문제.","무토(戊土)와 상응. 정관(正官)/편관(偏官)과 연결. 책임과 시련.","토성은 업보의 행성. 피할 수 없는 교훈을 가르침. 새턴 리턴(29.5년 주기)은 인생의 전환점."
AP_uranus,천왕성,planet_detailed,Uranus,천왕성,♅,Aquarius,Leo,Scorpio,Taurus,Air,Fixed,현대(1781년발견),"혁명/자유/독창성/갑작스러움","반항과 혁신의 영역. 독특함과 천재성. 갑작스러운 변화. 집단의식과 개인의 충돌.","IT/과학/발명/점성술/사회운동. 혁신적이고 미래지향적 직업.","신경계/전기적문제/갑작스러운질병. 천왕성이 활성화되면 불안정/사고.","역마살/충과 상응. 갑작스러운 변화와 이동의 에너지.","천왕성은 혁명가. 84년 주기로 황도를 일주하며 세대의 혁신 테마를 결정. 갑작스러운 각성과 해방. [현대점성술]"
AP_neptune,해왕성,planet_detailed,Neptune,해왕성,♆,Pisces,Virgo,Leo,Aquarius,Water,Mutable,현대(1846년발견),"영성/환상/혼란/예술","영적 연결과 초월의 영역. 환상과 착각. 예술적 영감. 희생과 구원.","예술가/음악가/치료사/영적지도자/해양관련. 상상과 영성이 중요한 직업.","림프/면역/중독/정신질환. 해왕성이 불안정하면 중독경향/경계모호.","화개살/편인과 상응. 영적 감각과 혼란의 이중성.","해왕성은 몽상가. 165년 주기로 세대의 영적/예술적 테마 결정. 현실과 환상의 경계를 흐림. [현대점성술]"
AP_pluto,명왕성,planet_detailed,Pluto,명왕성,♇,Scorpio,Taurus,Aries,Libra,Water,Fixed,현대(1930년발견),"변환/죽음재생/권력/무의식","완전한 파괴와 재탄생의 영역. 깊은 심리와 집착. 권력 투쟁. 금기와 섹슈얼리티.","심리학자/수사관/외과의/금융가/변환전문가. 깊이와 권력을 다루는 직업.","생식기/배설계/재생능력. 명왕성이 활성화되면 심각한변환/위기.","묘지/절과 상응. 십이운성의 死와 絶 에너지.","명왕성은 변환자. 248년 주기로 세대의 권력/변환 테마 결정. 트랜짓 시 근본적인 삶의 변화. [현대점성술]"
