id,source,target,relation,category,harmony_score,description_ko,insight_template
TAROT_ASTRO_001,TM_00,Uranus,planetary_rule,major_arcana_planet,0.92,"광대(0번)는 천왕성의 돌발적 자유 에너지를 담고 있습니다. 기존 질서를 벗어나 미지의 세계로 뛰어드는 순수한 용기와 직관적 도약을 상징하며, 천왕성의 혁명적 각성과 동일한 원형을 공유합니다.",{name}님의 리딩에서 광대 카드는 천왕성의 갑작스러운 변화와 공명합니다. 두려움 없이 새로운 길로 나아갈 때입니다.
TAROT_ASTRO_002,TM_01,Mercury,planetary_rule,major_arcana_planet,0.96,"마법사(1번)는 수성의 지적 소통 에너지를 체현합니다. 하늘과 땅을 연결하는 매개자로서, 수성이 관장하는 사고력과 표현력, 기술적 재능을 통해 의지를 현실로 전환하는 연금술을 수행합니다.",{name}님의 리딩에서 마법사 카드는 수성의 소통과 기술 에너지와 연결됩니다. 가진 자원을 최대한 활용하여 목표를 실현할 수 있습니다.
TAROT_ASTRO_003,TM_02,Moon,planetary_rule,major_arcana_planet,0.97,"여사제(2번)는 달의 신비로운 직관 에너지를 가장 순수하게 표현합니다. 보이지 않는 영역의 지혜를 간직한 수호자로서, 달의 순환과 함께 드러나는 무의식의 비밀과 여성적 신성을 상징합니다.",{name}님의 리딩에서 여사제 카드는 달의 직관적 지혜와 깊이 공명합니다. 내면의 목소리에 귀 기울일 때 답을 얻습니다.
TAROT_ASTRO_004,TM_03,Venus,planetary_rule,major_arcana_planet,0.96,"여황제(3번)는 금성의 풍요로운 사랑과 창조 에너지를 담고 있습니다. 자연의 어머니로서 풍요와 아름다움, 감각적 즐거움을 관장하며, 금성이 주는 사랑과 예술, 생산의 축복을 체현합니다.",{name}님의 리딩에서 여황제 카드는 금성의 풍요와 사랑 에너지를 가져옵니다. 창조적 결실과 풍성한 수확의 시기입니다.
TAROT_ASTRO_005,TM_04,zodiac_aries,zodiac_rule,major_arcana_zodiac,0.95,"황제(4번)는 양자리의 개척적 리더십 에너지를 상징합니다. 양자리의 화성적 힘을 구조화된 권위로 전환하여, 질서를 세우고 영토를 확장하는 통치자의 원형을 나타냅니다. 결단력과 행동력이 핵심 에너지입니다.",{name}님의 리딩에서 황제 카드는 양자리의 결단력과 리더십을 불러옵니다. 주도적으로 결정하고 구조를 세울 때입니다.
TAROT_ASTRO_006,TM_05,zodiac_taurus,zodiac_rule,major_arcana_zodiac,0.93,"교황(5번)은 황소자리의 견고한 전통 에너지와 연결됩니다. 영적 가르침을 물질 세계에 정착시키는 역할을 하며, 황소자리의 안정성과 지속성을 통해 신성한 지혜를 세대에 걸쳐 전승합니다.",{name}님의 리딩에서 교황 카드는 황소자리의 전통과 안정 에너지와 공명합니다. 검증된 지혜와 스승의 가르침을 따를 때입니다.
TAROT_ASTRO_007,TM_06,zodiac_gemini,zodiac_rule,major_arcana_zodiac,0.94,"연인(6번)은 쌍둥이자리의 이원성과 소통 에너지를 담고 있습니다. 두 개의 길 사이의 선택, 대립하는 것들의 결합, 관계를 통한 자기 발견이 핵심이며, 쌍둥이자리의 다양성과 연결의 원리를 체현합니다.",{name}님의 리딩에서 연인 카드는 쌍둥이자리의 선택과 소통 에너지와 연결됩니다. 마음의 소리를 따르는 진정한 선택의 순간입니다.
TAROT_ASTRO_008,TM_07,zodiac_cancer,zodiac_rule,major_arcana_zodiac,0.91,"전차(7번)는 게자리의 보호적 전진 에너지를 상징합니다. 게자리의 강한 감정적 의지력으로 장애물을 극복하며, 내면의 가정(안전지대)을 지키면서도 새로운 영역을 정복해 나가는 전사의 여정을 나타냅니다.",{name}님의 리딩에서 전차 카드는 게자리의 감정적 추진력과 공명합니다. 강한 의지로 장애물을 극복하고 목표를 향해 전진할 때입니다.
TAROT_ASTRO_009,TM_08,zodiac_leo,zodiac_rule,major_arcana_zodiac,0.95,"힘(8번)은 사자자리의 고귀한 용기와 내면의 힘을 체현합니다. 사자를 부드럽게 다스리는 여인의 이미지처럼, 사자자리의 강렬한 생명력을 사랑과 인내로 승화시키는 진정한 용기를 상징합니다.",{name}님의 리딩에서 힘 카드는 사자자리의 내면의 용기와 연결됩니다. 부드러운 힘으로 도전을 극복하는 지혜가 필요한 시기입니다.
TAROT_ASTRO_010,TM_09,zodiac_virgo,zodiac_rule,major_arcana_zodiac,0.94,"은둔자(9번)는 처녀자리의 분석적 내면 탐구 에너지를 담고 있습니다. 처녀자리의 겸손함과 봉사 정신이 영적 차원으로 승화되어, 고독 속에서 진리의 빛을 찾아 세상에 비추는 현자의 길을 나타냅니다.",{name}님의 리딩에서 은둔자 카드는 처녀자리의 내면 탐구 에너지와 공명합니다. 고요한 성찰을 통해 진정한 답을 발견할 때입니다.
TAROT_ASTRO_011,TM_10,Jupiter,planetary_rule,major_arcana_planet,0.93,"운명의 수레바퀴(10번)는 목성의 확장과 행운의 순환 에너지를 상징합니다. 목성이 관장하는 성장과 기회의 순환, 카르마의 회전이 이 카드의 핵심이며, 우주적 질서 속에서 변화하는 운명의 패턴을 보여줍니다.",{name}님의 리딩에서 운명의 수레바퀴는 목성의 행운 순환과 연결됩니다. 운명의 전환점에 서 있으며 새로운 기회가 열리고 있습니다.
TAROT_ASTRO_012,TM_11,zodiac_libra,zodiac_rule,major_arcana_zodiac,0.96,"정의(11번)는 천칭자리의 균형과 공정 에너지를 가장 순수하게 표현합니다. 천칭자리의 저울처럼 진실과 거짓, 행위와 결과를 정확히 측정하며, 카르마적 균형의 법칙을 통해 우주적 정의를 실현합니다.",{name}님의 리딩에서 정의 카드는 천칭자리의 균형과 진실 에너지와 공명합니다. 공정한 판단과 책임 있는 선택이 요구됩니다.
TAROT_ASTRO_013,TM_12,Neptune,planetary_rule,major_arcana_planet,0.90,"매달린 사람(12번)은 해왕성의 자기 초월과 희생 에너지를 담고 있습니다. 해왕성의 환상과 영적 각성을 통해 기존 관점을 완전히 뒤집어, 새로운 차원의 이해에 도달하는 신비로운 변환의 과정을 상징합니다.",{name}님의 리딩에서 매달린 사람은 해왕성의 초월 에너지와 연결됩니다. 관점을 바꾸면 전혀 다른 세계가 보이는 시기입니다.
TAROT_ASTRO_014,TM_13,zodiac_scorpio,zodiac_rule,major_arcana_zodiac,0.95,"죽음(13번)은 전갈자리의 근본적 변환 에너지를 체현합니다. 전갈자리가 죽음과 재생의 순환을 관장하듯, 이 카드는 낡은 것의 필연적 소멸과 새로운 것의 탄생이라는 변환의 불가피성을 전합니다.",{name}님의 리딩에서 죽음 카드는 전갈자리의 변환 에너지와 공명합니다. 낡은 것을 완전히 내려놓아야 새로운 시작이 가능합니다.
TAROT_ASTRO_015,TM_14,zodiac_sagittarius,zodiac_rule,major_arcana_zodiac,0.92,"절제(14번)는 사수자리의 조화로운 통합과 확장 에너지를 상징합니다. 사수자리의 높은 이상을 향한 여정 속에서 대립하는 것들을 연금술적으로 융합하며, 균형 잡힌 중도의 길을 통해 영적 성장을 이룹니다.",{name}님의 리딩에서 절제 카드는 사수자리의 통합 에너지와 연결됩니다. 극단을 피하고 균형 잡힌 중용의 길이 최선입니다.
TAROT_ASTRO_016,TM_15,zodiac_capricorn,zodiac_rule,major_arcana_zodiac,0.89,"악마(15번)는 염소자리의 물질적 속박과 야망 에너지의 그림자를 드러냅니다. 염소자리의 성취 욕구가 과도해질 때 나타나는 집착과 구속을 경고하며, 물질과 영혼의 균형을 회복하라는 메시지를 전합니다.",{name}님의 리딩에서 악마 카드는 염소자리의 물질적 집착에 대한 경고입니다. 자신을 옭아매는 것이 무엇인지 직시할 때입니다.
TAROT_ASTRO_017,TM_16,Mars,planetary_rule,major_arcana_planet,0.87,"탑(16번)은 화성의 파괴적 해방 에너지를 담고 있습니다. 화성의 강렬한 힘이 거짓된 구조물을 번개처럼 무너뜨리며, 고통스럽지만 필수적인 해방을 가져옵니다. 진실만이 이 폭풍을 견딜 수 있습니다.",{name}님의 리딩에서 탑 카드는 화성의 해방적 파괴 에너지와 연결됩니다. 갑작스러운 변화가 궁극적으로 진실에 가까이 데려다 줍니다.
