id,label,desc,type,suit,number,korean_name,upright_meaning,reversed_meaning,element,saju_correlation,astro_correlation,description,jung_archetype,dream_symbol,advice,timing_guidance
TM_swords_ace,소드에이스,"소드에이스 | 소드의 에이스 카드는 진실과 명확함을 상징하며, 지적 승리를 의미합니다. 이 카드는 어려운 상황에서 돌파구를 찾아내는 힘을 주며, 진실을 직시하는 것이 중요하다는 메시지를 전달합니다. 반면, 이 카드가 거꾸로 나타날 경우 혼란이나 오해, 잘못된 정보로 인해 상황이 막힐 수 있음을 경고합니다. 따라서 명확한 사고를 유지하는 것이 문제 해결의 열쇠가 될 것입니다. 천칭자리와 관련이 있으며, 수요일이나 초승달과 같은 특정 시기에 긍정적인 변화를 기대할 수 있습니다. | upright: 진실/명확함/돌파구/지적승리 | reversed: 혼란/오해/잘못된정보/막힘 | advice: 진실을 직시하세요. 명확한 사고가 길을 열어줍니다. | archetype: 영웅원형-진실의검 | symbols: 번개/빛나는칼/새벽 | timing: 수요일/초승달/새학기시작 | astrology: 천칭자리0-10도 | saju: 경금신금일간-명석한시작 | element: Air",tarot_minor,Swords,1,소드의에이스,진실/명확함/돌파구/지적승리,혼란/오해/잘못된정보/막힘,Air,경금신금일간-명석한시작,천칭자리0-10도,"소드의 에이스 카드는 진실과 명확함을 상징하며, 지적 승리를 의미합니다. 이 카드는 어려운 상황에서 돌파구를 찾아내는 힘을 주며, 진실을 직시하는 것이 중요하다는 메시지를 전달합니다. 반면, 이 카드가 거꾸로 나타날 경우 혼란이나 오해, 잘못된 정보로 인해 상황이 막힐 수 있음을 경고합니다. 따라서 명확한 사고를 유지하는 것이 문제 해결의 열쇠가 될 것입니다. 천칭자리와 관련이 있으며, 수요일이나 초승달과 같은 특정 시기에 긍정적인 변화를 기대할 수 있습니다.",영웅원형-진실의검,번개/빛나는칼/새벽,진실을 직시하세요. 명확한 사고가 길을 열어줍니다.,수요일/초승달/새학기시작
TM_swords_2,소드2,"소드2 | 소드의 2 카드는 균형과 내면의 갈등을 상징합니다. 이 카드는 종종 결정을 내리기 어려운 상황에서 우리의 직관을 믿으라고 조언합니다. 때로는 잠시 멈추고 상황을 재조명하는 것이 필요할 수 있습니다. 또한, 이 카드는 천칭자리와 관련이 있으며, 두 가지 선택지 사이에서의 갈등을 나타내기도 합니다. | upright: 균형/결정유보/내면갈등/직관 | reversed: 우유부단/정보부족/불균형/거짓 | advice: 머리로 판단하기 어려울 때 직관을 믿으세요. 잠시 멈춤이 필요합니다. | archetype: 자기원형-내면의균형 | symbols: 눈가림/저울/양갈래길 | timing: 상현달/수요일/결정보류기 | astrology: 천칭자리10-20도 | saju: 비견겁재-양측면고려 | element: Air",tarot_minor,Swords,2,소드의2,균형/결정유보/내면갈등/직관,우유부단/정보부족/불균형/거짓,Air,비견겁재-양측면고려,천칭자리10-20도,"소드의 2 카드는 균형과 내면의 갈등을 상징합니다. 이 카드는 종종 결정을 내리기 어려운 상황에서 우리의 직관을 믿으라고 조언합니다. 때로는 잠시 멈추고 상황을 재조명하는 것이 필요할 수 있습니다. 또한, 이 카드는 천칭자리와 관련이 있으며, 두 가지 선택지 사이에서의 갈등을 나타내기도 합니다.",자기원형-내면의균형,눈가림/저울/양갈래길,머리로 판단하기 어려울 때 직관을 믿으세요. 잠시 멈춤이 필요합니다.,상현달/수요일/결정보류기
TM_swords_3,소드3,"소드3 | 타로 카드 '소드의 3'는 슬픔과 상처, 이별, 배신의 의미를 지니고 있습니다. 이 카드는 아픔을 피하지 말고 정면으로 마주하라는 조언을 담고 있으며, 이러한 고통을 통해 개인적인 성장을 이룰 수 있음을 일깨워줍니다. 반대로 이 카드가 거꾸로 나올 경우, 회복과 용서, 치유의 과정을 나타내며, 상처를 받아들이고 수용하는 것이 중요하다는 메시지를 전달합니다. 천칭자리와 관련이 있으며, 그믐달이나 비 오는 날과 같은 애도 기간에 더욱 그 의미가 깊어질 수 있습니다. | upright: 슬픔/상처/이별/배신 | reversed: 회복/용서/치유/수용 | advice: 상처를 피하지 말고 느끼세요. 아픔을 통해 성장합니다. | archetype: 그림자원형-상처받은마음 | symbols: 심장에박힌칼/비/깨진유리 | timing: 그믐달/비오는날/애도기간 | astrology: 천칭자리20-30도 | saju: 상관견관-마음상처 | element: Air",tarot_minor,Swords,3,소드의3,슬픔/상처/이별/배신,회복/용서/치유/수용,Air,상관견관-마음상처,천칭자리20-30도,"타로 카드 '소드의 3'는 슬픔과 상처, 이별, 배신의 의미를 지니고 있습니다. 이 카드는 아픔을 피하지 말고 정면으로 마주하라는 조언을 담고 있으며, 이러한 고통을 통해 개인적인 성장을 이룰 수 있음을 일깨워줍니다. 반대로 이 카드가 거꾸로 나올 경우, 회복과 용서, 치유의 과정을 나타내며, 상처를 받아들이고 수용하는 것이 중요하다는 메시지를 전달합니다. 천칭자리와 관련이 있으며, 그믐달이나 비 오는 날과 같은 애도 기간에 더욱 그 의미가 깊어질 수 있습니다.",그림자원형-상처받은마음,심장에박힌칼/비/깨진유리,상처를 피하지 말고 느끼세요. 아픔을 통해 성장합니다.,그믐달/비오는날/애도기간
TM_swords_4,소드4,"소드4 | 소드의 4 카드는 휴식과 회복의 중요성을 상징합니다. 이 카드는 정신적으로 지친 상태에서 벗어나기 위해 잠시 멈추고 명상할 필요가 있음을 알려줍니다. 회복의 과정을 통해 우리는 더 명확한 시각을 가질 수 있으며, 이는 우리의 삶에 긍정적인 변화를 가져올 수 있습니다. 반면, 이 카드가 역위치에 있을 경우 불안이나 조급함이 느껴질 수 있으며, 이러한 감정은 오히려 고립감을 초래할 수 있습니다. 따라서, 충분한 휴식을 취하고 내면의 평화를 찾는 것이 중요합니다. | upright: 휴식/회복/명상/재충전 | reversed: 불안/조급함/회피/고립 | advice: 지친 정신을 쉬게 하세요. 회복 후에 더 명확해집니다. | archetype: 은둔자원형-내면휴식 | symbols: 무덤/잠자는사람/고요한방 | timing: 토요일/하현달/휴가기간 | astrology: 천칭자리-물병경계 | saju: 편인운-정신휴식 | element: Air",tarot_minor,Swords,4,소드의4,휴식/회복/명상/재충전,불안/조급함/회피/고립,Air,편인운-정신휴식,천칭자리-물병경계,"소드의 4 카드는 휴식과 회복의 중요성을 상징합니다. 이 카드는 정신적으로 지친 상태에서 벗어나기 위해 잠시 멈추고 명상할 필요가 있음을 알려줍니다. 회복의 과정을 통해 우리는 더 명확한 시각을 가질 수 있으며, 이는 우리의 삶에 긍정적인 변화를 가져올 수 있습니다. 반면, 이 카드가 역위치에 있을 경우 불안이나 조급함이 느껴질 수 있으며, 이러한 감정은 오히려 고립감을 초래할 수 있습니다. 따라서, 충분한 휴식을 취하고 내면의 평화를 찾는 것이 중요합니다.",은둔자원형-내면휴식,무덤/잠자는사람/고요한방,지친 정신을 쉬게 하세요. 회복 후에 더 명확해집니다.,토요일/하현달/휴가기간
TM_swords_5,소드5,"소드5 | 소드의 5 카드는 갈등과 승리, 패배의 복잡한 감정을 상징합니다. 이 카드가 정방향으로 나타날 때는 외부의 갈등 속에서 승리한 듯 보이지만, 내면의 진정한 승리를 의심하게 만듭니다. 방법이 목적을 정당화하지 않는다는 점을 상기시키며, 자신의 행동이 진정으로 올바른지를 되돌아보는 것이 중요합니다. 역방향으로 나타날 경우, 화해와 타협의 필요성을 강조하며, 후회와 반성을 통해 더 나은 방향으로 나아갈 수 있는 기회를 제공합니다. | upright: 갈등/승리/패배/부정직 | reversed: 화해/타협/후회/반성 | advice: 이긴 것 같지만 진정 이긴 건가요? 방법이 목적을 정당화하지 않습니다. | archetype: 그림자원형-자아의어두운승리 | symbols: 전쟁터/패배한적/빼앗은검 | timing: 화요일/갈등시기/경쟁결과발표 | astrology: 물병자리0-10도 | saju: 칠살운-경쟁승패 | element: Air",tarot_minor,Swords,5,소드의5,갈등/승리/패배/부정직,화해/타협/후회/반성,Air,칠살운-경쟁승패,물병자리0-10도,"소드의 5 카드는 갈등과 승리, 패배의 복잡한 감정을 상징합니다. 이 카드가 정방향으로 나타날 때는 외부의 갈등 속에서 승리한 듯 보이지만, 내면의 진정한 승리를 의심하게 만듭니다. 방법이 목적을 정당화하지 않는다는 점을 상기시키며, 자신의 행동이 진정으로 올바른지를 되돌아보는 것이 중요합니다. 역방향으로 나타날 경우, 화해와 타협의 필요성을 강조하며, 후회와 반성을 통해 더 나은 방향으로 나아갈 수 있는 기회를 제공합니다.",그림자원형-자아의어두운승리,전쟁터/패배한적/빼앗은검,이긴 것 같지만 진정 이긴 건가요? 방법이 목적을 정당화하지 않습니다.,화요일/갈등시기/경쟁결과발표
TM_swords_6,소드6,"소드6 | 소드의 6 카드는 이동과 변화를 상징하며, 새로운 시작을 위한 치유의 여정을 나타냅니다. 이 카드는 힘든 상황에서 벗어나 새로운 환경으로 나아가라는 조언을 줍니다. 과거에 집착하지 말고, 현재의 변화에 집중하여 자신을 발전시키는 것이 중요합니다. 또한, 이 카드는 물병자리와 관련이 있으며, 수요일이나 역마대운과 같은 특정 시기에 이사나 정신적 이동이 적합하다는 메시지를 담고 있습니다. | upright: 이동/변화/전환/치유여정 | reversed: 정체/저항/미해결/과거집착 | advice: 힘든 곳을 떠나 새 출발하세요. 이동이 치유를 가져옵니다. | archetype: 탐험가원형-전환의여정 | symbols: 배타고떠남/강건넘/이사 | timing: 수요일/역마대운/이사적기 | astrology: 물병자리10-20도 | saju: 역마운-정신적이동 | element: Air",tarot_minor,Swords,6,소드의6,이동/변화/전환/치유여정,정체/저항/미해결/과거집착,Air,역마운-정신적이동,물병자리10-20도,"소드의 6 카드는 이동과 변화를 상징하며, 새로운 시작을 위한 치유의 여정을 나타냅니다. 이 카드는 힘든 상황에서 벗어나 새로운 환경으로 나아가라는 조언을 줍니다. 과거에 집착하지 말고, 현재의 변화에 집중하여 자신을 발전시키는 것이 중요합니다. 또한, 이 카드는 물병자리와 관련이 있으며, 수요일이나 역마대운과 같은 특정 시기에 이사나 정신적 이동이 적합하다는 메시지를 담고 있습니다.",탐험가원형-전환의여정,배타고떠남/강건넘/이사,힘든 곳을 떠나 새 출발하세요. 이동이 치유를 가져옵니다.,수요일/역마대운/이사적기
TM_swords_7,소드7,"소드7 | 타로 카드 '소드의 7'은 전략과 속임수를 상징하며, 때로는 기만적인 행동을 통해 목표를 달성하려는 유혹을 나타냅니다. 그러나 이 카드가 정방향으로 나왔을 때는 이러한 방법이 결국에는 들통나게 마련이라는 경고를 담고 있습니다. 따라서 정직한 길을 선택하고 양심을 따르는 것이 중요합니다. 반대로, 역방향으로 나타날 경우에는 자신의 계획이 실패하거나 정직함이 드러나는 상황을 의미할 수 있습니다. 이 카드는 물병자리와 연결되며, 특히 수요일에 비밀이 드러날 위험이 높으므로 주의가 필요합니다. | upright: 전략/속임/기만/몰래 | reversed: 양심/정직/들킴/계획실패 | advice: 정직하지 않은 방법은 결국 들통납니다. 양심을 따르세요. | archetype: 트릭스터원형-교활한전략 | symbols: 도둑/몰래빠져나감/뒷문 | timing: 수요일/비밀노출위험기/조심해야할때 | astrology: 물병자리20-30도 | saju: 편관운-은밀한행동 | element: Air",tarot_minor,Swords,7,소드의7,전략/속임/기만/몰래,양심/정직/들킴/계획실패,Air,편관운-은밀한행동,물병자리20-30도,"타로 카드 '소드의 7'은 전략과 속임수를 상징하며, 때로는 기만적인 행동을 통해 목표를 달성하려는 유혹을 나타냅니다. 그러나 이 카드가 정방향으로 나왔을 때는 이러한 방법이 결국에는 들통나게 마련이라는 경고를 담고 있습니다. 따라서 정직한 길을 선택하고 양심을 따르는 것이 중요합니다. 반대로, 역방향으로 나타날 경우에는 자신의 계획이 실패하거나 정직함이 드러나는 상황을 의미할 수 있습니다. 이 카드는 물병자리와 연결되며, 특히 수요일에 비밀이 드러날 위험이 높으므로 주의가 필요합니다.",트릭스터원형-교활한전략,도둑/몰래빠져나감/뒷문,정직하지 않은 방법은 결국 들통납니다. 양심을 따르세요.,수요일/비밀노출위험기/조심해야할때
TM_swords_8,소드8,"소드8 | 소드의 8은 갇힘과 제한을 상징하며, 종종 무력감과 자기제한을 느끼는 상황을 나타냅니다. 이 카드는 당신이 스스로 만든 장벽에 갇혀 있다는 것을 일깨워 줍니다. 그러나 역방향으로 나타날 경우, 새로운 관점과 희망의 가능성을 보여줍니다. 당신이 진정으로 원하는 길을 찾기 위해서는 눈가리개를 벗고 자신의 한계를 인식하는 것이 중요합니다. 이 카드는 특히 토요일이나 공망기간에 자기제한을 깨닫고 해방의 길로 나아가라는 조언을 줍니다. | upright: 갇힘/제한/무력감/자기제한 | reversed: 해방/새관점/탈출/희망 | advice: 당신을 가두는 건 당신 자신입니다. 눈가리개를 벗으면 길이 보입니다. | archetype: 희생자원형-자기구속 | symbols: 감옥/묶인몸/눈가림 | timing: 토요일/공망기간/자기제한인식기 | astrology: 쌍둥이자리0-10도 | saju: 공망운-정신적갇힘 | element: Air",tarot_minor,Swords,8,소드의8,갇힘/제한/무력감/자기제한,해방/새관점/탈출/희망,Air,공망운-정신적갇힘,쌍둥이자리0-10도,"소드의 8은 갇힘과 제한을 상징하며, 종종 무력감과 자기제한을 느끼는 상황을 나타냅니다. 이 카드는 당신이 스스로 만든 장벽에 갇혀 있다는 것을 일깨워 줍니다. 그러나 역방향으로 나타날 경우, 새로운 관점과 희망의 가능성을 보여줍니다. 당신이 진정으로 원하는 길을 찾기 위해서는 눈가리개를 벗고 자신의 한계를 인식하는 것이 중요합니다. 이 카드는 특히 토요일이나 공망기간에 자기제한을 깨닫고 해방의 길로 나아가라는 조언을 줍니다.",희생자원형-자기구속,감옥/묶인몸/눈가림,당신을 가두는 건 당신 자신입니다. 눈가리개를 벗으면 길이 보입니다.,토요일/공망기간/자기제한인식기
TM_swords_9,소드9,"소드9 | 소드의 9는 불안과 걱정, 그리고 죄책감의 상징으로, 특히 악몽과 같은 심리적 고통을 나타냅니다. 이 카드는 우리가 종종 불안에 휘둘리지만, 그 걱정의 대부분은 실제로 일어나지 않는다는 것을 상기시킵니다. 반면, 거꾸로 놓인 경우에는 희망과 회복의 메시지를 전달하며, 과거의 아픔을 극복할 수 있는 가능성을 암시합니다. 결국, 밤은 지나고 새벽이 오듯이, 힘든 시기를 겪고 있다면 긍정적인 변화를 기대할 수 있다는 조언을 담고 있습니다. | upright: 불안/악몽/걱정/죄책감 | reversed: 희망/회복/과거극복/빛 | advice: 걱정의 대부분은 일어나지 않습니다. 밤은 지나고 새벽이 옵니다. | archetype: 그림자원형-불안의밤 | symbols: 악몽/불면/어둠속깨어남 | timing: 월요일/그믐달/불안한시기 | astrology: 쌍둥이자리10-20도 | saju: 인수운-정신적고통 | element: Air",tarot_minor,Swords,9,소드의9,불안/악몽/걱정/죄책감,희망/회복/과거극복/빛,Air,인수운-정신적고통,쌍둥이자리10-20도,"소드의 9는 불안과 걱정, 그리고 죄책감의 상징으로, 특히 악몽과 같은 심리적 고통을 나타냅니다. 이 카드는 우리가 종종 불안에 휘둘리지만, 그 걱정의 대부분은 실제로 일어나지 않는다는 것을 상기시킵니다. 반면, 거꾸로 놓인 경우에는 희망과 회복의 메시지를 전달하며, 과거의 아픔을 극복할 수 있는 가능성을 암시합니다. 결국, 밤은 지나고 새벽이 오듯이, 힘든 시기를 겪고 있다면 긍정적인 변화를 기대할 수 있다는 조언을 담고 있습니다.",그림자원형-불안의밤,악몽/불면/어둠속깨어남,걱정의 대부분은 일어나지 않습니다. 밤은 지나고 새벽이 옵니다.,월요일/그믐달/불안한시기
TM_swords_10,소드10,"소드10 | 소드의 10 카드는 종말과 완전한 패배를 상징합니다. 이 카드는 인생의 어려운 시기를 지나고 있음을 나타내며, 바닥을 쳤다는 의미를 내포하고 있습니다. 하지만 이 카드가 나타날 때는 희망의 메시지도 함께 담고 있습니다. 재생과 회복, 새로운 시작이 가능하다는 것을 알려주며, 이제는 더 나은 날이 올 것이라는 믿음을 가지라는 조언을 줍니다. 쌍둥이자리와 관련된 이 카드는 최악의 상황을 겪고 있는 사람들에게 새로운 전환점이 다가오고 있음을 암시합니다. | upright: 종말/바닥/완전한패배/끝 | reversed: 재생/회복/새시작/부활 | advice: 바닥을 쳤다면 이제 올라갈 일만 남았습니다. 새벽이 옵니다. | archetype: 죽음-재생원형-완전한종말 | symbols: 바닥/극심한고통/끝 | timing: 그믐달직전/최악의시기/전환직전 | astrology: 쌍둥이자리20-30도 | saju: 관살과다-최악의끝 | element: Air",tarot_minor,Swords,10,소드의10,종말/바닥/완전한패배/끝,재생/회복/새시작/부활,Air,관살과다-최악의끝,쌍둥이자리20-30도,"소드의 10 카드는 종말과 완전한 패배를 상징합니다. 이 카드는 인생의 어려운 시기를 지나고 있음을 나타내며, 바닥을 쳤다는 의미를 내포하고 있습니다. 하지만 이 카드가 나타날 때는 희망의 메시지도 함께 담고 있습니다. 재생과 회복, 새로운 시작이 가능하다는 것을 알려주며, 이제는 더 나은 날이 올 것이라는 믿음을 가지라는 조언을 줍니다. 쌍둥이자리와 관련된 이 카드는 최악의 상황을 겪고 있는 사람들에게 새로운 전환점이 다가오고 있음을 암시합니다.",죽음-재생원형-완전한종말,바닥/극심한고통/끝,바닥을 쳤다면 이제 올라갈 일만 남았습니다. 새벽이 옵니다.,그믐달직전/최악의시기/전환직전
