id,source,target,relation,category,description_ko
DREAM_FUSE_001,dream_symbol_falling,TM_16,상징매핑,dream_tarot,"추락하는 꿈은 타로의 탑(The Tower) 카드와 깊이 공명합니다. 탑 카드가 갑작스러운 구조의 붕괴와 강제적 변화를 상징하듯, 추락의 꿈은 현재 삶의 기반이 흔들리고 있으며 자아의 허위 구조가 무너져야 할 때임을 경고합니다. 두려움 속에 숨겨진 해방의 메시지이며, 오래된 패턴에서 벗어나 진정한 자신으로 재건될 기회를 알립니다."
DREAM_FUSE_002,dream_symbol_water,TM_18,상징매핑,dream_tarot,"물이 등장하는 꿈은 타로의 달(The Moon) 카드와 공명합니다. 달 카드가 무의식의 깊은 바다와 숨겨진 감정, 직관의 세계를 상징하듯, 꿈속의 물은 억압된 감정과 잠재의식의 메시지를 전달합니다. 맑은 물은 감정의 정화를, 탁한 물은 혼란과 직면해야 할 무의식의 그림자를 나타냅니다."
DREAM_FUSE_003,dream_symbol_flying,TM_21,상징매핑,dream_tarot,"하늘을 나는 꿈은 타로의 세계(The World) 카드와 공명합니다. 세계 카드가 완성과 자유, 우주적 통합을 상징하듯, 비행의 꿈은 한계를 초월하여 더 높은 관점에서 삶을 바라보게 되었음을 나타냅니다. 영적 성장과 의식의 확장, 물질적 제약에서 벗어난 자유로운 영혼의 상태를 반영합니다."
DREAM_FUSE_004,dream_symbol_death,TM_13,상징매핑,dream_tarot,"죽음이 등장하는 꿈은 타로의 죽음(Death) 카드와 직접적으로 공명합니다. 죽음 카드가 끝과 변환, 재탄생을 상징하듯, 꿈속의 죽음은 자아의 일부가 소멸하고 새로운 자아가 탄생하는 심리적 변환 과정을 나타냅니다. 물리적 죽음이 아닌 정체성의 근본적 전환과 낡은 삶의 방식에 대한 작별을 의미합니다."
DREAM_FUSE_005,dream_symbol_chase,TM_07,상징매핑,dream_tarot,"쫓기는 꿈은 타로의 전차(The Chariot) 카드와 공명합니다. 전차 카드가 의지와 방향성, 내면의 갈등 통합을 상징하듯, 쫓기는 꿈은 직면하지 못한 두려움이나 억압된 욕구가 의식을 추적하고 있음을 나타냅니다. 도망치지 말고 돌아서서 마주해야 할 내면의 힘이 있다는 메시지입니다."
DREAM_FUSE_006,dream_symbol_naked,TM_17,상징매핑,dream_tarot,"벌거벗은 꿈은 타로의 별(The Star) 카드와 공명합니다. 별 카드의 벌거벗은 여인이 순수한 진정성과 치유를 상징하듯, 꿈속의 나체는 사회적 가면과 방어벽이 벗겨진 취약한 진실된 자아의 노출을 나타냅니다. 수치심 너머에 있는 순수한 존재의 아름다움과 진정한 자기 수용의 초대입니다."
DREAM_FUSE_007,dream_symbol_snake,TM_01,상징매핑,dream_tarot,"뱀이 등장하는 꿈은 타로의 마법사(The Magician) 카드와 공명합니다. 마법사의 지팡이에 감긴 뱀이 쿤달리니 에너지와 변환의 힘을 상징하듯, 꿈속의 뱀은 억압된 본능적 에너지와 치유력, 변신의 잠재력을 나타냅니다. 뱀이 허물을 벗듯 오래된 자아를 벗고 새로운 존재로 거듭날 시점입니다."
DREAM_FUSE_008,dream_symbol_exam,TM_20,상징매핑,dream_tarot,"시험 꿈은 타로의 심판(Judgement) 카드와 공명합니다. 심판 카드가 최종 심사와 내면의 소명에 대한 응답을 상징하듯, 시험 꿈은 자기 평가와 삶의 중요한 기로에서의 판단을 나타냅니다. 준비되지 않은 느낌은 자기 의심을, 잘 치르는 시험은 내면의 성장이 인정받을 때가 왔음을 알립니다."
DREAM_FUSE_009,dream_theme_conflict,iching_hex_06_song,주제매핑,dream_iching,"갈등과 다툼이 주제인 꿈은 주역 제6괘 송괘(訟卦)와 공명합니다. 송괘가 시비와 분쟁의 에너지를 다루며 중재와 타협의 지혜를 가르치듯, 갈등의 꿈은 깨어있는 삶에서 해결되지 않은 대립과 불의에 대한 분노가 표출되는 것입니다. 직접적 대결보다 제3자의 중재나 한 발 물러선 관조가 필요합니다."
DREAM_FUSE_010,dream_theme_journey,iching_hex_56_ryeo,주제매핑,dream_iching,"여행과 방랑이 주제인 꿈은 주역 제56괘 여괘(旅卦)와 공명합니다. 여괘가 나그네의 지혜와 낯선 환경에서의 겸손한 처세를 가르치듯, 여행의 꿈은 현재 삶의 정착되지 않은 상태나 새로운 영역으로의 이행 과정을 반영합니다. 뿌리 없는 불안감과 동시에 미지의 세계에 대한 영혼의 갈망을 담고 있습니다."
