id,label,type,planet,sign,dignity,description,personality_trait,life_area
PS_sun_ari,태양양자리,planet_sign,Sun,Aries,exalted,"양자리 태양은 고양(Exaltation)의 위치. 태양의 에너지가 양자리의 개척 정신과 결합하여 최대의 활력과 자신감을 발휘한다.","용감하고 직접적. 리더십이 강하며 새로운 일에 열정적. 인내심 부족 가능.","자아 정체성이 행동과 개척에 있음. 도전을 통해 자신을 발견."
PS_sun_leo,태양사자자리,planet_sign,Sun,Leo,domicile,"사자자리 태양은 본좌(Domicile). 태양이 가장 자연스럽고 강한 위치. 왕의 별에 왕의 행성.","카리스마 있고 창조적. 무대 중심에 서기를 좋아함. 따뜻하고 관대하나 자존심 강함.","자기표현과 창조가 인생의 핵심. 빛나는 것이 자연스러운 영혼."
PS_sun_lib,태양천칭자리,planet_sign,Sun,Libra,fall,"천칭자리 태양은 하락(Fall). 자아의 빛이 관계 속에서 흐릿해질 수 있다. 남의 눈치를 많이 봄.","외교적이고 공정. 균형을 추구하나 결정을 어려워함. 관계 의존적 자아.","자아를 관계 속에서 찾으려 하는 경향. 독립적 자아 확립이 인생 과제."
PS_moon_tau,달황소자리,planet_sign,Moon,Taurus,exalted,"황소자리 달은 고양. 감정적 안정의 최고 배치. 달의 감정이 황소의 안정감과 결합.","감정적으로 안정적이고 충실. 물질적 안정이 감정 안정의 기반. 변화에 느림.","감정적 보안이 물질적 안정과 연결. 편안한 환경이 정서적 건강의 핵심."
PS_moon_can,달게자리,planet_sign,Moon,Cancer,domicile,"게자리 달은 본좌. 달이 가장 자연스러운 위치. 깊은 감정과 모성적 돌봄의 극대화.","극도로 민감하고 보호적. 가족/가정이 최우선. 감정 기복이 있으나 깊은 공감.","가정과 가족이 감정의 뿌리. 안전한 둥지가 모든 것의 기반."
PS_moon_cap,달염소자리,planet_sign,Moon,Capricorn,detriment,"염소자리 달은 망(Detriment). 감정을 억누르고 체계화하려는 경향. 감정 표현이 서투름.","감정을 통제하려 함. 실용적인 감정 처리. 외면적으로 냉정해 보이나 내면은 깊음.","감정을 업무/성취를 통해 처리하려는 경향. 감정을 느끼고 표현하는 것이 과제."
PS_mercury_vir,수성처녀자리,planet_sign,Mercury,Virgo,domicile_exalted,"처녀자리 수성은 본좌+고양. 수성이 가장 강한 위치. 분석력과 소통 능력의 극대화.","극도로 분석적이고 세밀. 완벽주의적 사고. 실용적이고 논리적. 비판적 사고.","지적 능력이 세부사항 분석에 집중. 정밀한 사고가 강점이자 과제(과분석 주의)."
PS_venus_tau,금성황소자리,planet_sign,Venus,Taurus,domicile,"황소자리 금성은 본좌. 금성이 가장 자연스러운 위치 중 하나. 관능적 아름다움과 충실한 사랑.","관능적이고 충실. 아름다운 것을 사랑함. 물질적 안정이 사랑의 기반. 소유욕.","사랑이 물질적 안정/감각적 즐거움과 연결. 오감으로 사랑을 경험."
PS_venus_pis,금성물고기자리,planet_sign,Venus,Pisces,exalted,"물고기자리 금성은 고양. 사랑의 가장 이상적이고 무조건적인 형태. 경계 없는 사랑.","무조건적이고 낭만적. 영적 사랑. 이상화 경향. 예술적 감성 극대화.","사랑이 영적 차원에서 경험됨. 모든 것을 포용하는 사랑이나 환상 주의."
PS_venus_sco,금성전갈자리,planet_sign,Venus,Scorpio,detriment,"전갈자리 금성은 망. 사랑이 극도로 깊고 집요하나 질투와 집착의 위험.","격렬하고 변환적인 사랑. 소유욕 강함. 배신을 용서하지 않음. 깊은 유대.","사랑이 생사의 문제처럼 경험됨. 표면적 관계에 만족 못하고 영혼 레벨 연결 추구."
PS_mars_ari,화성양자리,planet_sign,Mars,Aries,domicile,"양자리 화성은 본좌. 화성이 가장 강한 위치. 행동력과 전투력의 극대화.","직접적이고 공격적. 경쟁심 강함. 빠른 행동. 인내 부족하나 폭발적 추진력.","에너지가 즉각적 행동으로 표출. 시작하는 힘은 최고이나 지속력이 과제."
PS_mars_cap,화성염소자리,planet_sign,Mars,Capricorn,exalted,"염소자리 화성은 고양. 전략적이고 인내심 있는 행동력. 장기적 목표를 향한 꾸준한 추진.","전략적이고 체계적. 장기 목표에 집중. 느리지만 확실한 성과. 야심차고 인내.","에너지가 장기적 성취를 향해 체계적으로 투입됨. 참을성과 전략이 강점."
PS_jupiter_sag,목성사수자리,planet_sign,Jupiter,Sagittarius,domicile,"사수자리 목성은 본좌. 확장과 성장의 극대화. 철학적 지혜와 모험의 별.","낙관적이고 모험적. 철학적 사고. 해외/여행/교육에 인연. 과대망상 주의.","성장이 지식/여행/철학을 통해 이루어짐. 세상을 넓게 보는 것이 핵심."
PS_saturn_cap,토성염소자리,planet_sign,Saturn,Capricorn,domicile,"염소자리 토성은 본좌. 규율과 구조의 극대화. 사회적 성취의 최고 배치.","책임감 있고 야심차며 인내심 강함. 사회적 지위를 향한 꾸준한 노력. 엄격함.","인생의 시련이 사회적 성취의 사다리가 됨. 노력이 반드시 보상받는 배치."
PS_saturn_can,토성게자리,planet_sign,Saturn,Cancer,detriment,"게자리 토성은 망. 감정적 안전에 대한 두려움. 가족/가정 관련 시련과 성장.","가정에 대한 불안감. 감정 표현의 어려움. 어린 시절 정서적 제약. 만년에 안정.","감정적 안전을 구축하는 것이 인생의 과제. 시련을 통해 진정한 가정을 만듦."
