id,label,pillar,type,category,description
PIL_년주_천간_乙,乙,년주,천간,structure,"[년주] 乙 천간 — 하늘의 기운, 주체·표현·행동 방향을 상징."
PIL_년주_지지_亥,亥,년주,지지,structure,[년주] 亥 지지 — 현실·환경·감정적 배경을 상징.
PIL_년주_운성_장생,장생,년주,운성,12운성,"[년주] 장생 (12운성) — 탄생·시작의 기운, 발전의 씨앗."
PIL_년주_운성_목욕,목욕,년주,운성,12운성,"[년주] 목욕 (12운성) — 순수·정화·이미지, 변화 준비."
PIL_년주_운성_관대,관대,년주,운성,12운성,[년주] 관대 (12운성) — 성숙·책임감·사회적 성장.
PIL_년주_운성_건록,건록,년주,운성,12운성,"[년주] 건록 (12운성) — 안정기, 자기 확립과 안정된 상태."
PIL_년주_운성_제왕,제왕,년주,운성,12운성,"[년주] 제왕 (12운성) — 정점의 기세, 리더십과 성취."
PIL_년주_운성_쇠,쇠,년주,운성,12운성,"[년주] 쇠 (12운성) — 기운이 감소, 실질·반성의 시기."
PIL_년주_운성_병,병,년주,운성,12운성,[년주] 병 (12운성) — 기운이 약해지고 휴식 필요.
PIL_년주_운성_사,사,년주,운성,12운성,"[년주] 사 (12운성) — 마무리의 시점, 정리·전환의 때."
PIL_년주_운성_묘,묘,년주,운성,12운성,"[년주] 묘 (12운성) — 절정 이후 숨김, 준비와 재생."
PIL_년주_운성_절,절,년주,운성,12운성,"[년주] 절 (12운성) — 단절·전환점, 다음 주기로의 진입."
PIL_년주_운성_태,태,년주,운성,12운성,"[년주] 태 (12운성) — 새로운 시작점, 미발현의 가능성."
PIL_년주_운성_양,양,년주,운성,12운성,"[년주] 양 (12운성) — 육성·성장, 새로운 생명력의 발아."
PIL_년주_신살_도화,도화,년주,신살,12신살,"[년주] 도화 (12신살) — 매력, 예술, 인기, 이성적 관심이 강한 별."
PIL_년주_신살_홍염,홍염,년주,신살,12신살,[년주] 홍염 (12신살) — 감정·연애·매력·인연이 부각되는 별.
PIL_년주_신살_문창,문창,년주,신살,12신살,"[년주] 문창 (12신살) — 지적·예술·문학적 재능, 글쓰기·예술성."
PIL_년주_신살_문곡,문곡,년주,신살,12신살,[년주] 문곡 (12신살) — 언변·조정·감성적 표현력이 풍부한 별.
PIL_년주_신살_역마,역마,년주,신살,12신살,"[년주] 역마 (12신살) — 이동·변화·활동, 여행·직업변화 많은 구조."
PIL_년주_신살_화개,화개,년주,신살,12신살,"[년주] 화개 (12신살) — 종교성·예술·철학·학문적 깊이, 고독·직관."
PIL_년주_신살_장성,장성,년주,신살,12신살,[년주] 장성 (12신살) — 명예·리더십·강한 추진력.
PIL_년주_신살_망신,망신,년주,신살,12신살,[년주] 망신 (12신살) — 표현력·재능 있으나 예민·불안감 동반.
PIL_년주_신살_겁살,겁살,년주,신살,12신살,"[년주] 겁살 (12신살) — 돌발사고·급변, 예민, 용기와 위험 공존."
PIL_년주_신살_재살,재살,년주,신살,12신살,[년주] 재살 (12신살) — 전투적·모험심·결단력.
PIL_년주_신살_천을귀인,천을귀인,년주,신살,12신살,[년주] 천을귀인 (12신살) — 보호·귀인의 도움·상생의 기운.
PIL_년주_신살_지살,지살,년주,신살,12신살,"[년주] 지살 (12신살) — 활동, 개척, 현실적 행동력."
PIL_년주_길성_천을귀인,천을귀인,년주,길성,길성,"[년주] 천을귀인 (길성) — 귀인과 도움, 보호받는 복덕."
PIL_년주_길성_문창,문창,년주,길성,길성,[년주] 문창 (길성) — 재치·예절·음악·지적 성취운.
PIL_년주_길성_문곡,문곡,년주,길성,길성,"[년주] 문곡 (길성) — 언변·발표·설득, 사람복."
PIL_년주_길성_현침,현침,년주,길성,길성,[년주] 현침 (길성) — 통찰력·예술성과 고독의 동시성.
PIL_년주_길성_화개,화개,년주,길성,길성,[년주] 화개 (길성) — 예술·철학·종교·내면탐구의 별.
PIL_년주_길성_도화,도화,년주,길성,길성,[년주] 도화 (길성) — 미적감각·대인매력·예술활동운.
PIL_년주_길성_태극귀인,태극귀인,년주,길성,길성,"[년주] 태극귀인 (길성) — 높은 이상, 종교적 보호, 정신적 탁월함."
PIL_년주_길성_귀문관,귀문관,년주,길성,길성,"[년주] 귀문관 (길성) — 영감·민감·심리통찰, 예민함 동반."
PIL_년주_길성_천덕,천덕,년주,길성,길성,"[년주] 천덕 (길성) — 귀인운, 원만한 조력과 인복."
PIL_년주_길성_월덕,월덕,년주,길성,길성,[년주] 월덕 (길성) — 명예·신망·대중적 호감 운.
