id,source,target,relation,description
REL_EL_목_ST_갑,EL_목,ST_갑,포괄,갑목 — 새싹처럼 직진하는 양목의 표현. 성장과 개척을 상징.
REL_EL_목_ST_을,EL_목,ST_을,포괄,을목 — 유연·조화로운 음목의 표현. 관계 중심의 성장.
REL_EL_목_BR_인,EL_목,BR_인,포괄,"인목 — 봄의 시작, 발아와 확장. 리더형·도전성."
REL_EL_목_BR_묘,EL_목,BR_묘,포괄,묘목 — 성장·교류·감수성. 예술·교감의 기운.
REL_EL_화_ST_병,EL_화,ST_병,포괄,병화 — 태양처럼 밝고 강한 양화. 생명력과 카리스마.
REL_EL_화_ST_정,EL_화,ST_정,포괄,정화 — 촛불처럼 부드러운 음화. 감성·지성의 불빛.
REL_EL_화_BR_사,EL_화,BR_사,포괄,사화 — 여름 시작의 변혁기. 표현력과 통찰의 에너지.
REL_EL_화_BR_오,EL_화,BR_오,포괄,오화 — 여름 정점. 열정·리더십·표현력 극대화.
REL_EL_토_ST_무,EL_토,ST_무,포괄,무토 — 산처럼 단단한 양토. 안정·신뢰·현실성.
REL_EL_토_ST_기,EL_토,ST_기,포괄,기토 — 농토같은 음토. 배려·실용·균형의 에너지.
REL_EL_토_BR_진,EL_토,BR_진,포괄,진토 — 봄 끝의 전환기. 조정·통합·전환.
REL_EL_토_BR_축,EL_토,BR_축,포괄,축토 — 겨울의 응축·근성·준비.
REL_EL_토_BR_미,EL_토,BR_미,포괄,미토 — 여름 끝의 안정. 예술·감정 조화.
REL_EL_토_BR_술,EL_토,BR_술,포괄,술토 — 가을 말의 조율. 책임감·현실적 통제.
REL_EL_금_ST_경,EL_금,ST_경,포괄,경금 — 강단·결단력의 양금. 통제와 행동력.
REL_EL_금_ST_신,EL_금,ST_신,포괄,신금 — 섬세·세련된 음금. 판단과 분석의 에너지.
REL_EL_금_BR_신,EL_금,BR_신,포괄,"신금 — 가을 초, 개혁·결단·혁신."
REL_EL_금_BR_유,EL_금,BR_유,포괄,유금 — 가을의 완성. 수확·정리·예의·미학.
REL_EL_수_ST_임,EL_수,ST_임,포괄,임수 — 바다처럼 깊고 넓은 양수. 포용·지혜·통찰.
REL_EL_수_ST_계,EL_수,ST_계,포괄,계수 — 샘물처럼 맑고 직관적인 음수. 내면·감수성.
REL_EL_수_BR_자,EL_수,BR_자,포괄,자수 — 겨울 시작. 저장·지혜·감정의 근원.
REL_EL_수_BR_해,EL_수,BR_해,포괄,해수 — 겨울의 형성기. 포용·직관·심리성과 깊이.
