id,label,type,relation_type,branches,description,positive,negative,advice,life_area
BR_자오충,자오충,branch_relation,충,子午,"자수와 오화의 충돌. 물과 불의 대립. 급격한 변화와 충돌의 에너지.","큰 변화를 통한 성장. 정체된 상황 타파. 새로운 기회 창출.","갑작스러운 사고, 이별, 건강 문제. 감정 폭발. 가정 불화.","변화를 두려워하지 말되 준비하세요. 충돌을 성장의 기회로.","직장 변동, 이사, 이별, 사고, 건강(심장/신장)"
BR_축미충,축미충,branch_relation,충,丑未,"축토와 미토의 충돌. 습한 땅과 마른 땅의 대립. 토끼리의 충은 변화가 느림.","고정관념 타파. 오래된 문제 해결. 부동산 변화.","가족 갈등. 재산 분쟁. 건강(소화기) 문제.","참고 인내하면 해결됩니다. 급하게 밀어붙이지 마세요.","가족, 부동산, 상속, 건강(위장)"
BR_인신충,인신충,branch_relation,충,寅申,"인목과 신금의 충돌. 나무와 쇠의 대립. 가장 강렬한 충 중 하나.","과감한 도전. 경쟁에서 승리. 오래된 것 청산.","교통사고, 수술, 다툼, 법적 분쟁. 직장 갈등.","안전 최우선. 법적 문제 조심. 보험 필수.","직업, 소송, 건강(간/폐), 이동"
BR_묘유충,묘유충,branch_relation,충,卯酉,"묘목과 유금의 충돌. 꽃과 가위의 대립. 예술과 현실의 충돌.","예술적 성취. 결단력 향상. 미적 감각 발휘.","이별, 불화, 건강(간담) 문제. 우울, 불안.","감정을 다스리세요. 예술로 승화하면 좋음.","연애, 예술, 건강(간/대장), 갈등"
BR_진술충,진술충,branch_relation,충,辰戌,"진토와 술토의 충돌. 용과 개의 대립. 창고가 열리는 상.","숨겨진 재물 발견. 비밀 폭로. 큰 변화의 계기.","구설수, 비밀 노출, 법적 문제. 신용 하락.","비밀을 지키세요. 말조심. 서류 꼼꼼히.","재물, 비밀, 법률, 건강(소화기/피부)"
BR_사해충,사해충,branch_relation,충,巳亥,"사화와 해수의 충돌. 뱀과 돼지의 대립. 변화와 안정의 대립.","새로운 기회. 해외 진출. 변화를 통한 성장.","건강 악화, 이동 문제, 인간관계 변화.","변화를 받아들이세요. 새로운 환경 적응이 중요.","이동, 해외, 건강(심장/신장)"
BR_삼합화,삼합,branch_relation,합,寅午戌/申子辰/亥卯未/巳酉丑,"세 지지가 모여 하나의 오행을 이룸. 강력한 결합의 에너지.","안정적인 성공. 협력의 결과. 목표 달성.","특정 오행 과다로 인한 치우침.","균형을 잃지 마세요. 삼합의 힘을 좋은 곳에 쓰세요.","협력, 성공, 결혼, 사업"
BR_육합,육합,branch_relation,합,子丑/寅亥/卯戌/辰酉/巳申/午未,"두 지지가 만나 결합. 화합과 조화의 에너지.","인연 형성. 협력 성공. 결혼, 동업 유리.","합이 풀리면 이별. 집착의 위험.","좋은 인연을 만나면 소중히 하세요.","결혼, 동업, 계약, 협력"
BR_형,형,branch_relation,형,寅巳申/丑戌未/子卯,"지지끼리의 형벌. 같은 성질끼리의 충돌로 인한 고통.","시련을 통한 성장. 법조, 의료 분야 적합.","건강 문제, 법적 다툼, 관재수, 수술.","법을 지키세요. 건강 검진 필수. 다툼 피하기.","건강, 법률, 갈등, 직업"
BR_파,파,branch_relation,파,子酉/卯午/寅亥/巳申/辰丑/戌未,"지지의 파괴. 기존 것이 깨지는 상.","새로운 시작. 나쁜 습관 타파. 재출발.","실패, 손실, 이별, 파산 가능.","미련 없이 정리하세요. 새 시작의 기회.","사업, 관계, 건강, 재물"
BR_해,해,branch_relation,해,子未/丑午/寅巳/卯辰/申亥/酉戌,"지지의 해침. 은근한 손상과 배신.","위기 감지 능력. 조심성 발달.","배신, 사기, 은근한 손해. 뒤통수.","사람을 잘 보세요. 계약서 꼼꼼히. 보증 서지 말 것.","인간관계, 계약, 재물, 신뢰"
BR_원진,원진,branch_relation,원진,子未/丑午/寅酉/卯申/辰亥/巳戌,"서로 미워하는 관계. 가까울수록 힘든 인연.","극복하면 큰 성장. 대인관계 능력 향상.","갈등, 다툼, 오해. 가족/연인 불화.","거리를 두세요. 너무 가까이하면 상처받습니다.","가족, 연인, 동료 관계"
BR_귀문,귀문관,branch_relation,귀문,辰巳/戌亥,"귀신이 드나드는 문. 영적 감각 예민.","영적 능력, 예술성, 직관력 발달.","불안, 악몽, 우울, 귀신 들린 느낌.","명상, 종교 활동, 심리상담 권장.","정신건강, 영성, 예술"
BR_공망,공망,branch_relation,공망,甲子旬/甲戌旬/etc,"빈 공간. 해당 지지가 비어있는 상.","집착 없음. 초연함. 영적 성장.","허무함, 노력해도 성과 없음. 공허.","물질보다 정신. 집착을 내려놓으면 채워집니다.","성취, 재물, 관계, 영성"
