id,label,type,combination_type,elements,condition,result_element,description,personality_effect,career_effect,relationship_effect,timing_effect,strength,advice
COMB_갑기합토,갑기합토,combination,천간합,甲己,갑목과 기토가 인접하고 토가 왕한 계절(진술축미월)이면 합화 성립,토,"갑(甲)과 기(己)가 만나 토(土)로 변환. 목(木)이 토(土)를 극하는 관계지만 합으로 만나면 오히려 하나가 된다. 가장 대표적인 천간합.","성격이 부드러워진다. 공격적인 갑목의 기질이 기토를 만나 안정적으로 변함. 포용력과 중재력이 생긴다. 다만 합이 되면 본래의 추진력이 약해질 수 있다.","안정적인 직업이 유리. 부동산, 농업, 교육, 중재/협상 분야. 리더십(갑)과 관리(기)가 합쳐져 경영자형.","상호보완적 관계. 강한 쪽(갑)이 부드러운 쪽(기)을 만나 안정. 갈등이 줄어들지만 열정도 줄어들 수 있음.","토가 왕한 환절기(3,6,9,12월)에 합화 성립. 이 시기에 안정적 결정이 유리.",4,"합이 되면 본래 성격이 변합니다. 추진력이 줄어들 수 있으니 중요한 결정은 합화 시기를 피하세요."
COMB_을경합금,을경합금,combination,천간합,乙庚,을목과 경금이 인접하고 금이 왕한 계절(신유월)이면 합화 성립,금,"을(乙)과 경(庚)이 만나 금(金)으로 변환. 부드러운 을목이 강한 경금에 감싸여 결의와 결단으로 변하는 합.","우유부단한 을목이 결단력을 얻는다. 예술적 감성에 실행력이 더해짐. 다만 본래의 유연함이 줄어 경직될 수 있다.","금융, 법률, 의료 분야 유리. 예술(을)+기술(경)이 합쳐져 디자인/건축/정밀가공 분야 적합.","감성(을)과 이성(경)의 만남. 서로 부족한 부분을 채워주는 이상적 관계. 다만 합이 풀리면 갈등이 심해짐.","금이 왕한 가을(8-9월)에 합화 성립 확률 높음. 가을에 결단을 내리기 좋음.",4,"합이 성립하면 결단력이 생기지만 유연함을 잃을 수 있습니다. 양면을 균형있게 유지하세요."
COMB_병신합수,병신합수,combination,천간합,丙辛,병화와 신금이 인접하고 수가 왕한 계절(해자월)이면 합화 성립,수,"병(丙)과 신(辛)이 만나 수(水)로 변환. 뜨거운 태양(병)이 보석(신)을 녹여 물로 만드는 형상. 열정이 지혜로 변하는 합.","열정적인 병화가 차분해진다. 화끈한 성격이 물처럼 유연하고 깊어진다. 지적 탐구심이 생기지만 행동력이 줄어들 수 있다.","연구/학술 분야 유리. 열정(병)+정밀(신)이 합쳐져 과학/의학/철학 분야. IT와 금융의 융합.","뜨거운 사랑(병)이 깊은 사랑(수)으로 변함. 초기 열정 후 깊은 유대감. 식어보이지만 내면은 더 깊어짐.","수가 왕한 겨울(11-12월)에 합화 성립. 겨울에 학업/연구 결정이 유리.",3,"열정이 사라진 것이 아니라 깊어진 것입니다. 표면적 차가움에 속지 마세요."
COMB_정임합목,정임합목,combination,천간합,丁壬,정화와 임수가 인접하고 목이 왕한 계절(인묘월)이면 합화 성립,목,"정(丁)과 임(壬)이 만나 목(木)으로 변환. 촛불(정)이 큰 바다(임)를 만나 나무로 성장하는 형상. 불과 물의 역설적 결합.","섬세한 정화가 대범해진다. 작은 것에 집착하던 성격이 큰 그림을 볼 수 있게 됨. 성장과 확장의 에너지.","교육/출판/미디어 분야. 섬세함(정)+스케일(임)이 합쳐져 콘텐츠 창작, 교육사업 적합.","섬세한 배려(정)와 넓은 포용(임)의 결합. 따뜻하면서도 넓은 사랑. 아이디얼한 관계.","목이 왕한 봄(2-3월)에 합화 성립. 봄에 새로운 시작/성장 관련 결정이 유리.",3,"성장의 에너지를 활용하세요. 봄에 새로운 도전을 시작하면 합화의 힘을 받습니다."
COMB_무계합화,무계합화,combination,천간합,戊癸,무토와 계수가 인접하고 화가 왕한 계절(사오월)이면 합화 성립,화,"무(戊)와 계(癸)가 만나 화(火)로 변환. 큰 산(무)에 이슬비(계)가 내려 햇빛에 증발하며 열기로 변하는 형상. 안정에서 열정으로의 변환.","안정적인 무토가 열정적으로 변한다. 보수적이던 성격에 활력이 생김. 다만 너무 달아오를 수 있다.","에너지/엔터테인먼트/스포츠 분야. 안정(무)+물(계)이 합쳐 열정으로, 운동선수형 경영.","느긋한 관계에 열정이 불타오름. 매너리즘에 빠진 관계가 다시 살아남. 하지만 과열 주의.","화가 왕한 여름(5-6월)에 합화 성립. 여름에 열정적인 프로젝트 추진이 유리.",3,"열정은 좋지만 과열은 위험합니다. 무토의 안정감을 잃지 않으면서 계수의 유연함을 유지하세요."
COMB_자축합토,자축합토,combination,지지육합,子丑,자수와 축토가 인접하면 토로 합화. 동지~소한 시기의 결합,토,"자(子)와 축(丑)의 육합. 겨울밤의 물(자)이 언 땅(축)을 만나 단단한 기반이 되는 형상. 가장 안정적인 육합 중 하나.","감정(자수)이 현실(축토)과 결합하여 실용적이 된다. 꿈을 현실화하는 능력. 계획적이고 실속있는 성격으로 변함.","재무/회계/부동산 적합. 유동성(자)과 안정성(축)의 결합으로 자산관리 능력 탁월.","깊은 감정을 안정적으로 표현. 신뢰를 바탕으로 한 관계. 결혼운이 좋음.","겨울(12-1월)에 합이 강해짐. 연말연시에 중요한 관계 결정이 유리.",4,"안정과 감정의 균형이 당신의 강점입니다. 이 합을 가진 사람은 결혼/동업에 유리합니다."
COMB_인해합목,인해합목,combination,지지육합,寅亥,인목과 해수가 인접하면 목으로 합화. 입춘~우수 시기의 결합,목,"인(寅)과 해(亥)의 육합. 나무(인)에 물(해)이 스며드는 형상. 성장의 에너지가 극대화되는 합.","행동력(인)과 지혜(해)가 합쳐져 전략적 행동가가 된다. 생각하면서 행동하는 능력. 성장 지향적.","벤처/교육/연구 적합. 실행력(인)+통찰(해)로 혁신적 창업. 해외 관련 사업도 유리.","서로에게 힘이 되는 관계. 한쪽이 행동하면 다른 쪽이 지원. 파트너십이 매우 강함.","봄 초입(2월경)에 합이 강해짐. 새해 계획 실행에 최적.",3,"성장의 합입니다. 새로운 시작과 도전에 이 에너지를 활용하세요."
COMB_묘술합화,묘술합화,combination,지지육합,卯戌,묘목과 술토가 인접하면 화로 합화. 경칩~춘분 시기의 결합,화,"묘(卯)와 술(戌)의 육합. 꽃(묘)이 마른 땅(술)에서 불꽃처럼 피어나는 형상. 예술과 열정의 합.","예술적 감성(묘)이 열정(화)으로 변환. 미적 감각에 실행력이 더해짐. 창작 에너지가 폭발적.","예술/엔터/패션 분야 최적. 감성(묘)+충직(술)이 합쳐져 열정적 창작자.","따뜻하고 열정적인 관계. 서로에 대한 충성심이 강함. 로맨틱한 관계.","봄~가을 사이(3-10월)에 합의 영향. 특히 봄에 창작 에너지 극대화.",3,"창작과 열정을 위한 합입니다. 예술적 활동을 할 때 이 에너지가 빛납니다."
COMB_진유합금,진유합금,combination,지지육합,辰酉,진토와 유금이 인접하면 금으로 합화. 청명~곡우 시기의 결합,금,"진(辰)과 유(酉)의 육합. 흙(진)에서 금속(유)이 채굴되는 형상. 숨겨진 가치가 드러나는 합.","숨겨진 재능(진)이 결단력(유금)으로 발현. 잠재력이 실현되는 시기. 판단력과 결단력이 강해짐.","금융/투자/보석/정밀가공 적합. 발굴(진)+가치판단(유)으로 투자 감각 탁월.","서로의 숨겨진 가치를 발견하는 관계. 깊이 알수록 매력이 커지는 관계.","봄~가을(4-9월) 사이 합의 영향. 가을에 결단을 내리기 좋음.",3,"숨겨진 가치를 발견하는 합입니다. 자기 안의 재능을 믿고 개발하세요."
COMB_사신합수,사신합수,combination,지지육합,巳申,사화와 신금이 인접하면 수로 합화. 입하~소만 시기의 결합,수,"사(巳)와 신(申)의 육합. 불(사)과 쇠(신)가 만나 물(수)로 변하는 역설적 합. 극적 변환의 에너지.","전략적 사고(사)와 실행력(신)이 합쳐져 지혜로운 행동가. 머리와 몸이 일치하는 타입.","전략/컨설팅/IT 적합. 지혜(사)+실행(신)→유연한 전략가. 변화에 강한 사업가.","서로 다른 매력에 끌리는 관계. 처음엔 이해가 안 되지만 깊어질수록 완벽한 보완.","여름~가을(5-8월)에 합의 영향. 특히 변화가 필요한 시기에 강력.",3,"극적 변환의 합입니다. 위기를 기회로 바꾸는 능력을 활용하세요."
